"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00789759257612167 0.00753077263112874 0.00695452533505623 0.00798771426118914 0.00522806349976257 0.00469648101971517 0.00731884139712054 0.00657949676867365 0.00377729301720565 0.00175102458990206 0.00358492596031157 0.00472702128570028 0.00124914503287525 0.00204273370428318 0.00464886856317625 -0.000100801777109531 0.000680487567710468 0.00128112364001741 0.00268682150149183 0.0023147580892655 0.00253819656363781 0.00567089570639446 0.00265782579047798 0.00634442390423587 0.0062712536987657 0.00326422976939303 0.00481206474246815 0.0028349550557455 0.00417525445887328 0.00319986468520903 0.00384975007141522 0.00466715580889062 0.00313339686732197 0.00161144986202384 0.000314236885742544 0.00340153385656828 0.00172112731323404 0.00278067643113334 -0.00053610885088464
"ISNSL" 0.00753077263112874 0.0116454885970178 0.00870973207096429 0.0108053827015983 0.00661331661264052 0.00592729500573417 0.0080644016919332 0.0050513612514 0.00367310604684039 0.000902877907772285 0.0032641884222719 0.00455930129547306 -0.000219615787041191 0.00171333881424659 0.00614307844896757 0.00109498511931704 0.00131701117384186 0.00199993350270747 0.00522349892031423 0.00835501545720518 0.00443515696954599 0.00760418819845746 0.00360704060650541 0.00710325232026136 0.00923044559359496 0.00573892257789195 0.00717472560599201 0.00548821899192018 0.00416155190084244 0.00350409647275847 0.0042181299719732 0.00587187218209397 0.00498785896395817 0.00108196186064959 0.000438588714265001 0.00394829904247586 0.00195598374130527 0.00476401021839835 -0.000954798148773998
"ISPNS" 0.00695452533505623 0.00870973207096429 0.00831300497485885 0.00999918668164196 0.0064520378432779 0.00570946349012283 0.00864788022604792 0.00551386822189979 0.00397307849044199 0.00118945112211791 0.0036569175361699 0.00482533013483097 -0.000266599548705854 0.00145943470179357 0.00544480839753173 0.000980150018945452 0.00108445425034297 0.00194261865238768 0.00484696568009118 0.00965680845583452 0.00395035619461646 0.00661673571781159 0.00416499870215091 0.00698138452443637 0.00819564180761286 0.0048799232393571 0.00632117044958613 0.00332004163535191 0.00381261394293222 0.00348458985971736 0.00382454093470072 0.0054095657517853 0.00439244404010947 -0.000102085342644804 0.000814212618809869 0.00295320988307868 0.00187601279812362 0.00462441355197542 -0.00116278545943374
"PMZS" 0.00798771426118914 0.0108053827015983 0.00999918668164196 0.0137255212699166 0.00827631337252077 0.00784679512121269 0.0112466315986169 0.00732230927614403 0.00483791255933889 0.00168633615922385 0.00438633279344757 0.00540939338438696 -0.000349607209113048 0.00208223611584114 0.00684350110736192 0.00163746991070889 0.00138548700470977 0.00254651008808122 0.00625221609460743 0.0116407961263127 0.00462849915871864 0.00817113116705046 0.00521040867487755 0.00874966977442805 0.010925587864909 0.00600250204538275 0.00737088956566464 0.00491550695970104 0.00491468591065036 0.00460103156512155 0.00480745689511158 0.00609347066152135 0.00555960594227851 2.96767390918001e-05 0.000697716083593663 0.00400558196812486 0.00247737595125365 0.00662819328130571 -0.00123739806907522
"PMZI" 0.00522806349976257 0.00661331661264052 0.0064520378432779 0.00827631337252077 0.00638168011719147 0.00525487326716116 0.00679103859903636 0.0049285432989505 0.0039988492579066 0.00135089595608997 0.00329966101594517 0.00354733823953432 0.000190360155457792 0.00154576868718674 0.00355482916156321 0.000662072410126766 0.0010170378069576 0.00166888982624386 0.00338901131834648 0.00848175993951407 0.00280767043371274 0.00467806252908221 0.00392833670552535 0.00498657482490441 0.00542370292898815 0.00258466003553915 0.00486423893009794 0.00226338887083373 0.00415971489660428 0.00345996432099103 0.00299577818490276 0.00296278393920581 0.0028708313951215 -0.000594222642939129 -0.000200992518680521 0.001770747439773 0.00176086098856885 0.00434037260665278 -3.37555860675276e-05
"PMMT" 0.00469648101971517 0.00592729500573417 0.00570946349012283 0.00784679512121269 0.00525487326716116 0.00531185837008181 0.0062136935579617 0.0045478733680096 0.00304830582441469 0.00122547962172602 0.00280566559940966 0.0031536910722031 0.00042428337128469 0.00172517544349064 0.00319250533999686 0.000778987596742792 0.000869295023884268 0.00144198072756753 0.00306115581261094 0.00868719385527698 0.00240176533343554 0.00433943297867488 0.00293027688242158 0.00564098883994828 0.00531980983249926 0.00267549334278597 0.00361801563665637 0.0022314303874629 0.00356642173907323 0.00324514572839708 0.00313555265077129 0.00340913407929138 0.00240156835824664 0.000371070064945917 -0.000636488646976014 0.00288792806367731 0.00168313628408515 0.00408879289138434 -0.000351900575646612
"NSLNA" 0.00731884139712054 0.0080644016919332 0.00864788022604792 0.0112466315986169 0.00679103859903636 0.0062136935579617 0.0173166180221437 0.00772564616216571 0.0050774795913931 0.000557890010039794 0.00292587369626826 0.00481052008662447 -0.000820470635615408 0.000386512332480852 0.00527100879603886 0.000339172597783559 0.000505972111452302 0.0023167957573532 0.00440619787835903 0.00560446198886889 0.00497273169906042 0.00667201540270109 0.00563316938069117 0.00673017282065851 0.00870249491091704 0.00463021141630459 0.00631203900754638 0.00508969976920507 0.00336645560710779 0.00296467631718984 0.00268548784673807 0.00657894896984445 0.00382382411859814 0.000554572725421225 -0.00428433336020613 0.00326933384520808 0.00157394964469849 0.00225628485813355 -0.00136035924440312
"NSLZS" 0.00657949676867365 0.0050513612514 0.00551386822189979 0.00732230927614403 0.0049285432989505 0.0045478733680096 0.00772564616216571 0.0108350767285464 0.00438296522381168 0.0024709517314519 0.00449170461476443 0.00526699407487447 0.00169575186146492 0.00164051134362819 0.00518974858755186 -0.000516585749916827 0.000691326963852057 0.00108305383801609 0.00105047654886742 -0.00123987425756645 -0.000683581706601053 0.00390102189729581 0.000503427013177756 0.00478932276884943 0.00573653700037607 0.00190570281016848 0.00296830109067392 0.00313353069513564 0.0053086485766622 0.00418549418656535 0.00367847031962939 0.00353542833550815 0.00116835772468955 0.00162323277045753 -0.00132806217913521 0.00210413482718023 0.00191094743400065 0.00135469743460653 0.000361464109880771
"NSLZI" 0.00377729301720565 0.00367310604684039 0.00397307849044199 0.00483791255933889 0.0039988492579066 0.00304830582441469 0.0050774795913931 0.00438296522381168 0.00340219223967205 0.00138605629526259 0.00240183328263484 0.0027791874313854 0.000465828417932582 0.000718203655272403 0.00219280825063489 -0.000235814512677456 0.000431814744360388 0.000936602450515292 0.0015308591287108 0.000822227865153045 0.00151580909916131 0.00284708356164621 0.00312012049593097 0.00276262265783936 0.00272957504617001 0.00133475964957341 0.0026899379362427 0.00129269064909477 0.00267708200176854 0.0020705202693094 0.00162841699452358 0.00228174284456866 0.00163825213306078 -0.000155021608921666 -0.00119420831367079 0.000805204554148749 0.00120883117364421 0.00147462193979167 0.00035314904937627
"NABR" 0.00175102458990206 0.000902877907772285 0.00118945112211791 0.00168633615922385 0.00135089595608997 0.00122547962172602 0.000557890010039794 0.0024709517314519 0.00138605629526259 0.00204566168289235 0.00167641438906656 0.0016461959083446 0.00135768804876774 0.00101186159677247 0.000429902898630625 -1.09948981194845e-05 0.000549604183647846 0.000882194083972125 0.000245210472247711 -0.00227691984428889 0.000251235729566697 0.00126444871209598 0.000922280091423898 0.00151790910416518 0.000749632445613931 0.00025929963823125 0.00045136773752949 -0.000138594024574931 0.00176968289238732 0.00120849133496995 0.00130368109674972 0.00100199689317215 0.000263224454943957 0.000543777005444095 -0.000524235782599986 0.000786816012269484 0.00115519291952076 0.000861994350191856 0.000638345281763768
