"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0044971926081155 0.00260351752476954 0.00210705159991495 0.00225812423750195 0.00150293009658186 0.00121215082407251 0.000847347354614147 0.00194421974259663 0.00194305791103232 0.000434501717586575 0.000932230123698611 0.000652338576522365 -0.000272302068667806 0.000187371746525188 0.00156637799191859 0.000983024027778192 0.0010223894285605 0.00115600669149063 0.00260980350905123 0.000675763748289556 0.000401735900656947 0.00209149616002561 0.0018921181889779 0.00173950436465885 0.00105832024444378 0.000884467719353162 0.00231849009997043 0.00159222778241775 0.0017450625398785 0.00055830095399328 0.000545367278406377 0.00179418066825659 0.00205431867166692 0.000175440743124953 0.000491855077987604 -0.000226993278671365 0.000767250130242257 -0.00114296208934051 0.000281183462461407
"ISNSL" 0.00260351752476954 0.00683159247230028 0.0013418155404176 0.00361045422460073 0.0019469722679907 0.00150930150433056 -0.00123184596339665 0.000151758689099792 0.00123362737700536 0.000818337603346189 0.000738399507871437 0.000639741257796728 0.000762184409551713 0.000355498301026479 0.0029177339949503 -4.59396853336863e-05 0.000639083295671247 0.000641613915408981 0.00173940090307882 -0.000438485402075528 0.000927591602699386 0.00164445094797871 0.00199406441425217 0.00112242059763167 0.00119726817211222 0.00236094771612826 0.00117666937577935 0.00323449137059236 0.00163484913852115 0.0016170345714518 0.000121659737097349 0.00292427483683318 0.003866014061773 9.14051025234567e-05 -0.000255919158065404 -0.000728609305067933 0.000553184514501982 0.00127284740278043 0.000239302056036322
"ISPNS" 0.00210705159991495 0.0013418155404176 0.00206066920285749 0.00157843565543585 0.00132841898196599 0.00100296129534051 0.000102185356606172 0.000787054731322347 0.00123737915156838 0.00047619921454641 0.000344023682877116 0.000696390678497281 -5.87018419585885e-05 -2.6444560764796e-05 0.00108443021858092 0.000336568772898932 0.000573451262639536 0.000949953836766032 0.0013018843751763 0.000187557944576048 4.96194953453487e-06 0.00119271094618715 0.00172196854884702 0.000525606100990249 0.00121181758163188 0.000726126888381168 0.00164023616535722 -7.49491619949935e-05 0.000914883657566717 0.000188607644168475 0.000166460698574567 0.000951030993160727 0.00102686973762928 0.00031369425566943 -0.000560177853377169 0.000345984348618857 0.000513966994884424 -0.000511354411234858 0.000149861007585049
"PMZS" 0.00225812423750195 0.00361045422460073 0.00157843565543585 0.00433032348241173 0.00230299149699696 0.00152219154778139 0.00187795175866731 0.00219576755671121 0.00162993365081002 0.000925759912065564 0.0012399748972741 0.000454823847974318 0.00108555929291919 0.000537034042602792 0.00252581199327798 -0.000445907496034206 0.000618215174664372 0.00102973267959843 0.00141664393315312 0.00233987447607658 -7.10874044757944e-05 0.00213020555470305 0.00116994094372725 0.00207560188863502 0.000755498512873951 0.000885179136718124 0.00233873013362694 0.00151815874376414 0.00188203727373942 0.00150262859581121 0.000551729298805693 0.00222023053512071 0.00190287551662903 0.000110789229988368 0.000537974599667131 -0.000591670419749317 0.00097988022492312 0.000234217763598786 -0.000309885167437816
"PMZI" 0.00150293009658186 0.0019469722679907 0.00132841898196599 0.00230299149699696 0.00244334360038487 0.00108946456323929 0.00125364827619174 0.00117226785575006 0.00193873517649121 0.000945601776301496 0.000925810787224914 0.000923237096261866 0.000685344252811393 0.000516236237190798 0.00194309807094829 0.000659970378039231 0.000952913285718012 0.000902994574594521 0.000976304641025657 0.00205175190061097 0.000347263220838911 0.00171254546664769 0.00245161673557672 0.00037992822814375 -8.4747439990858e-05 0.000314085552640169 0.00206222194138357 0.00116634278356551 0.00156865099110541 0.000136055212148902 0.00057853848760847 0.00147005652656466 0.000622400162210087 2.73526717581126e-05 -0.00167650107311865 0.000723191952778165 0.000696497567612861 0.000389969190683193 0.000236015129913491
"PMMT" 0.00121215082407251 0.00150930150433056 0.00100296129534051 0.00152219154778139 0.00108946456323929 0.00134796208698238 0.000869449714942643 0.000593985418612517 0.000832245545535365 0.000456623074942813 0.000491860442667804 0.000496170304041863 0.000465465721865446 0.000285859614913027 0.00130788294485217 -0.000224201639596095 0.000223806201852075 0.000634761477580255 0.000544435570057939 0.00168705065996601 8.94528171100002e-05 0.000832811180153711 0.000818098321848061 0.00106413445513703 0.000702081197259931 0.0010549211963423 0.000820657724738583 0.000890601720237975 0.000672005758700561 0.000722981944046302 2.10882484754155e-05 0.00119953214569959 0.00100672776346057 0.000222050080973587 0.000211950621067941 -0.000322537504883462 0.000310311357828869 5.74459668398429e-05 0.000441046131099808
"NSLNA" 0.000847347354614147 -0.00123184596339665 0.000102185356606172 0.00187795175866731 0.00125364827619174 0.000869449714942643 0.0232354685773362 -0.000906496009262011 6.22231259085487e-05 -0.00144565240384787 0.000698596390214621 0.00272537763981133 -0.000159327565960474 0.000690008093151668 0.00336884793261716 0.000432214357597437 0.000312897921223764 -0.000252403789427927 0.00027724122432028 0.00306984670497441 0.00159794879021591 0.00118331641581347 -0.00111879572469122 0.00214052155080383 0.000320709152771908 0.00192660121088098 0.00166601118365416 0.000352950426962998 0.00166876231692861 0.00299653745887839 -0.000210784970999704 0.00165494281709954 0.00173882954903352 -0.000339797159656435 -0.000833614441593876 -0.000687468940326282 -0.00168441511277174 -0.00144648111645975 0.0006673603432196
"NSLZS" 0.00194421974259663 0.000151758689099792 0.000787054731322347 0.00219576755671121 0.00117226785575006 0.000593985418612517 -0.000906496009262011 0.00813553166015243 0.0028352886356963 0.000727138130022177 0.001846303893973 4.44485502483563e-06 0.000895324920171746 0.00067294360252571 0.000415066829129067 -0.000323749462963774 0.000468796962954863 0.00127574416355288 0.00170731875094535 0.00464757854553398 -0.00197463634065098 0.00185568479520064 -0.0019867610628545 0.00226688682096817 -0.000436106762956381 -0.00159384545564602 0.0026829620267825 -0.000366288997944342 0.00150849668886897 0.00134822615960058 0.00094514001844969 0.00202283811833864 -0.000671595155428876 0.000634314292979565 0.000731633864809065 0.000744010580936682 0.0015487555868579 -0.000155596451546921 0.000369055351597675
"NSLZI" 0.00194305791103232 0.00123362737700536 0.00123737915156838 0.00162993365081002 0.00193873517649121 0.000832245545535365 6.22231259085487e-05 0.0028352886356963 0.00267825307933408 0.000855945347047191 0.00132335583338152 0.00094811480891595 0.000523385372183655 0.000294898960582224 0.000957766720691207 0.000543670025020786 0.00102284541151714 0.00144720292156754 0.00131791300667425 0.0026401810940389 0.00018246905800653 0.00173679059560494 0.00236758766450509 0.00037698223055358 -0.000156456968183784 -0.000209349990130306 0.00226429416731866 0.00096941647952106 0.0016867048444575 -0.000196313452108526 0.000577287330181696 0.00182648628601618 0.000255072641425196 -6.81359458681e-05 -0.00100358137890625 0.000850980584781546 0.00143951157097732 0.000476300622421374 0.000463073018573044
"NABR" 0.000434501717586575 0.000818337603346189 0.00047619921454641 0.000925759912065564 0.000945601776301496 0.000456623074942813 -0.00144565240384787 0.000727138130022177 0.000855945347047191 0.00227552072374493 1.92596668415246e-05 0.000543327837206292 0.00168667752659806 0.000841340884758852 0.00154914748552285 0.00019361991094373 0.000490131228128745 0.000372179503379998 0.000559607541137838 0.000643325001731793 0.000171912328432596 0.00131331695747688 0.00132783571323668 -0.000215042543281605 0.000553179205415311 1.20116867422046e-05 0.00104040027678578 0.000864902300172786 0.000777277578493959 9.39404478125801e-05 0.000578736739454663 0.000330252625827062 -0.00017200112128333 -4.93450518303525e-05 -0.00292174027885029 -0.00019356450081562 0.00104506143818865 0.000294516522127019 0.000799936640741476
