"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00605650365919831 0.00578331653830238 0.00451489053336044 0.00407264827278382 0.00282709951073088 0.00194882867077554 0.0029065235240113 0.00238788610873759 0.00184093343281555 0.00122758155643386 0.0012392468004448 0.00219770103132318 1.67510849354141e-05 0.000635244704604668 0.00366650163172886 0.000635340786576853 0.000861236476510591 0.00130756376863676 0.00177036546598033 0.00826787731198619 0.00233408716974827 0.00287902562741472 0.0020532408686557 0.00219405108032066 0.00157373337770191 0.00172987870803325 0.00381473229046984 0.00225211190132352 0.00226211240211371 0.000948930770931851 0.00130164312186567 0.00394219233860101 0.00133437720400632 0.000263040744791106 4.55746085495028e-05 2.12884571105858e-05 0.000419438991025034 0.00125857275319904 0.000905871363749716
"ISNSL" 0.00578331653830238 0.0101040033477279 0.00612179348034632 0.00692056728900482 0.00461813948813199 0.00255183248391813 0.00341420526803426 0.00185998186638728 0.0025329847758865 0.00172899478877438 0.00170983065260606 0.00319916080007664 -8.11013174053656e-05 0.000609705745824565 0.00578619513764198 0.000578230885954408 0.000914439365568172 0.00124071785227309 0.00301863216401122 0.0129052226357787 0.00337578394200034 0.00420895302822708 0.00337323542089304 0.00305936137712594 0.00313629863980197 0.00463659938320164 0.00696399354184766 0.00361010538928327 0.00263325737531808 0.00193307074476282 0.00189387789500215 0.00601552688883423 0.0020027479617156 -0.00048256787966307 0.000737496903882644 -0.00106085695075671 0.000590326708894466 0.0018843175736782 0.00145120705778091
"ISPNS" 0.00451489053336044 0.00612179348034632 0.00553688052118382 0.00563187446039877 0.00396460895633957 0.00250267520069908 0.00344848000094831 0.00321649881672103 0.00224531993603202 0.00171273464815442 0.00145265492497418 0.00297633553847037 2.06739977141015e-05 0.000881029407095427 0.00460764510574674 0.000717859029416407 0.00103917926928594 0.00166195928563681 0.00271718870430921 0.0105476476873349 0.0020338117665498 0.00344992530164987 0.0021193586571804 0.00270956404928947 0.00299955564945645 0.00287924370852309 0.00542363127931547 0.000608171979736078 0.00274665183543557 0.00168068883019011 0.0018138016110612 0.00346852220977138 0.0021584552973087 0.000169369340559651 0.000524582199339288 0.000156214432770259 0.000419594378381611 0.00134621327733897 0.000504072260373902
"PMZS" 0.00407264827278382 0.00692056728900482 0.00563187446039877 0.00800790029398045 0.00501970359678056 0.00291116873887576 0.00466860065028154 0.00457529997653475 0.00272371106617165 0.00241148778844946 0.00198217532821874 0.00295768006607559 2.83391885082535e-05 0.00089661800263969 0.00534953676342712 0.000482918504486186 0.00121621761852854 0.00252063016449191 0.00375908790626774 0.00986053677778935 0.00176857665100968 0.00429734728516257 0.00242487854657117 0.00375051833196695 0.00444280186560311 0.00475964771994164 0.00627843949614959 0.0029624052323311 0.0035026215996447 0.00266686021803367 0.00205337937845319 0.00381173800823472 0.00243721714222989 -0.000318182528163237 0.00140602090275168 -0.000361279549356797 0.00103747471894593 0.000725237929265094 0.000737795116039119
"PMZI" 0.00282709951073088 0.00461813948813199 0.00396460895633957 0.00501970359678056 0.00422852029150453 0.00208739716737065 0.00350038367424296 0.00311910308367402 0.00241862105743544 0.00142246889518108 0.00124626431557658 0.0021175738748083 -6.82536892250414e-05 0.000772822275707956 0.00374058582245622 0.000595232657735456 0.000793720294582878 0.0013728805652158 0.00265182903301479 0.00757390636100964 0.00132453401118486 0.00277524095819979 0.00226521668323411 0.00223443156517588 0.00201441778612903 0.00194852733626826 0.0039559376167207 0.00147837921198933 0.00237234580586149 0.00150554974757281 0.00126254348651999 0.00247932675165259 0.00220563191346506 -0.000279840816583771 0.000276192068949738 4.66858348445542e-05 0.000442266616171667 0.000883205552344459 -7.99032291759851e-05
"PMMT" 0.00194882867077554 0.00255183248391813 0.00250267520069908 0.00291116873887576 0.00208739716737065 0.00184943711782914 0.00192455995053105 0.00226176846583779 0.00128453258586572 0.000604329573850769 0.000877076762875597 0.00133625073603321 -4.39145935546194e-05 0.000405296004658851 0.00262185884573501 0.000278059192101087 0.000622517482130749 0.000785442012771963 0.00141107510811155 0.00705563008233476 0.000683931477374084 0.00147075802615851 0.000668192198886143 0.00190741186935525 0.00188619270841664 0.000859074988969264 0.00178067851492643 0.00137588437423757 0.00166429299321395 0.000516023035744206 0.00088999895764848 0.00159387284150022 0.00103995247004127 3.37898187362441e-05 0.000809928224633299 -3.11273920070009e-05 0.000197386576063957 0.000263503808631993 0.000350921635216705
"NSLNA" 0.0029065235240113 0.00341420526803426 0.00344848000094831 0.00466860065028154 0.00350038367424296 0.00192455995053105 0.0126352326382616 0.00392979503203342 0.00214587241612924 -0.000767073733476009 0.00116310460377503 0.00332338222144752 -0.000572715228502107 3.56720661258521e-05 0.00397934360448424 -0.000383274369926821 0.000762397787563314 0.00123809268372152 0.000806322169409889 0.00796480584596141 0.00186944626005777 0.0026723947011395 0.00193303430456432 0.00377844824806887 0.00288274686322909 0.00182192672151982 0.00205763694757379 0.00190837514403158 0.00337651446033492 0.00158264900712481 0.0013017994354538 0.00133227317317887 0.00176592037003974 0.000201685902184908 0.000760668878816524 -0.000841859082159428 -8.55038051545309e-05 -0.00274519382858015 0.000309359699968767
"NSLZS" 0.00238788610873759 0.00185998186638728 0.00321649881672103 0.00457529997653475 0.00311910308367402 0.00226176846583779 0.00392979503203342 0.00869382644345495 0.0029154810457323 0.00170218054414024 0.00186573478457786 0.00205248002573085 -6.17790703529253e-05 0.000404858042380095 0.00122143391658196 1.85012490595759e-05 0.00114714738494206 0.00304672644567311 0.00305549154542771 0.00338498654223739 -0.00176698309936453 0.0022998668437776 -0.00139308153542378 0.00299378736213916 0.00313760904592397 0.00125490350812731 0.00196683136261663 0.000377873051422744 0.00298928839056363 0.00108642554187795 0.00109068941142596 0.000403604144033929 0.00127898497659066 0.000840710089903192 -0.000694608688243096 0.00140025089456682 0.00109027380718007 -0.000524141138633798 -0.000884649521953067
"NSLZI" 0.00184093343281555 0.0025329847758865 0.00224531993603202 0.00272371106617165 0.00241862105743544 0.00128453258586572 0.00214587241612924 0.0029154810457323 0.00223572425146988 0.00112064034146316 0.00102845476671471 0.001616606776976 9.78184498887764e-05 0.000407634991896331 0.00176415507703704 0.000352825348349028 0.000753517023586728 0.00134921935337396 0.00200317923535358 0.00469985591790298 0.000846471759718068 0.00193242059791123 0.00172011621009843 0.00168582107083044 0.00146478460401732 0.000667960997563601 0.00201155098941098 0.000648600137345986 0.00178952960968647 0.000759958567122354 0.000970786942506729 0.00128319784382079 0.00195487878044593 0.000281551670195048 -0.000177545501680773 0.000545745985912264 0.000778979653188059 0.000146788120870294 -0.000360892991444842
"NABR" 0.00122758155643386 0.00172899478877438 0.00171273464815442 0.00241148778844946 0.00142246889518108 0.000604329573850769 -0.000767073733476009 0.00170218054414024 0.00112064034146316 0.00427226451286263 0.00103184803072231 0.000712212615822722 0.00156755174588655 0.00117625143793684 0.00240036621081457 0.00116238616821942 0.000844940486581637 0.00178162759374934 0.00184664218800853 -0.000360546681433433 0.00155618328306116 0.00187126444491389 0.00127337371844595 0.000873044007825618 0.0015076710247896 0.00244336493014608 0.0025134922155814 0.00043443008752423 0.00109925930235514 0.0018676129320147 0.00101473141171133 0.00240023673341624 0.00185214538361376 0.000734846464490056 -0.000515938494374796 0.000746479188860794 0.00106306062211802 0.000198475911977755 0.0014002583622169
