"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00600639221396503 0.00605427969411334 0.00435146725857366 0.00445173626421704 0.00331499073411913 0.00191731022622701 0.00235873428488004 0.00355054881167338 0.00314276282774935 0.00215920880537436 0.00181673435510202 0.00250968294998916 0.00175531325820371 0.00191848419528655 0.00219623330438216 0.00115095404224082 0.00195774650761984 0.00288243603449428 0.00261477137700238 0.00436543964457623 0.000942619620083872 0.00309987020531683 0.00175053243615653 0.00185632853745058 0.00307301679693942 0.00217197464199358 0.00460019480606162 0.00271428114927908 0.00279020436789638 0.00153158949544343 0.00204333191755806 0.00145285527526705 0.00197185278684891 0.000977400506519688 0.000909588455463274 0.00122687345291419 0.00238542137191723 0.00116405360417994 0.000102303281378293
"ISNSL" 0.00605427969411334 0.011308786051566 0.0060921259224485 0.00749874670482184 0.00488405058422407 0.00279951182661901 0.0018228378925564 0.00439989814541532 0.00384530779696814 0.00228832458607718 0.00205659096647592 0.00327218479204041 0.00155819472054967 0.00190906547165697 0.00409951325860988 0.00157202164697041 0.00251134774903599 0.00272393318202591 0.00319533071242185 0.00573182967644605 0.00111592838287212 0.00458713507673387 0.00178550870288234 0.00289502552214291 0.00538212578363487 0.00313217133001143 0.00612305455201518 0.00384928732585945 0.00414377022371661 0.00152085193703679 0.00312287809556813 0.00188395080358218 0.00225520410298257 0.000454066683102796 -0.000577886060935039 0.00102928119381356 0.00243710680885791 0.00151998862804571 -0.000359130821442109
"ISPNS" 0.00435146725857366 0.0060921259224485 0.0057069436212547 0.00471829765914643 0.00397246692721426 0.00248008428597113 0.00181987694792166 0.00276343999314211 0.00285562104415137 0.00195341260800002 0.0015862804202258 0.00296899669780983 0.00143475871577279 0.00155468180885206 0.00239779611919383 0.0012772410216409 0.00208204195204415 0.00278012560259997 0.0024190993556307 0.00579933361542105 0.00155181181468218 0.00319066070671333 0.00215178836012217 0.00186595611266849 0.00410426051516097 0.00266617649592698 0.0045188490612365 0.00128819947729009 0.00280524113414222 0.00133750857812103 0.00240801878863856 0.0016634319234036 0.00148999048972544 0.000475417970519528 0.000294061946173842 0.000706348708227671 0.00243508929164246 0.00125241603901281 9.76708056854138e-05
"PMZS" 0.00445173626421704 0.00749874670482184 0.00471829765914643 0.00806813970096791 0.0048331614571125 0.00242980349003354 0.00335136785973852 0.00453319293665902 0.00342964718545417 0.00237667233862651 0.00171173873095007 0.00218649370427631 0.00107326418446443 0.00176676534487604 0.00463570604357456 0.00130699680090536 0.00196842060573715 0.00205381536617523 0.00346203940275572 0.00353995639282688 1.01147486736886e-05 0.00386809302492715 0.00227360298384106 0.00175958426809522 0.00481626542883887 0.00322655835515559 0.00576828992560188 0.00400441333645855 0.00388617155629032 0.00153417564640605 0.00252644655611918 0.00211291527669213 0.00357413471440764 0.000582351992758577 -0.000585404606281554 0.00107829340985913 0.00152992266600135 0.00152812277142539 -0.000536030515361299
"PMZI" 0.00331499073411913 0.00488405058422407 0.00397246692721426 0.0048331614571125 0.00505631413671698 0.00239105765596324 0.00103349694456598 0.00339464387034697 0.00349967352130024 0.00218382671568279 0.00152548450942903 0.00183957661288716 0.00121916437325471 0.00163577841999766 0.00286064966882562 0.00162197407740747 0.00206673783213674 0.00220661489054294 0.00286834309652501 0.00444598171398784 0.000982483543385491 0.00283859399011856 0.00247646254488996 0.00148339659770234 0.00285646375378996 0.00213030766720444 0.00417085737157011 0.00337330472034406 0.00295304558634764 0.00210191746914953 0.00219279536290931 0.000854984700942345 0.00254991893485726 0.000676921345310649 -0.000340213980472614 0.000898722078614253 0.00187113389083785 0.00122685998757216 -4.04206069912597e-05
"PMMT" 0.00191731022622701 0.00279951182661901 0.00248008428597113 0.00242980349003354 0.00239105765596324 0.00187392246186412 0.000962857418435085 0.00144063947416704 0.00161442147537228 0.00118353159736975 0.00083617040382822 0.00126869988037645 0.00101362293008858 0.000860520109518722 0.00153214259769329 0.000545450604529016 0.00102172363037463 0.0012567521925875 0.00117049716276248 0.00348427722578036 0.000925126063189136 0.00163761357438673 0.00126382292899041 0.00145000935804479 0.00208601613080327 0.00140667997735244 0.00214531209471286 0.00139544030713955 0.00174240015039041 0.00199561029593581 0.00126167225675806 0.00106055218581757 0.000926198939196865 0.000552735823136795 9.71112807333964e-05 0.000628014921360019 0.00117402938852426 0.00022327540010492 0.000480357949124148
"NSLNA" 0.00235873428488004 0.0018228378925564 0.00181987694792166 0.00335136785973852 0.00103349694456598 0.000962857418435085 0.0119652196188113 0.001386127619788 0.000959696346287489 0.000104572594379625 0.000334092495977497 0.00118118238096992 0.000983512235208402 0.000337752978928486 1.98875329267904e-06 -0.000961761205360275 -0.000264339100518948 -7.60491099131197e-05 -0.000440805680564976 -0.0092766164931596 0.0016650317363098 0.000417282754720238 -3.6391771645105e-05 0.000655122419922298 0.000893237895070377 0.00120077505392875 0.0020191453288638 0.000826830521685881 0.00103381809331626 0.000928988291556234 -0.000322825084310996 0.000768306680467744 0.000612862158508819 0.000237701114028639 0.000146204717951993 6.80015628121982e-05 0.000193913240502231 -0.000333185506568859 0.000404794761190693
"NSLZS" 0.00355054881167338 0.00439989814541532 0.00276343999314211 0.00453319293665902 0.00339464387034697 0.00144063947416704 0.001386127619788 0.0068645955116751 0.0031533414533853 0.00196358013682544 0.00210739626251662 0.00222715203843001 0.00125920883739556 0.00176249181311966 0.00208734084301743 0.00108360764289443 0.00183353898091776 0.00188123487435142 0.00277774412414135 0.00336475789345214 -0.000904829993667078 0.00289871071201914 -0.000817923506308831 0.00194491901802133 0.00264892782654604 0.00142972073765695 0.00371140573749947 0.00354588842641823 0.00276616171304658 0.000749301044705065 0.00212529910964494 0.000447295317077312 0.00257515476427688 0.000455123937010636 0.000289977447140184 0.000744712283434325 0.00179785596815074 -1.36917024493053e-06 -0.000490378145598403
"NSLZI" 0.00314276282774935 0.00384530779696814 0.00285562104415137 0.00342964718545417 0.00349967352130024 0.00161442147537228 0.000959696346287489 0.0031533414533853 0.00340975543310909 0.00181373585599412 0.00152639762726136 0.00191867338954391 0.00113605453385198 0.00156023323815866 0.00209707532854654 0.00146850790566309 0.00186794819990162 0.00209430498279487 0.00255903793392823 0.00568855721800035 0.00106167225752155 0.00260433804447707 0.00269227251470722 0.00144839183345201 0.0020618917803379 0.0015937115329179 0.00332697170942622 0.00315977623703545 0.00238715153715838 0.00144529336120186 0.00177053891631953 0.000664960318144618 0.00204183499891614 0.000759883270282561 -0.000191215039029202 0.000969799212989966 0.00166882621575125 0.000957749388166378 -0.000188585524115953
"NABR" 0.00215920880537436 0.00228832458607718 0.00195341260800002 0.00237667233862651 0.00218382671568279 0.00118353159736975 0.000104572594379625 0.00196358013682544 0.00181373585599412 0.00251681593768736 0.000936935473120775 0.00119963368220137 0.00156804582334779 0.00157580080998231 0.0019248559471131 0.0012518451677693 0.0014220098244906 0.00162632188067351 0.0015821300415555 0.00360336201502607 0.000833642036575107 0.00191640327482337 0.00126122611169201 0.00115191309151623 0.00123586224890924 0.00166361874790731 0.00222982702085825 0.00183962857821717 0.0016207758673579 0.00187234330307446 0.00143333105074374 0.00072957636999142 0.00142213861991505 0.000891365783395228 5.78598493546259e-05 0.000905817944429694 0.00154181339784 0.000369485960229977 -8.83977361747082e-05
