"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00483702992431572 0.00341958591945559 0.00276785903781875 0.00252688473571066 0.0017923373617181 0.000915982499036846 0.00173043278638036 0.00226509470185912 0.00125516525707767 0.00146170196419137 0.000802151001744404 0.00128130242918424 0.000822630745008409 0.000800784510672169 0.00248637405073354 0.000318650436530225 0.000426826071611495 9.94991370375407e-05 0.000663751122677368 -0.00130306405633402 0.000463371465546507 0.00230642794222072 0.000392709182573415 0.00136015146571131 0.00122577963984322 0.00118952355549864 0.00373774035301403 0.00125321396656371 0.00110911222352416 0.00133164203831296 0.00121338357026023 0.00158769228910282 -3.68398073751063e-05 -0.000221299384954656 0.000991084929852611 -0.00047675301923925 0.00043595826679003 -0.000589057774704479 0.000404315147381627
"ISNSL" 0.00341958591945559 0.00793444353714815 0.0040843821240167 0.00560408903984643 0.00427955526050278 0.00297135728095107 0.00162453306831298 0.00151596144546977 0.0024571779124659 0.00155394574670103 0.00178539203760101 0.0018993134453269 0.000907149085442934 0.00144235306694217 0.00378741903895011 0.000281334849004007 0.000826962661022892 0.00167303659119096 0.00174670778955706 -0.00293668495049465 0.00229010992884809 0.00286331099372531 0.00286932120732423 0.00163635439505931 0.00241180643492433 0.00294761642637446 0.00429399435522368 0.00421237768809731 0.00260543065848193 0.00334911089009772 0.00174941167475033 0.00518256065987721 0.00244262920863363 0.000110999286282791 0.00345677513314126 0.000382264629195335 0.00173635171181301 -0.00113444384854246 0.00183879578629051
"ISPNS" 0.00276785903781875 0.0040843821240167 0.00507459967959949 0.00473879528227524 0.00352673105858798 0.00207906601910187 0.00419046920653867 0.00160718741343609 0.00191626997299917 0.00104762698949693 0.000956235457271116 0.00256953764896239 0.000701179365569613 0.00109879394716359 0.00240720167623784 0.000458444129480455 0.00110559424079231 0.0019807154456256 0.00183012823682775 0.0018913079743558 0.00262431538952016 0.00339835510263118 0.00267634806295257 0.00164567021298194 0.00323493286228122 0.00216185599688652 0.00549480997910835 -0.000538602900432579 0.00229633784504298 0.00162722010896451 0.00133439691400966 0.00342860664664999 0.00124887430484945 0.000465261047393738 0.0021349162175533 0.000860510982312811 0.00158027203795126 -0.000878356050382356 -0.00028114178609495
"PMZS" 0.00252688473571066 0.00560408903984643 0.00473879528227524 0.0077615578107244 0.00545778478377715 0.00356041275168946 0.00654057031899392 0.00285396531096676 0.0029402470181312 0.00156108230524499 0.00181185074107034 0.00255949510847921 0.000559589443014309 0.00139094224790529 0.00449507295506125 0.00040583645858663 0.00137989702761453 0.0028311732159616 0.00277868591913184 0.00298337028313901 0.00266062643351355 0.00432803926434396 0.00443959978481326 0.00277450887729323 0.00373308419524625 0.00243837568423907 0.00546999507095896 0.00414716413458863 0.00374992150751117 0.00384291610819107 0.00183973223263731 0.0053794285855836 0.00301436415308586 0.000419324390302216 0.00358392539551912 0.00166732776584125 0.00255149845397797 -0.0013684808661616 0.00142643717731615
"PMZI" 0.0017923373617181 0.00427955526050278 0.00352673105858798 0.00545778478377715 0.00586811517564976 0.00361451323365585 0.00354257682591292 0.001816664619466 0.00341762421932618 0.000979529583862304 0.00200043183479218 0.00184327672954097 0.000220157804904207 0.00159407366537222 0.00334970224231704 0.00083028832546959 0.00134741515698507 0.00230241920318694 0.00233411326092032 -0.00145015710918955 0.00257842611612461 0.00295319297146627 0.004575314598422 0.00254161946824793 0.000997728586871193 0.000728018039774345 0.00420065812469142 0.00382373785268914 0.00314947214475272 0.00320629303012168 0.00166995701954025 0.00407448789949333 0.00317377495978385 0.00070709638549892 0.00324158443348094 0.0021416667696361 0.00185228611790549 -0.000605201447591702 0.00068126368529032
"PMMT" 0.000915982499036846 0.00297135728095107 0.00207906601910187 0.00356041275168946 0.00361451323365585 0.00341271560104377 0.00179140569327323 0.00109565523188592 0.00204020004135853 0.000540229552245445 0.0014224463943073 0.000943287573936555 7.72750701785675e-05 0.00118814829195772 0.00227284368737499 0.000928581314787526 0.00112412516158251 0.001841120056738 0.00181173373242416 0.00215391245003281 0.00122454894282309 0.00137848245059769 0.00286084072132691 0.00249786856054988 0.000481417487966319 0.000556073378671327 0.00146831206796687 0.00334329648485153 0.00227921697932955 0.00269643398489829 0.00131374317217052 0.00324197005322412 0.00235904774516246 0.000636636308290813 0.00239599246060666 0.00183772891484529 0.00141133265933606 -0.000282938947826005 0.000875658513987429
"NSLNA" 0.00173043278638036 0.00162453306831298 0.00419046920653867 0.00654057031899392 0.00354257682591292 0.00179140569327323 0.016863562466333 0.00375918912481779 0.00254315713451912 -0.000588006187254587 0.00183982411544117 0.00391108873027037 0.000715236108080472 0.000734586378625282 0.00285522020467719 -0.000189029924845381 0.000997528226156452 0.00209211600545218 0.00229028006130933 0.0108307985483539 0.0046539445185482 0.00469408788642211 0.00428815495209832 0.00130551628447327 0.00324761492779527 0.000599482841274983 0.00512664116358722 0.000613631845425628 0.00292136888428114 0.00181682950820796 0.00140454899379303 0.00362330022871662 0.00162043453699931 0.00155395050123628 0.00293828536170388 0.0013434410999042 0.00204205377248483 -0.00128308060791847 0.00173091071362685
"NSLZS" 0.00226509470185912 0.00151596144546977 0.00160718741343609 0.00285396531096676 0.001816664619466 0.00109565523188592 0.00375918912481779 0.00494607795002172 0.00206783236959297 0.00140893253873329 0.00104839771412721 0.000969659555591012 0.00091756482759119 0.000749231607454046 0.00200114922232937 -0.000391708207045123 0.000117680448012517 0.000399002199647873 0.000795700121711038 -0.000996925413471669 -0.000326042508673903 0.00217075623738927 0.000203637747955244 0.00070202739838648 0.000797794444402892 0.000590667753435617 0.00252050069938299 0.00143308539519411 0.00120637762621186 0.00171878027036931 0.000775926074948394 0.00100781005841158 0.000411755631634591 -9.01081669278509e-05 0.000892121591943936 0.000382466473494282 0.000819214051054532 -0.000736236245688189 0.000778293288158053
"NSLZI" 0.00125516525707767 0.0024571779124659 0.00191626997299917 0.0029402470181312 0.00341762421932618 0.00204020004135853 0.00254315713451912 0.00206783236959297 0.00294804674929385 0.000894554801813525 0.001437270259533 0.00118304270500175 0.000599449728668918 0.00113388166497467 0.00207563320368957 0.000208874536982821 0.000698094387556956 0.00117697182279476 0.00145200282440312 -0.00212970962784316 0.00155357622027292 0.00175032475187601 0.00350707880431582 0.00100543155600314 8.89785006950466e-05 0.000582833709429778 0.0025947587153855 0.00210961290133143 0.00204157938092945 0.00199453023700496 0.0011826754788712 0.00218593671139053 0.00202862421937781 0.000567210088714653 0.0017155659332104 0.00137697459436442 0.00113939495766773 -0.000201385362350227 0.000586633680373701
"NABR" 0.00146170196419137 0.00155394574670103 0.00104762698949693 0.00156108230524499 0.000979529583862304 0.000540229552245445 -0.000588006187254587 0.00140893253873329 0.000894554801813525 0.00231498820584169 0.000276376409458147 0.000325573348837567 0.00100555798918236 0.000474733861919236 0.00144886578406227 5.81204653266416e-05 0.000429571865030588 0.000912968484679188 0.000942801751507169 -0.00455623772551309 0.000282370091209162 0.00146694312115717 0.000779995126658908 0.000292649613211954 0.000794650550374738 0.00176121431022125 0.00181415468392066 0.00148070173540956 0.0008160336951336 0.0011180717177072 0.000676584510277811 0.00143186705193262 0.000848132376038792 -0.000129923078553613 -0.000125105587481146 -6.22144309727117e-05 0.00101831410669107 0.000183803335120933 0.000804910567713107
