"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00684841497401788 0.00537356086854516 0.00446890275249629 0.00485278377615811 0.00326660021372429 0.0022478088888602 0.00543934081224397 0.00396420310923842 0.00315299013278342 0.00156972713825411 0.0022186517963435 0.00252135999972386 0.00098323082131418 0.0014064359715941 0.00256623963632251 0.00191815322329404 0.00269077520861055 0.00335710812364159 0.00399590062694115 -0.00103374259274908 0.00183364130093328 0.00284262845241353 0.00225552229873159 0.00146000981945694 0.00360521425340602 0.00166990070473437 0.00421012433985625 0.00236040028120148 0.00488108489678969 0.00121382481526255 0.00270189339152899 0.00300038499578043 0.0037988016652504 0.00141438466558685 0.000238989259056031 0.00183573156134748 0.00186656373632886 0.000446488556422526 0.000150124487235417
"ISNSL" 0.00537356086854516 0.0101961743634128 0.00501085953199974 0.00807044945329501 0.00498229630940583 0.00269813773630314 0.00691865753210269 0.00356693055878476 0.00363182396607465 0.000741888934769859 0.00266569364018164 0.00274062955153757 0.000713986114709284 0.000968765855578018 0.00317825440631014 0.00172288529967931 0.0029721143186434 0.00323213318007518 0.00430387498528994 -0.0040480850510257 0.00343706717779748 0.00354565375922795 0.0035236969550825 0.00186595141540088 0.00465154544858132 0.00231022286377018 0.0054866165611191 0.00392113692117666 0.00687123235805531 0.00208062886931506 0.00333025996471539 0.00427472815106043 0.00509201376333693 0.000182639899885159 -0.000184564092239035 -0.00026723203567696 0.00180715092784914 0.000698720824120186 -0.000643260559096651
"ISPNS" 0.00446890275249629 0.00501085953199974 0.00544629237318003 0.00551069848614847 0.00435734044649193 0.00289149127137584 0.00745014243817463 0.00438478221243665 0.00317532684698042 0.00131813238085425 0.00290279999006343 0.00356020234276229 0.00126728956430893 0.00150885048346607 0.00420421749101931 0.00200849429341216 0.00268515754497272 0.00239305195776673 0.00277621152020839 -0.00133770026246062 0.00303466609798562 0.00345833131267448 0.00239244354124698 0.000875522791545049 0.00371201063903205 0.00216069912588829 0.00489409131219656 0.00155288433740297 0.005191666892559 0.000850521030496983 0.00245013168905851 0.00293866550924878 0.00296158712160507 0.000960131906080682 -3.79220031886141e-05 0.00171598925017947 0.00149847129702752 -0.000381969965462491 2.00011244258487e-05
"PMZS" 0.00485278377615811 0.00807044945329501 0.00551069848614847 0.00942086059973817 0.00631175421160667 0.0032584658343052 0.00959933224823304 0.00605701506239529 0.0043987672326682 0.00132237373889515 0.00317359868044638 0.003360649555342 0.00136544570229227 0.00166783764413443 0.00401565640509743 0.00264835313644102 0.00347639555716261 0.00342559286851298 0.00459409553431301 -0.00615400618952967 0.00266538756014596 0.0042607936368093 0.00338398160750839 0.000747054348700273 0.004339866005186 0.00265856032764988 0.00687861434882587 0.00396492860787653 0.00682410505764746 0.00200433779020553 0.00374089534503299 0.00377122978159702 0.00584243405122735 0.000403419386410794 -0.000139987654126997 0.000201279303469299 0.00185917907833646 0.000751364271095818 -0.00012693989353299
"PMZI" 0.00326660021372429 0.00498229630940583 0.00435734044649193 0.00631175421160667 0.0060146310574576 0.00281358017528153 0.00712537161105195 0.00527396903424313 0.00468825881463468 0.00179354235441803 0.00264538793216434 0.00277769137841475 0.00163849192207526 0.00166602264678868 0.00355098401691454 0.00240053078448581 0.00291059750393942 0.00287887988730101 0.00353040094425396 -0.00356404068978132 0.00234442092808974 0.00376302103712566 0.00439952980788955 -4.83233222717055e-05 0.00237101893218289 0.00194402808953836 0.00542406224433287 0.00317172318189798 0.00509216590102201 0.00150860883664439 0.00295268427546683 0.00296027771217895 0.00444236547153417 0.000512193424035708 -0.000548946186039427 0.000284276362518848 0.00189906048750793 0.000229380939498283 0.000660226812986487
"PMMT" 0.0022478088888602 0.00269813773630314 0.00289149127137584 0.0032584658343052 0.00281358017528153 0.00222794840846924 0.00367771092605463 0.00251795570480917 0.00196717812433094 0.00116035043248191 0.00150167449980586 0.00175631903474703 0.000929451261314224 0.000956177683942967 0.00242586164629617 0.00128059357245076 0.00159269739731763 0.00167892122275791 0.0017573002399909 -0.00144342076367837 0.00172677380025787 0.00214457717711092 0.00156786348547692 0.0012357581149197 0.00233879644419102 0.00111012243838312 0.00242756903239546 0.00141797797666024 0.00274076211430395 0.00062229803054402 0.00141292071922084 0.00195492701417416 0.00193010110518076 0.000757009814198474 -0.000279950364141468 0.00115995040068611 0.00108170962128753 0.000206262766318503 0.000395635794362459
"NSLNA" 0.00543934081224397 0.00691865753210269 0.00745014243817463 0.00959933224823304 0.00712537161105195 0.00367771092605463 0.0216659625605383 0.00729219243427578 0.00489912275140113 0.00055588719814072 0.0043458860933781 0.00580216875157201 0.00123828668421332 0.00172331966582734 0.00590786464223358 0.00285186041482431 0.00327968388356676 0.00326902985289547 0.00432293837603613 -0.00490095964513371 0.00695327151251611 0.00581416152340106 0.00305639428065013 0.00132446820719644 0.0057679711932579 0.00333689239000311 0.00683589548026219 0.00220752421787345 0.0071639917899202 0.00228746463900399 0.00375087133576042 0.00326986142191072 0.00503179356521259 -0.000159054439944938 0.000442213570541755 -0.00133621181256576 0.00138433385142708 2.10601076127991e-05 0.00173492810099791
"NSLZS" 0.00396420310923842 0.00356693055878476 0.00438478221243665 0.00605701506239529 0.00527396903424313 0.00251795570480917 0.00729219243427578 0.00996912724055947 0.00466698573206503 0.00207251967875516 0.00333388342527588 0.00318235433724502 0.00178158129464106 0.00154745346170496 0.0034037155406886 0.00229274010509848 0.00233678079046028 0.00180475485233646 0.00267074783952914 -0.00177528818557526 -0.00147936890818615 0.00293455861710133 0.000598502971756224 -0.000703919363168876 0.0020179072784287 0.00155689582610607 0.00467711390277948 0.00194395474433314 0.00426584562077645 0.00107885158274261 0.00239828942369893 0.00154758529391273 0.00288863844385635 0.000691475863932334 -0.000714410049043475 0.000946398704129999 0.00126601001901903 0.00147274040977413 -0.000890739217290774
"NSLZI" 0.00315299013278342 0.00363182396607465 0.00317532684698042 0.0043987672326682 0.00468825881463468 0.00196717812433094 0.00489912275140113 0.00466698573206503 0.00456013217206022 0.00178552040418955 0.0021283720874163 0.00205537375300717 0.00132313699079763 0.0011739411715415 0.00266268247123254 0.00211823907270272 0.00230908200048497 0.00252262258193194 0.00350411071144664 -0.00401238657176255 0.00118335585757264 0.00288411466944792 0.00449915221686073 8.20272836805366e-05 0.00136590595549351 0.00142003060719906 0.00418863443374413 0.00256084990122166 0.00349143648458556 0.00105327429948576 0.00237217058887929 0.00247643135073163 0.00436142526029764 0.000387640071070082 -0.000780781707783426 2.22361884380384e-05 0.00162632008467006 0.000326831876360066 0.000420166211751627
"NABR" 0.00156972713825411 0.000741888934769859 0.00131813238085425 0.00132237373889515 0.00179354235441803 0.00116035043248191 0.00055588719814072 0.00207251967875516 0.00178552040418955 0.00269015918350306 0.000864445922211315 0.000832485315702708 0.00134355148944192 0.000880831720183893 0.00175180619323584 0.00145265216419934 0.0014792216216918 0.00165253313460497 0.00179712133041788 0.00231545545584705 0.000807189843322351 0.00158238661408805 0.00110460420887257 0.000877983141392953 0.000584703934835747 0.000965324486648744 0.00161375568189404 0.00260048623544227 0.00129515309219705 0.000239730929707374 0.00103405584337001 0.00238977595663639 0.00171432534271493 0.00106911767626569 -0.00186953343955418 0.000977818429185968 0.000937649855478945 0.000352544812744671 0.00118523336085388
