"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00580123327382532 0.00459664847139109 0.00377770324091491 0.00398725567843233 0.00283999053796069 0.00192574518368092 0.00328373360225412 0.00307532104260767 0.00240409045348084 0.00140676066122418 0.00174647976070241 0.00194287396005782 0.00084723206397111 0.0013810680249182 0.00318072615711555 0.00114684222125134 0.00157066714307278 0.00201128219661674 0.00209818119708307 0.00480446161065798 0.000977521836876557 0.00259657319175229 0.00147313778244398 0.00174474558197371 0.00344527766801775 0.00276923612845706 0.00352540780487794 0.00353280613017757 0.00260199479696677 0.00120440501055259 0.00196406013397383 0.00204886861546238 0.00152537510201798 0.000282691145550614 0.00116169723532845 0.000542759436252944 0.00155637564956162 0.000809959975215626 0.000206817840920459
"ISNSL" 0.00459664847139109 0.00945130932205707 0.00501921222773392 0.00659923100387621 0.0040939847294114 0.00253688906544839 0.00181500417776326 0.00238714618401112 0.00230746148514633 0.00178458758207551 0.00162670928085053 0.00220514223628043 0.000965481095380453 0.00145886883139604 0.0039883118583974 0.00147890393872936 0.00178208602582821 0.00232884883154338 0.00282935544285399 0.00468940630473607 0.00191352562313351 0.0038331669476634 0.00149864833896097 0.00248140546647854 0.00497120513803951 0.00299774192631129 0.00487819926850126 0.00428944687194628 0.00280986801825836 0.00114429076138819 0.00257442121886361 0.00318320186228338 0.00195506088640441 9.03656598008788e-05 1.99227339344707e-05 0.000442698054184228 0.00181080612240496 0.000914375522083513 -5.14457623710167e-05
"ISPNS" 0.00377770324091491 0.00501921222773392 0.00496285729470646 0.00455884486540795 0.00361899104748232 0.00230929097191325 0.00245148867092569 0.00231147152387633 0.0021595150787964 0.00157681910295211 0.00155857115429871 0.00223374343695698 0.000883022175214516 0.0012751405277171 0.00298553147457095 0.00112853228666551 0.00142766797808929 0.0018998733499148 0.00191195633373456 0.00279986244349715 0.00153821429047336 0.00247920729045825 0.00180172167611577 0.00148693866520021 0.00388805508929161 0.00276598244792157 0.0037572028952027 0.00166604261811581 0.00220007313164151 0.000988294093215234 0.00209503933415839 0.00231012815271688 0.00161782777471376 2.00247891717396e-05 0.000309165968172076 0.000306907865757424 0.00151355534105718 0.000871478562538417 2.29454052291153e-05
"PMZS" 0.00398725567843233 0.00659923100387621 0.00455884486540795 0.00859386438922789 0.00489107956252783 0.00277735312526567 0.00488374155836331 0.0044062202364881 0.00271766662840704 0.00183892901740776 0.00172450401068293 0.00174701458121077 0.00033816252526095 0.00115004608892426 0.00446568908042867 0.00100136192698605 0.00134955730058961 0.00207069971789574 0.00357832756605225 0.00422247037567216 -0.000455850931067628 0.00331153217210446 0.00193316532274326 0.0015823941060101 0.00505381380960936 0.00385836828712629 0.00485254766922253 0.00444846924035417 0.00291480850497125 0.00144809948138864 0.00237527517347281 0.00284724683250966 0.00319401801276238 -0.00021226338835951 -0.000390021290938883 0.000490703532022524 0.00124043615114621 0.000903784672938952 -0.000434032768295552
"PMZI" 0.00283999053796069 0.0040939847294114 0.00361899104748232 0.00489107956252783 0.00509453765677394 0.00256521828597004 0.00228283609500836 0.00279554253270522 0.00312068616245779 0.00163272613274757 0.0015902944312914 0.00149668897153227 0.00062902547911671 0.00108409665747874 0.00347517696002897 0.00114901328970003 0.00146089515902324 0.00159221361452782 0.00223252155532437 0.0027421484359261 0.00109463181293269 0.00223185429381028 0.00293330679210794 0.00085859462960477 0.00265298216542174 0.00195873258936755 0.00354310275173503 0.00380986705771528 0.00245562574386377 0.00207236431904448 0.00210347739950688 0.00175964441192736 0.00230469282980195 0.000295596689892873 -4.65874783553684e-07 0.00072360476948753 0.00131513110456806 0.000771712973637323 -1.76914456554129e-05
"PMMT" 0.00192574518368092 0.00253688906544839 0.00230929097191325 0.00277735312526567 0.00256521828597004 0.00228413604553102 0.00124965935915212 0.00145569824232162 0.00158792570812342 0.000964882096633546 0.00102445258476282 0.000916000390201455 0.000653493178534154 0.000679721449309299 0.00193528905592213 0.000575734113102073 0.000804089333119577 0.00111164945606771 0.00120020849141429 0.000156989779394979 0.000887449874224554 0.00136188814713163 0.00156400109286799 0.00134703340271126 0.00214874501620456 0.00156365757601167 0.00179622557444787 0.00240140064782591 0.00125290965120073 0.00132333030956401 0.00116490840347403 0.0016528129623689 0.00124214224505401 0.000478344573842019 0.00049266731339979 0.000728170763042684 0.000982631925037287 0.000207408977723523 0.000466824988108276
"NSLNA" 0.00328373360225412 0.00181500417776326 0.00245148867092569 0.00488374155836331 0.00228283609500836 0.00124965935915212 0.0160347364126346 0.00371082628136079 0.00229771564800221 -0.00112479826509457 0.00124495883503347 0.00246408605308231 -0.00043452507381671 6.6822164512301e-05 0.00369949794389521 -0.000811742630479663 0.000191695283470542 0.000248541171304793 0.00104005120745871 -0.000441608320478404 0.00026391874956447 0.00128366501002509 0.00172279143649896 -0.000403500105768551 0.00200678354470999 0.00516103474724317 0.00275294675096112 0.00174661642670267 0.00340508834555721 0.00168809279428948 0.0011809446689759 0.0022377849457196 0.00093369395904677 -0.000474628440487252 5.4986554508936e-05 0.000247107372942035 8.61096349717373e-05 0.000115354855052248 -0.000999074523168239
"NSLZS" 0.00307532104260767 0.00238714618401112 0.00231147152387633 0.0044062202364881 0.00279554253270522 0.00145569824232162 0.00371082628136079 0.00834488800503602 0.00302554052721879 0.00109165690311787 0.00214597954859673 0.00163822943437616 0.000544052920554099 0.00102218270716924 0.00207561505628429 0.000592574480080363 0.00146967560723857 0.00184267500566632 0.00202391520185711 0.00163615628926535 -0.00370557844056394 0.00153300438146142 -0.00142215208534698 0.000977364170713949 0.00213539863240501 0.00230375849291234 0.00292021282964838 0.00291481180892605 0.00253905821592857 0.00117660688760242 0.00195226956325345 0.00132974226867703 0.00216869441079414 0.000625989605105229 1.8998204638341e-05 0.000963773013085082 0.0013235570934079 0.00100833393421944 0.000482167537791543
"NSLZI" 0.00240409045348084 0.00230746148514633 0.0021595150787964 0.00271766662840704 0.00312068616245779 0.00158792570812342 0.00229771564800221 0.00302554052721879 0.00327106500988263 0.00103215335574908 0.00150053593310779 0.0014944384154596 0.000459628797362313 0.000782507744522252 0.00261055431086639 0.000788204192174457 0.00129215904847515 0.00129432826466481 0.00177541331007833 0.00258465325521433 0.000303546939831963 0.00155337210529111 0.00307034611959656 0.00072894684105781 0.00128528730632475 0.00174859984894806 0.00246151037042597 0.00277432137157686 0.00224227653522022 0.00178332190287675 0.00168455238887673 0.00131367152906658 0.00191134588256547 0.000702314006311209 0.000100510751033783 0.00105156839560837 0.00111858209082813 0.000645883525917375 -0.000161014326318005
"NABR" 0.00140676066122418 0.00178458758207551 0.00157681910295211 0.00183892901740776 0.00163272613274757 0.000964882096633546 -0.00112479826509457 0.00109165690311787 0.00103215335574908 0.00282980072606151 0.000665579249067036 0.000671710939812776 0.00140876907490509 0.00113375733164044 0.00121258984908343 0.0011731546769821 0.00114761174719759 0.00174185898380996 0.00132883387871384 0.0018002822431486 0.00078079215289262 0.00142564293532655 0.0007048512010849 0.000929939455503324 0.00136000592078621 0.000557890322743633 0.00175083524490714 0.00153309124600113 0.000784891817467976 0.00116890039653408 0.000983999456550363 0.000917963752185228 0.00111928774632122 0.000547458166411393 -0.000630483222297075 0.000379532320889103 0.00138993951440938 -0.000142454918838054 0.000280894237169466
