"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00455769894021418 0.00333611415579517 0.00287442369734109 0.00232571273132007 0.00160937537715923 0.000606702577181978 0.00160789985101465 0.00205505127954924 0.0011185454781294 0.00137584349916344 0.000683717700195714 0.0013331961488622 0.000666716075195925 0.000610525829772985 0.00245198642830329 0.00018810663210871 0.000372397541006393 8.5620811084643e-05 0.000527909603029944 -0.00135600803600204 0.000596072158671148 0.00226715486811442 0.000223442705326892 0.00105106220990315 0.00151022334943921 0.00145347282221957 0.00400770316024969 0.000760107387103571 0.00105299264926808 0.00124925558239695 0.0011159800791183 0.00132281783952819 -0.000273090145555923 -0.000294858078325001 0.00111350561500553 -0.000703193050669433 0.000306597525899482 -0.000112225714647925 3.46283563198048e-05
"ISNSL" 0.00333611415579517 0.00803300883890878 0.00424546992233285 0.0056285245141612 0.00427951308356849 0.0028466785722384 0.0016775241685658 0.00143369868944811 0.00247229046707426 0.0015654887010287 0.00181850448650317 0.00199147293130431 0.000884881141491291 0.0014493504247995 0.00415969619248072 0.000292407086287242 0.000804986426461893 0.00153009366149059 0.0017325397038431 -0.00328172732508185 0.00245235010051895 0.00287437785894042 0.00288674762908816 0.00153014625880972 0.00251708394140602 0.00304939522800412 0.00453940599660524 0.003911574106137 0.00267895502018843 0.00332469141986573 0.00174631057204807 0.00523932117173538 0.00252519227983415 3.01958246508188e-05 0.00371005931600433 0.000193883908271598 0.00163133849320654 -0.000982822737510516 0.00181326870726452
"ISPNS" 0.00287442369734109 0.00424546992233285 0.00528837225286986 0.00492827225676382 0.00366778312676828 0.00215474687229255 0.00436374267161668 0.00166940777279925 0.00199176680700373 0.00108891838389316 0.000994574990247072 0.00267754185921809 0.000727272801858384 0.00114257507388396 0.00251371036561104 0.000477568704947853 0.00114914270983449 0.0020558439088812 0.00190405399475029 0.00195916501691805 0.00273601685332523 0.00353605050520647 0.00277948243448297 0.00170439915056532 0.00337152558312359 0.00225214961524413 0.00572935834375678 -0.000582492982755372 0.0023896572411279 0.00168200057215034 0.00138449459516678 0.00356865225312123 0.00129967031451708 0.000476992203776187 0.00222858474690786 0.000883079392433546 0.00163870068648794 -0.000910566359310283 -0.000301138594152604
"PMZS" 0.00232571273132007 0.0056285245141612 0.00492827225676382 0.00785273270745962 0.00549790598170242 0.00344208111188639 0.0067038202498473 0.00278679166055067 0.00293244791190607 0.00153628548575291 0.00180434288352854 0.00266336386620729 0.000469492533595916 0.00133009618581882 0.00468887481370189 0.000361505737316003 0.00137658377476863 0.00285121754120978 0.00279156560975944 0.00298902972233299 0.00283323919500595 0.00439501706291386 0.00445875348149186 0.00263427166130839 0.00398635883334546 0.00261858265476706 0.00577336060762142 0.0038749704304211 0.00383191108729173 0.00381707834373308 0.00179696798095571 0.00541349032433355 0.00302673074973978 0.000337144316735131 0.003808014655688 0.00151908165234945 0.00251174984498631 -0.00115847087386473 0.00125036325709471
"PMZI" 0.00160937537715923 0.00427951308356849 0.00366778312676828 0.00549790598170242 0.00594672224766236 0.00354381724273491 0.00364647389080056 0.00172210901433583 0.00347072657995163 0.00095307983679238 0.00201896340401554 0.00193396444598308 0.000147219631766014 0.00156836986413802 0.00358723475918456 0.000822878415111527 0.0013582840124471 0.00228078785933703 0.00233564703100374 -0.0016062133753449 0.00276872837086502 0.00298849248929782 0.00469698993277291 0.00247098048418043 0.00111356189500167 0.000812226981982107 0.00444729313561624 0.0035792908272836 0.00324737165814543 0.00326191137818581 0.00167658769040163 0.00404868320818187 0.00323383057835681 0.000702993838573268 0.00346557194547215 0.00209949833485615 0.00179932931818678 -0.000351959255018513 0.000565600198185898
"PMMT" 0.000606702577181978 0.0028466785722384 0.00215474687229255 0.00344208111188639 0.00354381724273491 0.0032480595780164 0.00176568109419476 0.000923834891730377 0.00198559629813935 0.000465174144743924 0.0013916213336276 0.000986210280040455 -4.02428690984304e-05 0.0011100207768667 0.00243251511644867 0.000907015708625719 0.00110279612663333 0.0017767688966199 0.00176545167924677 0.00209576627459605 0.0013582765564692 0.00130587399149413 0.00281995141436846 0.00232855974727613 0.000599349333638123 0.000653141453425421 0.00161638006013856 0.00295035855616676 0.00230233752752997 0.00262381366897024 0.00124846081613197 0.00314501685391379 0.00234477947819095 0.000567965324563532 0.00259532449525745 0.00168232880322056 0.00129338576966855 2.80358320049622e-05 0.000674230993958743
"NSLNA" 0.00160789985101465 0.0016775241685658 0.00436374267161668 0.0067038202498473 0.00364647389080056 0.00176568109419476 0.0173120155489446 0.00383524391395245 0.00251621562053678 -0.000705415209208953 0.0018266252425066 0.00402055830495172 0.000613735899266239 0.00062556125856125 0.00249930702210699 -0.000317983167414476 0.00100591857888738 0.00238626637245393 0.00235363969847553 0.0113897417048632 0.00479983285143768 0.00483849156895679 0.00419871349171029 0.00110197494333359 0.0035551805253834 0.000810749594815619 0.00535786256412849 0.000625559519667039 0.00291181663662212 0.00166274209487726 0.00129847892323773 0.00374936800511751 0.00147978446417262 0.00147729554846151 0.00298192557706202 0.00122508280826919 0.00214810765774732 -0.00127185853122763 0.0014470908914642
"NSLZS" 0.00205505127954924 0.00143369868944811 0.00166940777279925 0.00278679166055067 0.00172210901433583 0.000923834891730377 0.00383524391395245 0.00495055190023465 0.00205157396352108 0.00138213817158412 0.00100028426684301 0.00102281121656325 0.000846876964125324 0.000645464878154288 0.00207476304885083 -0.000491611584892926 8.15395978680649e-05 0.000374945709026425 0.000718029505642129 -0.00103274594876241 -0.000242796430012073 0.00218251766621676 0.000152596304927301 0.000531679715134868 0.000972962006534718 0.000741095619138474 0.00270483378545587 0.00112320875863265 0.00121633759897131 0.00176844482422496 0.000745620549624753 0.000811042275718606 0.00029961637275977 -9.32094912615313e-05 0.00100234433727328 0.000310375582189856 0.000754253131074404 -0.000405685991826346 0.000611622215678202
"NSLZI" 0.0011185454781294 0.00247229046707426 0.00199176680700373 0.00293244791190607 0.00347072657995163 0.00198559629813935 0.00251621562053678 0.00205157396352108 0.00297473814035542 0.000864667187604226 0.00143324929062422 0.0012127139200492 0.000534574381736012 0.0010859364517665 0.00200236749463863 0.000151449870197764 0.000691938332294796 0.00125825627363931 0.00146003454194709 -0.00223044353872449 0.00162686244581988 0.00176041529749638 0.00349832868319822 0.000858255432888657 0.000189963686734067 0.000702705857898786 0.00273837808612613 0.00201686578117584 0.00205283231550923 0.00192879796693611 0.00112949844804566 0.00219077704110416 0.00199686065106998 0.000505121500565335 0.00178970290654472 0.00129112451460314 0.00113637306243741 -7.83766249156688e-05 0.00039629585439045
"NABR" 0.00137584349916344 0.0015654887010287 0.00108891838389316 0.00153628548575291 0.00095307983679238 0.000465174144743924 -0.000705415209208953 0.00138213817158412 0.000864667187604226 0.00236188200453142 0.000236028312594162 0.000329081348867279 0.000980030814540952 0.000417030912861126 0.00139091715114365 4.70560419124079e-06 0.000425285620052685 0.000986096230317949 0.00093840825383345 -0.00472683808252749 0.000312207958221658 0.00148829583364332 0.000723357455763324 0.000174447487651647 0.000914191167025945 0.00192008505664922 0.00191957254298805 0.00141594724924939 0.000803351700215414 0.00109524023372281 0.000642058540769035 0.00140937604535668 0.000791248729348794 -0.000173709935931987 -0.000126326897031919 -0.000141326336577713 0.00103181176652016 0.00032204459926869 0.000685341167191518
"NAFM" 0.000683717700195714 0.00181850448650317 0.000994574990247072 0.00180434288352854 0.00201896340401554 0.0013916213336276 0.0018266252425066 0.00100028426684301 0.00143324929062422 0.000236028312594162 0.00179538443249496 0.000787998743844848 0.000352775370385796 0.00091671618174357 0.00153719810058134 0.000594577554905966 0.000598610051164002 0.000833802070733013 0.00108266671762566 -0.000539188986478715 0.00170478323564087 0.000897286685420325 0.00151340098583392 0.00046327459112778 -0.000142788908359684 0.000799144769402654 0.00145878145443232 0.00253557535099299 0.00134482872686341 0.00142016237206508 0.000749672768342678 0.00236978107834275 0.00145482630651549 0.000383988133535281 0.00224950593813429 0.000645791919115636 0.000656152379645483 -0.000296889012428017 0.000528282856089119
