"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00440755481110054 0.00327243072847523 0.00266965500572809 0.00257023096465221 0.00183262907242164 0.000732513896985437 0.00165795663548597 0.0022657714187976 0.00144765309257398 0.00145393045118497 0.000677273761107309 0.00105268064437464 0.000630565555057032 0.000672689418034248 0.00245113288190439 0.000134437101242766 0.000417331573882997 0.000337085762960437 0.000630410838033191 0.000255721045521151 0.000245900583467367 0.00201738005741042 0.000911617098985246 0.00153143961174152 0.000844710498843793 0.00103698592803314 0.00359829358038979 0.00130398108724344 0.00130230999258481 0.00140415305807129 0.00105550213656665 0.00228173778934064 0.000160098122269141 1.39654936278404e-05 0.00131408602426014 -0.000255480066799391 0.000523081725655529 -0.000573045403519875 0.000207598943176708
"ISNSL" 0.00327243072847523 0.00711994306143762 0.00417162054893893 0.00511979116360891 0.003189945675386 0.00206972540866202 0.00177803239461134 0.00153810638695292 0.00178000823184028 0.0013879707602312 0.00102280433230641 0.00191014950039337 0.000542353805512952 0.00102240912356963 0.00414317776852356 9.90382880016794e-05 0.000460176247904073 0.00110984177129579 0.000872574300447632 -0.00104509701492503 0.00189807096472651 0.00297006337243314 0.00208860506047759 0.00226073387807228 0.00273688087006545 0.00315025685099625 0.00383121584533698 0.00279241959744551 0.00215239746789771 0.00176782869455441 0.00122434308218514 0.00507514852477924 0.00137883550790719 0.000264767870802847 0.00290932257889194 0.000184884096433536 0.00121812396668375 -0.00174245502081134 0.00137265881310034
"ISPNS" 0.00266965500572809 0.00417162054893893 0.0046996041277543 0.00453216214824762 0.00348067270757287 0.00202865595829788 0.00421620649346911 0.00148072653918455 0.00209510740164293 0.00103391023973384 0.000995101523330736 0.00212491743858615 0.000483967236030067 0.00099561929857477 0.00280738574989122 0.000436181193310003 0.0011846616076286 0.00207248154232169 0.00194470518462084 0.00123105872057813 0.00283828964506545 0.00316973806286379 0.00307317628620721 0.00229488241221268 0.00295901736024525 0.00225989481891816 0.00504011109562067 0.000624205605006935 0.002540708716724 0.00159747217953198 0.0014248264725575 0.00445631255321287 0.00174436438450423 0.000772002363402954 0.00245154368644614 0.000837045658487804 0.00169477019761323 -0.0014619232613824 0.000237372726624905
"PMZS" 0.00257023096465221 0.00511979116360891 0.00453216214824762 0.00700817919024316 0.00447419256966887 0.00254607370677012 0.00667936987081485 0.00274388192331686 0.00245964190668997 0.00151504182048126 0.00131933397355372 0.00242382072468601 0.000301782734692011 0.00087511032843144 0.00473123524741821 -9.6492491540331e-05 0.00095273004308329 0.00230212005198047 0.00225215500734555 0.00167360710195971 0.00278736234762897 0.00430824946209633 0.0037192040939505 0.0026591359661248 0.0044902002722424 0.00311979184207085 0.00544510954639439 0.00379048177373851 0.0032477670301106 0.00255120192943958 0.00150510027998733 0.00521846256272968 0.00215924099462706 0.000285690143051514 0.00355227227755558 0.000867408488707829 0.00215561391672303 -0.00191203888393839 0.00130337669233083
"PMZI" 0.00183262907242164 0.003189945675386 0.00348067270757287 0.00447419256966887 0.00430653789339476 0.00200124061418748 0.00418062605276913 0.00193879315361297 0.00265571001721665 0.000963309583120021 0.00112221655144657 0.00202966805745397 0.000175691277657597 0.0010520767479273 0.00299970028647706 0.000375328519962013 0.000938346398832079 0.00167986697685585 0.00173697111636299 -0.000582854309989408 0.00256944781496286 0.00322540000510319 0.00341525618963636 0.00216666287277063 0.00213239190987729 0.00120361045761214 0.0042294046696511 0.00188837084600087 0.0023639830655816 0.00145119943673594 0.00111497416178913 0.00301505152590979 0.00198725647606216 0.000660687633715793 0.00228205411415048 0.00123903084892839 0.00129327880647778 -0.00124947073144409 0.000333253191099513
"PMMT" 0.000732513896985437 0.00206972540866202 0.00202865595829788 0.00254607370677012 0.00200124061418748 0.00188790834566755 0.00236010439365616 0.00100209648418195 0.00126817319370459 0.000405585776880636 0.000666137817160618 0.00117033626910458 9.59254526662541e-05 0.000678322729134209 0.00174970810556471 0.00040791200661016 0.000652381143629352 0.00115973571473039 0.00127722775957158 0.00301259752753239 0.00117534247672042 0.00129345203096906 0.0018023688656455 0.00160878865157045 0.00149537324268158 0.00110495961207664 0.00136840715144088 0.00121744729599691 0.00144281745120878 0.00109591926627612 0.000751292990664481 0.0021939971370036 0.00123450297591331 0.00047692929472092 0.00170960409140247 0.000838077277309806 0.000847892651567645 -0.000666078622749844 0.000551042491377954
"NSLNA" 0.00165795663548597 0.00177803239461134 0.00421620649346911 0.00667936987081485 0.00418062605276913 0.00236010439365616 0.0178304497873614 0.00369010953934784 0.00295833622857446 -0.000894431358546278 0.0022111181934701 0.00381583997031918 0.000460900648521203 0.000689158556217495 0.00224405692417698 -0.000386591893264754 0.00110691059063167 0.00277215289124085 0.00258777304002703 0.0101436040788434 0.00567290939164456 0.00452461513509922 0.00495003772768623 0.0011796622744725 0.00326870756690632 0.000781568116196975 0.00502530837921047 0.00189932663099832 0.00326357084445713 0.00153628818182689 0.00149533251048092 0.00468208654210112 0.00199068347646483 0.0018021317247403 0.00361315543394536 0.00154706519657453 0.00243307090372232 -0.0017280609215326 0.00168053314393614
"NSLZS" 0.0022657714187976 0.00153810638695292 0.00148072653918455 0.00274388192331686 0.00193879315361297 0.00100209648418195 0.00369010953934784 0.00502409024022139 0.00235914372460287 0.00128884387748927 0.00124539805351 0.000877558858822895 0.000676422173792497 0.000738676907270665 0.00270745785949771 -0.000653392483699437 -0.000155410646624373 0.00012237485164759 0.00026217641014588 -0.00211338266770217 -0.00030712741720695 0.00184808495931886 0.000643920916133421 0.000669356957898122 0.00058612782002262 0.000689219241177896 0.00247435741931438 0.00218547745718931 0.00129985599374475 0.00127795338840905 0.000620959457659267 0.00153636939256045 0.00023699998342006 5.49125359180788e-05 0.00128082458746049 0.000635454115738759 0.000576189473949564 -0.000204392481524241 0.000102927232952515
"NSLZI" 0.00144765309257398 0.00178000823184028 0.00209510740164293 0.00245964190668997 0.00265571001721665 0.00126817319370459 0.00295833622857446 0.00235914372460287 0.00251781382873263 0.000881387973024655 0.000996550478356 0.00141635010784884 0.00048839654161054 0.000842560529293822 0.00201152133472119 2.93127556730794e-06 0.000512502189621068 0.000936985546877436 0.000941561663772162 -0.00150893083079168 0.00158703036164784 0.00208173035887158 0.00267257540683897 0.00100465102861686 0.000917114154910326 0.000856955947585049 0.00263934503404183 0.00123649277439981 0.00168690394867975 0.000664842773195478 0.000800031594139181 0.00159874001234578 0.00125523695479525 0.000651691640283864 0.00108590901462414 0.00107241286185737 0.000810375655804847 -0.000388927873374127 -5.02163246127528e-05
"NABR" 0.00145393045118497 0.0013879707602312 0.00103391023973384 0.00151504182048126 0.000963309583120021 0.000405585776880636 -0.000894431358546278 0.00128884387748927 0.000881387973024655 0.00247878672977837 0.000186891233499346 0.000271680183169644 0.000867861497996385 0.00041679592981402 0.00197953317621683 -1.26260475190295e-06 0.000344740741169995 0.000954105888923244 0.000676859361360689 -0.00505371702482556 0.000132468265601545 0.00150878059980802 0.000989798112026152 0.000485395190427441 0.000682708507511094 0.00205327023070213 0.00186046261346484 0.00182426861764961 0.000839603012409395 0.000685424939163698 0.0005185484326265 0.00181739249561073 0.000524091316861911 -6.26304485618454e-05 -9.15772331949831e-05 8.5566998265817e-05 0.000982918082209562 0.000589185281769316 0.000283056085208122
