"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.003394861013386 0.00369082081617702 0.00198437579319494 0.00272579546037328 0.0032260438255744 0.00145260525107034 -0.0016601808036565 0.00198228172049016 0.00198332730356399 0.000486681348908736 0.000933380751764629 0.000885619817933609 8.91437239883355e-05 0.00049320537876754 -0.000377510909782117 0.000694581891326166 0.00116937312825501 0.00120122087050988 0.001450394332273 -0.00315108377739548 -0.00293233064325905 0.000400047296567472 0.00147162479243734 0.00203630801877852 -0.000699751194050626 9.40118696072529e-05 0.00191704992636891 0.000383682213833093 0.0020864039699005 0.00248986720551682 0.00185191707078237 -0.000712307197082326 0.00272084603221393 0.000544808511283172 -0.000667821145579654 -0.000297346651134589 0.000891285719308541 -0.00162522810247292 0.000550014403308889
"ISNSL" 0.00369082081617702 0.0152880766408772 0.00658617044745746 0.0111412555989885 0.0107335521654925 0.00662346978769006 -0.00456477596762251 0.000981872930023249 0.00536977852999596 0.00634474819545792 0.00346447862072239 0.00310885741015774 0.00436609090395894 0.00282854290085075 0.00755874756780504 0.00116218841784146 0.00350025960453434 0.00323048019603719 0.0029436484117949 -0.00210970693434268 0.00456029250887171 0.00700816545075881 0.00785747277118553 0.00824114007102632 0.00561489886878759 0.00710908728774553 0.00923108980806721 0.00913508367983896 0.0091467566211784 0.0036231369425248 0.00499043816851292 0.0058915562095728 0.00527957189759562 0.000391311162802993 0.00322656619561634 -0.00266402744925272 0.00176766076385041 0.00245278361542965 0.00537938609111266
"ISPNS" 0.00198437579319494 0.00658617044745746 0.00532846413092893 0.00544241242668799 0.0055652601069771 0.00392771668055812 -0.00462984713238141 0.00188036678501113 0.00323354366055739 0.00331220053082395 0.00205208605854238 0.0021427494220948 0.00254700948127442 0.00220622380095221 0.00418737500176031 0.00105510417373634 0.0017858666845653 0.000536480069899848 0.000136819339131401 0.0047177503896784 0.00135981398819794 0.00404320946674824 0.00413280733660889 0.00552046691591965 0.00190743226336335 0.00454936896218051 0.00621121588894128 0.00260604480744361 0.00329853797082761 0.00259915631666235 0.00231965593871075 0.00304421919159047 0.000788552699985482 0.000560807513660797 0.00140984081974976 -0.000747285105659196 0.000807885142225066 0.000310449808882759 0.00269833130435289
"PMZS" 0.00272579546037328 0.0111412555989885 0.00544241242668799 0.0127476928927124 0.0101459379117943 0.00485055998942236 0.00698722920677162 0.00497460550815342 0.00399755604206934 0.0017189209604651 -0.000219820728792117 0.000917608490351015 0.00104658198543032 0.00216059290206297 0.0017654282609213 0.0055360836159356 0.00433179182484072 -0.000501436557786729 0.00170515374460024 0.0117983858253334 -0.00677855699806613 0.00078037919738346 0.00621485066820827 -0.000489275199316944 -0.000378950114407878 0.000849585995744688 0.00782001224009398 0.00781702231370067 0.00379312308108129 0.00147297939655457 0.00339959342942383 0.00177859067451736 0.00288566411456783 0.000623186006593952 -0.00368343138506344 0.00116275783998049 -0.000834058483459198 -0.00358853700457658 0.00103456704031837
"PMZI" 0.0032260438255744 0.0107335521654925 0.0055652601069771 0.0101459379117943 0.00965899456181075 0.00533016051935751 0.000133925314830543 0.00368906335665568 0.00452098732596282 0.00347237785755194 0.00196581225659619 0.00248233221237 0.00271657938084471 0.00239452790637512 0.0048401837888996 0.00281240180242775 0.00325591512991042 0.00182486221434257 0.00132717680167484 0.00712025817372034 -0.00092600024894501 0.00472248655162688 0.00571996904120071 0.00505043561936996 0.00191886346295573 0.00347198399273888 0.00765348139178935 0.00729908178527772 0.00463892190359512 0.0032942859432982 0.00361270497973515 0.00342373892786207 0.0019773783449928 -0.000391806145086573 -6.24344480950407e-05 -0.00109601322949227 0.00127471886202109 -0.000139640925601591 0.004132044673094
"PMMT" 0.00145260525107034 0.00662346978769006 0.00392771668055812 0.00485055998942236 0.00533016051935751 0.00452150190363659 -0.0038668849037415 0.000805206092358065 0.00313511656732615 0.00337079153022712 0.00281480236010201 0.00309391327011529 0.00319059958290906 0.00209462145499069 0.00686125299447678 -0.000955262612274098 0.000617345931715163 0.000843957476508764 -0.000455419103003092 0.00285012678104048 0.00493292319436973 0.00574173818839323 0.00394774367046194 0.00786584832668989 0.00321466685254326 0.00476110552222106 0.00439150918639303 0.00418111321110463 0.00414767525862561 0.00417099244677466 0.00194552170936549 0.00524555261239057 0.000149043276075041 -0.000738593037168932 0.00316952233957938 -0.0017817672964235 0.000649666128209415 0.00241119790082806 0.00361996221389044
"NSLNA" -0.0016601808036565 -0.00456477596762251 -0.00462984713238141 0.00698722920677162 0.000133925314830543 -0.0038668849037415 0.0354482453194572 0.0080367387891202 -0.0033795831456518 -0.0110704929826853 -0.009041954051839 -0.00636027728994483 -0.0081931805101457 -0.00233589105768856 -0.0150294390143872 0.0095511895688517 0.00161680027904092 -0.00953664149561745 -0.00112529770427771 0.0215863304173107 -0.0265775290960367 -0.0178330762248574 -0.003018971272116 -0.0232959688141701 -0.0135841873603065 -0.0171463520093858 -0.00645854178748031 0.000562756598499903 -0.00996490234325896 -0.0062676706581453 -0.00171709875450058 -0.0100370883079697 -0.00142131539616242 0.00158385398673207 -0.0158739406290129 0.010276769599345 -0.00779380089991902 -0.0128061984861797 -0.0108999011065822
"NSLZS" 0.00198228172049016 0.000981872930023249 0.00188036678501113 0.00497460550815342 0.00368906335665568 0.000805206092358065 0.0080367387891202 0.00675885692663358 0.00158603392528345 -0.00266521374745118 -0.00150827770975965 -0.000276303137604116 -0.00228666971762213 -0.000323575959293793 -0.00359765120934119 0.00338178577175653 0.00166029575987806 -0.00224658050851793 -0.000303478278295022 0.00980241483082232 -0.0122717197395089 -0.00393589480919335 0.000541177950555996 -0.00449601409631157 -0.00464911504058547 -0.00343994801154742 0.00109493595688082 0.00144835890300091 -0.00115941804152891 5.9628157687564e-05 0.00082814079459201 -0.00329501531821357 -0.00046964580482161 -0.00011370098380041 -0.00496938200766063 0.00314042653639578 -0.000601547085084326 -0.00472407792234485 -0.00164170774641009
"NSLZI" 0.00198332730356399 0.00536977852999596 0.00323354366055739 0.00399755604206934 0.00452098732596282 0.00313511656732615 -0.0033795831456518 0.00158603392528345 0.00291004058976055 0.00265222076084926 0.00192100826381966 0.00227180219776069 0.0017999498448776 0.000998737418960712 0.00448381134411783 -0.000467765995239842 0.000944707692823006 0.00138259318764397 0.000579832992701467 0.000879214670372504 0.0018541276834268 0.00401727737853749 0.00360372105377027 0.00481030030212156 0.00186181204977861 0.00351844903432287 0.00346314623990675 0.00313092302432034 0.0039305159605794 0.00303909589963605 0.00191836657351342 0.00331516233234102 0.00138001414833483 -0.000256340753606331 0.00152534439399321 -0.00112819204135107 0.00138694371045517 0.00160358996508123 0.00294813454537968
"NABR" 0.000486681348908736 0.00634474819545792 0.00331220053082395 0.0017189209604651 0.00347237785755194 0.00337079153022712 -0.0110704929826853 -0.00266521374745118 0.00265222076084926 0.00667557748782783 0.00402533796732139 0.00350015643428891 0.00428691047063147 0.00168896950737129 0.00991344279110056 -0.00255811460358114 0.000538786210662211 0.00440042463651147 0.00126810286156012 -0.00205485375997013 0.0133052117143587 0.00983944398066879 0.00423707419551395 0.0101646415663841 0.00703597690211402 0.00877851115278368 0.00464599394956487 0.00375361557221264 0.00594312239508664 0.00266386288718525 0.00261721837130624 0.0064709908342974 0.00122074801678396 -0.000670965634856601 0.00597224206828036 -0.00367584819065574 0.00345586481001444 0.00754981453971891 0.00634266665276522
