"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0049074082894613 0.00394298908989988 0.00326886525833602 0.00328383904608376 0.00207277705271969 0.00190984772914436 0.00216337258367569 0.00245643735839365 0.00161980806735613 0.0010516215935857 0.00145524526031058 0.0018964028841186 0.000753735352179417 0.00095125960401718 0.00206660411877949 0.000905673070212583 0.00132424885994036 0.00152469034124846 0.00164818994416933 0.00177121347954919 0.000361320361521818 0.00183053320915284 0.00123214354360418 0.00122147346419222 0.00293516011444471 0.00165120237414285 0.00250631573874517 0.00221147181960255 0.0020829151475752 0.00150799890245299 0.00161944887203651 0.00177063032140807 0.00179862763763282 0.000723908543740134 0.000660336666585443 0.00112986084998355 0.0012895044881308 -0.000316755310877556 0.000228464277022117
"ISNSL" 0.00394298908989988 0.00893820179037982 0.00462549505085848 0.00616131932255034 0.00378107241807437 0.00241347741946865 0.0024253117070789 0.00166984321871342 0.00194465521441916 0.00127956755703049 0.00161259592941339 0.00266151074742821 0.000853030396282871 0.001346915084803 0.00302291782887078 0.00123143910493728 0.00179664218853882 0.00246325172935255 0.00305182962084038 0.00455804444739054 0.00186573909391073 0.00303889718466472 0.00189283500570683 0.00160721587452593 0.00390967208375989 0.00260718897779887 0.00457763312104829 0.00297399526305078 0.00295399154197494 0.00220185809639825 0.00247032005836195 0.00259736550033863 0.00266182297243112 0.000957194105279638 0.000415434837726447 0.00107297847069245 0.00179313638791095 0.000121249566084877 0.000597683161826429
"ISPNS" 0.00326886525833602 0.00462549505085848 0.005031932086021 0.00478698411210892 0.00335211189460077 0.00258666646565241 0.00330819222941317 0.00227008448046918 0.00201067599706629 0.00141025131624578 0.00166643465819505 0.00317523272813793 0.000813431491635808 0.0012655298259565 0.00311040120661703 0.0012724411434759 0.00177724574056772 0.00224298229668731 0.0026471121685593 0.00364596848750746 0.00103313995795539 0.00247961058406807 0.00222230280802515 0.00164070547313766 0.00396821507445138 0.00240618921406968 0.00363958806969282 0.000112676264123108 0.00294964038787241 0.00204066000370657 0.00213267230812423 0.00220712567326656 0.00234693453616862 0.00100837209074958 0.000580333566063585 0.00142336891172897 0.00169497028722735 0.000196380318988514 0.000181837451832912
"PMZS" 0.00328383904608376 0.00616131932255034 0.00478698411210892 0.00830560128912013 0.0048435979712555 0.00321615492776551 0.00546642706501749 0.0033889874774986 0.00241124423298459 0.00161958580882153 0.00183160829652069 0.00295728988650013 0.000622983660844682 0.0014005415993287 0.00411139502297648 0.00130123927563373 0.0020126108396054 0.0028316554743407 0.00391703470935074 0.00281586795229953 0.000476054919513029 0.00331251357861026 0.00259379856155664 0.00193655063695774 0.00517950138155834 0.00372742821213935 0.00499873503963261 0.00333666432825658 0.0038472390945806 0.00275308438052416 0.00286067172943804 0.00272778575770001 0.00393220051683415 0.00109288409014782 0.00107619791353053 0.00145503681551389 0.0020419740265712 0.0004156107680227 0.00081862041249493
"PMZI" 0.00207277705271969 0.00378107241807437 0.00335211189460077 0.0048435979712555 0.00451607178835282 0.00251158187083213 0.00325585282671619 0.0026336933189482 0.00260262423178061 0.0012180028666078 0.00170658986116762 0.0022183026760119 0.000399452613540302 0.00101607271165641 0.00267732482578732 0.000953939615823591 0.00156580894039522 0.00225057304152064 0.00277515140402916 0.00455739858608512 0.00101305393657271 0.00216382186239418 0.00247827940636156 0.000996621403251048 0.00259967999306407 0.001525012648896 0.00352397752390797 0.0025023671061712 0.00290684508705979 0.00182287960004402 0.00187813032974849 0.00177748085912679 0.00252499451951313 0.00078981173436132 0.000679495687664198 0.00122498159749796 0.0015817202132118 0.000251358709016706 0.000631013675709673
"PMMT" 0.00190984772914436 0.00241347741946865 0.00258666646565241 0.00321615492776551 0.00251158187083213 0.00252873189995301 0.0025844808331649 0.00167974536213682 0.00147796042709489 0.000890144609574106 0.00131824263128371 0.00164750742632375 0.000509377972714425 0.000885926662201903 0.00185593278390393 0.000754344196345054 0.00119100425351757 0.00161804260639147 0.00186672227110679 0.00227511738213828 0.000713578613319863 0.00143032333863483 0.00157907289539183 0.00164513936409299 0.00268662413225314 0.00161339150553561 0.00181170666743556 0.00171175832152205 0.00210230485063293 0.00133316310217359 0.00136177566254255 0.00147100837828167 0.00167307665484787 0.000858730891844914 0.000655903866738771 0.00116338095337178 0.00124270896398832 0.0001595701182119 0.000627492045106743
"NSLNA" 0.00216337258367569 0.0024253117070789 0.00330819222941317 0.00546642706501749 0.00325585282671619 0.0025844808331649 0.015637108034158 0.00233901440378613 0.00228035242380873 -0.00048508586759679 0.0017731437523346 0.00360045146512644 3.76717449710234e-05 0.000758507898961735 0.00349986262012276 0.00116815685146474 0.00181276171421389 0.00268611725589263 0.00367121400628127 0.000879209896052628 0.00264920755226373 0.0027166248331631 0.00346966981968043 0.00159370734527743 0.00403217321311388 0.00365326068972945 0.00313466058816731 0.00196060253791447 0.00356632806238822 0.00210619928047369 0.00214151634840592 0.00237614943215838 0.00409599084332278 0.00150423786259507 0.000302250283825773 0.00182479793186692 0.00184235650588899 0.00101883905854886 0.0018300088192552
"NSLZS" 0.00245643735839365 0.00166984321871342 0.00227008448046918 0.0033889874774986 0.0026336933189482 0.00167974536213682 0.00233901440378613 0.00712721322358318 0.00267463795598044 0.00113280366669015 0.00212201992272868 0.00164334572478955 0.00055034555814072 0.000705553053025474 0.00141477799074771 0.000660330015685083 0.00120886678064995 0.00166922568467348 0.00200508897796133 0.00291300820677146 -0.00279834259569933 0.000900563448787418 -0.000817821641603032 -0.00037854082189076 0.00228411557278048 0.00150656044227995 0.00235797147454089 0.00175100033804093 0.00211059529715312 0.00154365953536751 0.00138744893983526 0.000892988333638962 0.00166964918299712 0.00066068159430384 0.000703422951021293 0.00104847437994871 0.00134454920820316 0.000597691829574556 0.000735385995125869
"NSLZI" 0.00161980806735613 0.00194465521441916 0.00201067599706629 0.00241124423298459 0.00260262423178061 0.00147796042709489 0.00228035242380873 0.00267463795598044 0.0026748966286796 0.000973800609736643 0.00146907350809022 0.00161261080639064 0.000464336264167715 0.000698945777823464 0.00155744817036908 0.000729957501092413 0.00115400860424397 0.00165067905181591 0.00214594457155487 0.00345021434852516 0.000576891912660966 0.00128348841168174 0.00248105265099403 0.000407082601076128 0.00123721786754071 0.00142084102759843 0.00228061339109085 0.00140053252124533 0.00185846776901341 0.00124513391489195 0.00126024077776833 0.00148196112171214 0.00190243342161146 0.000685255415904423 0.000521966251311455 0.000920061967540219 0.00121896375293294 0.000348941642894525 0.00066762036896632
"NABR" 0.0010516215935857 0.00127956755703049 0.00141025131624578 0.00161958580882153 0.0012180028666078 0.000890144609574106 -0.00048508586759679 0.00113280366669015 0.000973800609736643 0.00258428167681377 0.00081235327929737 0.00106629147640051 0.00141856211771046 0.0010548338099893 0.0016261016615274 0.000850848716536834 0.000888722579833078 0.0011545113923585 0.00119979032354716 0.00246844821409259 0.000389695455227758 0.00123303611294986 0.000898595214430645 0.00111289728058216 0.00167626484691073 0.000839732292262589 0.00144857779544924 0.000939371886438428 0.00089290898075065 0.00132749002484447 0.0010466080554362 0.00101875422647267 0.000922890585615675 0.000668928837133702 -0.000416017967759073 0.000902854724897928 0.00101557138084072 -0.00010231641162466 0.000596158850061702
