"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00572218581894544 0.00416040941307685 0.00429783160105824 0.00268155172582962 0.00194006712452208 0.0019618213436445 0.00249027550753931 0.000950791068809428 0.000659314223173632 0.000160263237275836 0.00126145627362352 0.00126625003520378 0.000665479322786877 0.000846220722653889 0.000996615578915576 0.00128932421712869 0.00151341899042974 0.00185149299733777 0.00199029135467957 0.00529610850694369 0.0017558311642067 0.00237616215961303 0.000281908334823271 0.00223366182411743 0.00213954339083257 0.00133916715512784 0.00365824210266643 0.00143757383936042 0.00105298282949944 0.00121970481845817 0.00111569173817015 0.00295914914419319 0.00125349328642886 0.000907702265747476 0.00174911991217154 0.00222816021758188 0.00112228978301728 0.00131820438603594 -0.00293860375858
"ISNSL" 0.00416040941307685 0.00699675786607758 0.00439687127600963 0.00379892977766583 0.00306441939806987 0.00146697381350163 0.000390668537749465 0.000783892964624614 0.00132311507250459 0.000898390271909417 0.00148655084338675 0.00129533445001933 0.00114741995630099 0.00136373193154212 0.00187570311724762 0.00102755085524757 0.00131704122883089 0.00198642550561741 0.00213475660761802 0.00902355127891554 0.00262561542970035 0.00272761876106521 0.0010145414252637 0.00117033782487237 0.00250656014880335 0.00148224472769853 0.00505935528149719 0.00162030127401343 0.00167960787548797 0.00206152410868303 0.0013174410712795 0.00362601933928609 0.00145386969099553 0.00151944950912027 0.00268031141515599 0.00220090380076571 0.00149811268514894 -0.00032424700558367 -0.00264545415372236
"ISPNS" 0.00429783160105824 0.00439687127600963 0.00595220525904472 0.00418785433509798 0.0032305982316006 0.00279307355955693 0.00296747552684927 0.00116680958201839 0.00123533749532294 0.00100979300133618 0.0011524119181079 0.00221589114957992 0.000830847756754743 0.00106675817853494 0.00237035042846466 0.00177587053518262 0.00191912570715161 0.00248592411289641 0.00255396554875892 0.00646300247925909 0.00184503780767359 0.00298879369041141 0.00175090827756981 0.00224440393234211 0.00284832690724609 0.00270171779843293 0.0047234669251038 -0.000161884992252712 0.00160787453930174 0.00115314266024149 0.00177992095747584 0.00440937506317858 0.00166884081247126 0.00157311949014456 0.00133614943206072 0.00219178124422844 0.00166570581731948 0.00017639604074089 -0.00218701036747999
"PMZS" 0.00268155172582962 0.00379892977766583 0.00418785433509798 0.00496344754001228 0.00364721473961265 0.00233580555882134 0.00225717273416934 0.00183621817127678 0.00136347539161004 0.00137397845054816 0.00108053847520071 0.00184424365809595 0.00115118311940939 0.001208444643124 0.00256774985172393 0.00126113342755724 0.00149135816025168 0.00205976647881191 0.00169613139765452 0.00174175567219491 0.000192639735686106 0.00262563752111423 0.00157629693980399 0.0011236491438393 0.00207435428855139 0.00228290214598566 0.00420162896955219 0.000751023636225912 0.00181583934425793 0.00126433437343677 0.00159017691051417 0.00362550808968814 0.00131231654921817 0.00139752587046495 0.00169613794940614 0.00190004583346704 0.00130138783545468 -0.000345113186285498 -0.00164138090696216
"PMZI" 0.00194006712452208 0.00306441939806987 0.0032305982316006 0.00364721473961265 0.00388781652402793 0.0021111258123311 0.000890084575612119 0.001100574649655 0.00159697354275403 0.00101613855039065 0.000814619611245648 0.00105484907983804 0.000761781154231029 0.000995609760253307 0.00249403495644605 0.00117228445473404 0.00114069422631552 0.00159532064294049 0.00121488718031587 0.00182807903386699 0.000503572716992868 0.00193848153515809 0.00219743042462776 0.000276371212442638 0.00117462243345382 0.00143527052245463 0.00341005645750775 0.00106343707241704 0.00127984395031905 0.00113244487892313 0.00137204225381771 0.00246984391879349 0.000408772812780139 0.00132501086684292 0.00136454399916151 0.00190293406447589 0.00105397732853842 -0.000637901778451945 -0.00140210568707119
"PMMT" 0.0019618213436445 0.00146697381350163 0.00279307355955693 0.00233580555882134 0.0021111258123311 0.00232017842022209 0.00143877575270498 0.000959656198895697 0.00077740171226924 0.000843158657640057 0.000594170895627822 0.00105532951603894 0.000521974110161517 0.000612715453155249 0.00166198300169148 0.00101706245221087 0.00109728853335733 0.00136464284343234 0.000947801983260909 0.00132987267553702 0.0004376059423263 0.00147211535617482 0.000781961321436538 0.00201122406237756 0.00147116589661243 0.00161866199702397 0.00171207300110128 0.000736600563465717 0.000974481877873042 0.000658451286055413 0.00116107457908528 0.00217415936416923 0.000594763785573366 0.000729254016059929 0.000574263356408579 0.00132003449914098 0.000834635013726618 0.000267145678218799 -0.00111411085044672
"NSLNA" 0.00249027550753931 0.000390668537749465 0.00296747552684927 0.00225717273416934 0.000890084575612119 0.00143877575270498 0.0153542270978177 0.00128019208343664 0.00126366692720236 -0.000919543510784154 0.000917760548211947 0.00300962714267834 0.000101779334875448 -0.000398481933824805 0.00197645868808856 0.000754999002311381 0.00098903803979271 0.00168408292392334 0.00181317257004602 -0.00428619485007475 0.00344992214967788 0.00194238534624447 0.00223925449400038 0.000852210695356685 0.00260319925005447 0.00134437885648323 0.00286585659348172 0.000464903034194339 0.00227657276027949 0.00199804596217943 0.00100784561099941 0.00402908834746559 0.00193617947134659 0.000374520304219891 -0.000992461233320071 0.00102880958019075 0.00132849538108529 0.00150698151491667 -0.00161928341369372
"NSLZS" 0.000950791068809428 0.000783892964624614 0.00116680958201839 0.00183621817127678 0.001100574649655 0.000959656198895697 0.00128019208343664 0.00281763717233809 0.00103804645036801 0.000512258371467019 0.000968204697231383 0.00115283077792661 0.000700418111399409 0.000467628223759387 0.000820341563055085 0.000264549449662511 0.000711774758373688 0.000883793695989891 0.000561139650030262 0.000154251287913446 -0.00153891323878798 0.000629053873739495 -0.000713242946851541 7.85484912833103e-05 0.0012516760584192 0.000550236877206546 0.00119940490555123 0.000365507232822476 0.00133446248717948 0.000485289473923843 0.000842385698426714 8.69885847294354e-05 0.000901383810676838 0.000198483900519222 0.000609867694269692 0.00100764255115763 0.000557793223651777 0.000321454586056389 -0.000561157494548965
"NSLZI" 0.000659314223173632 0.00132311507250459 0.00123533749532294 0.00136347539161004 0.00159697354275403 0.00077740171226924 0.00126366692720236 0.00103804645036801 0.00170287004515901 0.000897446276941856 0.000754534387161093 0.00122679646643771 0.000634043479273749 0.000714570731178897 0.00172826024662055 0.00067412262515695 0.000797482217716609 0.000983142863223579 0.000991878974456769 0.00127960220376209 0.000834026557166323 0.000935207280837668 0.0022089489726766 -0.00022575567676344 0.00117626125087962 0.000606405347908651 0.00170757769817822 1.12561195733362e-05 0.00192223637786161 0.00184768473012821 0.000923489385933651 0.00104579430839606 0.000793334653450895 0.00113911440545926 0.000601370011562758 0.00121753427673531 0.000910520732988274 -0.000377172677131238 0.000185375509408428
"NABR" 0.000160263237275836 0.000898390271909417 0.00100979300133618 0.00137397845054816 0.00101613855039065 0.000843158657640057 -0.000919543510784154 0.000512258371467019 0.000897446276941856 0.00252237652682472 0.000293471755619325 0.000843131021079395 0.00147603820061452 0.00146294872922791 0.00177047744152851 0.00118000653848521 0.00113394170260639 0.00084337899486664 0.000977226841738283 0.000909786346214862 0.000834111287322971 0.00110235362064124 0.00129840748513213 0.000715273225501173 0.00097464729442253 0.0015213873891215 0.000893768155485754 -0.000446504298257092 0.001514370120302 0.000815649587643896 0.00121725106019206 0.00137870280307017 0.000735877120964191 0.00145892116263093 1.18644128471389e-05 0.000902975940940734 0.000718838767989398 0.000159006001678117 0.00122046985575927
