"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00357860128354908 0.00431119687294929 0.00338629258224593 0.00508796406647603 0.00285014446471019 0.00269914667552316 0.00128518056949184 0.00413654170093977 0.00104867672508398 0.000680184276417788 0.0020928087879135 0.0015455069418933 -0.000405470520585681 0.000688001227236308 0.00341356545933728 0.00264532780060347 0.00238602571854477 0.00208299656582721 0.00198432222928822 0.00113547404388224 -0.00286666606456449 0.00180369584399972 -0.000306796041557904 0.00193224787379094 0.00106297507647504 0.00255141734149505 0.00110295789428179 0.00230432304363392 0.0021654732759224 0.00401355036941864 0.00191288100317813 0.00458002494514577 0.00287335043699809 -0.000682114113228865 0.00496946158486022 -0.00125674661694011 0.000231454033187063 -0.000754855590408475 -0.000842475989994766
"ISNSL" 0.00431119687294929 0.00687286050425699 0.0039667882332144 0.00659985803270413 0.00327301440843274 0.00297249633715412 0.00171433387345724 0.00498787877747362 0.00121472841522084 0.000957991006963803 0.0021980764254704 0.00149754424400055 0.000371364039534325 0.000877102314988878 0.00316387302561796 0.00268245681209333 0.00303795117509349 0.00306676891589804 0.00272333012603351 0.00389916458503751 -0.003540846395068 0.00237179921408865 -0.00125875083359034 0.00248020606628154 0.00109150451879261 0.00334873926467449 0.00275991800709049 0.00388223501629697 0.00334421884672706 0.00530114114233426 0.00263561216053105 0.00767673119049883 0.00358392800683355 -0.00165834520610246 0.00481501567652599 -0.00220357462305392 0.00113280589846733 -0.000776627731980753 -0.00255761498080808
"ISPNS" 0.00338629258224593 0.0039667882332144 0.00369273168894082 0.00461095638114912 0.0025238953304184 0.00314783441823653 0.0015981144116585 0.00379167252303165 0.00117597275292059 0.000937067295966564 0.00268273680362977 0.00229970590809223 -0.00048962662039587 0.000853378061889264 0.00456602580865794 0.00309933422082871 0.00261418327651605 0.00196967181671133 0.00286212445616243 -0.00113454092087612 -0.00206664481861256 0.00169227970960326 0.000382955049282708 0.00312403202378278 0.00141422360986607 0.00354843372390832 0.000716184955159575 0.00142364980633747 0.00251525003348275 0.00401051586373789 0.00216007029981306 0.00471326041376632 0.00396745207178876 -0.000663081817423687 0.00570904348899492 -0.00139669084639859 6.66412108081973e-07 0.000879023002620979 -0.00138511199480403
"PMZS" 0.00508796406647603 0.00659985803270413 0.00461095638114912 0.00970600174502981 0.0060038469195024 0.00466988228273453 0.00238300244105137 0.00804035200338352 0.00246126675650496 0.00012209398356804 0.00382140392096788 0.0020931681650444 -0.0013679512757217 0.00109251051399586 0.00266383225051223 0.00364300474547885 0.00370106016131126 0.00400989666678006 0.00401262517123417 -0.00483140132645862 -0.00596446685644444 0.00298790190281961 -0.000180217477007584 0.00329336647207543 0.001426910083967 0.00366457525573944 0.00258352562281042 0.00441247620113754 0.00458982592881688 0.00631010975877449 0.00296975244374932 0.00533673512296792 0.00460494568342841 -0.000908699461576881 0.00825976946167122 -0.00116030571508076 0.000968943272178221 -0.00144245002661977 -0.000362774321783455
"PMZI" 0.00285014446471019 0.00327301440843274 0.0025238953304184 0.0060038469195024 0.00416564153863294 0.00292634582389906 0.000959570103626522 0.00554847462056571 0.00204754429572585 0.000140620930874893 0.00230958191971354 0.00144048862654601 -0.00106169871498215 0.000713784213733633 0.0011464301169541 0.00222955405942742 0.00214135876097614 0.00237596711774 0.00235176626922324 -0.00592238850488967 -0.00453578759324444 0.00186594597754913 0.000433236337712198 0.00183829720689678 0.000622094562099103 0.00194378290619554 0.00155009911201359 0.00239132297064129 0.0026823735248969 0.00356856882801077 0.00189029927717896 0.00203602237382529 0.00261243511366222 0.000130647912594717 0.00463247395417477 -6.75141678795657e-05 0.000570695173992785 -0.000674618124519094 0.001111652231221
"PMMT" 0.00269914667552316 0.00297249633715412 0.00314783441823653 0.00466988228273453 0.00292634582389906 0.00357948177620188 0.0018641323218081 0.00425492343291257 0.00157422555098538 0.000762700116135852 0.00303265066383632 0.00245091511871984 -0.000999808696251655 0.000866462087361894 0.00313379623994304 0.00311451704364612 0.00267274260655794 0.00276735535804646 0.00375131425382506 -0.00527183744568132 -0.00209379078450663 0.00160158449743896 0.000593641469150106 0.00424007342218539 0.00165786049791723 0.00393873673613983 0.000407416217970205 0.00130918625317296 0.00291323653616195 0.00414142526553197 0.00218552158030439 0.0033004261904471 0.00433088237093954 -0.000239469705253802 0.00527149576116043 -0.000300019904508706 0.000494919426917624 0.00212484001862093 -0.000960521284144979
"NSLNA" 0.00128518056949184 0.00171433387345724 0.0015981144116585 0.00238300244105137 0.000959570103626522 0.0018641323218081 0.00417458150609604 0.00183858292664277 0.000753628166310602 -0.00152346129074204 0.00187445048047926 0.000983494888094388 -0.00167844892112565 -0.00060675900683111 0.00185756796315002 0.000138335860656583 0.000240432634937124 0.000451114064188061 0.00239082246341369 -0.000391299633903692 0.000418292889031148 0.000529846573749875 0.000181477078728894 0.00165609955667456 0.00359849816893736 0.00314331752146107 0.000658556783152067 0.000538833023330782 0.00181163985685166 0.00242271760270517 0.000669614558872839 -3.01125706907034e-05 0.00241288540193643 -0.00210128021247068 0.00403553243559903 -0.0017349315383199 -0.000772184735462385 0.000903726881252361 -0.00233275680061695
"NSLZS" 0.00413654170093977 0.00498787877747362 0.00379167252303165 0.00804035200338352 0.00554847462056571 0.00425492343291257 0.00183858292664277 0.010423585614166 0.0037487313373204 0.00151876165013376 0.00364456460976378 0.00263730210344472 -0.00122921827214666 0.00135525535060801 0.00249644200630664 0.0034236181171123 0.00326519386942733 0.00392843219708179 0.00522058678879965 -0.00587256748402972 -0.00664695596083722 0.00339586986983509 -0.00116931335900917 0.00338610501463496 0.00301185680220115 0.00372236507835833 0.00288007824182703 0.00322648838392446 0.00390671754114933 0.00584910318522178 0.003474545001352 0.00236340387148575 0.00510029782397772 0.00064723707719564 0.00436409277981595 0.000434842357393857 0.000980157354725376 0.00115011844910694 0.00232405110338968
"NSLZI" 0.00104867672508398 0.00121472841522084 0.00117597275292059 0.00246126675650496 0.00204754429572585 0.00157422555098538 0.000753628166310602 0.0037487313373204 0.00226915655008958 0.000547067336262629 0.00116375339861556 0.00162088240301412 -0.000581593273373206 0.000206304598764248 0.00136806277540438 0.000739112201719255 0.00062948094365777 0.000562750803259001 0.00168089718700818 -0.00599379532066838 -0.00266882396085638 0.00123060304044539 0.00104852572283511 0.000979235056059834 0.00149404454759166 0.00210897921449529 0.00174393139475374 0.000220041498193276 0.00151410854553713 0.0017311472374989 0.00178543846223553 4.37297375550636e-05 0.00196447274717448 0.000431739879032857 0.000623303909575721 -7.24100407099344e-05 -7.284309419764e-05 0.00176651299283225 0.00126279824787174
"NABR" 0.000680184276417788 0.000957991006963803 0.000937067295966564 0.00012209398356804 0.000140620930874893 0.000762700116135852 -0.00152346129074204 0.00151876165013376 0.000547067336262629 0.00298524305007066 0.000352338287010171 0.00127602577451432 0.000949058428173665 0.000911093512761902 0.00153638001971738 0.00185076794593347 0.00154077589919478 0.00203064937196409 0.00134204891375441 -0.00124880305877834 0.000325462519198959 0.00127121924753221 -0.00077345311605822 0.00213654665654931 0.000149316158473967 0.00187144904870991 0.000512321053127172 0.000254865532418561 0.00063793614040271 0.00142236367665422 0.00198811008994238 0.00313739113209992 0.00184704001712628 0.00173569984710415 -0.00302457822350875 0.00155811604509592 0.0012068577848562 0.00282503455478989 0.000224236151441524
