"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00468814695957799 0.00327992635529059 0.00321465529502367 0.00277983248330216 0.00217177084800655 0.00185229898903148 0.00183143685507774 0.00197180718235815 0.00144109757616376 0.00090057676403715 0.00136535427331563 0.00169753200877138 0.000499846499905317 0.000887919307201005 0.0015948347232778 0.000637082634093334 0.000890950114211049 0.000750426101606648 0.000962945310088647 0.000217712865370735 0.000372865244522935 0.00166594981203171 0.00118005312583275 0.00151930161492462 0.0017737337883587 0.0016335320486548 0.00213436890466606 0.00101043851299697 0.00170549031179291 0.0015247485886291 0.0016205959874936 0.000996718260631244 0.000976560627889216 0.00116128107412884 0.000679454815335774 0.00232965911624498 0.000931175571014398 -0.000177009336686472 -0.000386666642813295
"ISNSL" 0.00327992635529059 0.0073207410500353 0.0037792907127472 0.00484001216904172 0.00294358522695691 0.00221190240650009 -7.7421476070112e-05 0.00150460436436023 0.00124824916822448 0.00109122251090546 0.00144442802823101 0.00226634195177942 0.000512794859952946 0.00111162641824247 0.00255037864492704 0.000358679668894659 0.000952816841951378 0.000679267753250594 0.00125871050209758 -0.00215495045479752 0.000695665411598797 0.00283904108235984 0.0014286359707489 0.00103943748842005 0.00293763617196082 0.00237756532613891 0.00382997796055557 0.00173042140561851 0.00298998890995835 0.00109274590562177 0.00212562710090049 0.00232371939438359 0.00116744332368834 0.00129905626709657 0.000609530466629993 0.00240562296182048 0.00081888317766725 -0.000146100668586022 -0.000501173592064823
"ISPNS" 0.00321465529502367 0.0037792907127472 0.00449320613463801 0.00387620665971265 0.00307901406108561 0.00250232447150803 0.00193229691726957 0.00184777522472384 0.00152383728355313 0.00135508226820968 0.00152877305528929 0.00239426540104698 0.00077710210399362 0.0010417071641761 0.00246088424273379 0.000944476519643772 0.00121301124883776 0.000999228290253391 0.00121616148202075 -0.000506369241203285 0.0011935827893005 0.00216801326422335 0.00151193451652635 0.00108088116568889 0.00240742180739717 0.00222434206550914 0.00344619206709602 0.000276283531110379 0.00223884096078967 0.00154853539836823 0.00220406588368544 0.00265396557516087 0.00138188474865758 0.00156216535536663 0.000284524012398596 0.00262472382963411 0.00122278874951379 0.000307710934535509 -0.000340763392135455
"PMZS" 0.00277983248330216 0.00484001216904172 0.00387620665971265 0.00625284284965082 0.00386848372570517 0.00269669308234441 0.00247412843012893 0.00310110096282843 0.00145838876869561 0.00136429803309812 0.00156150642823131 0.0017724282118794 0.000585779865356324 0.00129905162961059 0.00337463477459151 0.000760021860446213 0.00114691045638512 0.000584824854664457 0.00147507890894439 -0.000338593926772645 -0.000844682179945264 0.00244642024948657 0.00138990009363938 0.00108322123509781 0.00280152010056469 0.00225330354419363 0.00345782864115786 0.00192018006347881 0.00308737211732082 0.00115309942127159 0.00236994753008166 0.00228051127147365 0.00163140102853682 0.00125113844059492 0.00117208676606196 0.0021790472432077 0.000618537321371437 0.000509009376460807 -0.000818025864147538
"PMZI" 0.00217177084800655 0.00294358522695691 0.00307901406108561 0.00386848372570517 0.00406491163950151 0.00225998262040191 0.00180642170247988 0.00219027451820319 0.00224087294868816 0.00133100343773764 0.00153651497583791 0.00162215722930292 0.000507336379292683 0.00112855159715036 0.00222955161334078 0.00110985329883284 0.00128230883731279 0.00115723716697678 0.00165636655477905 -0.000489111606112042 0.000793086866494005 0.00167551493759229 0.00204336495812859 0.000747421508879288 0.00136462217947407 0.00179386350948553 0.00314952755736236 0.00134584310042318 0.00226262483872082 0.00196310198512326 0.00195974926285027 0.00153106148534143 0.00167266047453642 0.00138340912100778 0.000815852165006791 0.00227486660827591 0.000853560746931404 0.000300025167764833 -0.000542851558807783
"PMMT" 0.00185229898903148 0.00221190240650009 0.00250232447150803 0.00269669308234441 0.00225998262040191 0.00242368161009399 0.000730556555081369 0.00126523055407273 0.000964177569186177 0.00111822714451123 0.00116437012314944 0.00123034822017323 0.000524918806019931 0.0007888475014754 0.00147041773398759 0.000892459611184574 0.00108316890373118 0.00115430444560381 0.00121169924257041 0.00117131874990789 0.000577166521419827 0.00120222671048158 0.000963053806287906 0.00169392277908236 0.00155467256506944 0.0016125058431189 0.00149644727940781 0.00104362059642864 0.0016079908304159 0.00107467147363388 0.00150215985166026 0.00184957952950966 0.0010470276551221 0.00101391983557826 0.000167672340957239 0.00177500197040753 0.00107754536978308 0.000360221139716554 7.04645904161386e-07
"NSLNA" 0.00183143685507774 -7.7421476070112e-05 0.00193229691726957 0.00247412843012893 0.00180642170247988 0.000730556555081369 0.0134906844283274 0.00243767268666337 0.001489625081201 -0.00020297830384705 0.000998295478468462 0.00186640402961441 0.000463415491270516 0.000413912912667518 0.000540054793639688 -0.000243697168728686 0.000265343965521123 0.000624845960173093 0.000816052341903344 0.00293790350638076 0.00108225695342095 0.000554310418676105 0.00133304696583807 -0.000233950361736585 0.000747135232256042 0.0015272892206528 0.00144211966490186 0.000919572752188384 0.00137239103927119 0.00088511122825926 0.00103155872319219 0.00094530090599188 0.000121218744931489 0.000583372515605427 -9.56407868886745e-05 0.000812040645633515 0.000884785136229414 -0.00106960089622262 -0.000581965688568253
"NSLZS" 0.00197180718235815 0.00150460436436023 0.00184777522472384 0.00310110096282843 0.00219027451820319 0.00126523055407273 0.00243767268666337 0.00522060527206188 0.00206606220341242 0.000683876934946759 0.00150744933042214 0.00155563200266614 0.000635225488585129 0.000814853591315978 0.0014645617270114 0.000530260861440219 0.000769018590648276 0.000442381245515257 0.000956342248848846 0.00264322120591324 -0.00346008542285085 0.000643596042449905 -0.000733868484924069 0.000404323438393199 0.000761328021436381 0.000824063162050134 0.0013876730688481 0.000974018127243244 0.00146881791254004 0.000884993017249832 0.00138814636898803 0.000412347986449938 0.000822233133931607 0.000564095771163845 0.000963194550260437 0.00141330772468074 0.000489247899781338 0.000380888416729642 -0.000952776491215252
"NSLZI" 0.00144109757616376 0.00124824916822448 0.00152383728355313 0.00145838876869561 0.00224087294868816 0.000964177569186177 0.001489625081201 0.00206606220341242 0.00228424413723106 0.000667790381624478 0.00110160197619421 0.00150025619565694 0.000434277646332621 0.000684175513196202 0.000939156644239124 0.00072847472534235 0.000845639076032463 0.000857106443163999 0.00115004796013812 0.000549330933229388 0.000217785158490714 0.000892619040269697 0.0017766473252848 0.000444973883013278 0.000507008257282837 0.00102669382133494 0.00206470813843839 0.000455616902806533 0.0012320795361812 0.00161209446408433 0.00110514116781667 0.000407511102860546 0.00112050928843472 0.000850679727678314 0.000651942571418771 0.00139676371072133 0.00071506705282581 -0.000197050597669862 -0.000146679068329357
"NABR" 0.00090057676403715 0.00109122251090546 0.00135508226820968 0.00136429803309812 0.00133100343773764 0.00111822714451123 -0.00020297830384705 0.000683876934946759 0.000667790381624478 0.0025339991052493 0.00111822994411429 0.000776665146318557 0.00148538904541201 0.00113392211749846 0.000759759291999484 0.000745884929010528 0.000899134068885612 0.00135649957092575 0.00136036693062777 0.00161921714286506 0.00155653286218256 0.00120629533825753 0.000644719696706591 0.000864476283225396 0.00136847751348649 0.00151326249464902 0.00140433174631846 0.000775054454662282 0.00091770057431146 0.00111052712835459 0.00116791202153753 0.00134439664697344 0.00123602195322769 0.000575699348135471 -0.000586748159091891 0.00120469511931975 0.00108988749830301 0.000841761500364339 0.000155631883249721
"NAFM" 0.00136535427331563 0.00144442802823101 0.00152877305528929 0.00156150642823131 0.00153651497583791 0.00116437012314944 0.000998295478468462 0.00150744933042214 0.00110160197619421 0.00111822994411429 0.00183399539781008 0.00151436403645561 0.000785492697441757 0.000858030205228836 0.000763680834250018 0.000670636690885634 0.00092566370789393 0.00108027628850675 0.00145644136871568 0.00161671230229359 0.00128755024597744 0.00130045430631276 0.000379473346199433 0.000875132828017933 0.00137967671078992 0.00190312797441714 0.001956027711769 0.00100792009134317 0.00125362024173639 0.00118976985127372 0.00138520736810465 0.00114136449924821 0.00121350780358509 0.000690318570302728 0.000426926536433549 0.00166645850428475 0.000945824239750696 0.000283332485869033 -0.000374364917508672
"NAPNS" 0.00169753200877138 0.00226634195177942 0.00239426540104698 0.0017724282118794 0.00162215722930292 0.00123034822017323 0.00186640402961441 0.00155563200266614 0.00150025619565694 0.000776665146318557 0.00151436403645561 0.00300645130805502 0.000780872101636179 0.000887936049219155 0.00136301822706249 0.000698735088785332 0.000964719276770863 0.00103569423098532 0.00116386601155348 0.00134545628452895 0.000856509739686277 0.00190498778628193 0.00110224483746016 0.00139868501233514 0.00184183966732836 0.00133909997712607 0.00225349666869429 -0.000309436851386268 0.00155752186364352 0.00148511300079335 0.00158085120208012 0.00113703657111728 0.0010768804491101 0.000960938751321701 0.000371288513244578 0.00187623786715989 0.0011882898308377 -0.000103272686586436 -0.000174753557772461
"BRPT" 0.000499846499905317 0.000512794859952946 0.00077710210399362 0.000585779865356324 0.000507336379292683 0.000524918806019931 0.000463415491270516 0.000635225488585129 0.000434277646332621 0.00148538904541201 0.000785492697441757 0.000780872101636179 0.00226458244399495 0.00140157561095653 -0.000237088297555909 0.000109820154985124 0.000393577495722606 0.000254822724588319 9.56452833440744e-05 -0.000534434401810593 0.00063948279522691 0.000829783528240732 0.000349764655449229 0.000599329993864224 0.00103101804637129 0.000555655334991104 0.00105013111772507 0.000190066040049319 0.000656644815009664 0.000770310628835677 0.000806283959084735 0.000342010545584093 7.32105709751497e-05 0.00096299152462005 0.000244969201713962 0.00119103718002879 0.000835322956621504 0.000386223961015276 0.00025074871504484
"BRAPET" 0.000887919307201005 0.00111162641824247 0.0010417071641761 0.00129905162961059 0.00112855159715036 0.0007888475014754 0.000413912912667518 0.000814853591315978 0.000684175513196202 0.00113392211749846 0.000858030205228836 0.000887936049219155 0.00140157561095653 0.00175118053950658 0.000851637643184396 0.000823617472326626 0.000822733250725618 0.000559113652844419 0.00096875390835705 0.000466547705676028 0.000896141750341098 0.00117484451218607 0.000625706129356283 0.000733014000220499 0.00143804543047856 0.00081034173253458 0.0015997672598611 0.00040903674385816 0.00150016833948226 0.00102319095611516 0.00118473197315457 0.000180100109807083 0.000893978837306622 0.00109687930572776 0.00100713706965311 0.0016640383790411 0.000640587743932903 5.24528643360197e-06 0.00013979469053948
"PTFM" 0.0015948347232778 0.00255037864492704 0.00246088424273379 0.00337463477459151 0.00222955161334078 0.00147041773398759 0.000540054793639688 0.0014645617270114 0.000939156644239124 0.000759759291999484 0.000763680834250018 0.00136301822706249 -0.000237088297555909 0.000851637643184396 0.00992681087610608 0.00144797826135803 0.000228497731582225 -0.0024033767767011 -7.85136283772061e-05 -0.00376583029330121 -0.000707843815613719 0.00192576501726848 0.00137354754076082 0.00103193473067783 0.00261978696443799 -0.000412700303815279 0.00307333480524334 0.00126375172571524 0.00197864763768529 0.00199811957522841 0.00146873281740306 0.00233853516938433 0.00207127080525062 0.000988635668745071 0.00222495124562219 0.000696603029080608 -0.00195829017599084 -0.0014920897462992 0.00040487537589444
"PTAPET" 0.000637082634093334 0.000358679668894659 0.000944476519643772 0.000760021860446213 0.00110985329883284 0.000892459611184574 -0.000243697168728686 0.000530260861440219 0.00072847472534235 0.000745884929010528 0.000670636690885634 0.000698735088785332 0.000109820154985124 0.000823617472326626 0.00144797826135803 0.00253690009980189 0.00164563430352648 0.00155573622011201 0.00218425323746277 0.00401108324131331 0.0014708632671644 0.000935894437472881 0.000634311144201362 0.00070980006992997 0.000944844654497685 0.000993458152735095 0.00121667526087946 0.000685191184819659 0.000537768035628484 0.00146854539363651 0.00103058109779099 0.000714501927118237 0.00176170989497485 0.000744063067970852 0.000383549805489044 0.00102164469812465 0.000723251947585505 0.000436968912206701 0.000359429685103626
"PTBA" 0.000890950114211049 0.000952816841951378 0.00121301124883776 0.00114691045638512 0.00128230883731279 0.00108316890373118 0.000265343965521123 0.000769018590648276 0.000845639076032463 0.000899134068885612 0.00092566370789393 0.000964719276770863 0.000393577495722606 0.000822733250725618 0.000228497731582225 0.00164563430352648 0.00179586500204958 0.00210265456727011 0.00227301115830654 0.00464403396990948 0.00148965448960018 0.00120913947345444 0.000704495444402606 0.00101594833997624 0.00122303108810694 0.00162753665013952 0.00140621902089403 0.000887265832976239 0.00160071777851287 0.00102210436477075 0.00148065195030758 0.00104637894674336 0.00155222590065278 0.000781123992801344 0.000274276127356376 0.00141866680900744 0.00141365973787921 0.000531015349291839 3.52535543856523e-05
