"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00505328009959604 0.00522363991665264 0.00425390428928263 0.00348338766087553 0.00270453668237017 0.00186682278980832 0.00100334857710436 0.00160831995878427 0.00144785018612004 0.000475912069356313 0.00112638556081093 0.0020853684522489 0.000563284521577897 0.000916185836224737 0.00245372683999046 0.000347678837730779 0.000889423816888332 0.0014660253343992 0.00122610396922508 0.0036550588204561 -0.000345856575674756 0.00291362526671876 0.00174791646855839 0.00153591060157517 0.00285821000231636 0.000910408152617114 0.00449945147868061 0.00218854112134832 0.00143771777824473 -1.33856393057734e-06 0.00253379803184435 0.00218530546755523 0.00154867383068191 0.000129126165451363 0.00158182071517278 0.000727745571203161 0.000706042470228335 0.00010295301997789 0.000330310422278245
"ISNSL" 0.00522363991665264 0.0118899516443976 0.00594967890521075 0.00689943629234705 0.0047521507548133 0.00238498902470561 0.00199585301023472 0.00119256930047426 0.00170398928297896 0.00136440329676219 0.00159592547243659 0.00186277926625145 0.00112335635791801 0.000929413883366239 0.00369065023855352 0.000257901041647281 0.000499867369036409 0.00153619073804679 0.00247727650441401 0.00680597198946928 0.0031334397955358 0.0049169718630449 0.00171044376620368 0.00223871085851954 0.00579065229140423 0.00290354528315789 0.00800970490395845 0.00553776626336908 0.000340255750852948 0.000816075068575736 0.0029474489629396 0.00308051407831633 0.0029767574590183 0.00015470589811823 0.00183460403822811 0.000359245081741203 4.47965259844989e-05 -0.000396996157936539 0.00116960155019393
"ISPNS" 0.00425390428928263 0.00594967890521075 0.00625183642110726 0.00493693243650305 0.0039390234596556 0.00315455008674013 0.000576415528680082 0.00176750896748272 0.0013915414529551 0.000575228452657486 0.00148844510520946 0.00327095705709958 -0.000239661779323818 0.00121062125115018 0.00572108344740958 0.00162185991689479 0.00157551563382606 0.00243747427686047 0.0026424076366182 0.00759895403858551 0.00021630016955332 0.00405745175459795 0.00225494008240908 0.00281743342120695 0.00491690556707897 0.00188473353164101 0.00585184837929731 0.00199781605987512 0.00242558686611045 0.000740208381085552 0.00361965540294163 0.00354175905685704 0.00246841358147912 0.000892355803998803 0.00252723145424218 0.000967717830188005 0.000436943192347218 -1.2190305799378e-05 0.000550663583796457
"PMZS" 0.00348338766087553 0.00689943629234705 0.00493693243650305 0.00777850814398871 0.00524458625956671 0.0030061707481627 0.00396715236160927 0.00390939318132472 0.00198683101939455 6.47455317379699e-05 0.00163374530471725 0.00212515044625116 -0.000692859765625392 0.000154872028155389 0.00444158608789696 0.000725619903802567 0.000657563385853232 0.00196390267482414 0.0020201962844892 0.00758188459265065 -0.000938475018995097 0.00382864214071515 0.00181192889360625 0.00182635272055669 0.00437938163401612 0.00142397135531527 0.00554995505153871 0.00501621347122484 0.00123749850221714 0.000471333315988458 0.00238838187503069 0.00350570191365279 0.00248644601114198 0.000635897298030091 0.00208514993617273 0.000465520365326205 -0.000277689369239199 0.000762307836356023 0.000169243986524012
"PMZI" 0.00270453668237017 0.0047521507548133 0.0039390234596556 0.00524458625956671 0.00453458327996026 0.00251741460298486 0.00202365114841196 0.0026695624509783 0.00207023558004954 0.000303135680695177 0.00135431484969131 0.00172080331536434 -0.000764155609415337 0.00023423815788953 0.00404785436561386 0.00108742731550199 0.000778978995682655 0.00200846505909914 0.00185114449177346 0.00449878046964378 -0.000770910651647957 0.00263614505396326 0.00240093257571974 0.0010921909946228 0.00228781090421369 0.000793404716228252 0.00433062998728764 0.00310409201215151 0.00100733242518101 0.000591670296617537 0.00205396200463236 0.00254045812289875 0.00198588318262763 0.000639640509156404 0.00198029969872428 9.05055875865294e-05 0.000150274819860877 0.000753427634299405 0.000820394127730657
"PMMT" 0.00186682278980832 0.00238498902470561 0.00315455008674013 0.0030061707481627 0.00251741460298486 0.00246414446198659 0.0006272639388145 0.00172573575301918 0.00096431482613368 7.88011899572703e-05 0.000687548181065251 0.00182713407480094 -0.000639405913796193 0.000388754774405664 0.00329470669860499 0.0011156880053585 0.00102414539906506 0.00182876192339915 0.00137708755390131 0.00622577706458637 -0.000997612412689568 0.00185190606874468 0.00116194327768289 0.00184629052535596 0.00216378942591184 0.000449675968555055 0.0021550778060706 0.00186728202070014 0.00148212816549534 0.000565313108855177 0.00205774086215952 0.00270392374206183 0.00109104182832939 0.000679847204041399 0.00146503728955399 0.00040221264795311 0.000670468971618723 0.000481261043387298 0.000323108363819071
"NSLNA" 0.00100334857710436 0.00199585301023472 0.000576415528680082 0.00396715236160927 0.00202365114841196 0.0006272639388145 0.0162248091559295 0.00251046192910498 0.00185285521323654 -0.00141161101437861 -0.000295987864297169 0.000545051057624663 -0.00088778605751486 -0.000854750619854671 -0.0011001984611296 -0.000553617292431206 0.000112754102545948 0.00245688653141277 0.00239906072963929 0.00684534456407659 0.00290087825469483 0.00191434113176417 0.00306108038854191 0.00109717180812201 0.00182428737545512 0.000806004918536242 0.000396113181327803 0.00156873036566994 -0.000245030651123295 0.00125902510731753 -0.000395756921650884 -0.000792538712973658 0.00329262408961465 -0.000259903610874512 0.00153605852157478 0.000196696527557922 0.000216044749987253 0.000794924728797293 4.2417819520616e-05
"NSLZS" 0.00160831995878427 0.00119256930047426 0.00176750896748272 0.00390939318132472 0.0026695624509783 0.00172573575301918 0.00251046192910498 0.00649463400322261 0.00207788950903707 -0.000948160507774287 0.0019784981609373 0.00178079836905615 -0.000254745523214251 -0.000187882837308037 0.000211389681288634 -0.00073583036817729 -0.000123109770116874 0.000632116355597656 -0.000317264779589821 -0.00656418395967575 -0.00483560696639928 0.000934857651341206 -0.000719040342236012 -0.000850136361285104 0.00105157862842314 -9.89889112523564e-05 0.00185979610879976 0.00266216211165355 0.000571497549699319 -0.000438563475066068 0.000770635588822597 0.00125627745661922 0.000506621803893103 0.000468942023975635 0.00167267122520596 0.00114653894568966 0.000133238254762237 0.00125404820521773 -0.00140587337666274
"NSLZI" 0.00144785018612004 0.00170398928297896 0.0013915414529551 0.00198683101939455 0.00207023558004954 0.00096431482613368 0.00185285521323654 0.00207788950903707 0.00216008916576507 0.000653593788249653 0.00108387588998014 0.00112914777600439 -0.000131279471009151 0.000155897157853173 0.00136002202025491 0.000555354210076675 0.000430893232993492 0.00138678193164922 0.00162941832192291 0.000551347308571567 -0.000545535485929564 0.00100537117830536 0.00230365226849752 0.000309064115430505 0.000240784281886339 0.000562771524815801 0.00226541933612925 0.000861854045385297 0.000229621654699489 -0.000110215867434836 0.000329761931153958 0.000983597775590075 0.00183155413076203 0.000460688701229447 0.0010033411198486 0.000572211443109009 0.000295839415036667 0.000426292053822894 0.000264148253718697
"NABR" 0.000475912069356313 0.00136440329676219 0.000575228452657486 6.47455317379699e-05 0.000303135680695177 7.88011899572703e-05 -0.00141161101437861 -0.000948160507774287 0.000653593788249653 0.0029552176997314 0.000625657866318609 0.00121792196850374 0.00147134889758183 0.00135978699698428 0.00226212140645547 0.00185315189708401 0.000997188759459687 0.00125478412453033 0.00198483441444521 0.00437380991891154 0.00196892716130142 0.00135413226174962 0.00145128667494217 0.00151471567674475 0.000454892213637191 0.00100678282703269 0.00145901554286508 0.000402289435076015 -0.000510625640200727 0.0002696178159003 0.000116825560259476 0.00176861067368399 0.00212783817573095 0.000861977539123534 5.24369079348032e-05 0.000811498679485387 0.000365240300631366 -0.000377268509139522 0.00102310504731815
