"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00673001538026867 0.00250640227543489 0.00381516898471873 0.0035759823546878 0.00192276148849077 0.000975500894741307 0.00649616820546953 0.00160508472134306 0.0029406027523561 0.0011651221616813 0.000442934148497183 0.00217886837805018 0.00119724888526145 0.000233012830647654 -0.00039000919955542 0.000176940903897422 0.00026683412276097 0.00102067170897024 0.00074648055643422 0.00959917761712213 -0.00116711081329995 0.00065255063691815 0.00642006960753565 -0.000269488920287509 -0.00113566536800469 0.00016313296495543 0.00191242301435819 -0.00137666313295383 1.78169002628938e-05 0.00254112681084624 0.00116362283852134 0.00330394090783504 0.000795934739622263 0.00225162923030279 0.000152838323829339 0.00100795383634404 0.00110892568999245 -1.69063802752632e-05 0.00175422563926677
"ISNSL" 0.00250640227543489 0.00495872922192695 0.00235498508939339 0.00351808322616088 0.00271717914718174 0.000894146398215032 0.000185488390675018 0.00165450038047167 0.00200185726362596 0.00134712526742117 0.000889519653452795 0.000801761769964456 0.00157932764607756 0.000597721252864711 -0.000622038782573137 -0.00048627593496737 0.000112552358931897 0.00138294458841104 0.001443376048285 0.00139908227449797 0.000874439029491204 0.000528464328180996 0.00166119698062607 -5.58701941912247e-05 0.000425986285772276 0.000444443511851317 0.00156873660991267 0.000568604808153375 0.000509680965629608 0.000822962657622125 0.000731468539852891 0.00160130360129429 0.00169884660932766 0.00154555896976717 -0.000102029438637944 0.00084461223810164 0.000970692068815667 -0.000265465145295371 0.000935732471892289
"ISPNS" 0.00381516898471873 0.00235498508939339 0.0053310077102083 0.00349364024819278 0.0022546844489311 0.00225689892924264 0.0040156360840829 0.00276117683732094 0.00284944316453363 0.000906749983326032 0.00115192220887592 0.0034595840819635 5.15650221251476e-05 6.64548776343953e-05 0.00191817153846872 0.000485468320918893 0.000693602112943074 0.000525274059548845 0.00186705250622749 0.00221786681209833 -0.000225798759032521 0.00141328090816704 0.00477346985207275 0.00145299965644879 -3.83167184144573e-05 0.00155725870390237 0.00319575387948285 -0.00312446804919834 0.000911220735603539 0.00224419308159406 0.00134357013330247 0.00403341826560274 0.00243311177781215 0.000972908841409982 0.000316009318525735 0.000451100433829862 0.000830790807624037 0.00140156657529031 0.00173301224771087
"PMZS" 0.0035759823546878 0.00351808322616088 0.00349364024819278 0.00574373034617889 0.00365711203628869 0.00171675487654108 0.00476868521175351 0.00397776654618897 0.00348524034495359 0.00168002486836016 0.00157274641583996 0.00235381614232249 0.000716412187435297 0.0004605521522271 0.000904197504684793 -0.000186093865092187 0.000447063062775997 0.00151855330375681 0.00209902247784814 0.00578229164231144 -0.000860624443299046 0.00109975704686036 0.00419555213964782 0.000127864983387641 0.000535585307259679 0.000855305538660042 0.00243077523915884 -0.000223198088409521 0.00109509712765917 0.00195057597316515 0.00145566529539409 0.00174788406312175 0.00269271873748554 0.00139169859200234 0.000151848650129451 0.00108226399648073 0.0013403155983288 0.000794971723953255 0.00057701003525848
"PMZI" 0.00192276148849077 0.00271717914718174 0.0022546844489311 0.00365711203628869 0.0039073262824933 0.00162920191402796 0.00247900579568363 0.0026041232565066 0.00324301979700729 0.00104499675929972 0.00145174683917194 0.00148597517402002 0.000181012692082626 0.000172435415728407 0.000894848343720917 -0.000756701243647774 0.00014528712422827 0.00132189463344133 0.00209152953856598 0.00358691820040034 0.00025797830603571 0.000690102744333253 0.00399218246704585 0.000138612830430018 0.000208724298254147 0.000342185618454548 0.00178808927396744 0.000633718975946052 0.0011784764796993 0.000550540670799239 0.00105280503179252 0.00137585569874472 0.00238452200173024 0.000750960065491602 0.000224008154428458 0.000779883810674803 0.000942859050796797 0.000452502683162652 0.00102770084251781
"PMMT" 0.000975500894741307 0.000894146398215032 0.00225689892924264 0.00171675487654108 0.00162920191402796 0.00194487175961135 0.00199732594283668 0.00168502093166736 0.0016157418330489 0.000163494259925346 0.000801714550795565 0.00159802235025199 -0.000340173193209678 -0.000171633066260574 0.0016586231814911 0.000262253286231985 0.000247729680508906 -0.000289929202177499 0.000780453403971258 0.00146506176586608 9.05897308036526e-05 0.000699696911614059 0.0020871924225018 0.00155984996771183 -9.56782296840266e-05 0.000249140070033546 0.00107202844593081 -0.00111103420112796 0.000537129267633392 0.000677129989022875 0.000652498122623151 0.00148874456496062 0.00124087405517593 6.91974100602267e-05 0.000272363218316294 0.000263282473138486 3.95889580445271e-05 0.000899098013463696 0.000479910684446882
"NSLNA" 0.00649616820546953 0.000185488390675018 0.0040156360840829 0.00476868521175351 0.00247900579568363 0.00199732594283668 0.021230274090632 0.00385010239138914 0.00269069676635633 -0.000617329346519024 -0.000115822794233669 0.00382234555297181 0.000233334365334463 -0.000397162128647664 0.0015782178944697 -0.000675061916000001 -0.000593325517886531 -0.00083263447580277 -0.00143546765708236 7.53307194429379e-05 -0.00210919849950172 0.000904420074023765 0.00478338327478692 0.000412277729769669 -0.00142505633595778 0.000739462174024468 0.000216756678035681 -0.00253213116189609 5.30298196386745e-05 0.00313330645903451 2.77916768616124e-05 0.00272352145116938 0.00060937784720912 0.00150362934908052 0.00135449642619633 0.00160496889825568 0.000721862472682992 0.000701042410479659 0.000253100319386421
"NSLZS" 0.00160508472134306 0.00165450038047167 0.00276117683732094 0.00397776654618897 0.0026041232565066 0.00168502093166736 0.00385010239138914 0.00784371329595124 0.0037383413374256 -4.34050404150032e-05 0.00295793935118114 0.00333462416321173 -0.00105407521460402 -0.000301794341253009 0.00274945999629444 0.000484010152783526 0.000652411692098776 0.00121928072149086 0.00265872471803723 0.00549368673448434 -0.00126772363255447 0.00126941132949906 -9.6269429252404e-05 0.000173094841794037 0.00208221760348276 0.00248102216452501 0.00220207488351766 -0.000228291227607096 0.00148283336013647 0.00105037674663514 0.00132798745825659 0.00127126992176677 0.00388923054762131 0.000779436135284855 0.00149139002786696 0.00058929309872466 0.00149399230373595 0.00242602989693354 0.00116988469497106
"NSLZI" 0.0029406027523561 0.00200185726362596 0.00284944316453363 0.00348524034495359 0.00324301979700729 0.0016157418330489 0.00269069676635633 0.0037383413374256 0.00475087488202375 0.0012242936091316 0.0021158838892384 0.00264723717938318 -0.000189191237248673 0.000181928271175999 0.00154758961934572 0.000477295478132818 0.000839330228967083 0.00118566865143131 0.00322393991841158 0.00639801870293056 7.567121763091e-05 0.00128593508135973 0.00678437809383639 0.000758346663479067 0.000497928398868241 0.00139174064131798 0.00259569092494548 -0.000528049846871564 0.00145455701474126 0.00159796942632687 0.00133671316282686 0.00174721144524999 0.0038903410778619 0.000950819343935174 0.000355894503733844 0.000676913807888872 0.00104506560316393 0.00123604600081806 0.00216842167043305
"NABR" 0.0011651221616813 0.00134712526742117 0.000906749983326032 0.00168002486836016 0.00104499675929972 0.000163494259925346 -0.000617329346519024 -4.34050404150032e-05 0.0012242936091316 0.00420238753373121 0.000512480024833143 0.000625558001720399 0.00263413286381123 0.00150974908010883 0.00179999242273759 -7.18528069005739e-06 0.000397801668406416 0.00122044201145026 0.00215158149948791 0.00621818005247021 0.000624692362883679 0.00112016745174991 0.00317014201485647 -7.44776064686308e-05 0.00153546443051619 0.00128011223659459 0.0018099526529258 0.000771285796706748 0.000778428185145173 0.000895374353514708 0.00100669710282203 0.00121557004235013 0.00189502391732841 0.000907056261989125 -0.0014108733523607 0.000145613424142481 0.00100430242115031 0.000592421045427221 0.00176100417633672
