"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00705420794129177 0.00408604907306051 0.00291772450730887 0.00271478367648734 0.0017187565511077 0.00145128680591339 0.00126118026364494 0.00250490735781181 0.00207581354317127 0.00123003488658641 0.00156433151888876 0.00115052546677554 0.000503405754503306 0.000598891966676219 0.00222138908290064 0.000109062023172084 0.000998414170237657 0.00122656613243779 0.00193072920936289 0.00323976040015097 0.000206110933545268 0.00239543022268071 0.00233003529146149 0.00176490620972986 0.00259059295819804 0.00212273073205522 0.00297286648728856 0.00212671477197707 0.0026691744010577 0.00012521172167562 0.00184415779508356 0.000102926906769496 0.00145458048488488 0.00133274151113253 0.00105463603688991 0.00238381132020142 0.00158199725760104 0.00140430262532473 -0.000789131313243946
"ISNSL" 0.00408604907306051 0.00708189266265162 0.00347849018235543 0.00429108360911721 0.0032302754586576 0.0020633973114144 0.00118900798173342 0.00191150669428598 0.00215160087782807 0.00118543784444611 0.00135164086042587 0.00147292407171924 0.00113229062358802 0.000697489346211608 0.00211706688567285 -0.000281855348549505 0.00056888617665121 0.00122941677500122 0.00163130953040094 7.77043365325502e-05 0.000913135024931864 0.00241688647636561 0.00258072448100676 0.00116596223028109 0.0023921344783313 0.00178877729656784 0.0034212985214464 0.00254347112940924 0.00233079429418547 0.000853721210623322 0.00173493345938609 0.00131684907401128 0.00161889929571363 0.00119555978151286 0.000487601490426547 0.000980640282341855 0.00149797704899477 0.0015061525703627 -0.000357260272778247
"ISPNS" 0.00291772450730887 0.00347849018235543 0.00376628692750949 0.00303099623089383 0.00256339919311882 0.00186176228085481 0.0017764678207374 0.0017052834181186 0.00171428187788804 0.000963203192243969 0.00126252480430092 0.00203974334119273 0.000528649579191823 0.000743469545619839 0.00168969300296173 0.000560693426859213 0.00115522703595013 0.00187339276470843 0.00207930109027819 0.00392323405600083 0.000558848568534907 0.00173088062985634 0.0020749857129454 0.00115402185927888 0.00260178186179569 0.00183745629078157 0.00351516444777771 0.000609792950270991 0.00209653788383296 0.00096848933990948 0.00159177473726486 0.00117273288891209 0.00155717932791405 0.00116472556531194 0.00134963001442528 0.00128355405466475 0.0017522979688418 0.00166407027462329 0.000282306379903384
"PMZS" 0.00271478367648734 0.00429108360911721 0.00303099623089383 0.00498586821825245 0.00351142144058128 0.00192071876035535 0.00276984909483437 0.00334574730023279 0.00193621805736199 0.00141319352152097 0.001474881894756 0.00130003302427215 0.000390634809182912 0.000641619657078519 0.00242268729647421 0.000312266663564442 0.000849018040415609 0.00150271596812667 0.00189162160691444 0.000506410180345071 -0.000354435794655476 0.00181186472974867 0.00088359360262381 0.000391511254969585 0.00260151644091025 0.00232143144685309 0.00344978996750191 0.00243803826931881 0.00244403050908917 0.000663602737740279 0.00151982401321254 0.000609671212247155 0.00165394272170901 0.00126435611971392 0.00103154085669459 0.000982400811783151 0.0014471225925534 0.00152281030778622 0.000143759116139234
"PMZI" 0.0017187565511077 0.0032302754586576 0.00256339919311882 0.00351142144058128 0.00380827414621169 0.00178897972590117 0.00187504662183358 0.00205520193023324 0.00219472746858852 0.00122053191096791 0.00139043744395281 0.00125986115872001 0.000488994039154444 0.000666234663624127 0.00169881458159611 0.00050851847686604 0.000880879320262022 0.00171006964373739 0.00182064222414049 0.0028326814727022 0.000680318099219885 0.00153220546102105 0.00222641071716634 0.000394938350588009 0.00154592901933824 0.00100044295073966 0.00304275620101914 0.00228740426140203 0.00181683984120546 0.000650515887741294 0.00144729804428843 0.000781988653472881 0.00146779919266103 0.00110983503706052 0.00107635027231056 0.000705170217268074 0.00153219560362199 0.00118579556735141 0.000595875250975211
"PMMT" 0.00145128680591339 0.0020633973114144 0.00186176228085481 0.00192071876035535 0.00178897972590117 0.0018195407993106 0.00105681788239257 0.00108988824681093 0.00108141043720034 0.000740651204409702 0.000815361878463643 0.000918459219386416 0.000755156549428129 0.00049489675074187 0.000609565296868538 0.0001288738078889 0.000551208144419154 0.000920927105934439 0.000748575203272965 0.000940987247352598 0.00048844065771958 0.000928984799929539 0.00117038672236464 0.00103275505936903 0.00152342065592667 0.000926604936290733 0.00130407168450164 0.00116827015601598 0.0011710844460707 0.000577366855109568 0.000844674580116569 0.000532330106470137 0.000603542627541591 0.000486234964806239 0.000794207764266536 0.000402962632846111 0.00108691284638463 0.000845287915198325 0.000294271358277587
"NSLNA" 0.00126118026364494 0.00118900798173342 0.0017764678207374 0.00276984909483437 0.00187504662183358 0.00105681788239257 0.0150884485314776 0.00114790251849923 0.000706489202681416 -0.000432690158432194 0.00056875738390498 0.0016000292781195 -0.000261155031325481 -5.59747388845076e-05 0.00137756279537116 0.000455947959393881 0.000545485220700393 0.0016782777468549 0.00181156962899358 0.00549624197462033 0.00174139231906586 0.00117239625323467 0.000815064623041574 -0.000159740620149066 0.00173693621603219 0.00189750574027966 0.00234066293774077 0.00130695762198975 0.00141519241732244 0.00127752781839983 0.00106345779179136 0.000758965243555072 0.000889390507840997 0.00140635019908444 0.000910722307320442 0.000877474576017957 0.000856028252716662 0.000878697618106054 0.000657925698442788
"NSLZS" 0.00250490735781181 0.00191150669428598 0.0017052834181186 0.00334574730023279 0.00205520193023324 0.00108988824681093 0.00114790251849923 0.00587648365997911 0.00213556481771848 0.00106106883820806 0.00198854444001396 0.000885337046206788 0.000455480419445671 0.000487678304778389 0.00192911110848326 0.000382842321303915 0.00092257954865659 0.000788280604360147 0.00133275612976111 -0.0034148160367711 -0.00190300083330756 0.0010491719524996 -0.00200623164942371 -0.000165080077697703 0.00198640008117952 0.0023288827592595 0.00224251758434344 0.00218560227156179 0.00222592831175757 -0.000704541481289537 0.000989507427611996 -0.000140269426366953 0.00164337302602556 0.00100140336966869 0.00118919300451971 0.0006511363765234 0.000961385723962321 0.000659268592844342 0.000347599135584405
"NSLZI" 0.00207581354317127 0.00215160087782807 0.00171428187788804 0.00193621805736199 0.00219472746858852 0.00108141043720034 0.000706489202681416 0.00213556481771848 0.00249337625742247 0.00107727085713996 0.0015211819565398 0.00124360627353201 0.000283771327254744 0.000492866497351496 0.00156796077990717 0.000561766917885577 0.000881781776615938 0.00137263415352527 0.00201969727302495 0.00150241999497363 0.000405929524795395 0.00136118426806006 0.00297037502343629 0.00073768017511214 0.00115902692998526 0.00136006092734651 0.00213142976811085 0.00161619748528473 0.00159625180423763 -0.000205635910883101 0.00124666007780635 0.000682345567045563 0.00180851914898859 0.000928359497786575 0.000808928696638185 0.000890363117839852 0.00132317548470835 0.000593413346086587 0.000198333233154419
"NABR" 0.00123003488658641 0.00118543784444611 0.000963203192243969 0.00141319352152097 0.00122053191096791 0.000740651204409702 -0.000432690158432194 0.00106106883820806 0.00107727085713996 0.00233873964415228 0.000825089115522918 0.000665698098919558 0.000737918015422331 0.000802806341072432 0.00231419030845542 0.000762590260630626 0.000579989701414112 0.000604163750123145 0.00124773237037237 -0.000356762222597677 0.00039993297155764 0.00129962786248587 0.00119967665716624 0.00111303926359086 0.00133066105160757 0.00123039777181199 0.0013336397558595 0.00130473661086537 0.000960265853204008 0.000241509229949536 0.000899397826470507 0.000157233229475727 0.0014364278662118 0.000344716656538653 -0.000112156162788594 0.000848638544943207 0.000664668916645855 0.000525552017297944 0.000348816545180227
