"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00516243308792432 0.00166737012186896 0.00157163433099111 0.000575442836618815 0.00042237269620688 0.00107541972486105 0.00163144822115125 0.000917630526536047 0.000872925053889461 0.000626141256226604 0.00062250481371376 0.000712276511362683 0.000625826141665568 0.000508067315169459 0.00147729133087618 -6.72570691367384e-05 -2.49274379385282e-05 -7.20772677078065e-05 0.000831947339923805 -0.000503664313170153 0.000849696310750862 0.000919393139864974 0.00102216031190024 0.000962610059803277 0.000815566414779977 0.00197582584746443 0.00112530626265891 0.0017405704559043 0.000288707538118626 0.00019369922676594 0.000359797372836096 0.000465890766412097 0.000864221657591427 0.00153974907556763 0.00107676123338136 0.00112597989491344 0.000473409714874947 0.000333119149973122 0.000304893786916983
"ISNSL" 0.00166737012186896 0.00562961339393299 0.00245664762683045 0.0041589656561213 0.00303282796559207 0.00132848555066162 0.000924643710031537 0.00100030821856814 0.00215698213869919 0.00144869270728271 0.000924911565811095 0.000907833896000809 -0.00061188784174051 -0.000120557258586809 0.00339059649089632 0.000257877416201147 0.000440887569647946 0.00114527317163154 0.00258811754195965 0.000613443108040108 0.00328208866610374 0.00254469564927626 0.00356813177134357 0.000693929657474115 0.00209532498404414 0.00272381612286236 0.00408029587001245 0.00249836328402855 0.00167258199121487 0.00226111388224489 0.000821947508209582 0.00133858297751986 0.00279199201543993 0.00090860928675283 8.4592423202188e-05 0.000866774769428579 0.00096710909494382 0.00121447676365791 0.000555656305218468
"ISPNS" 0.00157163433099111 0.00245664762683045 0.00350549749407125 0.00301558172189266 0.00266928486641232 0.00107705722491531 0.00263291050384461 0.0010704845890257 0.00203141796737333 0.000581337321660976 0.000146334880200617 0.00194459045654757 -0.00125044897290503 -0.000477991805144932 0.00261363941039073 0.000408742310767136 0.000411596571111003 0.000725026488355401 0.00172261951058039 -0.000201536209211581 0.00172020884233237 0.00157432588625654 0.00362898976418544 -0.000367486255132254 0.00140007951624314 0.00246314690469949 0.00280699797317256 -0.000678092925984776 0.0013514875931349 0.00303329859008078 0.000963428287140801 0.000903846042353602 0.00162111722048078 0.000864684637655309 -7.10966659415794e-05 0.000908555561392321 0.000641024079608114 0.000619425530696069 -0.000236878006611578
"PMZS" 0.000575442836618815 0.0041589656561213 0.00301558172189266 0.00617390953642094 0.00385496510127005 0.0014682302446674 0.00363717986620543 0.00285864281601734 0.00231707242903802 0.001086147609019 0.000658795882939857 0.00143780480653432 -0.00167337140068034 -0.000420332180319815 0.00356038059674951 0.00103654694639741 0.000833776726954213 0.00143788850115184 0.00342642578235738 0.00156227302271583 0.00053597045762478 0.00230544565822442 0.00339945607940109 -0.000838402847793435 0.00231315439931745 0.00307207554039517 0.00422293505005319 0.00163956915953609 0.00204949888827179 0.00251668558466999 0.00119833274092765 0.00051116568614256 0.00338747068837951 0.000426867325744404 0.000397148727629037 2.1627632933077e-05 0.000801627287455633 0.00114360936068883 0.000252076964871176
"PMZI" 0.00042237269620688 0.00303282796559207 0.00266928486641232 0.00385496510127005 0.00415098710834146 0.00116854659010535 0.000892842924812453 0.00125087984713089 0.00257624424053909 0.000812563119813541 0.000484765320412261 0.00106525106604252 -0.00149344855339366 -0.000263010146982846 0.00253458808850163 0.000625900507416624 0.000671500364451382 0.00112233736366274 0.00205254848171469 0.000843183157585615 0.00209335772280378 0.0016314174854641 0.00419025465031678 -0.00103800582320797 0.000865871672522269 0.0015750546458874 0.00345509103468268 0.00103208860115079 0.00177958048578577 0.00237237490829907 0.0010849592117729 0.000483690716000354 0.00221445139716675 7.47330651253356e-05 0.000105807753488797 0.000312516703507536 0.000561159031005523 0.000947402312346068 -5.25863898484609e-06
"PMMT" 0.00107541972486105 0.00132848555066162 0.00107705722491531 0.0014682302446674 0.00116854659010535 0.00169102437780934 0.00129907836512028 0.000992313679871383 0.00102762024421866 0.000367367379235237 0.000457841459313178 0.000456977442836192 0.000241150850170021 9.01724160919295e-05 0.000876054984521907 -0.00017941564084207 0.000161892976814493 -4.33655451420445e-05 0.000668098897065062 -0.00266899687844308 0.000588070524996476 0.000866385643124856 0.00128491324200064 0.00115951003010673 0.00118195463435288 0.000718008205970682 0.00092187143214541 0.000810777092126178 0.000972803092833115 0.000819258914541614 0.000635812170686148 0.000176976475895954 0.00103779728313093 0.000363022507871475 0.000383029357737536 0.000167102900364187 0.000228883353506328 0.000268770126813615 0.000312054056548212
"NSLNA" 0.00163144822115125 0.000924643710031537 0.00263291050384461 0.00363717986620543 0.000892842924812453 0.00129907836512028 0.0146038397860649 0.00234414849103644 0.00158838517830895 -0.00116826963503441 0.000175042145589017 0.00138333492202496 -0.00193070981708817 -0.00156380235934535 0.0021674032041444 -0.000291849400267296 -0.000334814999869413 -0.000993454854891911 0.00132905004785091 0.0017433458464084 0.00145016601840002 0.00148611090839067 0.00267574654504659 0.00103989855166801 0.000924566423561044 0.00341097044144892 0.000365574337037065 -0.000539984194686482 0.00140630877853952 0.00286136973371432 0.000932200943334166 0.0014232295670242 0.00135959702280545 -0.0009287023819183 0.00113822496263546 -0.00294767908120888 -0.000123131273455096 0.00135158605184112 0.000433057659207383
"NSLZS" 0.000917630526536047 0.00100030821856814 0.0010704845890257 0.00285864281601734 0.00125087984713089 0.000992313679871383 0.00234414849103644 0.00672080968320792 0.00219825441184725 0.000543375394843192 0.00123263012977239 0.000964626648907271 -0.000496035557094833 -0.000226784719283408 0.00187984389218648 0.000443728742990563 0.000414522638529861 0.000453062514079972 0.00221883095880849 0.00139942787501029 -0.00327877629566545 0.000306792461034678 -0.00198496928086661 -0.00144005541917487 0.000937388680847732 0.000613944794114083 0.00116413506915178 0.000890793401628716 0.00131818965394491 0.000953696158248904 0.000725728194901324 -0.000596486731800878 0.00240250176450714 0.000499265657616489 -0.000339126986645654 -8.74386686077066e-05 0.000569153170857957 0.00115559941602227 0.000640439114755116
"NSLZI" 0.000872925053889461 0.00215698213869919 0.00203141796737333 0.00231707242903802 0.00257624424053909 0.00102762024421866 0.00158838517830895 0.00219825441184725 0.00296065154723594 0.000792804036364367 0.000869672971763681 0.00119597126254091 -0.000606598622304223 -3.63874472883331e-05 0.00266233555594561 1.62222111132079e-05 0.000417182326562244 0.00018367000181551 0.0015769800752609 -0.00167160942627335 0.00136245913471677 0.00117819425982828 0.00388573983008346 -0.000617023907161281 0.000728194370041272 0.00136681179032727 0.00233731105241386 0.000427542339790267 0.00190656849359875 0.00204476448145293 0.000941690317503882 0.000290601599102259 0.00227668038996867 0.000554112797341787 -1.56652028713929e-06 0.00055579667606631 0.000378359530374913 0.000885451473877808 1.01310656773334e-05
"NABR" 0.000626141256226604 0.00144869270728271 0.000581337321660976 0.001086147609019 0.000812563119813541 0.000367367379235237 -0.00116826963503441 0.000543375394843192 0.000792804036364367 0.00257987963782366 0.000433474419750334 0.000549545488699965 0.00123886301408208 0.000925174703479752 0.00238681240642901 0.000616080518158408 0.000803612920406721 0.00109774280685281 0.00127922756521887 0.00115552422596139 0.00102424762706654 0.00143383110295058 0.00138260083866278 7.67466897909121e-06 0.000866020633126175 0.0010259750472885 0.00222612843185126 0.00117731122780148 0.00146157517390661 0.00149550666928338 0.000840745323809089 0.000736034858462991 0.00139085742341204 0.00170478327267761 -0.000815210175194022 0.00128052352881872 0.000847346919887766 0.000547836576889279 0.000324867392041716
