"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00944837105423909 0.00432952403268862 0.0052980585299453 0.00605859218950456 0.00328898222302387 0.00215275917765255 0.0112646656412049 0.00537550905480797 0.00471718312137627 0.0012895810020561 0.00245370279912115 0.00394588609454872 0.000935292446349993 0.000275694885056031 0.0034204570752754 0.000881693971550494 0.000883136714106617 0.00211618478637165 0.00278892654806348 0.00860195516459427 -0.000715325453010335 0.0025406632001063 0.00596859332024982 0.00134576296145392 0.0015904500909261 0.00183815413691324 0.00323806462472707 0.00109778945414716 0.00141083039204999 0.00408906828972371 0.00272466342422288 0.00442550915316836 0.00336610205065768 0.00281254922588902 0.000168939556101568 0.0033135845263537 0.00224613091497738 0.00164751774681249 0.000851008064591919
"ISNSL" 0.00432952403268862 0.00636498615441776 0.00381173372280946 0.00558551459392192 0.00409749239988516 0.00191051645717005 0.00393432002524036 0.00407122904061362 0.00354802847282855 0.00143373495780564 0.00222354615713837 0.00213530942134166 0.00112677492914976 0.000629958496699274 0.00162068301664027 0.00024265790479926 0.000658662280289578 0.0025888533731244 0.00308489397534876 -0.00155303684318515 0.00121863790125376 0.0020449200999138 0.00309563097151548 0.000951948598946852 0.0013521985996322 0.0024203105307732 0.00283932482035766 0.00206585205493394 0.0012281797981301 0.00195137835214794 0.00158129601439059 0.00378634486863749 0.00333728798917017 0.00167813213822797 -0.000239312312508998 0.00205568456957337 0.00214242491817891 0.0011320360953675 0.00102136790399149
"ISPNS" 0.0052980585299453 0.00381173372280946 0.00638190411446416 0.00547225024630263 0.0035542572666936 0.00300008859159095 0.00728396681875227 0.00506013876833278 0.00414134322747395 0.00116156199198789 0.00232825141179386 0.00459003079384625 -0.000353158252383412 -3.72793229459073e-05 0.00374683947123239 0.0010231211217083 0.00113434024404579 0.00191907292884466 0.00341170083050697 -0.000999088452779812 -0.000183893646410926 0.00252692675825508 0.00485644188768391 0.00221413079202713 0.00120951170592046 0.00304215217111324 0.00407769958547576 -0.00154135612842448 0.00176784806783542 0.0031684857795678 0.00227203399047652 0.00497998830593544 0.00406026026034232 0.0010644073019944 -0.000441635525813366 0.00143772521291476 0.00179349607103168 0.00222499584932708 0.00111063173184845
"PMZS" 0.00605859218950456 0.00558551459392192 0.00547225024630263 0.00873972888017904 0.00582949401758867 0.00301940199701698 0.00986729819762066 0.00718820269313638 0.00552561673662596 0.00206546430027783 0.00317852248273141 0.00416610473209797 0.000581695051173599 0.00054031753573133 0.00383083256983619 0.000675865044338875 0.00121045619191502 0.00307793107167706 0.00391070440016774 0.000439915811740483 -0.00050259152153102 0.00298114528839776 0.00557088275942403 0.00113770444767013 0.00193186408262683 0.00305442422959369 0.00404825124015674 0.0017826492590783 0.00244750145058089 0.00334434673036198 0.00278690027768026 0.00420971898032126 0.00489061839022848 0.00157578649875644 -0.000533508315290291 0.0028615206638886 0.00275245411175708 0.00236285011751437 0.000347776546031704
"PMZI" 0.00328898222302387 0.00409749239988516 0.0035542572666936 0.00582949401758867 0.00538316352486662 0.00241858889782201 0.00541678964497717 0.00446751964471628 0.00438489179898568 0.00147107313779706 0.00220529989529602 0.00250897746361102 0.000329352006651706 0.000415337373074068 0.00241589700582978 0.000105496207294446 0.000753504096491009 0.00239724769869705 0.00295756823966707 0.000352750979073568 0.000254070557433568 0.00190549439752903 0.0049769979159116 0.000655263614507463 0.000631741018837785 0.00175909999277293 0.00268909975181476 0.00174385159664032 0.00182003683615572 0.00134300188797491 0.00186139459226482 0.00312574340347869 0.00341750509585663 0.000792723341171152 -0.000390877819107479 0.00200490060705237 0.00189260211649503 0.00155169317542365 0.000748088486893898
"PMMT" 0.00215275917765255 0.00191051645717005 0.00300008859159095 0.00301940199701698 0.00241858889782201 0.00245539486229959 0.00342030706027669 0.00290883025207271 0.00235850191596916 0.000382587260856197 0.00155382404057949 0.0021066424265663 -0.000408874018376436 -0.000143241849434788 0.00246537808848159 0.000512404996979897 0.000493347496858604 0.000738664043268301 0.00167741915842518 -0.00020268752234308 9.47474576656657e-05 0.00146279430275741 0.00251684050060794 0.00210725577789633 0.000480423483441024 0.00119078939299328 0.00184639048533458 -0.000102554587318346 0.00100610575789836 0.00117356080125785 0.00113165049626756 0.00253236379846215 0.00223202458235051 0.000386655250780137 -8.05031787363246e-05 0.00103699467302822 0.000914571304131599 0.00151641180422236 0.000277966980500925
"NSLNA" 0.0112646656412049 0.00393432002524036 0.00728396681875227 0.00986729819762066 0.00541678964497717 0.00342030706027669 0.0327692843877593 0.0104216991799802 0.0065481221002775 0.000179979623091838 0.00311154392114907 0.00827570819560012 0.00103791798344117 -0.000307815519544396 0.00680124837495733 -0.000148858952302184 0.000568500501536449 0.00170104263345905 0.00140414077761067 -0.0086025453701331 -0.000882723505949213 0.00377398761731331 0.00537661633143951 0.00108480748309445 0.00277605843721327 0.00351748248398402 0.00226933053886861 0.0013096298355087 0.00242946824458958 0.00453005597338467 0.00291598704446303 0.00608246822077959 0.0040628014737617 0.00119323815328475 -4.34195329521552e-06 0.00473211858369556 0.00277370834647958 0.00240419793315688 -0.0007326028608764
"NSLZS" 0.00537550905480797 0.00407122904061362 0.00506013876833278 0.00718820269313638 0.00446751964471628 0.00290883025207271 0.0104216991799802 0.0111879975020115 0.00600818036448341 0.000548730895081855 0.00468849411296319 0.00555048968499243 -0.000897945321182034 -0.000203025384285658 0.00593548452119551 0.000911453482163177 0.0011777447281089 0.00254906496867979 0.00440536262051318 -0.0021991199783517 -0.000982939118983325 0.00319601959271211 0.00150331610434076 0.00129431042567789 0.00398916151440847 0.00443439553134179 0.00404134759728742 0.0019000427992081 0.00278618194688318 0.00297154981426593 0.00293798391913158 0.00322641395191905 0.006206264548516 0.00110915307163464 0.000430244847678017 0.00233474483269626 0.00293064795500781 0.00355990721591639 0.000796711946394094
"NSLZI" 0.00471718312137627 0.00354802847282855 0.00414134322747395 0.00552561673662596 0.00438489179898568 0.00235850191596916 0.0065481221002775 0.00600818036448341 0.00578721365555164 0.00138768400852025 0.00310845905331869 0.00395171996914738 -0.000174962355177111 0.000226177582899042 0.00351757918793417 0.000760557357233199 0.00111065948955612 0.00211134471790479 0.00394982779107177 0.000612497819190376 6.06710190545806e-05 0.00241610873041707 0.00674384740613642 0.00135135719329495 0.00138197361804829 0.00265813878532766 0.00336781912186851 0.000931510374151326 0.00212197946758506 0.00237291267329311 0.00219885627850989 0.00333999952548857 0.00493744708090262 0.00105473869989141 -0.000251319680123547 0.00175322050891695 0.00201213286673359 0.00216507275281112 0.00137897017146451
"NABR" 0.0012895810020561 0.00143373495780564 0.00116156199198789 0.00206546430027783 0.00147107313779706 0.000382587260856197 0.000179979623091838 0.000548730895081855 0.00138768400852025 0.00363471455144407 0.000604055786151322 0.00076966296986036 0.00213501731032881 0.00131151841583858 0.00183756334573798 0.000436650114850279 0.000753193285049991 0.0014658065418712 0.00220033953310182 0.00648110733917466 0.000318236994471173 0.00118160805601774 0.00287030607749824 -8.4525414601662e-05 0.00127520848853702 0.00119697379953413 0.00181525179249388 0.000868654750411827 0.00115996793451693 0.00131041176594583 0.00131021070282763 0.00135263662534874 0.00199514635687729 0.000897172347665262 -0.00133137760040004 0.000375642963327322 0.00103844875214643 0.000748028335247965 0.00128012566710811
