"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00690046505806987 0.00262469560793328 0.00260080061329097 0.00141923080338973 0.000572628035800641 0.00139949585002075 0.00106278416356206 0.00145016971369745 0.000578384782134712 0.00116302217406768 0.000235433902369343 0.00115220054685506 0.00185815801353329 0.00206630508314929 0.0012774688726804 0.00157895633518455 0.000810359691827082 0.000729198146150847 0.00104298011047508 0.00166551663169493 0.000717260840935053 0.00149082566267685 -0.000161406375069816 0.00199711080526891 0.0021249140102261 0.00132780856158836 0.00070991232090212 0.00110916447876443 0.00082360367915142 -6.99821793313405e-05 0.00115007457533146 0.00162979463904699 0.00153537380099624 0.00145299436325139 0.00140423834339659 0.00144219859257167 0.00169308141139041 0.00146363811106697 -0.000459793919193467
"ISNSL" 0.00262469560793328 0.00617063953387286 0.00301739119574893 0.00346433647983397 0.00206627089506484 0.00120764960374431 0.000727356344828428 0.000278263089430704 0.000307794770103029 0.00070223505506566 0.000708073174590691 0.00137345717404534 0.00080876478767629 0.00155944994638121 0.00248646332564339 0.00152575318566832 0.000625400619746151 0.000448879703361998 0.0020241284363914 -0.00038272603989893 0.0014085425572876 0.00222043398314827 0.000834396391574244 0.00219213265276926 0.00199870105505671 0.0035554864729864 0.00280477827861468 0.00144883363774286 0.0013445162543055 0.00100464362384141 0.000994096340601408 0.00296661505119449 0.00210369418487998 0.00185873159500324 0.00113478153134581 0.00245765219409656 0.000535095642104706 0.00176468634366309 0.000286694437289131
"ISPNS" 0.00260080061329097 0.00301739119574893 0.00286809384162292 0.00179854739154296 0.00100539615607854 0.00113165157439233 0.000410790446613601 0.000840326832870367 0.000554501571494242 0.000608416348719835 0.000332781816845424 0.00114194327475902 0.00108672203756509 0.0014634281343137 0.00189934000877337 0.000921419642175279 0.000510896551113298 0.000136830031315653 0.00138179405196413 -0.000551170352404646 0.00100124963704123 0.00190265980181752 0.000655349455633832 0.00216276781518171 0.00215883201588392 0.00255670159614814 0.0031974305718291 6.21568100757124e-05 0.00150681687800971 0.000579638748039139 0.00130452031422328 0.0027479510960515 0.00182216635024984 0.00179161516397814 0.000838935845715824 0.00215352452551413 0.000955963385981481 0.00159071752513243 -4.63500401771856e-05
"PMZS" 0.00141923080338973 0.00346433647983397 0.00179854739154296 0.00402619751573735 0.0020051236826695 0.000599775314855276 0.00304317245043106 0.00304229944013542 0.000650246100410864 0.000695215964645114 0.000507532525445941 0.00120527840469351 0.000632861906404462 0.00124654791933601 0.000968164515522791 0.00113698757822977 0.000568721664127422 0.000922648486493265 0.00164753963624924 -0.00038605222516994 0.000798826717647844 0.00228755705998438 0.00180880583331734 0.00145295826023467 0.00214355108955501 0.00271737554848573 0.00207549499024616 0.00134890543211121 0.000839948255411795 0.00160383220608254 0.000638333314829808 0.000933407596117233 0.00161195853873384 0.0012514999825943 0.00142477982108433 0.0027826389335941 0.00108662910778503 0.00203238293517601 -0.000113601079236914
"PMZI" 0.000572628035800641 0.00206627089506484 0.00100539615607854 0.0020051236826695 0.00221810934925135 0.000584779782283533 0.00116074277606809 0.0013917744751309 0.00103270344288084 0.000659739615502233 0.000826648851322024 0.000834302391085405 0.000334275810785162 0.000575099649313961 0.00110990132056936 0.000647117470304128 0.000284647983198267 0.000380226737123665 0.000826030860385511 -8.85536915528927e-05 0.000521153114469853 0.00110047280893315 0.000577150440958184 0.0010337879962169 1.3897460474781e-05 0.00100495558507686 0.00135114927391885 0.00133302416812705 0.000622316953548863 0.00127883468687079 0.000262180227698598 0.000727949472636397 0.000745449837036352 0.000774403849381531 0.00124219466132655 0.00142860011469881 0.000167836786028632 0.00076703176818788 0.000525178918526318
"PMMT" 0.00139949585002075 0.00120764960374431 0.00113165157439233 0.000599775314855276 0.000584779782283533 0.00176055647875017 -0.000849773543258239 -5.37434618192533e-05 0.000363975726428711 0.000634657987978031 0.00044046018636734 0.000693633232738403 0.000892476486661994 0.00110439182444407 0.000660375674147179 0.000902807812095798 0.000613044731580429 0.000938786006169469 0.000662111594918433 -0.000233041607493884 0.000119260171731692 0.00083956756800127 0.000133157314396819 0.00162330256394895 0.000745347824561694 0.000550431808026542 -0.000315993195956918 0.000717690513475963 0.000545775091002071 -0.000335013095079482 0.000836275659852555 0.00117758346932718 0.000641896452633178 0.00140180501616643 0.000709032148469847 0.00116728347425647 0.000993632537890019 0.00102258207545135 -0.000275200885727796
"NSLNA" 0.00106278416356206 0.000727356344828428 0.000410790446613601 0.00304317245043106 0.00116074277606809 -0.000849773543258239 0.0092430712134828 0.0042314363743563 0.000507515199431713 -0.000867625079561116 0.000161537338712727 0.00292291316261362 -0.000802233356194991 1.91735090716415e-05 0.00141203192634002 0.00102430524358838 -9.5117907244093e-05 -0.000375577273696943 0.00121960561846919 0.00317112416605298 0.00170904672866013 0.00223782404373466 0.00156628698289447 0.000482361452986282 0.00273617282923761 0.0022439003222532 0.00155517032214537 0.000922369647599725 0.000955579618739689 0.000631471352153243 0.000366826148018334 -0.00110438618402617 0.00131227352952014 0.000114122378049654 0.00245880951227327 0.00204210191982171 0.000498208122549876 0.00138621943716499 -0.000750561538072638
"NSLZS" 0.00145016971369745 0.000278263089430704 0.000840326832870367 0.00304229944013542 0.0013917744751309 -5.37434618192533e-05 0.0042314363743563 0.00727588365611325 0.00188100180011983 0.000901411611620255 0.000808595998500538 0.00100214001672781 0.000820886156867897 0.000826111308272016 -2.15228066171444e-05 0.000256293580647519 0.000202906988081255 0.000499709788488211 0.00107167542318523 -0.000485147412293194 -0.000678602104337395 0.00172391996015024 0.000730667651717493 0.000314341636339784 0.00190641310561228 0.00205469792323658 0.00120200290333786 0.00135711566293672 0.00109339767415751 0.00186595073898578 0.000318101612588671 -0.000457957658570228 0.00168185404174866 0.000694716544667592 0.00169140642106973 0.00249821160832763 0.00124794335520548 0.00195051980051524 0.000111130557304303
"NSLZI" 0.000578384782134712 0.000307794770103029 0.000554501571494242 0.000650246100410864 0.00103270344288084 0.000363975726428711 0.000507515199431713 0.00188100180011983 0.00215812428889745 0.001047220419118 0.00145671119715182 0.000900523293398724 0.000877121317481573 0.00065070821975298 0.000954969202169432 0.00025438801975602 0.000317784415001822 0.000594848767658144 0.000608979280761859 -0.000587486248065198 0.000228680100438291 0.000680917696747309 0.00219706431316473 0.000120772766210587 0.000973813194536437 0.00146208944212478 0.000834698774557474 0.00111222630728391 0.000675238741670011 0.0015522073454359 0.000710564921408188 -1.65418914627807e-05 0.00127031863930242 0.000775854488792901 0.0011949920130024 0.00142102380091958 0.000801370113386486 0.00154452225867536 0.000719572887627448
"NABR" 0.00116302217406768 0.00070223505506566 0.000608416348719835 0.000695215964645114 0.000659739615502233 0.000634657987978031 -0.000867625079561116 0.000901411611620255 0.001047220419118 0.00363091594588551 0.000810610522858624 0.000323452098699478 0.00262122064928184 0.00213866600657567 0.00069225834447693 0.000739237152783784 0.00100702968723017 0.00120469401452519 0.000748420866760691 -0.00173530750652165 0.000566333111402609 0.000922934257527115 0.00117723970366486 0.000856384654384701 0.00122016376213579 0.00147500568439038 0.000247013678452637 0.00113810561662665 0.000562747598711145 0.000455830560093097 0.000735230958897009 0.000233428818352142 0.00123204233640693 0.00144203744009328 -0.00104201224827911 0.00177596371743147 0.00144915985635885 0.00193618660331769 0.000768672216167043
