"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00789071766250791 0.00241478697724589 0.00248558078896858 0.000692870389162208 0.00221637848797038 0.00296734851920408 0.0073367415205761 0.0011146335784323 0.00298432578536985 0.000236459291524178 0.00211583722692877 0.000860877105107982 0.000934198618359056 0.00102577986547729 0.00134705254723994 0.00170783219136479 0.00211556396267585 0.00177387399771686 0.00176757480212707 -0.014586831009395 0.000869401339536715 0.00127041665699724 0.00420676080833615 0.00332150276522834 0.000115511768000074 0.0025247505799477 0.0015397900212217 0.00270534994866881 0.00235634533563768 0.005637148982743 0.00300237080038081 0.00150334082100526 0.00417306972437426 0.000226816913703721 0.00524590550782504 -0.000230817779773132 0.00319978104192024 0.00132036293499574 0.00108911974359783
"ISNSL" 0.00241478697724589 0.0108780162326092 0.0034518839107365 0.00433313788949242 0.00325088556801055 0.00183827391248416 0.00143009966104596 0.000374095259159069 0.00185543767006045 1.26575892467842e-05 0.00130600066587706 0.0016935833041955 -8.98152325608119e-05 0.000221846592891345 0.00212285026577254 0.00150365135560624 0.0024094063172133 0.00320335004431857 0.00109021876150548 0.0195100591697205 -0.000877756340200304 0.00194920719364597 0.00392292804958927 0.00231222065235801 -0.00165497185300958 0.00214921297025394 0.00316356803233563 0.00369009714746271 0.00316014970396094 0.00270550440759686 0.00232646465808812 0.00574032791416959 -0.000286159935883485 -0.000650207227867719 9.46207916479502e-05 0.000673113507096707 0.00333255094449523 0.00204995141685114 -0.000513981967194552
"ISPNS" 0.00248558078896858 0.0034518839107365 0.00425527873152209 0.000596531141431846 0.00153635365765926 0.00121685546036212 0.00101312476587488 -0.000609761790283809 0.000968499149682896 -5.26082259539127e-05 0.00112052978589231 0.00255853256621208 9.8961875348735e-05 0.000203312611221889 0.00292769067408862 0.000728487978078654 0.00106773101066752 0.000583099949708525 0.000766080318050553 0.000250468064844153 0.000347784769060903 0.00116407088996305 0.00250731271789589 0.000850532578723008 0.00165249712007243 0.00154924504083201 0.00309091639625242 -0.00101327585032116 0.00140015311371165 0.00298586315128249 0.0019156479723311 0.00253427205158876 0.00117492338513651 6.4400841751663e-05 0.00179875020826131 0.000336885808995637 0.00133570436560183 3.38381874079993e-05 -7.45366073829243e-05
"PMZS" 0.000692870389162208 0.00433313788949242 0.000596531141431846 0.00699677987456897 0.00107570495857793 0.000431679551776342 0.00447977136181231 0.00334592794971946 0.000345346139228274 -0.000288105999459232 -0.000182354507594181 2.79481537476964e-05 -0.00039876999967104 -0.00010545122889501 -0.00133036646701426 0.000721525315018281 0.00110907537925743 0.0012874940987033 0.00109759851267685 0.0231710452432069 -0.00203448671046843 0.000799006479922545 -0.00129008142025608 -0.000139461752032302 -0.00221706642929419 0.00237559417944264 0.00191881790563939 0.0019467418988555 0.00124829353191017 -0.00157262072787019 0.00119225865844992 0.00291700313782345 -0.000247545588775026 -0.00105460574168839 -0.00187718612744494 7.86220564081157e-05 0.000942870631085449 0.000617242248833631 0.000239082992876618
"PMZI" 0.00221637848797038 0.00325088556801055 0.00153635365765926 0.00107570495857793 0.00283988526497934 0.00174476358080609 0.00454534113042819 0.00029442140993742 0.00205686995931856 0.000259092410077241 0.000855708766478189 0.0010434454844529 0.000385686316738319 0.00039798540975634 0.00205646870655443 0.000244044742792036 0.000622816520679375 0.000859108605392289 -0.0002122429402443 -0.000780714251478132 0.000674895253360572 0.00118209384165613 0.00370559201368909 0.000990354344330324 -0.00165269413125483 0.000683453028619067 0.00172637483883456 0.00173635592880281 0.0012064612176828 0.00359619254274704 0.00129790111571962 0.00251047736206488 0.000765317123969989 -0.00124791874209182 0.00108310018880772 -0.000267900531745902 0.00180539982092035 0.00105826369964999 -0.000209146487683573
"PMMT" 0.00296734851920408 0.00183827391248416 0.00121685546036212 0.000431679551776342 0.00174476358080609 0.00233086126886647 0.00324265778604615 0.000218037680616898 0.00160791453319167 0.000396143153647057 0.000984385825875122 0.000317455370838399 0.000775293889897506 0.000557958416544907 0.00124638506261651 0.000331411969849046 0.00083808775536646 0.000824229154092243 0.000365466735565427 -0.000589158528906769 0.000382340619801035 0.000670376513916877 0.00239269128894274 0.00238905939566249 -0.000198571381439182 0.000925739190384608 0.00020158755348338 0.00137055955008493 0.00135953171503463 0.00263902352327282 0.00141683057400217 0.000909780653167784 0.00103817810610457 -0.000113444132459683 0.00134537946321905 -0.000157923310988583 0.00155745875087145 0.00111064264388745 0.000172853037247639
"NSLNA" 0.0073367415205761 0.00143009966104596 0.00101312476587488 0.00447977136181231 0.00454534113042819 0.00324265778604615 0.0414024086769504 0.0013056127168428 0.00392911787338927 -0.00327307795666738 0.000528365245929917 0.00262667479419983 -0.000395514305459842 0.000923861283515976 0.00155746484269726 0.000117211755468492 0.00170022348563547 0.00245469348673497 -0.00310146647575537 -0.0102878180414637 0.00368503823618057 0.00266214751649491 0.00619449342229335 0.00159357788367246 -0.00324985575583603 0.000958876375704894 0.000452509600447352 0.00415408866698145 0.00431823502756757 0.00599483753522727 0.00217301098169948 0.00242806938483521 0.000255609150739605 -0.00309011486960111 -0.00166270134240511 0.00217679980924993 0.00469436164643542 0.00483362012360993 -0.00142891379379598
"NSLZS" 0.0011146335784323 0.000374095259159069 -0.000609761790283809 0.00334592794971946 0.00029442140993742 0.000218037680616898 0.0013056127168428 0.00704357760221975 0.00128294151144744 -0.000430933745200424 0.00140108257727255 -0.000232926429720676 3.60399796048009e-06 0.000204710012345198 -0.00158863764190295 -0.000174268558370591 -0.000341567205088991 0.000259301029474877 0.000924638497917647 -0.00400649120788798 -0.00197095453337496 6.92219080094346e-06 -0.00411365256525221 2.09319800520687e-05 -0.00188865710859534 0.00146439370475994 0.000354274570790588 5.95848491279741e-05 -0.000815338709777437 0.000686581073026081 -0.000160879273035978 0.00202666458135789 0.00243844931173313 -0.000600134219108194 -6.38617113553188e-05 -0.000219611666238968 6.90466371958383e-05 0.000466598514476457 0.0015879739134134
"NSLZI" 0.00298432578536985 0.00185543767006045 0.000968499149682896 0.000345346139228274 0.00205686995931856 0.00160791453319167 0.00392911787338927 0.00128294151144744 0.00305229090052805 0.000784892754073313 0.00161818421147816 0.00100308464490012 0.000948663873953208 0.000354777020903098 0.000540564567459876 1.79140959411562e-05 0.000441993960412299 0.00134787047293038 0.000996747496197236 -0.00843382156160631 0.00122867839778387 0.00115629160589131 0.00394959205502749 0.00141680359625197 -0.000213076238151102 0.000645549765326354 0.00142828598319776 0.000941097465113682 0.000993871647642588 0.00434007727706046 0.000920039073807541 0.00048825088738308 0.00216216145589788 -0.00101763490224 -0.00115241904898084 7.56492549057643e-05 0.00194625603345736 0.00105215039561274 0.000474800873896951
"NABR" 0.000236459291524178 1.26575892467842e-05 -5.26082259539127e-05 -0.000288105999459232 0.000259092410077241 0.000396143153647057 -0.00327307795666738 -0.000430933745200424 0.000784892754073313 0.00482581094198595 0.00141127441384684 -0.00043398383458247 0.00305868247291086 0.000491907024423405 0.00218211853290249 -0.000559221428861466 -0.000316369221208546 -0.000966893059190346 0.000385035101081966 -0.00160859925847632 0.000890873867797064 7.52341678346706e-05 0.00176124194155954 0.000469924091605396 0.00186891764397146 0.0007261162796721 0.000356936260325469 0.000933173184784396 0.000373076665631319 0.00259469833412934 0.000641678312153852 -0.000995655458969772 -5.03981015929669e-05 -0.000679701634663641 -0.00859949055893075 -0.000498818896466103 -0.000361596758828135 0.000947454383592935 -0.00118277188756068
