"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00766649151335507 0.00274383928703424 0.00287162739692198 0.00162968999691953 0.00239622258744294 0.00284601219052956 0.00744784505628811 0.00145262253170823 0.00321545955186703 0.000434035179948307 0.00189699403013385 0.00142932069952268 0.0011976337462884 0.00112121698006838 0.00255735142576154 0.00157754897164781 0.00179724097853959 0.00116415506756997 0.000893572286740102 -0.0137010480988686 0.000166711336879372 0.00188432270430896 0.00412420756120691 0.00379684838909558 0.000252588987987277 0.00244693119657415 0.00187900364459169 0.00332274415233209 0.00158619736023505 0.0038541712341348 0.00264850025150053 0.00199680053013466 0.00352582741536094 -0.000672298223759612 0.00381395078487546 0.000266206483046746 0.00301263548133747 0.00211963695281507 0.000907329450896763
"ISNSL" 0.00274383928703424 0.00999081546280446 0.00332678821504149 0.00493250915232093 0.00340665011116158 0.0018345272545548 0.00223656087607421 0.00058389443285135 0.00179497026071183 -7.22737237416679e-05 0.0012765158555331 0.00143132848271474 1.02306359493895e-05 0.000239531055952598 0.00255611539180884 0.0011358769309089 0.00182713357226356 0.00225535134200582 0.000822678008947381 0.0159604678705671 -0.000585501929366316 0.00225929256231576 0.00331984211522228 0.0026981830407058 -0.000895690411221873 0.0021168811199544 0.00358320041975474 0.00434719012586299 0.00212575301375764 0.00171012076894763 0.00194693913764413 0.00464224350723711 -0.000150357132358801 -0.000496965783024426 -2.00847417311681e-05 0.000980787586086914 0.0026237969293582 0.00180534983558387 -7.37895280116445e-05
"ISPNS" 0.00287162739692198 0.00332678821504149 0.00415820603410929 0.00109147817572849 0.00168734965883063 0.00141412111176429 0.00175042119966251 -0.000404497444851162 0.00128287610832073 -3.40562347151444e-06 0.000967590344720532 0.00270169853885506 0.000289484391732762 0.000416675169268653 0.00359022847010074 0.000804952734713293 0.000915742931953533 0.000313317627571481 0.000161950620177628 -0.00243310594247149 1.25567425188002e-05 0.00160151644212316 0.00274882971521441 0.0014446634601777 0.00141836526350968 0.00174715587549046 0.0029808216410808 0.000176499895430786 0.000735860161526804 0.00175756498816146 0.00176804271909389 0.00301878557282221 0.00136467654360379 -0.000250630302148858 0.00110036945436757 0.000886313974020427 0.00122055484469885 0.000731944477166234 0.000132448640886211
"PMZS" 0.00162968999691953 0.00493250915232093 0.00109147817572849 0.00744349053717513 0.00189453910515125 0.000754764325484664 0.00442411649475854 0.00325106253190755 0.000749860363237696 -0.000128603861038416 0.000248117863520854 0.000139573325975736 -0.00016247422051371 -6.35087975121016e-05 -4.29451362388854e-05 0.000602946735128532 0.000945726955812365 0.00088797802629772 0.000904118779885285 0.0196609591359241 -0.00160211237489723 0.00153860519143812 -0.000691404230825915 0.000796797061893031 -0.00132896716162766 0.00219968209299959 0.00278502980776609 0.00314910860504146 0.000792581689043466 -0.00182283629411941 0.00107258095791763 0.00221641551108097 -0.000193131847881223 -0.00120506661184267 -0.00186781948774387 0.00028014118788494 0.000948196565318344 0.00090988467039303 0.000593419896608519
"PMZI" 0.00239622258744294 0.00340665011116158 0.00168734965883063 0.00189453910515125 0.0031862432709231 0.00184530162263188 0.00389564637991478 0.000100451916459135 0.00205181144131976 0.000322638058548972 0.00108060854718448 0.000915999871163003 0.000340579540123491 0.000329059185785844 0.00266786560737733 0.000324100867040562 0.000537722322710953 0.000602583383453667 -9.08226134334021e-05 0.000603170497035838 0.000792977549959207 0.00166306150227983 0.00362107538234464 0.00182671143310048 -0.0010400267425656 0.000998388533826934 0.00235561593529039 0.00268861723284467 0.00070850509605973 0.00287543801500816 0.00137766049207722 0.00254148876861011 0.000484777965787655 -0.00123070532197268 9.39832241845318e-05 0.000124295095318119 0.00148885940017801 0.00103800392362379 0.000242228731516221
"PMMT" 0.00284601219052956 0.0018345272545548 0.00141412111176429 0.000754764325484664 0.00184530162263188 0.00222960096505047 0.00308132602888536 5.76502779032069e-05 0.00162817536549679 0.000390415374232099 0.00094795325012716 0.000654408905146931 0.00074304154450004 0.000574977130257868 0.00192706822201876 0.00040675258784153 0.000689180000053342 0.000569453445933571 0.00010416570212774 -0.00118554725973057 0.000278892464645207 0.00103831462513824 0.00250372978409281 0.00266659398037067 -5.14621871394052e-05 0.00111958472578189 0.000567908297404126 0.00184066891974771 0.00084841320237605 0.00206152174509262 0.00143560187871043 0.00142368083679125 0.000903996024420973 -0.000407551822202443 0.000575513054881088 0.000409756896207097 0.00144940817181202 0.00140501125741662 0.000333535608543813
"NSLNA" 0.00744784505628811 0.00223656087607421 0.00175042119966251 0.00442411649475854 0.00389564637991478 0.00308132602888536 0.0404487558116231 0.00127409559554804 0.004478080424437 -0.00254970009819513 0.00102268724477797 0.00367929702623562 0.000536779832209857 0.00141066560467208 0.00419736085337383 -0.000749859878717522 0.000521782241122286 0.000165991153807339 -0.00323631367669112 -0.0137028795463738 0.00289003209630716 0.00303493273042842 0.00606651389748352 0.00350894590581654 -0.00152151087154123 0.00211363922901415 0.00117679799837958 0.00442887656021187 0.0029743368764181 0.0056226355264036 0.00281893891944512 0.00306847636102287 0.00130943577265841 -0.00371737033790978 0.000380823019651503 0.00319799876796994 0.00473804892227288 0.00569762544931206 -0.0022106796695361
"NSLZS" 0.00145262253170823 0.00058389443285135 -0.000404497444851162 0.00325106253190755 0.000100451916459135 5.76502779032069e-05 0.00127409559554804 0.00677784738929145 0.00120294573689304 -0.000131118419304733 0.00103373796174462 -8.32312197119788e-06 0.000328200473043801 0.000167878932176854 -0.00154946041685293 -0.00019175522038104 -0.000156133247417587 0.000240949766297295 0.000402465625391863 -0.00350283275475027 -0.00225742872039261 -1.92987981399168e-06 -0.00380586219996191 -0.000249686541890628 -0.00162136494555256 0.000682058007353904 9.36563454858194e-05 -0.000250703120152614 -0.00035655085405379 0.000213217239826017 -0.000489639463633138 0.000819700970526108 0.00175414378253708 -0.00109069303346961 -0.000174202241075119 -0.000411255837375439 0.000413172951944604 0.00107063077999691 0.00109976867890699
"NSLZI" 0.00321545955186703 0.00179497026071183 0.00128287610832073 0.000749860363237696 0.00205181144131976 0.00162817536549679 0.004478080424437 0.00120294573689304 0.00308067993729475 0.000870385909968768 0.001547378899872 0.00138277559979346 0.00107818404348121 0.000467934819554863 0.00159104831925525 8.03276765589021e-05 0.00035238609698295 0.000803372491992081 0.000433549768478079 -0.00810888362527058 0.000762954160631008 0.00145692494673982 0.00383632906465448 0.00205774419397073 -3.00691146675504e-05 0.000897051216781978 0.00156613507610723 0.00141639498467251 0.000678142060543239 0.0035892877695206 0.00108402997705851 0.00111974630623359 0.00180121839286824 -0.00150976703859685 -0.00135652998961984 0.000404677471443261 0.0018854335903626 0.00162415263818547 0.000303687408342305
"NABR" 0.000434035179948307 -7.22737237416679e-05 -3.40562347151444e-06 -0.000128603861038416 0.000322638058548972 0.000390415374232099 -0.00254970009819513 -0.000131118419304733 0.000870385909968768 0.00406592035781401 0.00121633274435907 -0.000164429638220298 0.00258685929326261 0.000390736619993369 0.00193620538626684 -0.000336188149773632 -0.000133702079001082 -0.000668687934553039 0.000250015143486941 -0.000863901530248524 0.00053642585953493 0.000208851905406108 0.0015841068998405 0.000636218308492863 0.00146394489410547 0.000529083887094064 0.000339806437423531 0.000880308718964781 0.00044975459274539 0.00225666309945821 0.000607633661416096 -0.000765073173112388 -0.000266808288871319 -0.00101208063659702 -0.00721094219796651 -0.000546274936197004 -2.97333846531587e-05 0.00107886651132816 -0.000984976043917171
