"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00652172307559465 0.00202459379958721 0.00259446164718434 0.00122019221566122 0.00198642327881024 0.00226395461009337 0.00542132306685845 0.00185204904932781 0.0029423997669004 0.000585609235848653 0.00162651656195468 0.00165994107170316 0.00108934554361261 0.0009654906040548 0.00275306713318349 0.000777020954970628 0.00117841265332669 0.000727439993090763 0.000808555689839673 -0.0136328684526026 0.000462736447590719 0.0018517384980839 0.00357130988944855 0.00233786568290543 0.000732428640616862 0.00194314616399748 0.0018354776554318 0.0019859022330449 0.00175818360207507 0.00289257434623581 0.00203899111530155 0.00111322098563575 0.00323540600891138 -0.000313802006683519 0.00285731003591161 0.000235324475021365 0.001932368357611 0.00114112228136442 0.000673005182638732
"ISNSL" 0.00202459379958721 0.00825895431359161 0.00233468880191246 0.00438512307933306 0.00212706021550456 0.00142860802699271 0.00121153756339385 0.00109834547213445 0.00109360819102951 5.5124182903786e-05 0.0014651295482512 0.000976756850755245 0.000113259856420122 -4.21143641558582e-05 0.00155765615329645 0.000519544755577345 0.00127208161851482 0.00155328063975603 0.00052643863737227 0.0121031565199525 -0.000686090757476159 0.0014632105034939 0.00114876145768246 0.00324077657612613 -0.000262410781022283 0.00198690123627802 0.00250086510434981 0.00317016366795316 0.0017851614964585 0.00182373231748798 0.00165861011981829 0.0038025426112674 -0.000149908143134461 -0.00017652708802917 -0.00114032669273099 0.000990518537889153 0.00166659127770094 0.00108334537450261 -0.000579600178217986
"ISPNS" 0.00259446164718434 0.00233468880191246 0.0043662522472731 -0.000193231615362737 0.00175103483894207 0.00145622670932106 -0.00090345363923009 -0.000808330203561817 0.00129468926969774 0.000451424370482762 0.000532320776196436 0.00264915233064908 0.000785545260475048 0.000601264146674262 0.00315128153900312 0.000131963580061243 0.000684785885043681 -7.31570663432853e-07 -2.99304811974774e-05 -0.00549656474984192 0.00068459717850872 0.00170581122569461 0.00354180579338467 0.000614708059690631 0.00133232766283155 0.000173555388715019 0.00241434721924926 -0.00159927700729227 0.00178467709729126 0.000341458753604897 0.00134956459427332 0.000676566355191711 0.00115740712623694 0.000145473221539789 -0.000712980102990164 0.00099359282835941 0.000701727663709839 5.05989635007271e-05 -0.000252320390188035
"PMZS" 0.00122019221566122 0.00438512307933306 -0.000193231615362737 0.00731286116087215 0.0010234901926463 0.000372814775094869 0.00438740237575981 0.00399439139620586 0.000592358652549717 2.45054030136262e-05 0.001123425894489 -0.000280213579117706 -0.000259099203815434 -0.000335397700515809 -0.000196229928484187 0.000233737679536759 0.000561422529212596 0.00100849327469599 0.00107693848371874 0.0163067448340397 -0.0018513429358042 0.000983374683337534 -0.00219879590746161 0.00195136508595646 -0.000162610485561253 0.00299110588326976 0.00195616114333759 0.00368548459424002 -6.84379799635031e-05 0.000213377443578606 0.00096138330173967 0.00244117746378938 0.000105582494379749 -0.00100970217930902 -0.000568502234584332 -7.71040951022859e-05 0.000733273913182984 0.000971093477310953 0.00054397001588826
"PMZI" 0.00198642327881024 0.00212706021550456 0.00175103483894207 0.0010234901926463 0.00295175257381711 0.00165446902424254 0.00171632049489676 -0.000249384291150735 0.00203828085686436 0.000802291082025016 0.000486976484999436 0.000855159618023385 0.000801650815511796 0.000620257066972631 0.00228563677291977 -4.84468643226683e-06 0.000432476517489493 0.000397816625611301 0.000166051643746113 -0.000853374855831517 0.000913808602820695 0.00169151024997421 0.00435393180989979 0.000700749148619368 -0.00093384116648576 0.000137163631090718 0.00178335398521555 0.000903867361199579 0.00132696046582222 0.00142158549437241 0.000857589152700006 0.000872667196743694 0.000586602365747164 -0.000849856187324004 -0.000453545342501058 -8.30475680995522e-05 0.00114020669431833 0.000760587085278843 0.000132758222765478
"PMMT" 0.00226395461009337 0.00142860802699271 0.00145622670932106 0.000372814775094869 0.00165446902424254 0.00219415969799071 0.00145908611663635 -0.000104074151996622 0.00133733105515551 0.000541426897015425 0.000493395884001091 0.000488205700592538 0.000897287245307612 0.000527303517452262 0.00162592454902893 -9.33234160683496e-05 0.000470201059045578 -5.51539156047197e-06 -0.000223191819223045 -0.00382393175934579 0.00035313071065972 0.000961414554148607 0.00247195442449634 0.0019806835929412 0.000213430667419704 0.000565746559929663 0.000389894596047005 0.00053333670936003 0.00142640496542161 0.00130219678711174 0.00115749377353455 9.13313562966613e-05 0.000846791547594313 -0.000405807489317448 0.000154957337230086 8.85552858047645e-05 0.00104285388759469 0.000893482800700102 2.70352266490242e-05
"NSLNA" 0.00542132306685845 0.00121153756339385 -0.00090345363923009 0.00438740237575981 0.00171632049489676 0.00145908611663635 0.0372900460896983 0.00172235179532946 0.00245461487602466 -0.00322395081811786 0.00103333510886471 0.00230939994062361 -0.00112008226040969 0.000568198443735079 0.00272453101278875 0.000609895015464566 0.000187635312232446 0.000407081746358084 -0.00219609639745828 -0.00482762006207772 0.00141852614474964 0.00136417114172947 0.00140415437396748 0.00271334586758887 3.58373306443725e-05 0.00344584306485641 0.000782826639685169 0.00627114008032324 -0.000604272264565231 0.00589511075314299 0.00133124813931926 0.00441542225342705 0.000618338193715181 -0.00268675629379022 0.00388312327337475 0.00200922486026748 0.00298659158657483 0.00450938898539825 0.000301786527370505
"NSLZS" 0.00185204904932781 0.00109834547213445 -0.000808330203561817 0.00399439139620586 -0.000249384291150735 -0.000104074151996622 0.00172235179532946 0.00754027097212903 0.0012876439475649 -0.000241897225668114 0.00197611361168177 0.000188095836553077 -0.000193400258563297 -0.00033224638918252 -0.00017461186251907 -0.000617494843897711 -0.0003659979099708 0.000108982389096943 0.000569526932481185 -0.00505277455209214 -0.0021420860756518 0.000155993515768882 -0.00452767331177896 0.000991661436202544 0.000141079890093459 0.00196831315585506 0.000427978705847944 0.00149110180643053 -0.000591111445435073 0.00166029245147887 0.000208953361722848 0.0013695924285952 0.00202754683521473 -0.000759643075739457 0.00237450781940132 -0.000880228601624632 -5.94123665595387e-05 0.000902610800099534 0.000993949878704292
"NSLZI" 0.0029423997669004 0.00109360819102951 0.00129468926969774 0.000592358652549717 0.00203828085686436 0.00133733105515551 0.00245461487602466 0.0012876439475649 0.00311520573283044 0.00128919174254815 0.0011153467402353 0.00143534331545595 0.00133760753927328 0.000701650855051111 0.00201623438303786 -0.000410367529697697 0.000170089721446042 0.000525377369166533 0.000601575986154956 -0.00804589748661905 0.000786261459018189 0.00172315117084203 0.00440961312336679 0.000856708868871341 -0.000171628934578736 0.00042296296628998 0.00141260692308107 0.000319354480235886 0.00123131905702672 0.00245201455868151 0.000802222260092484 0.000261164481543129 0.0017171418972839 -0.00100403712841617 -0.000944440035503225 5.13035008925221e-05 0.00129065806376792 0.00110883639248059 4.0278229579374e-05
"NABR" 0.000585609235848653 5.5124182903786e-05 0.000451424370482762 2.45054030136262e-05 0.000802291082025016 0.000541426897015425 -0.00322395081811786 -0.000241897225668114 0.00128919174254815 0.00425474009787379 0.000870342917088354 0.000268653710761755 0.0031029860781545 0.000957652841571062 0.00142521755156497 -0.000371878116735734 9.45213089531456e-05 -4.14417009445327e-05 0.000548068053630897 0.00034939338068537 0.00052666614582612 0.000656022622460505 0.00269970356663804 0.000425167220839269 0.000476514732774723 -7.62420680845396e-05 0.000292196513060851 -0.0006572992108231 0.0013487376616434 0.00152963665725279 0.000448435613893918 -0.000942432669882784 -0.00023746712359384 -0.00057398233993695 -0.00834027405068979 1.43524796231892e-05 0.000127341295008062 0.000841490127991871 -0.0013882132230978
