"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00381828905489123 0.00238667127429184 0.00167640695608189 0.00186101782422354 0.00130348062432276 0.00103247019896997 0.00246349633174089 0.0010835383866298 0.00140966245380896 8.06810725296328e-05 0.000805978579248505 0.00108650093251311 -0.000200929318521859 0.000469163334759744 0.000906031240098685 0.00153818514844112 0.0012259990698373 0.00184592293945643 0.00214772580599903 0.000918822733828471 0.000660823492983964 0.00162474132568774 0.0017450124154573 0.00123800805576334 0.00182563921200633 0.00157555669840144 0.00231424866034921 0.00139980928808045 0.00101801685842028 0.00272197079701228 0.00100448264698154 0.00113136958341535 0.0023985523556041 0.000510467726696017 -0.000751624760175825 0.00148376236466658 0.000732720696109046 0.000177792321576313 0.000717733812326601
"ISNSL" 0.00238667127429184 0.00680312980253295 0.00267497572860796 0.00417129588637088 0.00250783804440972 0.00124653865833534 0.000286273685999725 0.000945245720471128 0.00118282214024014 0.000200868356021265 0.000454854019007144 0.00155639319343198 -0.000328499660292244 0.000310146309256192 0.00147999641075809 0.00142111637332334 0.00116551458112015 0.00172026889796349 0.0017428436105784 0.00147833815197802 0.000796608662067132 0.00154074590612949 0.0020533901735971 0.000177289128414626 0.0010168104645558 0.0021045027311609 0.00279392284981928 0.00200470380111935 0.000693779870066326 0.00247473170923791 0.00117384318849314 0.0023612355424381 0.00189365203994236 0.000750133093368652 -0.000542827274119031 0.00143725359262864 0.000911676174315375 -0.000815827935988429 0.000973509863113187
"ISPNS" 0.00167640695608189 0.00267497572860796 0.00304865024166913 0.00252434225558776 0.00192528616876029 0.00115333648994588 0.00324790674489801 0.000513198197397013 0.000830953380406186 0.000298252949256764 0.00058431067230779 0.00229241084467712 0.00020505335846716 0.00046976757619686 0.00132962583791744 0.000929835697113726 0.000872280798704583 0.00144872998363323 0.00152934599539662 0.000436916039020422 0.000774069211675048 0.00155875177542809 0.00161965336024201 0.000874287200164162 0.00157227906237066 0.00140818814449142 0.00254174021671285 -0.000238805185749229 0.00093302713628871 0.00293488939524392 0.00140619494150098 0.00149910814826309 0.0017707815141481 0.00138118430866905 0.00077729156091144 0.00120506609444455 0.00104286949575087 -0.000315495020279153 0.000514867757996685
"PMZS" 0.00186101782422354 0.00417129588637088 0.00252434225558776 0.00774275585649315 0.00311889978612933 0.00136765047941308 0.00408496469985609 0.00362527705896714 0.00141734632927102 0.000964740825143378 0.00149685129261496 0.00167375076163072 -0.000270298203983347 0.000464325004026379 0.00222390914343627 0.000718238848498599 0.000959109349220662 0.00185949009321561 0.0024059503082116 0.00097565442204015 -0.000287399492035826 0.0023191809140656 0.000344649981799647 0.00152227738175309 0.00213737305641924 0.00230114503705376 0.00344323170091975 0.00285576257689365 0.00143205319963556 0.00249608906134432 0.00157372981206515 0.00366025505733445 0.00209225933487012 0.000954349872711396 -0.000198029358585865 0.00148538270980875 0.00131574893002048 -0.00165332772424961 0.00177496804730961
"PMZI" 0.00130348062432276 0.00250783804440972 0.00192528616876029 0.00311889978612933 0.00358302979554823 0.00158671499460248 0.00219258157517247 0.00102765608922603 0.00236018423893149 0.00116221395906358 0.00100905666373068 0.00129275857194688 0.000437156114263923 0.000567757656930238 0.00129508827803085 0.00224459420284593 0.00174111213276622 0.00244002001812411 0.00294967543336285 0.00211391244796567 0.000757993683964144 0.00183213634660954 0.00363438783257718 0.00202090768426149 0.00116459766599959 0.00184979954259189 0.00282576239948628 0.00195483573244627 0.0012517605724167 0.00197582298773765 0.00149058724200322 0.0013852244181676 0.00296193387258192 0.000717289814542459 -0.00108297313252391 0.00143130221609973 0.00178885021976978 -2.23474339866709e-05 0.000583453048263439
"PMMT" 0.00103247019896997 0.00124653865833534 0.00115333648994588 0.00136765047941308 0.00158671499460248 0.00184091599538235 0.0014025575350262 4.83509441291951e-05 0.00100059741083955 0.000666570661460746 0.000410832054633777 0.000591990549312863 0.00026235501835449 0.000259786077341099 0.000614369069667998 0.00123165186594279 0.00100199416436767 0.0016453284459792 0.00185441989930384 -0.000177582906095425 0.000625403762190195 0.00109581602652217 0.00185565421097663 0.00181763723767803 0.00142284990748098 0.00120165672878584 0.00100061482310122 0.00122142312955237 0.000799005967592319 0.00140241244434497 0.000911392537399605 0.00079748197890425 0.00189202447074264 -0.000167453163047382 -2.47374491605748e-05 0.000300245882442633 0.00110654842797898 0.000166311537792332 0.000169660681952605
"NSLNA" 0.00246349633174089 0.000286273685999725 0.00324790674489801 0.00408496469985609 0.00219258157517247 0.0014025575350262 0.021904710271043 -0.00190748569224874 0.00141646722495363 0.00107835312746714 0.00100536978208832 0.00359336999661929 0.0013789590005709 0.000425114175147573 0.00115024493950428 0.000913558347861525 0.00157318796176205 0.00300454679209366 0.00309893564177429 -0.00266988187999114 0.00357432371663255 0.00324290136474076 0.00319449304052782 0.00477465796254382 0.00522698160299735 0.00274030326960824 0.00436284465129629 0.000847169352665194 0.00273584721174117 0.00354253806910009 0.00223557288030729 0.00130468200220433 0.0030421313892408 0.000122705591629434 -0.00522618603870208 0.000103398475402224 0.00199070745963752 -0.000188141968881216 0.00127079479729594
"NSLZS" 0.0010835383866298 0.000945245720471128 0.000513198197397013 0.00362527705896714 0.00102765608922603 4.83509441291951e-05 -0.00190748569224874 0.00961525616976751 0.00124188175179483 -0.000117167673663262 0.00158950054594509 0.000486185914899035 -0.000779118243912365 -0.000123153445206883 0.000477470901118451 0.000549757714836855 0.000545594698811073 0.00122712157483094 0.00138156293292192 0.00135400260508536 -0.00229259616899222 0.0010282855262438 -0.00497532374970342 0.000698246136166837 7.3354618266847e-05 0.000708566984760318 0.00112998444354107 0.00142086913273105 0.00095680444950223 0.00079399427767836 -0.000100893490980308 0.00245957923974077 0.00139853466686075 0.000951604271575494 0.000671385798462742 0.000645265602456754 0.000224149051907274 -0.00122749216551177 0.00135014012804809
"NSLZI" 0.00140966245380896 0.00118282214024014 0.000830953380406186 0.00141734632927102 0.00236018423893149 0.00100059741083955 0.00141646722495363 0.00124188175179483 0.0028436718029684 0.00120842740613827 0.0012433824654199 0.000716748025524575 0.000532376635625 0.00055982072563829 0.000867135449623345 0.0014806251188137 0.00144073941216815 0.00214689177721826 0.00312604223897324 0.00162402149957584 0.000591208542425687 0.00125204655177774 0.00371626483603562 0.00147720526445219 0.00109793375935499 0.00208038482258551 0.0021292717992176 0.0013109198966613 0.00162920910460037 0.00140830334339888 0.00102513655745957 0.000385269186674547 0.0032621782942417 0.000352203392753856 -0.00252206573748216 0.00147708874765616 0.00139489337217895 0.000415825660320249 0.000306149033411424
"NABR" 8.06810725296328e-05 0.000200868356021265 0.000298252949256764 0.000964740825143378 0.00116221395906358 0.000666570661460746 0.00107835312746714 -0.000117167673663262 0.00120842740613827 0.00307833397600839 0.000512847428347023 0.000208578302130517 0.00219450128490558 0.00095966193925021 -0.000127147895374763 0.000928910340344357 0.000756146325254072 0.000816636778632529 0.00148645209617914 -0.000409667156142696 8.79905028029039e-05 0.000241355599989935 0.0018634235982748 0.000618712049654849 0.00126104275826489 0.00133206169590761 0.00100114708469683 0.00113469460207862 0.000672102214516632 0.000830804822155029 0.00097099614812214 0.000239333111421679 0.00196615419479537 0.000308453427093857 -0.0068267869501813 0.000652339226474212 0.00104373725581611 -0.000644802944771642 0.000356570506737891
