"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00652172307559468 0.00202459379958721 0.00259446164718437 0.0012201922156612 0.00198642327881027 0.00226395461009338 0.00542132306685841 0.00185204904932779 0.00294239976690039 0.00058560923584867 0.00162651656195469 0.00165994107170317 0.00108934554361261 0.000965490604054827 0.00275306713318349 0.000777020954970651 0.00117841265332671 0.00072743999309078 0.000808555689839707 -0.0136328684526026 0.000462736447590742 0.0018517384980839 0.0035713098894486 0.00233786568290538 0.000732428640616856 0.00194314616399745 0.00183547765543182 0.00198590223304487 0.00175818360207511 0.00289257434623577 0.00203899111530156 0.00111322098563575 0.00323540600891138 -0.000313802006683494 0.00285731003591154 0.000235324475021385 0.00193236835761102 0.00114112228136444 0.000673005182638722
"ISNSL" 0.00202459379958721 0.00825895431359158 0.00233468880191249 0.00438512307933299 0.00212706021550457 0.00142860802699271 0.00121153756339378 0.0010983454721344 0.00109360819102953 5.51241829038137e-05 0.00146512954825116 0.000976756850755268 0.00011325985642015 -4.21143641558585e-05 0.00155765615329645 0.00051954475557734 0.00127208161851482 0.00155328063975602 0.000526438637372243 0.0121031565199525 -0.000686090757476147 0.00146321050349392 0.00114876145768254 0.0032407765761261 -0.000262410781022326 0.00198690123627797 0.0025008651043498 0.0031701636679531 0.00178516149645854 0.00182373231748793 0.00165861011981826 0.00380254261126734 -0.000149908143134473 -0.000176527088029163 -0.00114032669273106 0.000990518537889155 0.00166659127770091 0.00108334537450259 -0.000579600178218
"ISPNS" 0.00259446164718437 0.00233468880191249 0.00436625224727313 -0.000193231615362692 0.00175103483894211 0.00145622670932109 -0.000903453639230088 -0.000808330203561802 0.00129468926969772 0.00045142437048275 0.000532320776196481 0.00264915233064906 0.000785545260475033 0.000601264146674308 0.00315128153900315 0.000131963580061264 0.000684785885043698 -7.31570663416393e-07 -2.99304811974144e-05 -0.00549656474984193 0.00068459717850874 0.0017058112256946 0.00354180579338468 0.000614708059690588 0.00133232766283159 0.000173555388715006 0.0024143472192493 -0.00159927700729229 0.00178467709729128 0.000341458753604897 0.00134956459427336 0.000676566355191746 0.00115740712623694 0.000145473221539807 -0.00071298010299016 0.000993592828359425 0.000701727663709911 5.05989635007592e-05 -0.000252320390188035
"PMZS" 0.0012201922156612 0.00438512307933299 -0.000193231615362692 0.007312861160872 0.0010234901926463 0.000372814775094841 0.00438740237575968 0.00399439139620576 0.000592358652549767 2.45054030136893e-05 0.00112342589448891 -0.000280213579117644 -0.000259099203815372 -0.000335397700515825 -0.000196229928484226 0.000233737679536759 0.000561422529212599 0.00100849327469599 0.00107693848371868 0.0163067448340397 -0.00185134293580418 0.000983374683337578 -0.00219879590746147 0.00195136508595643 -0.000162610485561369 0.00299110588326968 0.00195616114333755 0.00368548459423993 -6.84379799634252e-05 0.000213377443578492 0.000961383301739597 0.00244117746378929 0.000105582494379731 -0.001009702179309 -0.000568502234584519 -7.71040951022674e-05 0.00073327391318289 0.000971093477310913 0.000543970015888237
"PMZI" 0.00198642327881027 0.00212706021550457 0.00175103483894211 0.0010234901926463 0.00295175257381713 0.00165446902424255 0.00171632049489673 -0.000249384291150738 0.00203828085686436 0.000802291082025018 0.000486976484999454 0.000855159618023385 0.0008016508155118 0.000620257066972667 0.00228563677291977 -4.84468643224395e-06 0.000432476517489514 0.000397816625611329 0.00016605164374616 -0.000853374855831483 0.00091380860282072 0.00169151024997422 0.00435393180989983 0.000700749148619329 -0.000933841166485766 0.000137163631090692 0.00178335398521557 0.000903867361199552 0.00132696046582224 0.00142158549437237 0.000857589152700022 0.00087266719674372 0.000586602365747173 -0.00084985618732398 -0.00045354534250113 -8.30475680995256e-05 0.00114020669431836 0.000760587085278855 0.00013275822276548
"PMMT" 0.00226395461009338 0.00142860802699271 0.00145622670932109 0.000372814775094841 0.00165446902424255 0.00219415969799072 0.00145908611663631 -0.00010407415199664 0.00133733105515552 0.000541426897015427 0.000493395884001078 0.000488205700592542 0.000897287245307625 0.000527303517452281 0.00162592454902893 -9.33234160683502e-05 0.000470201059045591 -5.51539156046793e-06 -0.000223191819223041 -0.0038239317593458 0.000353130710659735 0.000961414554148619 0.00247195442449638 0.00198068359294118 0.000213430667419677 0.000565746559929631 0.000389894596047006 0.000533336709359988 0.00142640496542164 0.00130219678711171 0.00115749377353455 9.13313562966469e-05 0.000846791547594313 -0.000405807489317441 0.000154957337230036 8.85552858047761e-05 0.00104285388759468 0.000893482800700094 2.70352266490258e-05
"NSLNA" 0.00542132306685841 0.00121153756339378 -0.000903453639230088 0.00438740237575968 0.00171632049489673 0.00145908611663631 0.0372900460896983 0.00172235179532938 0.00245461487602471 -0.00322395081811781 0.00103333510886461 0.00230939994062366 -0.00112008226040964 0.000568198443735026 0.00272453101278871 0.00060989501546454 0.00018763531223243 0.000407081746358056 -0.00219609639745838 -0.00482762006207774 0.00141852614474963 0.00136417114172951 0.00140415437396756 0.00271334586758889 3.58373306442699e-05 0.00344584306485637 0.000782826639685105 0.0062711400803232 -0.000604272264565195 0.00589511075314292 0.00133124813931918 0.00441542225342696 0.000618338193715164 -0.00268675629379023 0.00388312327337465 0.00200922486026747 0.0029865915865747 0.0045093889853982 0.000301786527370488
"NSLZS" 0.00185204904932779 0.0010983454721344 -0.000808330203561802 0.00399439139620576 -0.000249384291150738 -0.00010407415199664 0.00172235179532938 0.00754027097212896 0.00128764394756493 -0.000241897225668069 0.00197611361168171 0.000188095836553119 -0.000193400258563257 -0.000332246389182545 -0.00017461186251909 -0.000617494843897718 -0.00036599790997081 0.000108982389096927 0.00056952693248113 -0.00505277455209216 -0.0021420860756518 0.00015599351576891 -0.00452767331177887 0.000991661436202535 0.000141079890093391 0.00196831315585501 0.000427978705847912 0.00149110180643048 -0.000591111445435026 0.00166029245147881 0.000208953361722798 0.00136959242859513 0.00202754683521471 -0.000759643075739452 0.00237450781940124 -0.000880228601624633 -5.94123665596057e-05 0.000902610800099507 0.000993949878704272
"NSLZI" 0.00294239976690039 0.00109360819102953 0.00129468926969772 0.000592358652549767 0.00203828085686436 0.00133733105515552 0.00245461487602471 0.00128764394756493 0.00311520573283043 0.00128919174254813 0.00111534674023533 0.00143534331545593 0.00133760753927326 0.000701650855051112 0.00201623438303787 -0.000410367529697699 0.000170089721446038 0.000525377369166527 0.000601575986154967 -0.00804589748661907 0.000786261459018178 0.00172315117084202 0.00440961312336674 0.000856708868871355 -0.000171628934578695 0.00042296296629001 0.00141260692308108 0.00031935448023592 0.0012313190570267 0.00245201455868156 0.000802222260092506 0.000261164481543149 0.0017171418972839 -0.00100403712841618 -0.000944440035503141 5.130350089251e-05 0.00129065806376795 0.0011088363924806 4.02782295793824e-05
"NABR" 0.00058560923584867 5.51241829038137e-05 0.00045142437048275 2.45054030136893e-05 0.000802291082025018 0.000541426897015427 -0.00322395081811781 -0.000241897225668069 0.00128919174254813 0.00425474009787377 0.000870342917088401 0.000268653710761737 0.00310298607815448 0.000957652841571072 0.00142521755156497 -0.000371878116735714 9.45213089531516e-05 -4.14417009445084e-05 0.000548068053630942 0.000349393380685428 0.000526666145826118 0.000656022622460487 0.00269970356663798 0.000425167220839272 0.000476514732774766 -7.62420680845037e-05 0.000292196513060875 -0.00065729921082305 0.00134873766164336 0.00152963665725282 0.000448435613893947 -0.000942432669882722 -0.000237467123593827 -0.000573982339936944 -0.00834027405068976 1.43524796231968e-05 0.000127341295008106 0.000841490127991893 -0.00138821322309779
"NAFM" 0.00162651656195469 0.00146512954825116 0.000532320776196481 0.00112342589448891 0.000486976484999454 0.000493395884001078 0.00103333510886461 0.00197611361168171 0.00111534674023533 0.000870342917088401 0.00258742865803344 0.000731753556060761 0.000620858291362941 -2.32197579814588e-05 0.00165949207970345 -0.000609018183980784 -0.000258948288815745 0.000142703060278143 0.000241695554451317 -0.00465433977587508 0.000289359026535597 0.000330972094879056 -0.000343173244223981 0.0018695362304744 0.0017696295284199 0.00101438712465035 0.00101837648019684 0.00142567865956372 3.7993644775061e-05 0.00344193810225902 0.0009180650876646 0.00133714438842049 0.000917517046354428 -0.000130839056812746 -0.00136457769126164 0.000475020485238778 0.000508939020744201 0.000826048544494603 0.000151055265327003
