"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00519612770457503 0.00310734299394614 0.00282393877097761 0.00189295784487395 0.00130275298704213 0.00114437891856409 0.00441236660516996 0.000100274092420083 0.00177527851377858 0.000492603645622597 0.00152001916278572 0.00144653241172471 0.00116447584679778 0.00111703436874884 -0.000446678357800293 0.00113437772663459 0.00164014045914761 0.00284898197566745 0.00285109383711709 0.00352114461959254 0.00157059109831764 0.00167759953508617 0.00327350395523721 0.00123575825542801 0.00239059807775413 0.000778570305852082 0.00268466836681428 0.000616793835081899 0.00176637471005774 0.00281053715981838 0.00156140337262456 0.00286919404584685 0.0026704427930263 0.00158169640924662 0.00119305766710165 0.00325317053027819 0.00169700322620056 0.000951785104872896 -0.00123420446325023
"ISNSL" 0.00310734299394614 0.0119872440184424 0.00396202346537911 0.00518116370705162 0.00332531302809771 0.00252156668353334 -0.00256300416886879 -0.00286241967062085 0.00210725779565638 0.00177546087623493 0.00189178215044893 0.00349289666632296 0.00189147300856043 0.00115781543809281 0.00220907818740772 -0.000403534249674663 0.00160151969409427 0.0015366244132095 0.00228017880563098 -0.0036060626817553 0.00216863876646886 0.00256891057584982 0.00608883308221859 0.00543852240624811 0.00463847306054607 0.00156596561061777 0.00259766838799489 0.00213955625244961 0.00293813720773138 0.0046788427264854 0.00399585445529141 0.00524786329784222 0.00385052749682497 0.00121406533731513 -3.2017575806347e-05 0.00318536957703321 0.00204096774191463 0.000328510848430801 0.000968671483092075
"ISPNS" 0.00282393877097761 0.00396202346537911 0.00309222522689402 0.00281090250178085 0.00175645560925357 0.00203030177882891 0.0043213385419591 -0.000303153188499649 0.00117397398519551 0.00117178996321091 0.00155338695284454 0.00204500183094011 0.00143797668827873 0.00110511071506675 -0.000124675482030789 0.00157893067830344 0.00178612283990266 0.00285372949784422 0.00242877469424688 0.000286742714453239 0.00188477031154881 0.00200007306359289 0.00246706136370422 0.00234978972704662 0.00187092180951793 0.00123146585513977 0.00228729692295289 0.000185462297419299 0.00180906235669001 0.00227549346937299 0.0018533385187226 0.00364163695918054 0.00315036241355111 0.00145150230395372 0.000708043686202312 0.00201800284918703 0.00148147935201772 -9.96769887113954e-05 0.000163666003543685
"PMZS" 0.00189295784487395 0.00518116370705162 0.00281090250178085 0.00621065245277578 0.00212816649311612 0.00290219337046241 0.00784223007809641 0.000697924039925635 0.00109192512637666 0.00146232528414775 0.00208947900653244 0.00303134032482127 0.00170683685906969 0.00189260484663512 0.00149623344228188 0.00212602438431557 0.00210600568577081 0.00272050541333401 0.00278475396039632 -0.000843059573838184 0.00217916769627816 0.00319392953226091 0.00167953150251809 0.00267230649370841 0.00429694967266688 0.00208252166462527 0.0032625526291914 0.00154686132031611 0.00150878385664364 0.0037938495893106 0.003308417800979 0.00237752312894765 0.00318964180564124 0.00215194351589165 -0.000904733679007451 0.004451364734868 0.00221675795960968 0.00168736587870905 0.000177877242161914
"PMZI" 0.00130275298704213 0.00332531302809771 0.00175645560925357 0.00212816649311612 0.00234431838055637 0.0013436874760685 0.00226444734692009 0.000172440653943079 0.00207174578709809 0.000708542443746344 0.000931281071616229 0.000618260671366357 0.0010366604671508 0.000792244301921671 0.000566273197910178 0.000144871528592091 0.000899678774462479 0.000813604238740762 0.00105548386608753 -0.00290570601710376 0.00175018240416978 0.00133267475328908 0.00374808313509015 0.000388507845875934 0.000622488700035879 0.000410112534020133 0.00145262114059553 0.00160234070959036 0.00156384345315307 0.00129437335851097 0.00164510867209754 0.0022580655663751 0.00212030824358798 0.000905330100469933 0.000928574123353231 0.00146544266126575 0.000466270847084212 3.32840552978145e-06 0.000127992533180352
"PMMT" 0.00114437891856409 0.00252156668353334 0.00203030177882891 0.00290219337046241 0.0013436874760685 0.00245848402424206 0.00521819854193066 -0.000457744699585237 0.000427537660923187 0.00163090565999326 0.00130652926405541 0.00165932765532549 0.0016114802236174 0.00145378912705966 0.000431787971275645 0.00253294134977988 0.00212738782355113 0.00260647561266579 0.00245409035614145 0.00100566387642426 0.00156747406607585 0.00208468149391221 0.00156657036944289 0.00313432871329572 0.00190118472170601 0.00125375957114161 0.00168557032793999 0.00068281991399828 0.00130791337263631 0.00220206321154778 0.00193737091301436 0.00227715864476144 0.00284368526694278 0.00144605809521852 -0.000482866221218977 0.00187708175302061 0.00140934624243253 0.000556117524586459 0.000547518737768359
"NSLNA" 0.00441236660516996 -0.00256300416886879 0.0043213385419591 0.00784223007809641 0.00226444734692009 0.00521819854193066 0.0497186629147881 0.00175405800886302 -0.000312942936289252 -0.000287103992277952 0.00234669323621583 0.00559946911402491 0.00217430285073427 0.0040157571115067 0.00296769104668835 0.00778267730315528 0.00479635861590545 0.00785898186714492 0.00659463705754893 0.0098197051818667 0.0042419674034829 0.00561995925046341 0.00230335573742243 -0.00333505799563181 0.00480429417163405 0.00404056301136224 0.00642199383432722 0.00275995634382195 0.00084131779008516 0.00049916897738675 0.00312468504789128 0.00497619803378579 0.00569251032328568 0.0051368283503416 0.000411600280502982 0.011704085606487 0.00376777529600188 0.0122838448879208 -0.0042851184785418
"NSLZS" 0.000100274092420083 -0.00286241967062085 -0.000303153188499649 0.000697924039925635 0.000172440653943079 -0.000457744699585237 0.00175405800886302 0.00644140696758483 0.000914544324276739 -0.00111817019531824 9.99895015328218e-06 -0.0025496007827381 -0.000719751069842966 -0.000511008591316542 -0.00119954694311854 -0.00115359080467735 -0.000985395381810971 -6.09900442626134e-05 -0.0001602745670345 -0.00251779245433767 -0.000213657452489121 -0.000316265582442424 -0.00446334069756352 -0.00385694822764376 0.000615395477810493 0.000882657383514795 0.00117721832421524 6.17524491029141e-05 -0.000106157861449945 -0.000242119354250618 -0.00123849396452799 -0.00200456931952981 9.96514383435181e-05 0.000147171804809592 -0.00016411942766369 0.000127967979625149 -0.000785648030145551 0.00162978562463658 -0.00120080064242816
"NSLZI" 0.00177527851377858 0.00210725779565638 0.00117397398519551 0.00109192512637666 0.00207174578709809 0.000427537660923187 -0.000312942936289252 0.000914544324276739 0.00290443436362453 0.000594337629744364 0.000832258877161015 -0.000334112618797584 0.00121286780661319 0.000940574847740253 7.14222192243626e-06 -0.000155113245482098 0.00058718603887999 0.000258733514567609 0.000369064964482774 -0.00624684605616225 0.00131611895230569 0.000792488036776623 0.00440685991993178 -0.000664503505626698 -0.000316118639739291 -8.79917891239481e-05 0.00136350345811582 0.00163499315501156 0.0012505889249465 0.000664478093552806 0.00106516699882966 0.0016781020654002 0.00188591903703988 0.00159510199889929 0.000642119707214523 0.00195170665155043 0.000171694370875463 -0.000719544365241756 -0.00012288808703163
"NABR" 0.000492603645622597 0.00177546087623493 0.00117178996321091 0.00146232528414775 0.000708542443746344 0.00163090565999326 -0.000287103992277952 -0.00111817019531824 0.000594337629744364 0.00400147084893092 0.00165727223320997 0.000940420034280411 0.00367962318144976 0.00263044808903654 0.0016116863352047 0.00266218487285164 0.00176997209628903 0.00141550678034031 0.00153328957503467 -0.00390618924683003 0.000754277035893465 0.0016277943975662 0.00269598530614016 0.00436565948604101 0.000618917480954445 0.00158385860841827 0.00263006096136213 0.00121737040228649 0.000449346433395387 0.00162180966074968 0.00131762130076354 0.00278703404228269 0.00290629670626635 0.00322866821356289 -0.00356834625614321 0.00288991782313671 0.00118253287152445 -0.000679766445370559 0.00085830805138049
