"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0120488723493485 0.0107952326088477 0.0107173492046556 0.0117594593930404 0.0102503504341028 0.00843417365634566 0.0120411696170725 0.00758716263554264 0.00914680715529474 0.00518294919305898 0.00628362837326132 0.0071434528327187 0.00200316729385841 0.00319536692608555 0.0090547014518027 0.0043925839995455 0.00463826958773342 0.00692095944616421 0.00815449404225908 0.00449218679015759 0.00621641578066143 0.00720717439076527 0.0109880788228975 0.00637838135121852 0.00665925550291569 0.00764071333679071 0.00869079466837432 0.006241297094039 0.00568391435650457 0.00742858767813538 0.00840665501445225 0.00753672280737464 0.00849265710135295 0.00364990786702289 0.00126728312499446 0.00517621815730748 0.00518091966664441 0.00695931933781473 0.004011301825589
"ISNSL" 0.0107952326088477 0.0148773161766907 0.0127111442815204 0.0157945751024471 0.0126663684232923 0.00948191303943717 0.0123336340881739 0.00775473104808718 0.00941081012265382 0.00571764221542449 0.00650980795694247 0.00709796607871746 0.00160415889765387 0.00361069122281523 0.00952886204819062 0.00509542789377638 0.00491259488313615 0.00778406994597412 0.0104499061880199 0.00705770791412831 0.0074459621890416 0.00792788711012067 0.0111163159642392 0.00588397829112514 0.0082843420410053 0.00875708145684921 0.0109464533535693 0.00699451922656917 0.00522823355878434 0.00839144385278599 0.00934034689742459 0.00834863205852921 0.0104202550991114 0.00385349142071659 0.000811877550201296 0.00560355587311997 0.00518558247288663 0.00722247432306156 0.00442153762659949
"ISPNS" 0.0107173492046556 0.0127111442815204 0.014059758832834 0.0155923627312382 0.0128440042604993 0.010160600515562 0.0151475996444174 0.00780724608768951 0.00938115818672084 0.00616303559885949 0.0063142779675281 0.00850976409147085 0.00230998418213179 0.00403810471942245 0.009211377941849 0.00652482935532785 0.00616016146271389 0.00879154199181164 0.0100396722247026 0.00901756132170119 0.0074011441315848 0.00828736134374372 0.0111964989695837 0.00669448271009444 0.00875770602800117 0.00926358298158404 0.0111789573962415 0.00568279073355769 0.00602673458674167 0.00798666222336144 0.00925645915876575 0.00868989426889991 0.0100595163650964 0.00414524318321273 -0.000499138924603818 0.00581190515702298 0.00595579105156638 0.00797715138958766 0.00482620156109835
"PMZS" 0.0117594593930404 0.0157945751024471 0.0155923627312382 0.0208327054363807 0.0161868097848567 0.0121131361489337 0.0193259319897667 0.0100695125739524 0.0114150628611576 0.00728554335251618 0.0075994109440428 0.00896097053877809 0.00179884274638975 0.00474532386487577 0.0117573555231297 0.0078203107949543 0.00723182206153526 0.0109399682051517 0.0131981283659255 0.0096801836118669 0.00772769407740221 0.00970790409661166 0.0135460811135723 0.00677092682614042 0.0106523144020799 0.011163997326133 0.0145985838693962 0.00895086700968243 0.00727455797696125 0.0103287896396305 0.0113094222803946 0.00973734395132327 0.0126411403702144 0.00458597657734909 0.00123582215312206 0.00660504111575187 0.00715509136908195 0.0100088386025539 0.0054266531079233
"PMZI" 0.0102503504341028 0.0126663684232923 0.0128440042604993 0.0161868097848567 0.0147042706630893 0.0105168381198577 0.0148927911329833 0.00810141469601846 0.0106958965119445 0.00637989163767411 0.00671570052156422 0.0074429967974569 0.00162193044261176 0.00433858683490882 0.00951431477615892 0.00736633257063289 0.00639977406850441 0.00947617961050038 0.0106446546351634 0.0122693549186278 0.00808460698643186 0.00805618601794336 0.0133094191745769 0.00636480796392352 0.00766886565363614 0.00901799185457234 0.0115173923150379 0.00775229279077735 0.00602379140134099 0.00833548172214875 0.00935845246552188 0.00758074440843018 0.00995037507349312 0.00340672248474479 0.00111639246818248 0.00565776500954514 0.00626329318038108 0.00846647758580061 0.00453268405073043
"PMMT" 0.00843417365634566 0.00948191303943717 0.010160600515562 0.0121131361489337 0.0105168381198577 0.00922942184007839 0.0114264808886269 0.00653365023656641 0.00814891785369134 0.00511546384289561 0.0053057002809682 0.00660748256928751 0.00187653147607457 0.00346943499718706 0.00789572555692897 0.00568640239229444 0.00529557223449427 0.00714724820534321 0.00749011841522527 0.0080111900716985 0.00613909558707646 0.00675540591463938 0.0099050560532916 0.00579169135103415 0.00602218305988546 0.00740965348837114 0.00876000434658336 0.00611532482582341 0.00522874680977575 0.007407881364539 0.00775277147199301 0.00701214308952148 0.00748721577863386 0.00281813160704636 0.00020020346563843 0.00448670474337746 0.00498153718779454 0.00696951651099964 0.00315602149760892
"NSLNA" 0.0120411696170725 0.0123336340881739 0.0151475996444174 0.0193259319897667 0.0148927911329833 0.0114264808886269 0.0311053099916935 0.00873892043813238 0.0104297167434096 0.00617528637273337 0.00671513877911141 0.00944979582089168 0.00188778691049238 0.00525240990623514 0.010319363129393 0.00847056458418628 0.00802849910085603 0.0114650388348435 0.0127477416854436 0.00941842951803664 0.00614055419596587 0.00900238041822323 0.0139413133559586 0.00884244512927643 0.0109913142854157 0.0113107298014578 0.0130883910013368 0.00839164546910186 0.00861840263893448 0.00780016405911621 0.00989194118426169 0.00748310633362306 0.0126673186755019 0.00538934729325944 2.82212135764819e-06 0.00712616965037683 0.00761813940181668 0.0110004751024484 0.00422891419692129
"NSLZS" 0.00758716263554264 0.00775473104808718 0.00780724608768951 0.0100695125739524 0.00810141469601846 0.00653365023656641 0.00873892043813238 0.0105703582168025 0.00820732298597504 0.00414041267771249 0.00573969323732826 0.00592158394774494 0.00176248079349593 0.00254178196993052 0.00813639571758183 0.0030410619201702 0.00336451056642233 0.0045567457652706 0.00592348531564224 7.90532952028648e-05 0.00266385227438534 0.00523569557219613 0.00540718946072421 0.0034796441697091 0.00467644074671086 0.00574120431932646 0.00772124087350295 0.00532214659497642 0.00409375663330602 0.00621664651846505 0.0069615727442867 0.00634139333243737 0.00652592252215299 0.0026156544504967 0.00289563491577422 0.00307528219703999 0.00353752314687122 0.00501652068789576 0.00278941532043088
"NSLZI" 0.00914680715529474 0.00941081012265382 0.00938115818672084 0.0114150628611576 0.0106958965119445 0.00814891785369134 0.0104297167434096 0.00820732298597504 0.00999503381948409 0.00548323657993359 0.00618862093346785 0.00671434018119059 0.00193192274257878 0.00340705454625145 0.00987150160635803 0.0051543106769055 0.00476104012426619 0.00646432180838413 0.00763864103343738 0.00360677645243193 0.00624241757815943 0.00688068228562784 0.0118109787102442 0.00538089547180576 0.00574023560736004 0.00788889607645509 0.00934555658792439 0.00680251846780337 0.00500742289979434 0.00747249170441808 0.00836867126168734 0.00680734033162295 0.00804818317502053 0.0029905164543559 0.00240688630242552 0.00442932437598084 0.00466290587176183 0.00686115436490709 0.00357060580853058
"NABR" 0.00518294919305898 0.00571764221542449 0.00616303559885949 0.00728554335251618 0.00637989163767411 0.00511546384289561 0.00617528637273337 0.00414041267771249 0.00548323657993359 0.00581392966847471 0.0038330629954687 0.00433887644534108 0.00224523060434729 0.00274668483352172 0.00629388374331207 0.00435036663867128 0.00380383954750175 0.00475025640953462 0.0058780942308758 0.00625777098496307 0.00449958360540919 0.00457806618604755 0.00690771789472516 0.00475119716862581 0.00346553411249583 0.00607870715241614 0.00577188309649359 0.00383376965011862 0.0030800198680847 0.00543502773541279 0.00526857811044691 0.0053752130665302 0.00607742978158076 0.00237005911451792 -0.00156751553379463 0.0029170748070987 0.00297075740627601 0.00456597760329798 0.00332051933087634
