"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00748593662349728 0.00322081262356193 0.00292969797573464 -0.000974516958343376 0.00025810307422258 0.000526119716301094 0.00130843261662318 0.00301690424454249 0.00144598648452829 0.000590913692538473 0.00145556822124785 0.0012471179279459 -0.000413231096561936 0.000229527592238456 0.00201542498126263 0.00121328424302365 0.000877165271061969 0.00149013446185539 0.00214113949805732 0.00331406696171189 -0.00285042764031213 0.0007770429032628 0.000363962307116878 0.00157342038825343 0.00288951863260421 0.00115565318806246 0.00238447497718786 0.00126644130746444 0.000657463624228562 0.00145271293420126 0.00121340526975959 0.00138923384602253 0.00145106223163935 -0.00039809089501738 0.000520365835133939 -0.000483555696973651 0.00085282940028253 0.000713830932850122 0.00127503870668279
"ISNSL" 0.00322081262356193 0.00529939550020293 0.00306373278572448 0.00317957336372673 0.00187789451131704 0.000679736451285966 0.00123172689038381 0.00122988788506892 0.000722593884712085 0.000652769224931553 0.00110384938520801 0.00143503677462727 7.56170939544421e-05 0.000374511711064781 0.0017409853662207 0.000613643173804206 0.000567303532181124 0.00127321002475613 0.00163634429328504 0.000364544596042644 -4.72963638664356e-05 0.00162333087560008 0.000800767809397192 0.000734851265638558 0.00274364235515497 0.00200319776165755 0.00326093820346047 0.00110394547921855 0.000520323423788954 0.00053579159996361 0.000693337629581235 0.00147253990110932 0.00142674606045937 -4.75821678415381e-05 0.000944249775974634 -0.000317660787458028 0.000456408778595671 2.87435856253259e-05 0.00092416859311351
"ISPNS" 0.00292969797573464 0.00306373278572448 0.00338249998102455 0.00280818524431674 0.00200687182613579 0.00122913219284465 0.00156388474753362 0.00227121932022679 0.00125281443740524 0.000509781344970959 0.0012623194859513 0.00159143908080225 3.23622391980532e-05 0.000390341068823018 0.00182863590692485 0.000740185800408634 0.000855957941664405 0.00111296720515144 0.00164077691919127 0.00161117524210065 -0.000713926926923548 0.00138290267112099 0.000981655849128035 0.00115522434335239 0.0029647348979478 0.00185219893665138 0.00340591987794279 0.000189519487356773 0.00127798738980288 0.00070058771125643 0.00108590343518579 0.0014200722381379 0.00133338928214834 0.000405766749486797 0.00111111716217093 0.000167179215910226 0.000606049886681796 0.000702313001124687 0.00067280979067551
"PMZS" -0.000974516958343376 0.00317957336372673 0.00280818524431674 0.00738290174906785 0.00362175202195363 0.00132494556846057 0.0029573891664335 0.00197372089479372 0.000966692529236922 0.000636364804998241 0.000816813612214092 0.00126509711094163 0.000319958338553325 0.000571435811728098 0.0014785986898823 0.000369193199797495 0.000677124058062547 0.000617507983128757 0.00116863747796207 0.000862817860795053 0.000908108583719638 0.00175655287547035 0.00177594868155031 0.000705289331603508 0.00264726571494151 0.00251814792913273 0.0034947761490204 0.00138565676314235 0.00157124479910879 0.000292016230225746 0.00111379227863868 0.00121473005423556 0.00140350847590862 0.00117576489622024 0.000853246470380716 0.000463665285620131 0.000183640766114317 0.00030256499651446 0.000655535314307471
"PMZI" 0.00025810307422258 0.00187789451131704 0.00200687182613579 0.00362175202195363 0.00361620547869802 0.00120565262062502 0.00122556150730687 0.00163127350422537 0.00163518408951702 0.000538579033462868 0.00110102516345607 0.00116182194655515 0.000514165171661021 0.000677844445144152 -1.09784522892201e-05 0.00051719030827456 0.000880514006660837 0.00128425831829992 0.000684862272918514 -0.00130590372361081 0.000526056033959107 0.00109949180541358 0.00143819363831773 0.000101449174731814 0.000912907123595543 0.00093884437885134 0.00229895808635814 0.00110868753529424 0.0012713907603621 0.000480590140242537 0.00106304392709222 0.000242897798002817 0.000777264978050445 0.000776844953199833 0.000515263882484458 0.000942899881371278 0.000897462999092729 0.000765793047262641 0.000447042245324162
"PMMT" 0.000526119716301094 0.000679736451285966 0.00122913219284465 0.00132494556846057 0.00120565262062502 0.0016059335927762 0.000310156176672865 0.000783325510343735 0.000765263224242651 0.00045336169281412 0.000658797832308258 0.000698476273588395 0.000378530914880904 0.000359616206580166 0.000322279724619742 0.000549812944558432 0.000618597619501492 0.000700601298312015 0.000499799687313045 0.000349265902695906 -1.79415619829155e-05 0.00043121801119241 0.000943858041212079 0.000659020817923196 0.00130634479237478 0.000745008841829806 0.000732022645315752 0.000556537461284632 0.000782558415064411 0.000315223262129242 0.000528059034357975 0.000343657263940487 0.000249484238930428 0.00060372498382463 0.000669983596476168 0.000359330862290315 0.000713614503030053 0.000496786157630109 0.000456672017539548
"NSLNA" 0.00130843261662318 0.00123172689038381 0.00156388474753362 0.0029573891664335 0.00122556150730687 0.000310156176672865 0.0084487542284401 0.00331742002448731 0.00138576923898947 -0.000764329238423314 0.000787191385816812 0.00138307882539169 -0.000772344279987958 -0.000385334472015917 0.000772385790767997 0.000574177971932431 0.000319259739304673 0.000925632511978206 0.00168370164971379 0.00524965904370514 0.00154634415911944 0.00100330593199268 0.00144677180317027 0.000368851663037832 0.00183325683230901 0.00143789683002045 0.00160667305502062 0.00108289799819123 0.000360218731575549 0.000337679156706784 0.00091537683895105 0.00102772365269202 0.00124083000723541 0.000219785227019757 -0.000251704715079957 -0.000716253403393271 0.000333578560403193 0.000612400987006475 0.000762049438834124
"NSLZS" 0.00301690424454249 0.00122988788506892 0.00227121932022679 0.00197372089479372 0.00163127350422537 0.000783325510343735 0.00331742002448731 0.00541213622451272 0.00212041751671205 0.000547804502943295 0.00139582722624994 0.000971032586202017 -0.000429438980754352 0.000240572404584555 0.00131363169495544 0.000584517464826254 0.000631339722539413 0.000927742902487116 0.00172448962297785 0.00348849282192705 -0.00266501478096108 0.000753585651092373 -0.00028722946301678 0.00111062501586014 0.00273601391536245 0.00122521029772964 0.00230099812198997 0.00137858838311245 0.00112941714707888 0.000693125284208157 0.00142404911219777 0.00079844291861476 0.00117118682619886 0.000275051249011881 -0.000185659918594201 0.00027543157991626 0.000567286367383481 0.000568237458335188 0.000485890064920676
"NSLZI" 0.00144598648452829 0.000722593884712085 0.00125281443740524 0.000966692529236922 0.00163518408951702 0.000765263224242651 0.00138576923898947 0.00212041751671205 0.00191906179329747 0.000517162530417583 0.0011765956767674 0.000866134044880002 0.000248333334281364 0.000452331985298993 9.60803962120057e-05 0.000782871041828954 0.000864493627185317 0.00155093579151673 0.00135337909084925 0.000794746628365939 -7.40495386406422e-05 0.00058384019959398 0.00155909453011745 0.000453437764076419 0.00114571878256245 0.000999096563247056 0.00137325145942133 0.001267669494355 0.000763706645617946 0.000528243054894807 0.00103136288438073 0.000635444893875003 0.0010046301679759 0.000462709302176063 0.000426899419764691 0.000623667090070509 0.00112257478206431 0.000749143071946459 0.000489585502474345
"NABR" 0.000590913692538473 0.000652769224931553 0.000509781344970959 0.000636364804998241 0.000538579033462868 0.00045336169281412 -0.000764329238423314 0.000547804502943295 0.000517162530417583 0.00228168345152325 0.000345578425498207 0.000165845143958209 0.00130858557356816 0.000820769481424764 0.000260599432509824 0.000242575613941764 0.000368761843091118 0.000788188311242955 0.000935709034626218 0.000490201556430002 0.000199952548971627 0.000476421133942249 0.000626483534682542 0.00031515361986748 0.000622578753508459 0.000773565224276286 0.000710740679565189 0.00120061730505473 0.000410226451375695 0.000430272098454504 0.000432402766785644 0.000882337556126898 0.00103181768093605 0.000692305451123257 -0.000691533873202481 0.000714921838566133 0.000811562447834668 0.00034787420048022 0.000633295536391839
