"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00672589248510102 0.00529208156256654 0.00324991797419643 0.00359613475603519 0.00241922823279179 0.000993737905691552 0.00226314733350824 0.00367876822745363 0.00233363282039227 0.00229371277083698 0.00178627596566549 0.00196903899251393 0.00208350216914729 0.00212279175916053 0.002413858363812 0.00105912278903577 0.00123905983334511 0.00131964860129701 0.00180240755911376 -0.000148759647962151 0.000701882720328509 0.00265733363550746 0.00162970397444033 0.00116926276325713 0.00230858764883328 0.00219289846929215 0.00446103313739618 0.0030094270239569 0.0018941649393788 0.00211150230369761 0.00239344884536196 0.00171880050160766 0.0020612503884001 0.00378371397248172 0.000338650027637924 0.00425410693999395 0.00105715382110213 0.00278707223079238 0.000499306969454278
"ISNSL" 0.00529208156256654 0.0104852272517928 0.00476125799004462 0.00774776893027309 0.00469156199507037 0.000890047370831468 0.00561984629221267 0.00257773646384238 0.0025571014355558 0.00185110765142719 0.000754155274894839 0.00230373860117654 0.000909630989117827 0.00164770830035282 0.00370527287350262 0.00104306807501635 0.00163377478394792 0.00290103399479444 0.00574792263641402 -0.000115751524392471 0.00253289762537327 0.00518599332883691 0.00464961280099446 0.00236014264893809 0.00330064712908557 0.00608792810456937 0.009890086347184 0.0035210175255579 0.00286288213571441 0.00119926966804325 0.00225229400035784 0.00206031618586991 0.00586311959310166 0.00340651348010404 0.000608682726372451 0.00329159921892228 0.00174719451037999 0.00234894729677021 0.000708866400550217
"ISPNS" 0.00324991797419643 0.00476125799004462 0.00347031207900028 0.00409348012389896 0.00272033320611286 0.00110509022880922 0.0036425766241193 0.00295069388674679 0.00185611501298517 0.00120506170820638 0.000755843726829374 0.00215444596464939 0.000602707889737015 0.0010595124318825 0.00321699861320777 0.000834988865278964 0.00125963719941093 0.00145100016847166 0.00257195896155946 0.00343373944135117 0.00095841419839392 0.00306847905635584 0.00220560514512358 0.00176637448567441 0.00230133191806885 0.00253249284316338 0.0053946504322721 0.00156990003505146 0.00202022416713304 0.000251120569976748 0.00151979758103178 0.00135526860373096 0.00247920068960612 0.00233618077504002 0.000212300385997491 0.00218569822925343 0.0008277413088289 0.00176239839862863 0.000491681516707734
"PMZS" 0.00359613475603519 0.00774776893027309 0.00409348012389896 0.00857068859701585 0.00512262834798128 0.00134353838809776 0.00719762959711458 0.00523370885884422 0.00289290804969084 0.00163083948280104 0.000607378720338211 0.00250285926075062 0.000519768404268439 0.00163445478463961 0.00396738870113776 0.0008613278682109 0.00127383945357388 0.0027011437777124 0.00544388186430203 0.000627318106250379 0.00247663772442161 0.0050213191726425 0.00519519717561696 0.000797083612600114 0.00363423451662355 0.00579752095961162 0.00788255414354017 0.00429143780645308 0.00235530861574101 0.00113158004380529 0.00275414216323193 0.0017780039640712 0.00590400215166196 0.00364303109895048 0.00199018661890733 0.0022029974137378 0.00151522737544643 0.00209870399309282 0.000660033593226672
"PMZI" 0.00241922823279179 0.00469156199507037 0.00272033320611286 0.00512262834798128 0.004334067477558 0.000991212584731304 0.00379731344998161 0.00356365158736181 0.00296577031492771 0.00166087486869124 0.00100745221112021 0.00210987386583801 0.000874270884127805 0.00143521817976045 0.00253779206427328 0.000797731497053 0.000895192084451893 0.00196507329528591 0.00329978107195569 7.42922143150276e-05 0.00128663640127154 0.00330779419247128 0.00354914932676496 0.00184016372254691 0.00149552626357918 0.00280293653156353 0.00500561132509671 0.00348957041772843 0.00130998770345717 0.000382478270628577 0.00182066343456932 0.0012163237430105 0.00334804242358951 0.00285145220543184 0.000880648245771722 0.00185520660715926 0.00118103641244316 0.00185658535596584 0.00129745910228384
"PMMT" 0.000993737905691552 0.000890047370831468 0.00110509022880922 0.00134353838809776 0.000991212584731304 0.00136016504958106 0.00162712191532666 0.0011860176683945 0.000741868085938336 0.000535666637429126 0.00025644389385156 0.000963142455763705 -8.30169270040189e-05 0.000273326036895947 0.0013086267825323 0.000828537382694633 0.00102700375374747 0.00129116826475508 0.00111595168352477 0.0026266751521055 0.000344563370675404 0.000687570904390815 0.00126357630805015 0.00139261434351565 0.00130090045266839 0.000824205525284653 0.000322327747198522 0.0017877001175508 0.000971750741588258 0.000472824697856746 0.000781206239193739 0.000899952598369937 0.000924193711300087 0.000711284313017676 -0.000169760752153174 0.00050034307742694 0.000860384057719231 0.000505593217136463 0.00085217197480501
"NSLNA" 0.00226314733350824 0.00561984629221267 0.0036425766241193 0.00719762959711458 0.00379731344998161 0.00162712191532666 0.0123488733083348 0.00590188042325578 0.00214847882070464 -0.000223704187679268 3.63173093543468e-05 0.00322985389657273 -0.00143768047613283 0.000413713425719922 0.00492159537879107 0.00103321142346779 0.00142241024692017 0.0024491850364319 0.00433847214197224 0.00669965030293712 0.00359335036219104 0.00400038464623015 0.00422881655023185 -0.000339690019554684 0.00516561671753405 0.00488170319649017 0.00570908118344219 0.00522820498588388 0.0029525400803695 0.00104656012200662 0.00187766121968159 0.000583656199519885 0.00438731829905787 0.000466693491534278 0.00094029111226507 0.000115466158668604 0.000372166510535575 0.000555994248091506 0.000330769545848026
"NSLZS" 0.00367876822745363 0.00257773646384238 0.00295069388674679 0.00523370885884422 0.00356365158736181 0.0011860176683945 0.00590188042325578 0.00977145596788006 0.00354474943921665 0.00213731343951012 0.00176220333952988 0.00317164373912357 0.00167408857856074 0.00228971877294568 0.00350918605986532 0.000807118461613958 0.00113475860306888 0.00106993512530759 0.00172297792147277 0.0023293901559981 -0.00116145233373056 0.00350649873535125 0.00115709144383267 -0.00100608394081444 0.00352868883780698 0.00236526634944628 0.00427988835534669 0.00326794370246864 0.00310851779052723 0.00142017299453732 0.00302898324542595 -0.000109454852804771 0.00263200792858042 0.00290790163464615 0.00109931584575294 0.00153112883610661 0.000222021614526918 0.00330474719550434 -0.000169071524317861
"NSLZI" 0.00233363282039227 0.0025571014355558 0.00185611501298517 0.00289290804969084 0.00296577031492771 0.000741868085938336 0.00214847882070464 0.00354474943921665 0.00282920101107311 0.00189806590977018 0.00153723924450918 0.0019054378671207 0.00150255788319919 0.00157701808529376 0.00199220852918932 0.00053993566596734 0.000740698997798138 0.000964575089371516 0.00148383540157796 -8.96441160756285e-05 0.000359980685654498 0.00222905784331355 0.00218236430782872 0.00170914099449296 0.00122783470230713 0.00129203885213137 0.00316273733993817 0.00251521888557205 0.00147959481733156 0.000765547685759276 0.00173513634438965 0.000392053450415625 0.00179629978958722 0.00200766969146946 -1.94532470192893e-05 0.00170336807767414 0.000557759080459251 0.00180575224147943 0.000805620526343955
"NABR" 0.00229371277083698 0.00185110765142719 0.00120506170820638 0.00163083948280104 0.00166087486869124 0.000535666637429126 -0.000223704187679268 0.00213731343951012 0.00189806590977018 0.00353287654506264 0.00195212937933052 0.00148808123761546 0.00355614930609023 0.00201175755771455 0.00164108074318955 0.000309460817004026 0.0005931254854764 -0.000192066419017117 0.00060891279012254 -7.60623090658913e-05 0.000108452836807711 0.00177461723899781 0.00124370799665193 0.00252899635058715 0.000272245996989376 0.00082088241886704 0.00145855063825524 0.00121651724514635 0.001773221675132 0.00159300165566542 0.00186982831597962 0.000969718489541335 0.00179679903498893 0.00155745061525865 -0.00125353431311375 0.000888928695244183 0.00039592692412092 0.00173249344427478 0.000996691747922729
