"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00831268670872916 0.00668955925380359 0.00675449499387261 0.00592663965842152 0.00479169076220903 0.0041882574203955 0.00509189123797717 0.00618974428772583 0.00424972318683875 0.00299978000666531 0.00393285697762467 0.00465113327913122 0.00241327502640858 0.00303041411708246 0.00615888311065792 0.00255443789279849 0.00246954791391157 0.00322048674088212 0.00424073434686673 0.0084120313081928 0.00232058630095654 0.00517951159179719 0.00372561067061554 0.00439987261509066 0.00502714547108186 0.00333512023208481 0.00622651275953409 0.00439206074771411 0.0034005695638685 0.00325636375319167 0.00422007952931198 0.00452124619431806 0.00398230862345086 0.0033209067882483 0.00242175123476875 0.00339830888482995 0.0028489333041776 0.00447328705048699 0.00109461280140095
"ISNSL" 0.00668955925380359 0.0146171443144368 0.0100273350586165 0.0121990293430399 0.00935391105872663 0.00656536765686424 0.00580720787648826 0.00651711027073165 0.0060823648493531 0.00418603808849167 0.00519856685775672 0.00695538804537437 0.0026342223746744 0.00425818287566504 0.00903929562514494 0.00457729564681168 0.00397633541449852 0.00553944034471341 0.0074740252264928 0.0155824661909805 0.00334548909269755 0.00826346327637982 0.00733208149831175 0.00726510287367794 0.0071236709710063 0.00667090236837166 0.0110646931709886 0.00556963918103305 0.00498102652095242 0.00574457685148397 0.0052806024243439 0.00782713074576329 0.00737531185493186 0.00449924691053961 0.0049056359051461 0.00487987353864575 0.00451622058453497 0.00605061034899345 0.00102617404478207
"ISPNS" 0.00675449499387261 0.0100273350586165 0.00953866031973547 0.0109459856980117 0.00870008687121245 0.00661218278672089 0.00757900819246624 0.00813249324347404 0.00610529857505905 0.00437425854058296 0.00508222780715505 0.00717424528532494 0.00275293387045819 0.00436326974594999 0.0091428240929868 0.00424637006544695 0.00399724696489242 0.00513692483304457 0.00708854847328921 0.0108859740423754 0.003542938032624 0.00784005287570573 0.00693958134938069 0.006558077887341 0.00762951341453316 0.00654309528690912 0.00995603469909381 0.00592117532130045 0.0054226904836071 0.00519287073803835 0.00558885272187756 0.00713064572097146 0.00667346497678042 0.00501194253115419 0.00410836375602476 0.00505620346225435 0.00426260806678024 0.00639788194101646 0.00166915069575913
"PMZS" 0.00592663965842152 0.0121990293430399 0.0109459856980117 0.0173573991921549 0.0118127764214246 0.00823184066076776 0.0138870054253761 0.0117336752213422 0.00771872509202559 0.00527372603132426 0.00552070527278641 0.00873616393552381 0.00262632194689399 0.00506936814266088 0.0103425026426563 0.00475093725802416 0.00466751310282134 0.00671770325495477 0.00943255522637241 0.0151624138291323 0.00509197647393894 0.0106581776692283 0.0105744676522727 0.0091343605758649 0.00985639978615139 0.00940175450864045 0.0128457158210065 0.0082226748824736 0.0071319088372817 0.00774889487262409 0.00680764848017964 0.00905562862239406 0.00936366309475653 0.00550109303153088 0.00571309648586692 0.00583836957988794 0.00534005042944318 0.00814675745393852 0.00152552817959298
"PMZI" 0.00479169076220903 0.00935391105872663 0.00870008687121245 0.0118127764214246 0.0111862988283008 0.00694899028924676 0.00829948990672851 0.00902315392951912 0.00769675720893949 0.00416434321118038 0.00527186681409435 0.00675375051597061 0.0024590959193686 0.00416496291566057 0.00837213916066619 0.00364734757974717 0.00348231639902706 0.00509600638867447 0.00718184953374012 0.00806210505833941 0.00338911435417558 0.00746629922345306 0.00827706680320703 0.00637995861126091 0.00580994993964838 0.00637362556326671 0.00954989910051459 0.00725030778943319 0.00497341543723303 0.00622494733705993 0.00510874424979634 0.00590253541724713 0.00666538676499225 0.00450518303465056 0.00497760657138938 0.00455034549180878 0.00433411116147121 0.00634379815331267 0.00230411252602757
"PMMT" 0.0041882574203955 0.00656536765686424 0.00661218278672089 0.00823184066076776 0.00694899028924676 0.00666743600314121 0.00547766789505516 0.0066521769532156 0.00506862523942767 0.0030809652076469 0.00429704308987833 0.00552490396348706 0.00203402157379517 0.00347272513067154 0.00598170710239575 0.00336137713858182 0.00331758087985476 0.00450569981380866 0.00570501012666985 0.00753829183266493 0.00237467235899803 0.00541269697437347 0.00562974384689337 0.00606360856683258 0.00629310983538187 0.00520654845615 0.00572661869409089 0.00590928348685429 0.00412698141818576 0.00402302257904617 0.00442719059059644 0.00531028995984338 0.0052683159126185 0.00371899409251978 0.00372347658485118 0.0039462758615509 0.00386011465901448 0.00525370152052045 0.00219507464065148
"NSLNA" 0.00509189123797717 0.00580720787648826 0.00757900819246624 0.0138870054253761 0.00829948990672851 0.00547766789505516 0.0235566947171974 0.0129212185129816 0.00681408940217721 0.00271565303507977 0.00352987967579461 0.00814170622130318 0.0019676976294755 0.00298480374470866 0.00657737300110925 0.00237179560038225 0.00299732396626182 0.00488645803969268 0.00673979516455269 0.00748573268284534 0.00743236416322493 0.00975791807311281 0.00871555123498772 0.00897370773358855 0.00754203194344962 0.007562164778044 0.00920926117905995 0.0067942291064559 0.00545657161690501 0.00596747768102285 0.00513610664968728 0.0057580306913325 0.00686091943482062 0.00341651788968588 0.00281507901370601 0.00358335399307669 0.00357067262693963 0.00579412448524559 0.000551910429108831
"NSLZS" 0.00618974428772583 0.00651711027073165 0.00813249324347404 0.0117336752213422 0.00902315392951912 0.0066521769532156 0.0129212185129816 0.0144229198867221 0.0077485078973453 0.00423040299259587 0.00536476454215563 0.00682002653326165 0.00284845643546441 0.00390904703624661 0.00667734564663175 0.0028039915591802 0.00320611193973823 0.00513500822344777 0.00677380762235827 0.00452612045399426 0.00271544580853503 0.00751009673866557 0.00602071457259189 0.0057250707282336 0.00731547105345971 0.00697155335402731 0.00819343637907406 0.00746722064868093 0.00536881462531802 0.0064923635357643 0.00552741851336225 0.00568436174241415 0.0061112003120882 0.00456000710120428 0.00412784449110537 0.0035177314687962 0.00436084041065406 0.00652663773843907 0.00288142412182421
"NSLZI" 0.00424972318683875 0.0060823648493531 0.00610529857505905 0.00771872509202559 0.00769675720893949 0.00506862523942767 0.00681408940217721 0.0077485078973453 0.00659370429887487 0.00332328104469394 0.00439231904432346 0.00508158083349545 0.00234767177069166 0.0031721887523656 0.00552481243162354 0.00256443003373291 0.00273091145033639 0.00393164028827561 0.00550957910309389 0.00422481412164141 0.00263331482421365 0.00538704411312716 0.00628877760178161 0.00511866802377056 0.00389096088089214 0.00487277431119556 0.00636222040384628 0.00503941699811974 0.00402420315871337 0.00468529149561815 0.00392423052489122 0.00391294542449096 0.0049210109238739 0.00347451406514306 0.00334448799716082 0.00343425069032677 0.00337974429255369 0.00467552433288131 0.00149088573133787
"NABR" 0.00299978000666531 0.00418603808849167 0.00437425854058296 0.00527372603132426 0.00416434321118038 0.0030809652076469 0.00271565303507977 0.00423040299259587 0.00332328104469394 0.00470023651446892 0.00287504338550565 0.00361355170535899 0.00293873065662331 0.00301664193877839 0.0050210154019506 0.00272548452660427 0.00257350010589171 0.00325722579498609 0.004005687527228 0.00543086423017179 0.00198943541021952 0.004252495535465 0.0042202221117906 0.00361627769392281 0.00334530234763731 0.00367254495028977 0.00496124091098354 0.00303242417498723 0.00331665123546898 0.00330334214870215 0.00283943202093986 0.00441642859946246 0.00380454167234085 0.00290444179626542 0.000941764329591336 0.00300183019038745 0.00272055986412948 0.0038840800546757 0.000935419939253339
"NAFM" 0.00393285697762467 0.00519856685775672 0.00508222780715505 0.00552070527278641 0.00527186681409435 0.00429704308987833 0.00352987967579461 0.00536476454215563 0.00439231904432346 0.00287504338550565 0.00505906990327574 0.00493144200106657 0.0024019787079588 0.00298766476389428 0.00491016105419394 0.00253691032397922 0.00246900093997222 0.003209925159547 0.00425211523369176 0.00649443343805007 0.0018549997620276 0.00405989907497989 0.00401810061000786 0.00380064524817277 0.00412643971465716 0.00350788861769775 0.00517497678444304 0.00401322822109818 0.00326101098295156 0.00365515936134405 0.00361089454080568 0.00359272320716957 0.0039253160354885 0.00353196921513695 0.00345322876100973 0.00333612157971434 0.00303050170099028 0.00434629552932025 0.00202004531296241
"NAPNS" 0.00465113327913122 0.00695538804537437 0.00717424528532494 0.00873616393552381 0.00675375051597061 0.00552490396348706 0.00814170622130318 0.00682002653326165 0.00508158083349545 0.00361355170535899 0.00493144200106657 0.00815421267800966 0.00265453266075342 0.00391367833987087 0.00759277260739748 0.00368340616369567 0.00354939291277641 0.00479149848171484 0.00602972642809374 0.00864580092989937 0.00338560917233929 0.00738308261354227 0.00595393183826016 0.0065707753862173 0.00659047585593862 0.00553747066624868 0.00759154352997467 0.00494046574272612 0.00447805540635143 0.00441403824509961 0.00487163465051591 0.00574924540627652 0.00548374610864757 0.00433158374589528 0.00312369159793613 0.00452897868184308 0.00403509874694786 0.00550055159571437 0.00201035982727685
"BRPT" 0.00241327502640858 0.0026342223746744 0.00275293387045819 0.00262632194689399 0.0024590959193686 0.00203402157379517 0.0019676976294755 0.00284845643546441 0.00234767177069166 0.00293873065662331 0.0024019787079588 0.00265453266075342 0.00422018997879766 0.00234934830946517 0.00176616496758262 -4.35857547569e-05 0.000757853240999291 0.000952543913335737 -0.00014829155963173 -0.00556066963298685 0.000861606064001978 0.00237936620975984 0.00201773708063226 0.00252897667106771 0.00152325202745942 0.00110318155211325 0.00287136175580523 0.00182651841791577 0.00201931552247912 0.00164474227212164 0.0019091862883631 0.00246082097987358 0.000763292432935753 0.00228595234332649 0.000555552704594272 0.00229398191884408 0.001639325855747 0.00234141505853608 0.00103624469625649
"BRAPET" 0.00303041411708246 0.00425818287566504 0.00436326974594999 0.00506936814266088 0.00416496291566057 0.00347272513067154 0.00298480374470866 0.00390904703624661 0.0031721887523656 0.00301664193877839 0.00298766476389428 0.00391367833987087 0.00234934830946517 0.00353679258338218 0.00448163407448844 0.00289295099583921 0.00263655971122067 0.00322697341772446 0.00399212857355632 0.00576572652958186 0.001872458100007 0.00398674711590155 0.00377342430029692 0.00360938261526436 0.00384415524332657 0.00356861770420892 0.00469924501526559 0.00308291423072905 0.00327943132468509 0.00316113430336429 0.00328778256207775 0.00380017063428477 0.00355995417600551 0.00309801479970135 0.00255184664641751 0.00373307349848913 0.00272511784415601 0.00416299239616158 0.000988734962625384
"PTFM" 0.00615888311065792 0.00903929562514494 0.0091428240929868 0.0103425026426563 0.00837213916066619 0.00598170710239575 0.00657737300110925 0.00667734564663175 0.00552481243162354 0.0050210154019506 0.00491016105419394 0.00759277260739748 0.00176616496758262 0.00448163407448844 0.0162600690982752 0.00488922705042933 0.00386326737237145 0.00359705792529719 0.00708904782765213 0.0191535291742135 0.00405931163768107 0.00866562121153927 0.0069100139490799 0.00650342866067262 0.00844221487139867 0.00662079987375532 0.0107127837811227 0.00719041069646149 0.00596790442857045 0.00498777183602433 0.0061251879876402 0.00831479573715384 0.00645768646884406 0.00463293423351986 0.0044243966782513 0.00504326171288702 0.00295299535956218 0.00705056150087408 0.000925210225550663
"PTAPET" 0.00255443789279849 0.00457729564681168 0.00424637006544695 0.00475093725802416 0.00364734757974717 0.00336137713858182 0.00237179560038225 0.0028039915591802 0.00256443003373291 0.00272548452660427 0.00253691032397922 0.00368340616369567 -4.35857547569e-05 0.00289295099583921 0.00488922705042933 0.00627064494730838 0.00455235077227186 0.00545036660673742 0.00787672922778482 0.0186432606944639 0.00227943422163803 0.00397616380159852 0.0040884810129102 0.00374133067821697 0.00424737324773564 0.00480805872516246 0.00454964067518668 0.0024459815694383 0.0026917517965621 0.00308850490290646 0.00297878672494407 0.00366176226292264 0.00588811412007772 0.00287204196976 0.0020075340925599 0.00316305723453907 0.00329555497678695 0.00413042975462766 0.00111814282249265
