"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00722425651596636 0.00486110747978844 0.0040136193301065 0.00450922380772312 0.00299909039135504 0.00160843664723564 0.00616078475495672 0.00466616899303367 0.00228371433130309 0.00149858031514869 0.00126710747173135 0.00289005233261893 -9.51775340314246e-05 0.000176969126637815 0.00205127078299749 0.000592375539059262 0.000574313177711371 0.00137112093265202 0.00310217893741163 0.0042576075296299 0.00147109124885675 0.00389982913451184 0.00213165691575403 0.00401189755856644 0.00249253233229177 0.00263093476408815 0.00396031418351434 0.00153058606258803 0.00208592246258949 0.00116574727499862 0.00165061011873969 0.000913936373509758 0.00326845953224707 0.00114764695207358 -0.00138879132227379 0.000793182390715068 0.000738714783297774 0.00134411059579603 0.0001392251309554
"ISNSL" 0.00486110747978844 0.00861141012610353 0.00443017841458551 0.00504869946722898 0.00337232889569626 0.00182222105338575 0.00434557567192184 0.00217535715548229 0.0012038904475407 0.000217067061471704 0.0021183564401948 0.00323608231806305 -0.000630700038037139 -0.000147493194007634 0.00217449135054185 0.000532353526646129 0.00068456264359368 0.00177460618370449 0.00297635883233758 0.00622045939346453 0.0018432534302337 0.00403690157583587 0.00136626580976452 0.0046190923667324 0.00334166834910586 0.00235432011965972 0.0052207057619019 0.00225928114891369 0.00167019260886024 0.00118016038011283 0.00142020376552633 0.00237963095273542 0.00278332502495162 0.000979796474282462 -0.000332443191570503 0.00129577399871266 0.00111010411653893 0.000418445415530537 0.00103076089958528
"ISPNS" 0.0040136193301065 0.00443017841458551 0.00455411951294116 0.00516650103801049 0.00376067702761671 0.0020758403461919 0.00622320960461413 0.0046422450272205 0.00239633495931071 0.00109330001157513 0.00207813223199956 0.00348311384576287 0.000345254220621325 0.000847399938809431 0.00217489460399491 0.00112733426800973 0.00129438818334637 0.00216864351325271 0.00319325132881962 0.00517848019976607 0.00218379697866328 0.00413557639702168 0.00290556469297755 0.00414314118913274 0.00297144183388479 0.00276897357300992 0.00552536762252122 0.00136130517008241 0.00243263037767127 0.00132025391255738 0.0019047356479852 0.0027829954018733 0.00311038357447356 0.00137381744446263 0.000184103813005756 0.00188341984854183 0.00146921230765413 0.00159038173499441 0.000241782232038075
"PMZS" 0.00450922380772312 0.00504869946722898 0.00516650103801049 0.00937858126399133 0.00559045634380845 0.00250467278126685 0.0115882756165844 0.00850444219975876 0.00311374390741305 0.00201210657960367 0.00228939062869411 0.00437128280506148 0.000492377897612574 0.00121317451861093 0.00329655208095363 0.00130293491974769 0.00142691145900031 0.00275636118207126 0.00538752549633327 0.00966372453087115 0.00346935455723924 0.00648742054035294 0.0046595518541341 0.00581235909199865 0.0038804519465048 0.00449863538492335 0.00718221472800884 0.00273789230044061 0.00330346109958502 0.00283817199922975 0.00269014706366921 0.00381336925843438 0.00522676492943491 0.00236625794032744 -0.000276905753959389 0.00237847522101314 0.00145677360989391 0.0020266180819027 0.000631466799341652
"PMZI" 0.00299909039135504 0.00337232889569626 0.00376067702761671 0.00559045634380845 0.00506874481606762 0.00206912947628933 0.0064068745857165 0.00555791160587627 0.00341011413751159 0.00121905449519426 0.00161744289094975 0.00242105933886771 0.000267264636321942 0.00087782386524795 0.00191735290879839 0.000924475500355163 0.00110443411185922 0.00200236006813802 0.00319577110414729 0.00423339621511747 0.00147205099196725 0.00360113221643808 0.00345332294763232 0.0038911560222471 0.00123330192893463 0.00220827346514778 0.00489918697750254 0.00224213933373044 0.00239529614805233 0.00178991862475294 0.00183553841794565 0.00240006956858044 0.00320373291895866 0.00133516349901601 0.000609216525461348 0.00139000529398986 0.00132741907822309 0.00158557364144663 0.00077136989723249
"PMMT" 0.00160843664723564 0.00182222105338575 0.0020758403461919 0.00250467278126685 0.00206912947628933 0.00186931931821006 0.00265475927543415 0.00237077979068218 0.00143533635121153 0.000458472697087106 0.00154779453140148 0.00203013329024176 0.000376426893016295 0.000729172983598595 0.00113154730956233 0.000587115382070987 0.000800346781625822 0.00134480537386655 0.00156509279712519 0.00116855568212458 0.000756018502396405 0.00178487626864103 0.00166596252506039 0.00167904150579697 0.0020227945058276 0.00161746733203644 0.00187050504726788 0.00162306253955946 0.00135855563946986 0.00110416906385072 0.00107280547080007 0.00133053916133831 0.00156188188779172 0.000806838046475064 0.00118931887329421 0.00110594454834944 0.00115738451649515 0.00126629263404821 0.000535261266214359
"NSLNA" 0.00616078475495672 0.00434557567192184 0.00622320960461413 0.0115882756165844 0.0064068745857165 0.00265475927543415 0.0201180539819681 0.0128870769538721 0.00473222478805777 0.00219720553231666 0.00268865162939916 0.00655800026304899 0.00019064544200246 0.00172744826711794 0.00308377853839657 0.00167830088486304 0.00175346438542249 0.00427002210241384 0.0074486995839449 0.00548040236890531 0.00624913174935701 0.00850205845460479 0.0066640202029652 0.00713992063002144 0.00391349994179195 0.00739000454846612 0.00844643952793759 0.0027022760791051 0.00426319940083545 0.00313683328002925 0.00352700759142138 0.0045991619785558 0.00691596497504701 0.00395942846074289 -0.00121569624733716 0.00402367175164586 0.00183311165709649 0.0027588729333674 0.00055961700874841
"NSLZS" 0.00466616899303367 0.00217535715548229 0.0046422450272205 0.00850444219975876 0.00555791160587627 0.00237077979068218 0.0128870769538721 0.0113853017739716 0.00472487387437856 0.0021780438416654 0.00216547111388993 0.00401831018343769 0.000833288437194614 0.00169473914676345 0.00258194391077454 0.00119712846056177 0.00135064757832175 0.00243055141844931 0.00486797788507517 0.00793905807282294 0.00185144427889898 0.00593834379326669 0.00470407509770055 0.00505122639502072 0.00234082356969006 0.00416606042111235 0.00614097048812711 0.00239852522380955 0.00349639276991789 0.00263639647732306 0.00273894183488317 0.00307509454185583 0.00487572658399729 0.00224760701510071 0.000376709524985694 0.00224518228596449 0.0015275854300424 0.00253978129850854 0.000645125500359417
"NSLZI" 0.00228371433130309 0.0012038904475407 0.00239633495931071 0.00311374390741305 0.00341011413751159 0.00143533635121153 0.00473222478805777 0.00472487387437856 0.00382744105458462 0.000843195042282798 0.00126573697369111 0.00148622743354296 0.000485855173434904 0.000763154455769649 0.000693705543300527 0.000378549135359474 0.000702651979394496 0.000976370375772929 0.00176682661115658 0.00156752375483812 0.00083295161984035 0.00214019635027246 0.00360858081138128 0.00227249815423193 4.78022387355325e-05 0.0016967744463964 0.00286920607757567 0.00103808464092582 0.00188058395914892 0.00119117218020347 0.00149895044902464 0.000965079154593261 0.00240764117633722 0.0011767891454257 0.00090415165161495 0.000952301580770901 0.000960867120284822 0.0016867424705864 0.00026188086976855
"NABR" 0.00149858031514869 0.000217067061471704 0.00109330001157513 0.00201210657960367 0.00121905449519426 0.000458472697087106 0.00219720553231666 0.0021780438416654 0.000843195042282798 0.00339608036835023 0.000674217572099553 0.00134841681377097 0.0017073791636675 0.00123676169143709 0.00194998253203096 0.00103967352164988 0.000763780691552142 0.000791333022612278 0.00157880304871862 0.00274368834248337 0.00130937945162238 0.00238365304005491 0.00116846947315974 0.00205333042862354 0.00181619463213121 0.00160182013567472 0.00233506441492625 0.000645975827256468 0.00113194981891867 0.00127663548270623 0.00108637238499641 0.00117485934411786 0.00167869469396223 0.000926096156900122 -0.0011311655156234 0.000552389226615382 0.000780355927270134 0.00142467838439759 8.19303106868189e-05
