"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00549346250107549 0.00251682106600089 0.0029994893362861 0.00156093686429013 0.000782041819692475 0.00117730412820524 0.00155859075254747 0.000991664857820338 0.00128844470489988 0.000818294603114233 2.48483434635201e-06 -9.47138261677379e-05 0.000125753096265943 -0.000490929586519348 0.000716720319299024 -0.000368494977581562 -0.000512143782815566 -0.00056282585712823 0.000353379169726217 0.00149341878358918 0.00261122128964083 0.00108508926657661 0.00265705217419271 0.00263754597095083 0.00238434830641038 0.00166848012147321 0.000975734659554596 0.00101471181688111 0.000102679463178782 0.000165398556458403 -0.00114964258570023 -0.000254528268479301 0.000798091240527388 0.000274913545072052 -0.00170325180093015 -0.000269470245982794 -0.00123861543155134 -0.00236817835477579 -0.00193999756095886
"ISNSL" 0.00251682106600089 0.010679910865859 0.00593997710114246 0.01050090281988 0.00682345446790898 0.00378033371206536 0.00716657527101371 0.00468068431659061 0.00294323829892811 0.00159835479226246 0.00187329606149937 0.00349208134514613 -0.00158902277850455 0.00151444778388331 0.00393579150870321 0.0032151030869007 0.00331662155556475 0.00541322535862521 0.00471064782971342 0.00224502560329254 0.0018944703226284 0.00460419592828415 0.00368257444006063 0.0024325950970477 0.00905221097353148 0.00640243564259593 0.00709114964895757 0.00685033541583809 0.0045001447410222 0.00559403629173199 0.00283880713538106 0.00292227205867359 0.00388915933348642 0.000622247195217868 -0.000772819532195684 0.00348534222134182 0.00390258763798311 0.00181162102294451 0.00182339863321521
"ISPNS" 0.0029994893362861 0.00593997710114246 0.00528723798907198 0.00733371524984878 0.00464428277266916 0.00358024259964527 0.00578938047416823 0.00426517905306195 0.0024576109636085 0.00135657735465228 0.00102437992287623 0.00260288539422825 -0.000477959118136339 0.00136928981828299 0.00271527411463966 0.00207485191876222 0.00211645744080311 0.00341789047418538 0.00261899877681908 0.00252509419044842 0.00186564387865902 0.00361460048314953 0.00341381211702467 0.00360938679946136 0.00692657626561612 0.0044616153580226 0.00472819973470657 0.00314302020645708 0.00359815939345508 0.00394636250051449 0.00206862450512961 0.00191004678120516 0.0024404039217932 0.00100621606008732 -0.00026195425060528 0.00222885240058694 0.00234210305810999 0.000850270849235527 0.000411193773174665
"PMZS" 0.00156093686429013 0.01050090281988 0.00733371524984878 0.016176251210964 0.00925270265043425 0.00558616010493614 0.0137046439940149 0.00792293285888414 0.00419224149220983 0.00180786807842756 0.00159624358937688 0.00443614875267672 -0.00296560005382503 0.00238315277508896 0.00578060010565374 0.00440383769823697 0.00382782076689645 0.006884274179207 0.00660441465072358 0.00468792741577182 0.00188205038447981 0.00571596917338391 0.00574463738478835 0.00597277241974781 0.0116992211823204 0.0098195023307906 0.00863355783425113 0.00676779447556686 0.00629017927973236 0.00744590741281495 0.00487221529633773 0.00343864917023523 0.00416604676594221 0.00102622789604806 0.000221165388203111 0.00391215246389081 0.00496010851516261 0.00314901609849552 0.0026748228123302
"PMZI" 0.000782041819692475 0.00682345446790898 0.00464428277266916 0.00925270265043425 0.00728530986606153 0.00418647696078261 0.008135231381154 0.0058159788837712 0.0040433277838571 0.00165260154359896 0.00215840051927448 0.00400759146706483 -0.000905630019735724 0.00218607014877344 0.00359926440474281 0.00418052275103181 0.00380771964929412 0.00564733657990145 0.00500455315834567 0.00336305130256061 0.00107338617402212 0.00407758520680277 0.00396444379669229 0.00281176252530585 0.00612581275455485 0.00607269334582687 0.0055575753651789 0.00554420167586113 0.00475295551946749 0.00528098751752383 0.00380391358178898 0.00265656636897641 0.00362874264075506 0.00164769044776996 0.00105562096425012 0.00289656641906611 0.00419241408040431 0.00254562676502251 0.00316801791829324
"PMMT" 0.00117730412820524 0.00378033371206536 0.00358024259964527 0.00558616010493614 0.00418647696078261 0.00381122857570575 0.00453406615470069 0.0041308337990551 0.00235882160163051 0.0015086416617963 0.00103553686622011 0.00239086934239075 -6.19691826815561e-05 0.00175197203088084 0.00272660041550701 0.00306659293073537 0.00248499520839053 0.00341384838909107 0.00311860926076051 0.00604398012833044 0.000670202483949464 0.00260793023256919 0.00223495281747376 0.00294189705242541 0.00407769155715481 0.00286475502051949 0.00252823286559493 0.00233558932203405 0.00296129223773073 0.00337760205447251 0.00219467469771917 0.00140250503114544 0.00165604254596803 0.00114084863548458 0.00147580908138753 0.000858510703142456 0.00241971881696057 0.00109100131591417 0.00159694902569047
"NSLNA" 0.00155859075254747 0.00716657527101371 0.00578938047416823 0.0137046439940149 0.008135231381154 0.00453406615470069 0.0201256607166468 0.00929695642302565 0.00495742265007719 0.00191759830752304 0.00267245854922046 0.00501533570760786 -0.000508113470758579 0.00192669002292762 0.00592586639834333 0.00264703376154376 0.00255895094339041 0.00378549427094453 0.00314140511262303 0.00338058448464781 0.0030440619284711 0.00433566390930097 0.00586734850466904 0.00666219191279149 0.00976772218987531 0.00834006005127915 0.00687939970578637 0.00731656432270309 0.00572522612556307 0.00656135929921739 0.00444566970249612 0.00268721731141177 0.00295198374657056 0.000146451206223512 0.00133619076620145 0.0015096530281588 0.00359102287093479 0.00181669278498932 0.00255520901052037
"NSLZS" 0.000991664857820338 0.00468068431659061 0.00426517905306195 0.00792293285888414 0.0058159788837712 0.0041308337990551 0.00929695642302565 0.00995727560043363 0.00466705657155362 0.00384546182773971 0.00245507683514423 0.00324866508342181 0.000448882589870066 0.00247413249259008 0.00558473561626597 0.0033562968566856 0.00319268875496288 0.00551310615381768 0.00379747691009959 0.00729600407406068 -0.000951962229020277 0.00419756351963159 0.0013610959802605 0.00731760201762367 0.00523286430089064 0.00537822370390457 0.00430890320751767 0.00607360279420254 0.00482712240129934 0.00573909548347514 0.00395069734020784 0.00535300450959641 0.00192193367044033 0.000153193462300372 0.00110713414078176 0.000779204674329424 0.00473488495085504 0.00114135414086203 0.00183876990909324
"NSLZI" 0.00128844470489988 0.00294323829892811 0.0024576109636085 0.00419224149220983 0.0040433277838571 0.00235882160163051 0.00495742265007719 0.00466705657155362 0.00387247792880404 0.00238671676889896 0.0016952257623296 0.00197771326422871 0.000506260577923335 0.00173439261554353 0.00331577082570325 0.00294058880825336 0.00258586815376936 0.00348819387463825 0.00342341165760387 0.00414111180581537 0.00097251095942308 0.00272571983622929 0.00309983175386427 0.00453380502904895 0.00194741829272212 0.00391031117689822 0.00246688121184081 0.00300294318739939 0.00287629393789585 0.00313137678625124 0.00229325526549281 0.00196468318109753 0.00234792923641808 0.000964262808379425 0.00140108766367517 0.000891903232384598 0.00283733098466857 0.000913999038119741 0.00205680871758963
"NABR" 0.000818294603114233 0.00159835479226246 0.00135657735465228 0.00180786807842756 0.00165260154359896 0.0015086416617963 0.00191759830752304 0.00384546182773971 0.00238671676889896 0.00450072355672269 0.00113287568101003 0.000329971132402996 0.00165775174459968 0.00130482367373529 0.00261034877914052 0.002821575709316 0.00230243460986616 0.00330099052412708 0.00303064570829951 0.00819169553106072 0.00108744536554124 0.00248231758703616 0.000893335637737396 0.00360590635573653 -0.000230587416876078 0.00168812763631865 0.000799566314225892 0.0013915242321894 0.00102183077747794 0.00140236601452299 0.00102724288493855 0.00190336243340834 0.00117368454480719 0.000139800716096698 -0.00061174643876395 -0.000904073511150706 0.00225444075570881 -0.000665813709520574 0.00182122264302379
