"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00648365019534865 0.00293770672700816 0.0027742263596252 0.00310377132130492 0.00145275217435706 0.000926804751415526 0.00562287861793337 0.00362544681947674 0.00188625138295218 0.00123016848618028 0.000527748245451777 0.00191975772559859 -0.000348224252201362 -0.000379481286999923 0.0010571292258222 -0.000286321515465471 0.000200472888902801 0.00103920243213467 0.00246045491795851 -0.0011489183425506 0.00184690550632833 0.00311302554034481 0.00206900596650956 0.00304598543819629 0.00203858658373739 0.00331892823158427 0.00270873795780631 0.00122307480057522 0.0015634058229871 0.00131562789980863 0.00139185258926301 -0.000208617329908551 0.00353119938165494 0.000851784141015516 -0.000890829979687346 4.10829057579568e-05 0.000249324137729056 0.00102019746630518 -0.00104699798353512
"ISNSL" 0.00293770672700816 0.00627839681338818 0.00245706824505962 0.00284937600515171 0.00148666488582029 0.000738590660552948 0.00263542736278657 0.00036829548796926 0.000387660652741724 -0.000121693183544134 0.000600800903200816 0.00183584658080121 -0.000710959376159334 -0.000341162025223335 0.00110093315194375 0.000344338845545826 0.000684234493529281 0.00185188831173733 0.00179011707357355 -0.00154855974681301 0.00274704805188579 0.00317571239536758 0.00067108171037061 0.00388317540403975 0.00260697615785714 0.00239016785781114 0.00302403394151587 0.00303921157288292 0.000329125191919807 0.00063717506940887 0.00106659914145272 0.00126031703813964 0.00188393752889457 0.000371370133642607 0.000957195412709626 0.00019912460278836 0.000968356234881116 -0.000353604120927566 0.000434315701660985
"ISPNS" 0.0027742263596252 0.00245706824505962 0.00335821279846365 0.00372400856526409 0.00245520365731862 0.00148383384211868 0.00576601306022695 0.003582843379736 0.00212729130626469 0.000822558996420327 0.00153373036457202 0.00294660341051394 0.00068133211504954 0.000764137281118823 0.000821222182773804 0.000271775891943293 0.000885456562078855 0.00189812541106875 0.00189339103209526 -0.0023883498387685 0.00332753253097139 0.00345146056913773 0.00276328576146069 0.00336914201587933 0.00287310058093357 0.00313510789520404 0.00401267005062137 0.00149211222323918 0.00186238973854972 0.0016515971177619 0.00175223312758651 0.00220591440425713 0.0025201350670644 0.00156730475963564 0.00141453399598352 0.00110630430915918 0.00144268303148161 0.00119733459411506 7.8933569166507e-05
"PMZS" 0.00310377132130492 0.00284937600515171 0.00372400856526409 0.00856568823077217 0.00466536874351874 0.00193388813745413 0.0123402610131616 0.00834661646320297 0.00347938547357921 0.00209157658167227 0.00169155348741832 0.00300488916697071 0.0011739772562042 0.0011085505949817 0.000956797463158265 -0.000106507016687375 0.000890739177604563 0.00239799963737737 0.00389589766441006 0.000241192603689639 0.00520317924421697 0.00565017685540736 0.00475135708659393 0.00458693957849875 0.00390977894645542 0.00499985611206604 0.00540168195171767 0.00269160093606253 0.00294734142316952 0.00405841231563727 0.00274336024512924 0.00201838834068626 0.00481403170230887 0.00281547353946333 0.00135107251018999 0.00140093421828675 0.00136101319975748 0.00142661515491526 0.000883048351440765
"PMZI" 0.00145275217435706 0.00148666488582029 0.00245520365731862 0.00466536874351874 0.00398492085462778 0.00148617453931265 0.00645675771483201 0.00500333591957293 0.00330889044409134 0.00125869300037083 0.001402280733578 0.00184809836674854 0.000509898290515129 0.000723311320464782 0.00115685372300724 0.000356976986851751 0.000852055419202398 0.00205784505316739 0.00262727583521149 0.00129787704263974 0.00251998561626648 0.00297849673711211 0.0035136666131833 0.00327986820998145 0.00191168845443084 0.0029361034134351 0.00372244639005476 0.00291526786032309 0.00191876318393848 0.00268810996210937 0.00174156332131484 0.00174337679401797 0.00350001902495459 0.00135767933663902 0.00227731633202478 0.000217973619060214 0.00154899207340982 0.00155474354885935 0.00101255667160132
"PMMT" 0.000926804751415526 0.000738590660552948 0.00148383384211868 0.00193388813745413 0.00148617453931265 0.0016848671922564 0.00271842960382616 0.00228685383570414 0.00141975584188253 0.000473717433459307 0.00154471855616451 0.00211103748463841 0.000689180867690431 0.00102355526077287 0.000975260186499914 0.000466532811811245 0.000747349351666376 0.00122128925259792 0.00112634683594349 -0.00139642954076959 0.00154004961881551 0.00202484805581749 0.00155368851999556 0.00180654807217773 0.00233350813883276 0.00209929657369303 0.00142793299947616 0.00191698105149589 0.00123957504322039 0.0014014329990925 0.00120424796942791 0.00140330895144138 0.00165463491167422 0.00115082917214797 0.00207406205028934 0.00120059247731417 0.00133818228295902 0.00160457501477424 0.000778170124092804
"NSLNA" 0.00562287861793337 0.00263542736278657 0.00576601306022695 0.0123402610131616 0.00645675771483201 0.00271842960382616 0.0250357597118705 0.0144098565309155 0.00612759394868432 0.00224887568425354 0.00249812334519426 0.00593648943614493 0.000383411984947009 0.00154528827030307 0.000725150064680359 0.000150597517319036 0.00117262846984942 0.00475892506045588 0.00693736417668227 -0.00473995987846423 0.00874331407661163 0.00773920286408765 0.00837890951470094 0.0059174759054227 0.00398396110006253 0.00929866462722553 0.00702643924951438 0.00203544312818065 0.00431033915580999 0.0054037993445154 0.00378262854438391 0.00307200834073154 0.00695190045439039 0.00526366908328425 -0.00105793102790514 0.00426324630005611 0.00172283595797831 0.00292102490492334 0.000550279597293262
"NSLZS" 0.00362544681947674 0.00036829548796926 0.003582843379736 0.00834661646320297 0.00500333591957293 0.00228685383570414 0.0144098565309155 0.0118805192735733 0.00550680070323459 0.00250906336663785 0.00236792819319444 0.00337650238365927 0.00147695681380459 0.00158959231813655 0.00108564407321569 -0.000296173134650155 0.00046273372531823 0.00209282758739736 0.00375535906048566 0.000403427300548916 0.00253094624831066 0.00504386023525833 0.00551637879107678 0.00373779635509329 0.00283408854404979 0.00542108808165224 0.00460171900412139 0.00210086919253184 0.00291781025438486 0.0047877472338168 0.00271245913286723 0.00191152644624041 0.00487374049741793 0.0028686222652172 0.00180835630517598 0.00151287648455503 0.00160112414536384 0.00253840985120651 0.00124481222862593
"NSLZI" 0.00188625138295218 0.000387660652741724 0.00212729130626469 0.00347938547357921 0.00330889044409134 0.00141975584188253 0.00612759394868432 0.00550680070323459 0.00416461439558838 0.00136556894105454 0.00157839012415359 0.0018150421316542 0.000952466683222496 0.000824160108019455 0.000871574080593205 -0.000147236379373828 0.000288584143755897 0.00114107718120013 0.0016671761969452 0.000266767577028787 0.00113545949098845 0.00232010998448441 0.00427323899952449 0.00254676291758196 0.00089632942342075 0.00265768962572315 0.00282553121645539 0.00139068473310979 0.00148810559527364 0.00224240137167011 0.00159524854490834 0.000990153172754168 0.00272673244070559 0.00151690431658095 0.00189820635652603 0.000261575274693835 0.00130039168528525 0.00199518467509793 0.000855277866373048
"NABR" 0.00123016848618028 -0.000121693183544134 0.000822558996420327 0.00209157658167227 0.00125869300037083 0.000473717433459307 0.00224887568425354 0.00250906336663785 0.00136556894105454 0.00345902351708961 0.000903125531174 0.000912755294564729 0.00203545820794109 0.00118161214229611 0.000818924252282567 0.000241443468746777 0.000294065311400156 5.12662184066499e-05 0.00135284867879325 0.00416013802950456 0.00177186687134255 0.00217979808094693 0.00150698902266379 0.00162743555645771 0.00116735161285129 0.00148874130414281 0.00198761037430123 0.000435220886109593 0.0010964866991477 0.00163056942620489 0.00113251678149394 0.000353580177299011 0.00227598821246752 0.000715967296557586 -0.000527358836922603 -2.83247078775159e-05 0.000484224807611598 0.00143264706190266 -0.00026142330004818
"NAFM" 0.000527748245451777 0.000600800903200816 0.00153373036457202 0.00169155348741832 0.001402280733578 0.00154471855616451 0.00249812334519426 0.00236792819319444 0.00157839012415359 0.000903125531174 0.00304259798498786 0.00276250505090068 0.000651069428973751 0.00148365636749605 0.00108451940678368 0.00118158785770094 0.00108502184389058 0.00153028492813449 0.00191795822217819 0.00386923386039705 0.00286745679090829 0.00249380532182272 0.00157251759649274 0.00198534273754275 0.00290494206038257 0.00206812088067424 0.0022428970786464 0.00192959138085668 0.00130502018041026 0.00163510405640194 0.00149284731341491 0.00164184094947934 0.00192796129028518 0.00188893094229212 0.00225196891428859 0.00236065141894759 0.00155669127537511 0.0023653522156498 0.00083891134209159
"NAPNS" 0.00191975772559859 0.00183584658080121 0.00294660341051394 0.00300488916697071 0.00184809836674854 0.00211103748463841 0.00593648943614493 0.00337650238365927 0.0018150421316542 0.000912755294564729 0.00276250505090068 0.00492772581290364 0.000760247955732413 0.00171743410673142 0.00181559818891956 0.0012554171740446 0.00124206377102651 0.00246463608230057 0.00235604038617665 -0.00187720318425065 0.00347182165070083 0.00427090477283324 0.00260934803414401 0.00329206468445728 0.00331021971632022 0.00353040137251066 0.00304997324452208 0.00173881692789031 0.00165109605552877 0.000887914200420584 0.00208899521633913 0.00269617970269091 0.00173669120382961 0.00307650199110332 0.00132165372082966 0.00363164392690944 0.00191236347562829 0.00302059319632825 0.00112860345613113
"BRPT" -0.000348224252201362 -0.000710959376159334 0.00068133211504954 0.0011739772562042 0.000509898290515129 0.000689180867690431 0.000383411984947009 0.00147695681380459 0.000952466683222496 0.00203545820794109 0.000651069428973751 0.000760247955732413 0.00478731762830341 0.00173626667603858 -0.00169369426980604 -0.00165511441837811 -0.000498414727467526 -0.00119422267559106 -0.00254015182715537 -0.00770992224775926 -1.97317798845732e-05 0.00145810941189513 0.0015377020906006 0.000966032945245867 0.00112899088832987 6.41990964687639e-05 0.00130645118596027 -0.00106604273768893 0.000138736181342962 0.0012608650517768 0.00117932844827327 0.000155014587564822 -0.00051978690890875 0.00124112337477229 0.00149941081251453 0.000719805694382267 0.000577954885846705 -0.000413606460766498 -0.000931219250984438
"BRAPET" -0.000379481286999923 -0.000341162025223335 0.000764137281118823 0.0011085505949817 0.000723311320464782 0.00102355526077287 0.00154528827030307 0.00158959231813655 0.000824160108019455 0.00118161214229611 0.00148365636749605 0.00171743410673142 0.00173626667603858 0.00204926153221582 -0.000142780385515148 0.000720180825205991 0.000679786709311369 0.000601407021759164 0.000290988262404188 0.000545325107213241 0.00144992002331036 0.00154249625632011 0.00117919131562622 0.000747492092641146 0.00163178420335442 0.000720159784430447 0.000986813458834387 -0.000326702198050199 0.00124982776864214 0.00136586645705408 0.000983874125733144 0.000920284472974293 6.3732723858468e-06 0.00151664353030375 0.00120541941934 0.00243268948777521 0.000797492253009139 0.00182486824388698 0.0006192859750884
"PTFM" 0.0010571292258222 0.00110093315194375 0.000821222182773804 0.000956797463158265 0.00115685372300724 0.000975260186499914 0.000725150064680359 0.00108564407321569 0.000871574080593205 0.000818924252282567 0.00108451940678368 0.00181559818891956 -0.00169369426980604 -0.000142780385515148 0.00691006329581989 0.00145273462135867 0.000241064912287729 -0.000306693971728922 0.00266684324264131 0.0109053394006632 0.00018954344939529 0.00193141272484871 0.000402850632570716 0.00219810420346449 0.00154444252806971 0.00200671198976931 0.000632907025415643 0.00371314448869374 0.000237193556740454 0.000212794703781421 0.000484528454734066 0.00316892971296617 0.00202521703703637 0.00055881217219544 0.0012413876599279 -0.000100953696929742 0.000150687429577235 0.00277821257643255 0.00206947154534454
"PTAPET" -0.000286321515465471 0.000344338845545826 0.000271775891943293 -0.000106507016687375 0.000356976986851751 0.000466532811811245 0.000150597517319036 -0.000296173134650155 -0.000147236379373828 0.000241443468746777 0.00118158785770094 0.0012554171740446 -0.00165511441837811 0.000720180825205991 0.00145273462135867 0.00337489328721103 0.00192930856274025 0.00298226644336802 0.00351912382734478 0.00960637127474873 0.00194046019442696 0.00089462535870166 -0.000357579970409443 0.000489911074748342 0.00069778229013622 0.00140894051536416 0.000157120521413824 0.00170967229635217 0.000963382268912537 0.00034045982223976 3.74643331924708e-05 0.00174369888915464 0.00134977990859016 -4.44123422511682e-05 0.00074559852931559 0.000353486495710377 0.00129763652095772 0.00240880664030009 0.0018814143129124
"PTBA" 0.000200472888902801 0.000684234493529281 0.000885456562078855 0.000890739177604563 0.000852055419202398 0.000747349351666376 0.00117262846984942 0.00046273372531823 0.000288584143755897 0.000294065311400156 0.00108502184389058 0.00124206377102651 -0.000498414727467526 0.000679786709311369 0.000241064912287729 0.00192930856274025 0.00206382395997488 0.00272128650558241 0.0025408168935471 0.0039820315185378 0.00260393103124941 0.00133726831762318 0.00035126460989681 0.000941011305838651 0.0023192600262273 0.00165970149621553 0.00119407285173277 0.00264367758276357 0.00217205523908538 0.000930666365959535 0.000836495472999576 0.00128099878199975 0.00169727934340854 -0.000116647744100896 0.00168789436230561 0.000173398459567091 0.00173517722692382 0.00115435645771411 0.000647343743643397
"PTEAM" 0.00103920243213467 0.00185188831173733 0.00189812541106875 0.00239799963737737 0.00205784505316739 0.00122128925259792 0.00475892506045588 0.00209282758739736 0.00114107718120013 5.12662184066499e-05 0.00153028492813449 0.00246463608230057 -0.00119422267559106 0.000601407021759164 -0.000306693971728922 0.00298226644336802 0.00272128650558241 0.00645789043453585 0.004889992377753 -0.00169349704116939 0.00392118643727756 0.00307741040321061 0.000969425306175347 0.00311036875635109 0.0024904476556791 0.00410226043971804 0.00270143972820521 0.00422895093433844 0.00148844089439054 0.000882857979587236 0.0014298133734844 0.00235607729147381 0.0033020150622247 0.000565612612912776 0.00160308196183308 -2.75484104062729e-05 0.00328052895138792 0.0012589926813241 0.00190693258543425
"PTZYGO" 0.00246045491795851 0.00179011707357355 0.00189339103209526 0.00389589766441006 0.00262727583521149 0.00112634683594349 0.00693736417668227 0.00375535906048566 0.0016671761969452 0.00135284867879325 0.00191795822217819 0.00235604038617665 -0.00254015182715537 0.000290988262404188 0.00266684324264131 0.00351912382734478 0.0025408168935471 0.004889992377753 0.00783189414453253 0.0118704316893522 0.00498499658860259 0.00374786631946117 0.00170911891762993 0.00305462796517501 0.00308349743170524 0.00501220520214732 0.00337117781204805 0.00390558382256733 0.00245412700508468 0.00204921138247791 0.00178940617860046 0.00207838444903217 0.00614629163282495 0.00131229821843889 0.000194756057221467 0.000752493122915835 0.00198378908194075 0.00314735537718486 0.00130057951567061
"PTTSP" -0.0011489183425506 -0.00154855974681301 -0.0023883498387685 0.000241192603689639 0.00129787704263974 -0.00139642954076959 -0.00473995987846423 0.000403427300548916 0.000266767577028787 0.00416013802950456 0.00386923386039705 -0.00187720318425065 -0.00770992224775926 0.000545325107213241 0.0109053394006632 0.00960637127474873 0.0039820315185378 -0.00169349704116939 0.0118704316893522 0.117782946589725 0.00313258301423085 -0.000715321708803535 -0.00172374008786015 -0.00387893752042987 0.00330567834808076 -0.00452216360247681 0.0019949693569989 0.0048050143796214 0.0066969323671951 0.00834240078075498 -0.00127949514638577 0.00147741392806188 0.00663287894459386 -0.00315505698703148 0.00496581535694336 -0.00223472768127397 -0.00192055143432517 0.00995832760734837 0.003473375825137
