"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00684206368513647 0.00298539094838655 0.00309020522415844 0.00346550707375524 0.00193436170899236 0.00112589375335849 0.00580045677841939 0.00423707316002738 0.00179275368466445 0.00155410253653828 0.000482893870673553 0.00223576497890529 -0.000196328024701814 -0.000144779881658866 0.00156526905591464 0.00033951393367306 0.000491297484789485 0.00138786210099362 0.00278711794006693 0.000398713374893786 0.00147946285726953 0.00345266652300706 0.00155077607471353 0.00353339583894995 0.00212655817391529 0.00269290469863202 0.0028090165723962 0.00154364649143744 0.00128406093512172 0.00144697002949075 0.00136126689808233 3.84273452293181e-05 0.0027265116121842 0.000262092166034996 -0.000943889402818448 -0.000526959072194238 0.000516553770185692 0.000607672652532013 -0.000199261066374461
"ISNSL" 0.00298539094838655 0.00594466207368447 0.00255628797902625 0.00284666925981223 0.00159085775827999 0.000884908295350998 0.00240110388203624 0.000399246301234741 0.000340255040705285 2.41918306706601e-05 0.000618162343901427 0.00192195728877388 -0.000508145095984753 -0.000355234473012211 0.00129376761540287 0.00041476058251557 0.000656143656233674 0.0017490109467646 0.00166205469009587 -0.00196861042909463 0.0021999391126207 0.00295317452898537 0.000576971288599022 0.00366189469593582 0.00274062298783858 0.00224808505239505 0.00300439225824316 0.00265848183008978 0.000139811429872266 0.000764860646061484 0.00104410600149299 0.00108226050639451 0.00158765138593532 2.64637219784915e-05 0.0010241609265119 -0.000196161417252542 0.00106213416066314 -0.00049644466906928 0.000590323937499387
"ISPNS" 0.00309020522415844 0.00255628797902625 0.00351332091612411 0.00381605960110097 0.00276220727893942 0.00155828127087905 0.00557944000567808 0.00377472661091391 0.0020283605581682 0.00105429102461742 0.0014165130641448 0.00294291622829506 0.000851184037008072 0.000747437271985091 0.0010402448924275 0.000393230961546372 0.000907565415724218 0.00187044410200575 0.00165215570446103 -0.00313696966912098 0.00282176864137806 0.00354822318503091 0.00228320596841417 0.0036770399465376 0.00278852465476864 0.00260734109506884 0.00409676973446912 0.00138783482295674 0.00157783706528997 0.00142095321467464 0.00167114959397378 0.00181829896393786 0.00179095154154893 0.00112675883773424 0.00139349174587513 0.000644866433525394 0.00152972252198818 0.000732614692073671 0.000517657859414744
"PMZS" 0.00346550707375524 0.00284666925981223 0.00381605960110097 0.00834624685189657 0.00475639736199109 0.00200558365645207 0.0118087861923397 0.00824784690176282 0.00320713177268175 0.00221519685816045 0.0015011739899813 0.00320077823689938 0.00110070989614946 0.00102597441538553 0.00131053967750611 0.000257702359317195 0.000943026220484629 0.00244053698928869 0.00365016535099032 0.000158717477733223 0.00444962287684698 0.00555514107212626 0.00421797652614253 0.00475469692892865 0.00355971486387972 0.00421732563074421 0.00498800723085731 0.00243809729178328 0.00257180154641855 0.00332842636331838 0.00247027056273889 0.00163771513273477 0.00374131625987134 0.00234949180231463 0.00116926573968991 0.000532977424322095 0.00140653991945081 0.000814950216817727 0.00139367211758789
"PMZI" 0.00193436170899236 0.00159085775827999 0.00276220727893942 0.00475639736199109 0.00426520441649002 0.00155089817822165 0.00653125682872838 0.00538287307575127 0.00317954502871911 0.00151832985147646 0.00128794142526623 0.00203674531784754 0.000789008748146881 0.000795248004651388 0.00126351007201314 0.000411999864597555 0.000899521578315888 0.00201709578234031 0.00217084057283048 -0.000503502465047542 0.0021605872584515 0.00332549350585228 0.00292587442095488 0.0038518344872243 0.00179741945290757 0.00227039319407614 0.00393059439163319 0.00262933649263748 0.00179489921239198 0.00210404986620532 0.00168229038677504 0.00132231097494958 0.00247377003451239 0.00109713646656471 0.00220630723037732 -0.000103325477230749 0.00163168406339011 0.000892085048226339 0.00143844982123253
"PMMT" 0.00112589375335849 0.000884908295350998 0.00155828127087905 0.00200558365645207 0.00155089817822165 0.00160836810091402 0.00264738485375993 0.00223815744419823 0.00127401608085791 0.000553644317400552 0.00136869704193253 0.00205415387025199 0.000654027422480372 0.000883801084894339 0.00105751234783324 0.000527343450959855 0.000708848306088353 0.00119049217167279 0.00106280386289672 -0.00141773301523751 0.00129028531059634 0.00197301389127633 0.00136447023853125 0.00184619504990161 0.00220153882591855 0.00183545346090993 0.00143325204736742 0.00169259972239307 0.00101782251541029 0.00122662036050272 0.00109769214110852 0.00118093600587949 0.00129924368075034 0.000880304010946027 0.00183875671057375 0.000775206603340602 0.00127909925161118 0.00124077242418892 0.000887535966087808
"NSLNA" 0.00580045677841939 0.00240110388203624 0.00557944000567808 0.0118087861923397 0.00653125682872838 0.00264738485375993 0.0234531205956083 0.0142707249948526 0.00568684217736112 0.00249799632410771 0.00214725989440631 0.00587109760492814 0.000452695654316417 0.00159072678182876 0.00111650429084462 0.000548718750978908 0.00129133888241695 0.00457597937361192 0.0064439300355076 -0.00370321032501758 0.00744986623652428 0.00769901201520379 0.00724854606680049 0.00629989191077782 0.00337842653911361 0.00764550026412745 0.00640050813939098 0.00210944218249787 0.00408129708523315 0.0043631957353672 0.00340854142311988 0.0025873752523499 0.00547243987820655 0.00461015283296614 -0.000930043333976277 0.00296565453972883 0.00171771414511765 0.0018719405333575 0.00135650774041236
"NSLZS" 0.00423707316002738 0.000399246301234741 0.00377472661091391 0.00824784690176282 0.00538287307575127 0.00223815744419823 0.0142707249948526 0.0123375257321155 0.00526485174588026 0.00277599551302312 0.00207300448380801 0.00364738848600842 0.00156064726265511 0.00176811458489776 0.0013799205274826 9.26099702781195e-05 0.000739837564793353 0.00225181979890173 0.00367948480551102 0.000376169691161941 0.00197019233516989 0.00554325905349396 0.00449281389509967 0.00468768499036797 0.00241291818488268 0.00414353416336596 0.00462324400783929 0.00234635568348902 0.00303362070138782 0.00399014760067999 0.00258220436037321 0.001679945321548 0.00366344087592648 0.00243642763275058 0.001676809651327 0.000822998059976902 0.00168812402746167 0.00148118874334804 0.00200410346692823
"NSLZI" 0.00179275368466445 0.000340255040705285 0.0020283605581682 0.00320713177268175 0.00317954502871911 0.00127401608085791 0.00568684217736112 0.00526485174588026 0.00378766870753838 0.00131004350980101 0.00141607563667604 0.00170562462831923 0.00100266835485678 0.000824660238871874 0.00073738664075391 -0.000211182648413219 0.000288944623413293 0.00100293209884055 0.00131016013391079 -0.000771425005230459 0.000917153367949588 0.00231941383923704 0.00359277973465781 0.00262924759266445 0.000726650244567882 0.00212360872952997 0.00276972250594287 0.00122859290671476 0.00148264903510456 0.00179956496389895 0.0014660898014599 0.000769090913951161 0.0021580928540302 0.00137461114891243 0.00182249516282903 0.000259691273293913 0.00121722733468753 0.00151398562420128 0.000917182840688524
"NABR" 0.00155410253653828 2.41918306706601e-05 0.00105429102461742 0.00221519685816045 0.00151832985147646 0.000553644317400552 0.00249799632410771 0.00277599551302312 0.00131004350980101 0.00330606725397335 0.000743543387233436 0.000979290762848637 0.00190573242700513 0.00113625505064093 0.000928911440966585 0.000445921620720445 0.000408895474692892 0.000276867735301359 0.00124468305284339 0.00351075458018582 0.00166648039792754 0.00230926338645282 0.00122351146901389 0.00197737700860004 0.00106602049366298 0.00108141371090853 0.00200223683230719 0.000558922055135048 0.000907803592135735 0.00132692346131179 0.00103637491851009 0.000264215227649369 0.00159116983652642 0.000494638996920694 -0.000527278298619147 -0.000240786276109123 0.000565888337274819 0.00106416666379709 0.000150708737821142
