"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0054934625010755 0.00251682106600088 0.00299948933628608 0.00156093686429012 0.000782041819692446 0.00117730412820525 0.00155859075254744 0.000991664857820331 0.00128844470489988 0.000818294603114208 2.48483434632973e-06 -9.47138261677423e-05 0.000125753096265888 -0.000490929586519319 0.000716720319299025 -0.000368494977581589 -0.000512143782815585 -0.000562825857128261 0.000353379169726198 0.00149341878358916 0.00261122128964084 0.0010850892665766 0.0026570521741927 0.00263754597095082 0.00238434830641039 0.00166848012147321 0.000975734659554585 0.00101471181688111 0.00010267946317875 0.000165398556458363 -0.00114964258570025 -0.000254528268479314 0.000798091240527358 0.000274913545072027 -0.00170325180093018 -0.000269470245982812 -0.00123861543155135 -0.00236817835477583 -0.00193999756095887
"ISNSL" 0.00251682106600088 0.0106799108658589 0.00593997710114241 0.01050090281988 0.0068234544679089 0.00378033371206537 0.00716657527101363 0.00468068431659059 0.00294323829892809 0.00159835479226242 0.00187329606149933 0.00349208134514611 -0.00158902277850464 0.00151444778388335 0.00393579150870322 0.00321510308690065 0.00331662155556471 0.00541322535862516 0.00471064782971338 0.00224502560329255 0.00189447032262838 0.00460419592828411 0.00368257444006058 0.00243259509704769 0.00905221097353149 0.00640243564259591 0.00709114964895754 0.00685033541583808 0.00450014474102215 0.00559403629173193 0.00283880713538103 0.00292227205867357 0.00388915933348636 0.00062224719521783 -0.000772819532195712 0.00348534222134179 0.0039025876379831 0.00181162102294446 0.00182339863321518
"ISPNS" 0.00299948933628608 0.00593997710114241 0.00528723798907196 0.00733371524984874 0.0046442827726691 0.00358024259964528 0.00578938047416817 0.00426517905306196 0.00245761096360849 0.00135657735465226 0.0010243799228762 0.00260288539422822 -0.000477959118136396 0.00136928981828302 0.00271527411463968 0.00207485191876219 0.00211645744080308 0.00341789047418536 0.00261899877681906 0.00252509419044857 0.00186564387865899 0.0036146004831495 0.00341381211702462 0.0036093867994614 0.00692657626561613 0.00446161535802257 0.00472819973470653 0.00314302020645707 0.00359815939345505 0.00394636250051445 0.00206862450512958 0.00191004678120515 0.00244040392179314 0.00100621606008731 -0.000261954250605263 0.0022288524005869 0.00234210305811 0.000850270849235464 0.000411193773174664
"PMZS" 0.00156093686429012 0.01050090281988 0.00733371524984874 0.0161762512109639 0.00925270265043416 0.00558616010493615 0.0137046439940148 0.00792293285888413 0.00419224149220982 0.00180786807842751 0.00159624358937683 0.00443614875267669 -0.00296560005382513 0.00238315277508902 0.00578060010565376 0.00440383769823692 0.00382782076689641 0.00688427417920695 0.00660441465072353 0.00468792741577187 0.0018820503844798 0.00571596917338386 0.0057446373847883 0.00597277241974781 0.0116992211823204 0.00981950233079059 0.00863355783425108 0.00676779447556685 0.0062901792797323 0.00744590741281487 0.00487221529633768 0.00343864917023521 0.00416604676594212 0.00102622789604802 0.000221165388203079 0.00391215246389076 0.00496010851516259 0.00314901609849544 0.00267482281233018
"PMZI" 0.000782041819692446 0.0068234544679089 0.0046442827726691 0.00925270265043416 0.00728530986606143 0.00418647696078261 0.00813523138115388 0.00581597888377119 0.00404332778385707 0.00165260154359892 0.00215840051927444 0.00400759146706479 -0.000905630019735808 0.00218607014877348 0.00359926440474283 0.00418052275103175 0.00380771964929408 0.0056473365799014 0.00500455315834562 0.00336305130256073 0.00107338617402207 0.00407758520680272 0.00396444379669221 0.00281176252530587 0.00612581275455486 0.00607269334582682 0.00555757536517884 0.00554420167586111 0.00475295551946743 0.00528098751752377 0.00380391358178893 0.0026565663689764 0.00362874264075497 0.00164769044776993 0.00105562096425013 0.00289656641906607 0.00419241408040431 0.00254562676502244 0.00316801791829322
"PMMT" 0.00117730412820525 0.00378033371206537 0.00358024259964528 0.00558616010493615 0.00418647696078261 0.00381122857570576 0.0045340661547007 0.0041308337990551 0.00235882160163052 0.00150864166179628 0.0010355368662201 0.00239086934239076 -6.19691826815775e-05 0.00175197203088087 0.002726600415507 0.00306659293073537 0.00248499520839052 0.00341384838909106 0.0031186092607605 0.00604398012833039 0.000670202483949487 0.00260793023256919 0.00223495281747378 0.00294189705242539 0.00407769155715481 0.00286475502051951 0.00252823286559493 0.00233558932203405 0.00296129223773072 0.00337760205447249 0.00219467469771916 0.00140250503114543 0.00165604254596803 0.00114084863548457 0.00147580908138749 0.000858510703142452 0.00241971881696055 0.00109100131591416 0.00159694902569046
"NSLNA" 0.00155859075254744 0.00716657527101363 0.00578938047416817 0.0137046439940148 0.00813523138115388 0.0045340661547007 0.0201256607166467 0.00929695642302563 0.00495742265007717 0.00191759830752297 0.0026724585492204 0.00501533570760783 -0.000508113470758696 0.00192669002292769 0.00592586639834334 0.00264703376154368 0.00255895094339036 0.00378549427094446 0.00314140511262296 0.00338058448464785 0.00304406192847107 0.00433566390930092 0.00586734850466896 0.00666219191279148 0.00976772218987532 0.00834006005127911 0.00687939970578631 0.00731656432270306 0.005725226125563 0.0065613592992173 0.00444566970249607 0.00268721731141175 0.00295198374657046 0.000146451206223457 0.00133619076620142 0.00150965302815876 0.00359102287093477 0.00181669278498924 0.00255520901052034
"NSLZS" 0.000991664857820331 0.00468068431659059 0.00426517905306196 0.00792293285888413 0.00581597888377119 0.0041308337990551 0.00929695642302563 0.00995727560043364 0.00466705657155361 0.00384546182773969 0.00245507683514422 0.00324866508342179 0.000448882589870059 0.00247413249259011 0.00558473561626598 0.00335629685668558 0.00319268875496287 0.00551310615381768 0.00379747691009958 0.00729600407406072 -0.00095196222902027 0.00419756351963158 0.00136109598026049 0.0073176020176237 0.00523286430089065 0.00537822370390455 0.00430890320751764 0.00607360279420253 0.00482712240129934 0.00573909548347514 0.00395069734020783 0.00535300450959641 0.0019219336704403 0.00015319346230037 0.00110713414078177 0.000779204674329414 0.00473488495085504 0.00114135414086201 0.00183876990909324
"NSLZI" 0.00128844470489988 0.00294323829892809 0.00245761096360849 0.00419224149220982 0.00404332778385707 0.00235882160163052 0.00495742265007717 0.00466705657155361 0.00387247792880404 0.00238671676889893 0.00169522576232959 0.00197771326422871 0.000506260577923294 0.00173439261554355 0.00331577082570325 0.00294058880825333 0.00258586815376935 0.00348819387463822 0.00342341165760385 0.00414111180581535 0.00097251095942308 0.00272571983622928 0.00309983175386426 0.00453380502904894 0.00194741829272212 0.00391031117689822 0.0024668812118408 0.00300294318739939 0.00287629393789583 0.00313137678625121 0.00229325526549279 0.00196468318109752 0.00234792923641805 0.000964262808379405 0.00140108766367515 0.000891903232384585 0.00283733098466856 0.000913999038119714 0.00205680871758962
"NABR" 0.000818294603114208 0.00159835479226242 0.00135657735465226 0.00180786807842751 0.00165260154359892 0.00150864166179628 0.00191759830752297 0.00384546182773969 0.00238671676889893 0.00450072355672266 0.00113287568101002 0.000329971132402988 0.00165775174459968 0.00130482367373531 0.00261034877914051 0.00282157570931598 0.00230243460986615 0.00330099052412707 0.00303064570829947 0.00819169553106069 0.00108744536554123 0.00248231758703616 0.000893335637737358 0.00360590635573652 -0.000230587416876084 0.00168812763631862 0.000799566314225869 0.00139152423218937 0.00102183077747794 0.00140236601452297 0.00102724288493855 0.00190336243340833 0.00117368454480716 0.00013980071609668 -0.00061174643876395 -0.000904073511150696 0.00225444075570881 -0.000665813709520568 0.00182122264302377
