"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00619227407434566 0.00389915316989752 0.00349481198652782 0.00156960939925467 0.00244565891207388 0.00148043310597251 -0.00204884830726872 0.00283626086651646 0.00292778644923641 0.00340268991908134 0.00215476249063599 0.00165575170692302 0.00203759868454725 0.00190943319878698 0.00077056113448886 0.00114615667793388 0.00173080328767329 0.00213556673145503 0.00256569474164338 -0.00477403846528842 0.000277908473396147 0.00190647528791369 0.00228082825390232 0.00212599560415837 0.0027210227715075 0.0006246685402009 0.00357224481352719 0.00334466075996691 0.00175305238200637 0.000392136947936725 0.00326494109899444 0.00135725974631249 0.00243527351687468 0.00122851061181876 -0.000230118002750959 0.00189524622889992 0.00240277915319475 0.00323288775735174 0.000465920940689713
"ISNSL" 0.00389915316989752 0.00698930972802358 0.00361102580026256 0.00395794765184618 0.00368332646698281 0.00154425936031479 0.000526330510360038 0.00295189762587648 0.00240713436243168 0.00248502734333091 0.00179388792669723 0.00167589968991735 0.00191969034663035 0.00125201904997981 0.00186291367195135 -0.000159825265649387 0.000463270058105029 0.000164788280943518 0.00152790584666385 -0.00224159737932209 0.000650502613885479 0.00224317113660371 0.0005997701933279 -0.000466068982720594 0.00161905454342111 0.00134771181890882 0.00541355026083174 0.00171886128693879 0.00155017579614504 9.45544050530026e-05 0.00148356308467744 0.000143155978455848 0.000792731382192429 0.00157054375249978 -0.00119529046329269 0.00261239211613563 0.000540968523553315 0.00120990663830676 0.000959613012528005
"ISPNS" 0.00349481198652782 0.00361102580026256 0.00365040616360158 0.00185817743289547 0.00277843840312439 0.00197318407057785 -0.00288176139330939 0.0021029055424194 0.0019609941822705 0.0020094132785327 0.00162628550863305 0.00145186658213602 0.00140866169834573 0.00122293046272552 0.0013104002099639 0.0002868691631839 0.00101516467500668 0.000888643983334397 0.00150090598572834 -0.00151015410412434 -0.000755065425282249 0.00115375595982794 0.00109222662251168 0.000623655370219937 0.00164052461180202 5.8044802443333e-05 0.0034526749267117 0.00151235153961456 0.00207123076537751 0.000256852526080614 0.00212505540376477 0.00233144797013898 0.00180780328331131 0.00135762807929401 0.00117893746267793 0.00134390477560335 0.00152822050179821 0.00123506010250939 0.000336134878056122
"PMZS" 0.00156960939925467 0.00395794765184618 0.00185817743289547 0.00541851082295288 0.00343568744350552 0.000985648647591791 0.00637521514837264 0.00212037006681548 0.00144994379292204 0.00128078517235232 0.000224253783497925 0.000669966638041312 0.00107302118169752 0.000143065356265327 -0.000266869728991932 -0.000820961997157981 -0.000281891017325581 -1.07829100975858e-05 0.00109535617540768 0.00159764034929695 0.00272288529647574 0.00164410008459911 0.00193399584715478 -0.0006711528462912 -0.000138267680671795 0.000470032450124282 0.00342294848760143 0.000386434166846603 0.000625036790929989 -0.000849305323413683 -0.000278254893796676 -0.000743011950285447 0.000930431183010613 0.000510672296138699 -0.00141062539357623 0.000944647604957601 -0.000355927924353468 -0.00043759706983576 0.00125727848380521
"PMZI" 0.00244565891207388 0.00368332646698281 0.00277843840312439 0.00343568744350552 0.00395453039258024 0.00194286859234139 -4.80096451919291e-05 0.00254340547589545 0.00269899628511193 0.00206633535322606 0.00181473116092951 0.00144206936663175 0.00118057246189345 0.00133999334341681 0.00180177252049651 0.000442097933393188 0.000847697476898329 0.000708660209421185 0.00170653309878596 0.00229716645960643 0.000593120228367453 0.000993510087141999 0.00217268227801884 -0.000439111976275102 0.000605350335003279 0.000445684067310868 0.00325576122629904 0.00221841357027185 0.00174282855517392 0.00041256913026577 0.0017296327862633 0.000134639490650549 0.00124862253216377 0.00177727570619472 0.000210002275921853 0.0019676760539 0.000840331772153025 0.00101504370555736 0.000734862903416059
"PMMT" 0.00148043310597251 0.00154425936031479 0.00197318407057785 0.000985648647591791 0.00194286859234139 0.00200253219162516 -0.00350215223997391 0.000300987045215573 0.00099438262160535 0.00120477204046074 0.000982396374615794 0.000680423486109527 0.000671767432064102 0.00112267641108242 0.00128534969181475 0.000882240028370643 0.000880626476658501 0.000620454581791462 0.0010036847559026 0.0016405933434484 -0.000572988419723222 0.000349904755315959 0.000974560933569421 0.000855477838476601 0.000349080889119107 -0.000646101153214586 0.000971556602237143 0.00135603912976084 0.000814611363032226 -0.000220962340737924 0.00124739126249396 0.00132443391431299 0.00112542438752927 0.00120969769599464 0.00149513905648814 0.000977608333520972 0.00117780630983539 0.00111265797454537 0.000554958496190224
"NSLNA" -0.00204884830726872 0.000526330510360038 -0.00288176139330939 0.00637521514837264 -4.80096451919291e-05 -0.00350215223997391 0.0275508388237861 0.000694401572846581 -0.00112578728417081 -0.0018129651367743 -0.00432664065165926 0.00024862232130058 -0.000472099352619911 -0.00336550045040539 -0.0044889296749694 -0.00402100990888418 -0.00323645391032253 -0.00224818712784294 -0.000805475074560512 0.0028410772931557 0.00731842014771388 0.00213354480888763 0.00157782257770539 -0.00185675979440941 -0.00275394184453523 0.00135113969719219 0.000747173155605117 -0.00428609531176213 -0.00205168982320997 -0.00240446243917308 -0.00487510120533846 -0.0033913461901724 0.000406499501766484 -0.00313056633574161 -0.00848225971029785 -0.00300077864929752 -0.00416878135259358 -0.00402082961684401 0.00336043366331765
"NSLZS" 0.00283626086651646 0.00295189762587648 0.0021029055424194 0.00212037006681548 0.00254340547589545 0.000300987045215573 0.000694401572846581 0.0096837904645924 0.00374113973146141 0.00108849724114405 0.00312364241398932 0.00049604160996449 -0.000110373713153836 0.000249476740878269 -0.00056686071042601 -0.000686075013043142 1.57758583354992e-05 0.000866840774418078 0.0012830511735488 -0.00358450586409355 -0.000868802938227446 0.000208582680296771 -0.00246018504741247 -0.00395682677641456 0.002832568387763 0.00185282451942084 0.00473670347406776 0.0027157470713358 0.00202224844489441 0.00270934738676021 0.00275651943072935 -0.0025218381175328 -0.000484713486239992 0.00152503833008652 -0.00153389356878516 0.00244740772902669 -6.84419933238873e-05 0.000833732874115856 -0.000968011500281634
"NSLZI" 0.00292778644923641 0.00240713436243168 0.0019609941822705 0.00144994379292204 0.00269899628511193 0.00099438262160535 -0.00112578728417081 0.00374113973146141 0.00380802451649078 0.0021227724134427 0.0028202218986526 0.00150561263237778 0.000772028996418418 0.00139943530425042 0.00144623344618013 0.0010947486672518 0.00147870087218016 0.0018934328213153 0.00252831562220693 0.00256455129009586 0.000541547565461753 0.000549279805264154 0.0026474707093532 -0.000713980532770757 0.00149520627840173 0.00173607194330214 0.00293690352998036 0.00324813343605061 0.00215404344511137 0.00181089121540311 0.00285830288608819 -0.000470679153864965 0.00157233415406794 0.00224414129305316 0.000367842660556111 0.002153723992969 0.00119746793312189 0.00150829470054767 0.000294283970800531
"NABR" 0.00340268991908134 0.00248502734333091 0.0020094132785327 0.00128078517235232 0.00206633535322606 0.00120477204046074 -0.0018129651367743 0.00108849724114405 0.0021227724134427 0.00354291351648082 0.00172499344506196 0.00133350391607832 0.00227753316593974 0.00194105338998593 0.000470872487535119 0.0015997809694371 0.00167667831952735 0.00234407551380435 0.00271080263655145 0.000231114856765032 0.000467678395092239 0.000968868676567048 0.00218176276490503 0.00175461673709204 0.00175180548048961 0.000458078201125732 0.00229710582415091 0.00331386438162436 0.000799578845663205 0.000460825068250163 0.00167453783376671 0.000182419535994411 0.00266597667516709 0.00150094484836236 -0.000751551375893888 0.00159582630347549 0.00223347352156943 0.0019825478260132 0.00168814418694548
