"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00640105247275658 0.00626362664427052 0.00576535868680319 0.00346239318290555 0.00394035021367345 0.00239441291482874 0.00194807824718864 0.0023450119895401 0.0028751160759854 0.00293286989940665 0.00170381224289766 0.00300270164504773 0.000648528219312594 0.00180520958227304 0.00392309818772842 0.0032299822039818 0.00296868529331953 0.00510680499003724 0.0062620017117315 0.0103934994728227 -0.000291443452288707 0.00200685023207859 0.00360316169351865 0.000815828973780858 0.00302917979518833 0.00266124418927557 0.00686154257421428 0.00153394420947563 0.00250464144115983 0.00238703288037798 0.00220266415953581 0.00343071597366737 0.00486603047068325 0.00168854781837527 0.00383583182149872 -0.000225768835863725 0.0042069607909366 0.00443508141573929 0.00272553242625523
"ISNSL" 0.00626362664427052 0.0176240581303478 0.00919914991110215 0.00891095662832637 0.00708177935234501 0.0041237437366803 0.00274156422671136 -0.000262000485822175 0.0011528964332247 0.00469114430466964 0.0023665886479442 0.00643225355065727 0.00114515710105443 0.00259422621386758 0.00592595295927478 0.00549759516118254 0.00441813612859174 0.00974209212055329 0.0118898036148323 0.0154988427260104 0.00311377302831784 0.00634518407896757 0.00151781278889432 0.00190617529305738 0.0084051271195046 0.00647479712979029 0.0116550660172372 0.00397120518630046 0.00191557865668069 0.00379874858621865 0.0029178510547254 0.00780765305974832 0.00930458001581821 0.00176651128778073 0.00408385136738971 0.000672166043881326 0.00617722456280341 0.00518211579829618 0.00508753089650723
"ISPNS" 0.00576535868680319 0.00919914991110215 0.00782084449542315 0.00519719946908818 0.00541629126968341 0.00387919140072034 0.00173920315949087 0.00207689627249413 0.0025515787647459 0.00386582734337751 0.00240249628550438 0.00456747399414137 0.00108418730337192 0.00229886390022298 0.00507568518049392 0.00440985251819066 0.004044881945156 0.00709131430134018 0.00854722992384568 0.0140830906851849 0.000464867601097037 0.00303310450000913 0.00276493761801321 0.00168316339037205 0.00559234483383902 0.00419900553340298 0.00847059235306588 0.00189911263053065 0.0031267812262157 0.00284580106907198 0.00291307075077334 0.00537206239191036 0.00686246750193309 0.00217597882728725 0.00415200452858764 0.000312303121582557 0.00536746965095665 0.00455485828159135 0.00396255189812755
"PMZS" 0.00346239318290555 0.00891095662832637 0.00519719946908818 0.00871798459371569 0.00549183643542916 0.00256117977494504 0.00846480891480371 0.00331395774096798 0.0019682213574098 0.00324020733911481 0.000646635655330481 0.00383250602916372 -0.000558276644428098 0.0011338960702539 0.00461955701452757 0.00406239325525692 0.00307151997730506 0.00665275170819026 0.00837882184846744 0.0115229359665154 0.00432036381652594 0.00621657837337305 0.00357720329321464 0.00158557628091009 0.00649679298119818 0.00627097456969968 0.00729985242345513 0.0038139109231227 0.00149695991812759 0.00331942517909361 0.00262716210082201 0.00325828931777163 0.0061360765989623 0.000667749302977786 0.00153085254023911 1.01524221867121e-05 0.00369628821454928 0.00207298981384522 0.00295675796922049
"PMZI" 0.00394035021367345 0.00708177935234501 0.00541629126968341 0.00549183643542916 0.00595026857414351 0.00310852966554177 0.0030075142045825 0.00268664655090565 0.00285418917409482 0.00334717577704373 0.00160980028290859 0.00340426490126608 0.000201722012111221 0.001775512441351 0.00384552260257576 0.00359389134456349 0.0035049909311404 0.00615757994167115 0.00754726155706277 0.00965650240033727 0.000860363463640489 0.00293471971097766 0.00264176087160603 0.000707173027991588 0.0038752574495695 0.00438650529766489 0.00607366779661841 0.00325269242951619 0.00305814534845914 0.00222481480700848 0.00292556760233133 0.00360352851645971 0.00606461051496791 0.0020900253892083 0.00350867611003336 0.000494271668837322 0.00452033336155662 0.00262032738991947 0.00360589473931285
"PMMT" 0.00239441291482874 0.0041237437366803 0.00387919140072034 0.00256117977494504 0.00310852966554177 0.00296696665239169 0.000285696630491975 0.00122184196932418 0.00143432925883625 0.0020110159120612 0.00171921331311469 0.0025412661503923 0.000901431630969029 0.00144916742323681 0.00232945249491158 0.00192725603379954 0.0022649745230266 0.00360449703352678 0.0042523621130952 0.00613501765640236 0.000300181162848124 0.00150361393594687 0.00114497609888188 0.00152565808506939 0.00344474572522508 0.00237815326069643 0.00357819669140795 0.00155215473508412 0.00233167476976037 0.00130752208524082 0.00209906896184593 0.0027688715310252 0.00374189356405604 0.00198902099369781 0.00293777397925238 0.000316368379201615 0.00323680371309623 0.00217373426727494 0.002793730252587
"NSLNA" 0.00194807824718864 0.00274156422671136 0.00173920315949087 0.00846480891480371 0.0030075142045825 0.000285696630491975 0.0172012287458745 0.00557273644998445 0.00185128182311771 0.00166810041317064 -0.00171888805934223 0.00177461416269459 -0.00181264218227511 -0.000697931830583257 0.00332150731349054 0.00261283493456947 0.00180850555484915 0.00457638183340268 0.00551053142115569 0.00422116245063949 0.00734273520261557 0.00742181843766453 0.00550809460855568 0.00204115932447965 0.00479997537726667 0.00616566906818388 0.00504523072547777 0.00425566954121828 0.000962581649548089 0.00285672777004004 0.00172689394817744 0.000856853112090345 0.00299316627791901 -0.000243849984308492 -0.00237647460555159 -0.00133795083031258 0.00213792251580776 -6.62956853557757e-05 0.00184715823277057
"NSLZS" 0.0023450119895401 -0.000262000485822175 0.00207689627249413 0.00331395774096798 0.00268664655090565 0.00122184196932418 0.00557273644998445 0.00735490731115931 0.00365774563943642 0.00125659789352701 0.000883425224920102 0.00117510683128514 -0.000891989283502308 0.000272140198622024 0.00218053762448147 0.00206097872070596 0.0020784697912078 0.00180449712614352 0.00272745224721332 0.00731997424112919 -0.00017501913984247 0.00222489978521003 0.00212577330146986 0.000915630283723342 0.00240168531675813 0.0020795081078358 0.00229729413472087 0.0013283490946348 0.00279660660314471 0.00133746384446891 0.00281744007853575 -0.000597618618176347 0.0016321347533466 -2.81709369793798e-05 0.00195897175112698 -0.00106139599933237 0.00173703519227564 0.000169013632422626 6.48775691010085e-05
"NSLZI" 0.0028751160759854 0.0011528964332247 0.0025515787647459 0.0019682213574098 0.00285418917409482 0.00143432925883625 0.00185128182311771 0.00365774563943642 0.00359696807252165 0.00153553503506109 0.00106615841253731 0.00132485692014987 5.68472541312632e-05 0.000997965150071399 0.00132006717457489 0.00180469598583488 0.00221567243751475 0.0027975286790558 0.00339500437731966 0.00403011169244624 -0.000279084299229835 0.00134506724694954 0.00361807383187247 0.000877026857901023 0.00114298524616684 0.00205440991776527 0.0030742104394048 0.000489623999351339 0.00313121088977502 0.00158848944832879 0.00242335256488856 0.000284858636488484 0.00216573720650481 0.000893795852442125 0.00266813618333035 -0.000348926691973489 0.00265697199619079 0.00209748003100444 0.0010107553943374
"NABR" 0.00293286989940665 0.00469114430466964 0.00386582734337751 0.00324020733911481 0.00334717577704373 0.0020110159120612 0.00166810041317064 0.00125659789352701 0.00153553503506109 0.00357483413020927 0.00115247906745342 0.00319672216315092 0.00211731444814646 0.00225851484951085 0.00285510337981147 0.00268915579296632 0.00288493609191195 0.00503854017282407 0.00493793594779881 0.00474240824574602 -0.000518190708252639 0.00161687764064206 0.00217625550438611 -7.28754287868697e-05 0.00266408642661234 0.00330261089035759 0.00376147906997854 0.0019593262210459 0.00225545734179161 0.0011436930779559 0.00196896865947615 0.00309925530671704 0.00377364174699757 0.00210528618922924 0.00243799670159358 0.00087639898390316 0.0038272710936836 0.00197431816432917 0.00282636617965393
"NAFM" 0.00170381224289766 0.0023665886479442 0.00240249628550438 0.000646635655330481 0.00160980028290859 0.00171921331311469 -0.00171888805934223 0.000883425224920102 0.00106615841253731 0.00115247906745342 0.00290964260330029 0.0027007773044995 0.000878177912641768 0.00174057695529336 0.00088005854753559 0.00146097084932809 0.00166468674677253 0.00210112737214595 0.00264853716475047 0.00469508104616119 -0.000620762156088625 -0.000117235778196713 3.22693448838578e-06 -0.00023588699018372 0.00285318221814694 0.00067024085413636 0.00228107572850435 0.00019203170664228 0.00200756837518867 0.00210848299847287 0.00243050153688885 0.00224651660689909 0.00241481294594462 0.00172109004750224 0.00332697632853765 0.000577103713980687 0.00247124841981803 0.0024772606044447 0.00239971850014378
"NAPNS" 0.00300270164504773 0.00643225355065727 0.00456747399414137 0.00383250602916372 0.00340426490126608 0.0025412661503923 0.00177461416269459 0.00117510683128514 0.00132485692014987 0.00319672216315092 0.0027007773044995 0.00552558961905347 0.00160307891325318 0.00256013445739086 0.00327985087550546 0.00352844767247063 0.00353828569969348 0.00601690810981845 0.00680907540562416 0.00856214380685203 0.000496052673737655 0.00272699706621544 0.0016336270746126 -0.000191000509548103 0.00554455054630876 0.00356101816472661 0.00540857769686418 0.00165567882228829 0.0030424073174721 0.00286275253868831 0.00339953815522221 0.00441626503393109 0.00534569235682369 0.00206591041923514 0.00302643717290379 0.00093870405819995 0.00444994556251685 0.00352044278144984 0.00310880784754783
"BRPT" 0.000648528219312594 0.00114515710105443 0.00108418730337192 -0.000558276644428098 0.000201722012111221 0.000901431630969029 -0.00181264218227511 -0.000891989283502308 5.68472541312632e-05 0.00211731444814646 0.000878177912641768 0.00160307891325318 0.00435721753546165 0.00215710675712981 -0.00161130176427775 -0.000631792891839203 0.000708249458360478 0.00132481582366213 -0.000590465667082182 -0.00829417378999036 -0.00116510558337101 -0.000459154730685458 0.000241960754175137 -0.000296489814768877 0.000561789364606762 0.000727223177310414 -0.000114279089385017 -0.000114408262012967 0.00110543238262804 -0.00107534326673522 0.000595774446266412 0.00170436045718776 0.000253255141035196 0.00222182143167188 0.00143749277384488 0.000734783412086182 0.00231877855333893 0.000644490335938075 0.0033127391243938
"BRAPET" 0.00180520958227304 0.00259422621386758 0.00229886390022298 0.0011338960702539 0.001775512441351 0.00144916742323681 -0.000697931830583257 0.000272140198622024 0.000997965150071399 0.00225851484951085 0.00174057695529336 0.00256013445739086 0.00215710675712981 0.00234802463705214 0.000634134043838019 0.00162593803071816 0.00191965137287166 0.00308328896566585 0.00293409704502423 0.00182049064192475 -0.000783499492670277 0.000302900937415949 0.00117713204724597 -0.000262123572538386 0.00202904285675468 0.0016725209508944 0.00190710095909837 0.000326563108721153 0.00175642146852008 0.00109832132957847 0.00180994934741649 0.00180386444865607 0.00251113374179068 0.0021905282279725 0.00231420299117947 0.00126211047456073 0.00298597923471957 0.00210835828523772 0.00263339105998263
"PTFM" 0.00392309818772842 0.00592595295927478 0.00507568518049392 0.00461955701452757 0.00384552260257576 0.00232945249491158 0.00332150731349054 0.00218053762448147 0.00132006717457489 0.00285510337981147 0.00088005854753559 0.00327985087550546 -0.00161130176427775 0.000634134043838019 0.00842325529092257 0.00448144048419568 0.00315230847334557 0.00500977373087943 0.00681226331528038 0.0191472989347169 -0.000368400838549922 0.002404650888415 0.002208298106043 0.00105609402751908 0.00381115022965634 0.00374098862325076 0.0056024996683433 0.00342918009324939 0.00150599097926852 0.00217187024846566 0.00192876534322107 0.00392390778267315 0.00428069083236331 -0.000130534378312063 0.00203894681949669 0.000350065119102557 0.00275814488925853 0.00274738623548812 0.000224788700028829
"PTAPET" 0.0032299822039818 0.00549759516118254 0.00440985251819066 0.00406239325525692 0.00359389134456349 0.00192725603379954 0.00261283493456947 0.00206097872070596 0.00180469598583488 0.00268915579296632 0.00146097084932809 0.00352844767247063 -0.000631792891839203 0.00162593803071816 0.00448144048419568 0.00549067223794201 0.00402099350335117 0.00608598523300537 0.00781402262586719 0.0161169889307204 0.000159886772936553 0.00248780802851346 0.00219538326668617 0.000708312281492327 0.00346169091750993 0.0032555408637027 0.00510441796567642 0.00219329364625967 0.00199427881683272 0.00261275517488569 0.0025188302406135 0.00340720114197612 0.00527917499412417 0.000802572136326409 0.00111320717004092 0.00137316631259614 0.00312841190976236 0.00231336531695715 -0.000228846648768493
"PTBA" 0.00296868529331953 0.00441813612859174 0.004044881945156 0.00307151997730506 0.0035049909311404 0.0022649745230266 0.00180850555484915 0.0020784697912078 0.00221567243751475 0.00288493609191195 0.00166468674677253 0.00353828569969348 0.000708249458360478 0.00191965137287166 0.00315230847334557 0.00402099350335117 0.00418875553105772 0.00578325641840229 0.00658798034925842 0.00944254457860486 -0.000295070798682338 0.00203077912831698 0.00217803403970411 0.000603873069608227 0.00298373701627004 0.00315921599121597 0.00450940506098417 0.00185685314419842 0.00426737930010365 0.00205470722537781 0.00298946980044599 0.00318795758394441 0.00486555613914989 0.00136757141069991 0.00240364687824898 0.000422174461762942 0.00396910754541594 0.00234051955607295 0.00121245066471382
"PTEAM" 0.00510680499003724 0.00974209212055329 0.00709131430134018 0.00665275170819026 0.00615757994167115 0.00360449703352678 0.00457638183340268 0.00180449712614352 0.0027975286790558 0.00503854017282407 0.00210112737214595 0.00601690810981845 0.00132481582366213 0.00308328896566585 0.00500977373087943 0.00608598523300537 0.00578325641840229 0.0107219039328701 0.0116274981513959 0.0120093990545979 0.00149836781067291 0.00441040077939934 0.00430344549873786 0.000221831344715985 0.00598732145944778 0.006352265506193 0.00894062485998497 0.00344906116963733 0.00446991603655948 0.00453471086681694 0.0038602533971028 0.00617157940327908 0.00809044650511695 0.00264707633950454 0.00353663858603966 0.000684336973749066 0.00669908107186308 0.00437981151156044 0.00392521922281395
"PTZYGO" 0.0062620017117315 0.0118898036148323 0.00854722992384568 0.00837882184846744 0.00754726155706277 0.0042523621130952 0.00551053142115569 0.00272745224721332 0.00339500437731966 0.00493793594779881 0.00264853716475047 0.00680907540562416 -0.000590465667082182 0.00293409704502423 0.00681226331528038 0.00781402262586719 0.00658798034925842 0.0116274981513959 0.0152047077744068 0.0240773070164804 0.00218965360703062 0.00583670933110093 0.00463661203622031 0.000947086584915754 0.00780645322029955 0.00707123297049696 0.0113664692716731 0.00352607769580277 0.00470845114135923 0.00608053207394879 0.00489896124316252 0.00601308121179894 0.011805854051654 0.00232239053720494 0.0046345672025769 0.000528861899228034 0.00701068893989351 0.00530488456947259 0.00329857704159623
"PTTSP" 0.0103934994728227 0.0154988427260104 0.0140830906851849 0.0115229359665154 0.00965650240033727 0.00613501765640236 0.00422116245063949 0.00731997424112919 0.00403011169244624 0.00474240824574602 0.00469508104616119 0.00856214380685203 -0.00829417378999036 0.00182049064192475 0.0191472989347169 0.0161169889307204 0.00944254457860486 0.0120093990545979 0.0240773070164804 0.0935068558776761 -0.00154017990137434 0.00597558457029651 0.00293012836611294 0.00423937935284352 0.0116857281942386 0.00471677370528489 0.0164239837087591 0.00166005187026247 0.00296026381832471 0.0107014266635958 0.0068909309085078 0.00794594336692234 0.0192842282027365 -0.00329780077641888 0.00705270437940377 0.000461573303483333 0.00597774240934334 0.00919058433292454 -0.00447180403245406
