"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00373088058132033 0.000156685150620389 0.00105797904286876 -0.00238549382621106 -0.000527029969649695 0.000463018301796032 0.000758629800433649 0.00181128950463616 0.000215332592850071 0.00046082327060586 0.00200297588312559 -0.000159077289497089 0.00162961976541007 0.00130784964388535 -0.000983225735695738 0.0021579775767933 0.00137800358023163 0.00213731748444603 0.00296438779039698 0.00783517488655991 0.000673411876334244 0.0013154419108642 -0.000908593339194327 0.000579979890085009 0.00246871696667959 0.00162787163567683 0.00568018781805782 0.0045458300545262 -0.00154666403573435 0.00075933844139305 0.000676040974340251 0.000339245275691617 0.00159699469330619 0.00182032979466025 0.00012713966709328 0.000965957871215491 0.000416146557235774 -0.000476738903181551 -9.57535019363246e-05
"ISNSL" 0.000156685150620389 0.00291067627728468 0.000903730513661444 0.00232433938548099 0.00109036983558286 0.000192821625593402 -0.00260882893211971 0.00182548346050454 0.000120812430309403 0.000293597765662944 0.000911835009181691 0.000384006202713215 5.71552349510379e-05 0.000747213974371212 0.00111836179332663 0.00118011658605314 0.000779620092922189 0.000486711347451377 0.00151917218160428 0.00623332532545855 -0.00167167761577673 0.000977185538662412 -0.000805684488252231 0.000130035498293848 0.00047925551043509 -0.000938844657157836 0.00257804907390327 0.00228207438215766 0.000644381440367101 -0.000160808917633405 0.000523476953414362 -0.000153882350511575 -0.00142467278551037 0.00062288863168795 -0.002495632365821 0.00199768011287217 0.000599011262821528 0.00145825297495087 -0.00225720969715774
"ISPNS" 0.00105797904286876 0.000903730513661444 0.0033676140175165 0.00112949790906 0.00101777627952516 0.000675303874128987 -0.000127422629347989 0.00336226559597858 0.00183383734575434 0.000966374415838251 0.00179226753302464 0.00413888288363031 0.000889954285549629 0.00114620101766655 0.00201588531922397 0.000656876613529651 0.000716187114413255 -0.000431755825773183 0.000823191615436845 0.00280751956252681 -1.26720420765565e-05 0.00194374151692294 0.00160534725764803 0.000498579951827343 0.0016900730270297 0.000426075803903935 0.0026063327461473 -0.00387957072639001 0.00225869902902769 0.00257487823196934 0.00123623943698091 0.00252098396807569 -7.65137155958696e-05 0.000657869807179171 -0.000225375158212076 0.000107346599237975 -0.000572576475058877 5.26653437914031e-05 0.000986012268143281
"PMZS" -0.00238549382621106 0.00232433938548099 0.00112949790906 0.00741244787683727 0.00228099876103059 0.00110203728680637 -0.00167642288779181 0.00347364264334877 0.00154907836024598 0.00115265707896061 0.000662355761440492 0.0021097983213948 -0.000979967179142901 0.000658139491555832 0.00673402399014138 0.000667770928447896 0.000500646822574899 -0.00100248033854115 0.000307363882099557 0.000527163057970732 -0.00421382255229907 0.0010467942149938 0.00231814762652128 0.000966763837615171 0.00310206990546137 0.000943678465210953 -0.000405825827590864 0.000681970983442166 0.00315824007884329 -0.000938095678437734 0.00124314730978755 0.00111954621623953 -0.00133389026243604 -0.00250241888256653 -0.000947041046272288 0.0009253925438473 0.000617712872622085 0.00186567645618938 -0.00444601541418737
"PMZI" -0.000527029969649695 0.00109036983558286 0.00101777627952516 0.00228099876103059 0.00113212093968757 0.000347025567002792 -0.000879856146633733 0.000970983445503031 0.000719764180463261 0.000472257226325806 0.000328708151033672 0.00130434443294397 -0.000319973556775946 0.000470862264263632 0.00164399698938551 0.000366573443101831 0.00032660240965076 -0.000171431299074288 0.000346390280067854 0.000101244368370256 -0.000778587760035797 0.000586199093834983 0.0011162993801325 -0.000226953213489984 0.000885344141162298 -0.000356995772903004 0.000710825564247739 -0.000624752427252995 0.00131167771581796 0.000799047933550672 0.000482359301582854 5.71208292370036e-05 -0.000701512702328977 -3.87347643355095e-05 -0.000810969509838198 0.000908555702935369 6.94521354604349e-05 0.000568879294236851 -0.00108749153739447
"PMMT" 0.000463018301796032 0.000192821625593402 0.000675303874128987 0.00110203728680637 0.000347025567002792 0.00138028568446629 0.00344096085876795 0.000488630674730094 0.000740768280578423 0.00045113126389909 0.00106078512058152 0.000330392464569615 0.000401679734255098 0.000444754825761548 0.00263009278692361 0.000653450590435216 -2.72691538083327e-05 -0.000414465862898653 0.00104980896130691 0.000157967929728457 0.000811673467273002 0.000496589601885002 0.00240418029994515 -0.000713427208132542 0.00488053816718038 0.00200196902401739 0.00300447142094417 0.0026757594361434 -0.000116421030560156 0.00187310079079097 0.000473277019830034 -0.000775509382489605 0.000572961969388492 -0.00128253989493209 -0.000614667778927697 0.000164073880480346 -0.000417195633413087 0.000754445198597777 -0.00242360704705944
"NSLNA" 0.000758629800433649 -0.00260882893211971 -0.000127422629347989 -0.00167642288779181 -0.000879856146633733 0.00344096085876795 0.0191391739276152 -0.00421020475333898 0.000839253944894051 0.000411582292983451 0.00128360409531763 -0.000351591678208281 0.00180202224132038 0.000563888196778331 0.00497787969515661 0.000965947680546138 -0.000857476683991253 -0.00179945631392364 0.00121788350437621 -0.00464773218005442 0.00929948515710028 0.000552236777018623 0.00748058073036157 -0.00440129515173855 0.0183905240456933 0.00619779013774529 0.00865635875018189 0.0057369879030176 -0.00166560319733783 0.00866038012976893 0.00123189551415601 -0.00781916044295067 0.000107140173455612 -0.00313057824874487 -0.00228789186848925 -0.0012566947850464 -0.00224090784675345 0.000403815469292146 -0.0016104295186079
"NSLZS" 0.00181128950463616 0.00182548346050454 0.00336226559597858 0.00347364264334877 0.000970983445503031 0.000488630674730094 -0.00421020475333898 0.00795904633281143 0.00206948639129068 0.00157975016741718 0.00289510357210287 0.00421889150992126 0.00130519179548533 0.00177849773055506 0.00451731404250769 0.00196892166144794 0.00196637403030306 0.000755462425856561 0.00199826964660575 0.0104441835350117 -0.0050154020338067 0.00294930314654141 -0.000956150943725961 0.00401080892584948 0.000631010946134616 0.0019588880611714 0.00214647088825459 -0.000900699335748856 0.0028398881922093 -0.00197825193020729 0.00206439824053035 0.00605999651864455 0.000671208607808306 8.35790457320874e-05 0.00131073621284128 -0.000180271472992806 0.000886292173532526 0.000227409835607887 -0.000345887092932868
"NSLZI" 0.000215332592850071 0.000120812430309403 0.00183383734575434 0.00154907836024598 0.000719764180463261 0.000740768280578423 0.000839253944894051 0.00206948639129068 0.00138372094470648 0.000729817001591171 0.00109523611321244 0.0024827737220048 0.000330356125795705 0.000571627585716846 0.00241722967489763 0.000262876951110231 0.000235336791156493 -0.000604985281436959 0.000388665828948284 -5.70135588540214e-05 -0.000345200077368699 0.000963723107303449 0.00199672351252563 0.000270266390099651 0.0021339796525937 0.00105514597504523 0.00118763461495367 -0.0019189908978883 0.00146610364193311 0.00143683704074298 0.000809173702605597 0.00157148302004568 0.000348322336878897 -0.000555094521280655 0.000284459614882809 -1.79285146456558e-05 -0.00035084782454835 0.000190228869094578 -0.000618254378049104
"NABR" 0.00046082327060586 0.000293597765662944 0.000966374415838251 0.00115265707896061 0.000472257226325806 0.00045113126389909 0.000411582292983451 0.00157975016741718 0.000729817001591171 0.000572620687267915 0.000765072535488177 0.00121111694282402 0.000337281927198664 0.000674899736418071 0.00174421499141673 0.000764436237000148 0.000605873009897527 0.00024386711800734 0.00071063996145904 0.00177962866756602 -0.000479080217808356 0.000899161564290492 0.000699462423358323 0.000483550395992366 0.0019722160473004 0.000895890855123608 0.00146396213920014 0.000277665421348146 0.00083982339314868 0.000513542899028968 0.000736306360723642 0.000530593776114545 6.27393284604969e-05 -3.24637251398562e-05 0.000125785646719252 9.67416487488329e-05 0.000103682261362271 -3.29530537670778e-06 -0.000172179873747686
