"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00670015702642794 0.00502413029129791 0.00371157409009792 0.00328689930461153 0.00261043471167214 0.00225563341736832 0.00163419940331201 0.00296581767661901 0.00165159962516376 0.000940809297607164 0.00128110068407506 0.00190544904680841 0.000344195759809458 0.000645187702275958 0.00195474037728967 0.000699744276344939 0.000824347512643905 0.0013090430911418 0.00151626716209323 -0.00123266697967927 -0.000336274899496491 0.00188073420066364 0.00102521440883167 0.00189763147863074 0.00105841052432152 0.00180343531265099 0.00283495860111287 0.00330365355907089 0.000923541395880031 0.000750872346740375 0.00162625379143976 0.00176034869022534 0.00145262329897994 0.000571218593365338 0.000552911684339079 0.000748268852227724 0.000771914494742816 0.000852923146210979 0.00106297822126009
"ISNSL" 0.00502413029129791 0.00957538871047827 0.00513962777099202 0.00696892965436407 0.00534677760237249 0.00284626282797355 0.00328462658150696 0.00304038255388726 0.0019287322076045 0.000589955399146527 0.00143859376583511 0.00294372610488741 0.000591335857055079 0.000643099979101879 0.0010847260875909 0.000186799818509069 0.000707347249399205 0.00130424902314501 0.00112840420902337 -0.00289819820613125 0.000233216859809728 0.00335021828044601 0.00133322592766847 0.00307572696701751 0.000830622361949881 0.00213568493296887 0.00519309506330998 0.0030583129738404 0.00206817791921794 0.00219949506813386 0.0021094530125498 0.0024095872727424 0.00145674093527916 0.000160716931730647 0.000321879049166022 -0.000215880878369435 0.00112647621952538 0.00126039177717362 0.00167715839060127
"ISPNS" 0.00371157409009792 0.00513962777099202 0.00515332988754425 0.00405837391900269 0.00320189455402472 0.00221158037266766 0.00229678541798377 0.00265577599816814 0.00157815711919652 0.000152016773001686 0.00136665861686354 0.00267672585611758 0.00036983685821462 0.000524496248725325 0.00130522773068372 0.000240558209227177 0.000905099001865511 0.0014066480500026 0.00105202585768315 -0.00347294748540484 -0.000170698843228972 0.00235487581844567 0.00147398345953704 0.00211224670205342 0.00222193138454863 0.0021158441785992 0.00518096594132546 -0.000122927433513645 0.00181195745873431 0.00157983015814106 0.00167071908031191 0.00155739343783741 0.00160244538733158 0.000235804230060477 0.000804780450340304 0.000457065891078302 0.00130512638098205 0.000841725678974855 0.000839543847531571
"PMZS" 0.00328689930461153 0.00696892965436407 0.00405837391900269 0.00868959776094095 0.00638927398712435 0.00288235073600873 0.00761044331459182 0.00468134361351415 0.00257227731201366 0.00113461991103889 0.00210051695652883 0.00323943801698037 0.000686500708275536 0.00125281245333367 0.0014890662236908 0.00103822634655902 0.00105294749593412 0.00188227858927194 0.00210087748484791 -0.00081528068908979 0.000739976958000693 0.00434666717079726 0.00334681973739011 0.00494005785910453 0.00193629472938519 0.00285457725332067 0.00521644971106888 0.00379851927469726 0.00278244379014336 0.00237490753954559 0.00249817209353249 0.00242721079630377 0.00220750005276402 -0.000203423668557324 0.000282225733257961 -2.71514852048442e-05 0.00133343873607257 0.00186178769582071 0.00177570840537042
"PMZI" 0.00261043471167214 0.00534677760237249 0.00320189455402472 0.00638927398712435 0.0066445255079168 0.0024817387727844 0.00520303078094413 0.00449701194760528 0.00245634680448679 0.0008480459403091 0.00186392754510536 0.00244312090421411 0.00074602453783129 0.00103168317125583 0.00107547747682939 0.000946968233694491 0.000750128078771496 0.00105072059933557 0.000707096290560066 -0.000767441508532811 0.000377156239715167 0.0030161839508116 0.00128840160711154 0.00411805068432636 -0.000385309267663534 0.000725341041898532 0.00413685882317769 0.00368570552814266 0.00185573718868803 0.00205524016900451 0.00174109526050443 0.0016200727559449 0.000820537868014213 0.00021786845982772 0.000419959345127267 7.36860427350949e-05 0.000717203083181195 0.00104284829030627 0.00146528847429177
"PMMT" 0.00225563341736832 0.00284626282797355 0.00221158037266766 0.00288235073600873 0.0024817387727844 0.00239323183135807 0.00123566334922614 0.00194786086969182 0.00147327624690131 0.000699033132097938 0.00110465526427693 0.00116499793999103 0.000121919966926858 0.000538327191788871 0.000920368465810015 0.000670681977100138 0.000664852196575027 0.0016491140547385 0.00116856738213137 -0.00142620126361134 0.000318694107886229 0.00164453142508907 0.00175320888642068 0.00185433606761546 0.00118050916764542 0.00158727370919903 0.00194576841160063 0.00162876243900583 0.000892087740718028 0.00140048447263262 0.000947453424589247 0.00129622145713691 0.00100424002617581 0.000107803361338407 0.000509253955706785 0.000262552097847127 0.00101141650268546 0.00111714074850741 0.00109934517147238
"NSLNA" 0.00163419940331201 0.00328462658150696 0.00229678541798377 0.00761044331459182 0.00520303078094413 0.00123566334922614 0.0248631808445718 0.00455318279933065 0.00194213212834413 -0.00145813525467146 0.00261071781098419 0.00755043540416487 0.000877100547320385 0.000838655447351522 -0.00150215430937672 0.00016944726061542 0.00059471275971637 0.00146299019662716 0.000375668206234276 -0.0047989912847765 0.00501257861065925 0.00549532934863634 0.00322743469346926 0.00665690759221179 0.00302813146836954 0.00318481465022862 0.00463025832607693 0.00467291729789113 0.00342571946924556 0.00189310219025149 0.00249629482227534 0.00300238717972272 0.00237653487401048 -0.00176634653001708 -0.00153491849668469 -0.000715878201786403 0.00169347252083867 0.00169997576883513 0.00148961680053675
"NSLZS" 0.00296581767661901 0.00304038255388726 0.00265577599816814 0.00468134361351415 0.00449701194760528 0.00194786086969182 0.00455318279933065 0.0109171831282233 0.00329554176828765 0.00202954256067463 0.00332323103339374 0.00179022775109642 0.00125584213214484 0.00114844912866863 0.0014975676934279 0.00100003910444855 0.000700686961051715 0.00171279586297217 0.00185112495247398 -0.00182206097040027 -0.0018429620191972 0.00247608197752389 -0.00115914042304773 0.00214657820109665 0.00253788314555218 0.00283004323394824 0.00325133800995704 0.00342197510915084 0.0011829966572581 0.00279664009738777 0.00126929159791874 0.000480704048449429 0.00240416462930955 0.000272674628620114 0.000628547005758232 -0.000125783012937856 0.000582813038784307 0.00113677964193716 0.00125822130896871
"NSLZI" 0.00165159962516376 0.0019287322076045 0.00157815711919652 0.00257227731201366 0.00245634680448679 0.00147327624690131 0.00194213212834413 0.00329554176828765 0.00298076590811491 0.00119714375001247 0.00163928975915718 0.00138819917545422 0.00056554328026325 0.000630673016287583 0.00109845266643255 0.000837742965581534 0.000519628811150151 0.00123407639794568 0.001898808623435 -0.00081416108302013 0.000569534736994069 0.00184603659469678 0.00338815806778383 0.00152049429720969 0.00099940054509572 0.00256483221287532 0.00222649796686704 0.00156337205556205 0.000597250086718869 0.00235165191378746 0.00105479007842499 0.00121332744280746 0.00204040439919062 0.000550592209553116 0.000218503420773311 -3.13351125791918e-05 0.000560801228085208 0.00106626185836635 0.00108570121723554
"NABR" 0.000940809297607164 0.000589955399146527 0.000152016773001686 0.00113461991103889 0.0008480459403091 0.000699033132097938 -0.00145813525467146 0.00202954256067463 0.00119714375001247 0.00333167170798241 0.00110796816010624 -0.00021052435208966 0.00125162933094562 0.00123297942536788 0.00177460209286317 0.00125765429514246 0.000582850625368783 0.000872612405428279 0.00176939899059869 0.00177043583942737 -2.33151160173885e-05 0.000737258758977313 0.00108431949971668 0.000263002304435162 0.00102576294442784 0.00170409824385799 0.000552197541440823 0.0010923883741086 0.00034330857020946 0.000906608279418931 0.000777914645036347 -0.000163674648112428 0.00147078034941604 0.000891017624509825 -0.000697603542305832 0.000470619235808392 0.000193426558777791 0.000975721283204495 0.000917319258851394
"NAFM" 0.00128110068407506 0.00143859376583511 0.00136665861686354 0.00210051695652883 0.00186392754510536 0.00110465526427693 0.00261071781098419 0.00332323103339374 0.00163928975915718 0.00110796816010624 0.00275167584667197 0.00142007227409405 0.000678230388268363 0.000648386198340148 0.000182823390524777 0.000715773847197479 0.000636508736091146 0.00138836595418203 0.00137472559948797 -0.00109415000437503 0.00101996640745357 0.00123193937618171 0.000986863628433582 0.00119280480980312 0.00191701947218026 0.00179132803377234 0.00178355951850499 0.00143280520862569 0.000841055198853334 0.00227791117784026 0.000930769042208725 0.000663635215235336 0.00188501995392928 0.000533879407021926 9.60078143070109e-05 0.000201469622426459 0.000550949229290837 0.000777299784309756 0.00103590939737499
"NAPNS" 0.00190544904680841 0.00294372610488741 0.00267672585611758 0.00323943801698037 0.00244312090421411 0.00116499793999103 0.00755043540416487 0.00179022775109642 0.00138819917545422 -0.00021052435208966 0.00142007227409405 0.00470348387898797 0.000542136429241326 0.000650527685015159 3.05194709705068e-05 0.000276224075261317 0.000791761938263969 0.00155288057979788 0.00023748898283909 -0.00476045953648567 0.00147847003569211 0.0028591531827235 0.00188159374819588 0.00270898893525465 0.00190894466367341 0.00179600112221226 0.00329255466351249 0.000895055770002397 0.00181508886904655 0.00202967321643064 0.00163125656763011 0.00160296192475443 0.00149624433703159 0.000318382895014794 -0.000160355252404662 0.000335057842164863 0.00128017853470576 0.00090111103283325 0.00105664865088289
"BRPT" 0.000344195759809458 0.000591335857055079 0.00036983685821462 0.000686500708275536 0.00074602453783129 0.000121919966926858 0.000877100547320385 0.00125584213214484 0.00056554328026325 0.00125162933094562 0.000678230388268363 0.000542136429241326 0.00274948566644389 0.00115391951875523 -0.00123201716508303 -0.000930057497037683 -0.000134999648434718 -5.07954777964199e-05 -0.00154975860315284 -0.00567526661423376 -0.000146493089107565 0.000323044194195099 -0.000201950829236935 1.28581932679315e-05 0.000275756614682653 -1.27962556346162e-05 0.00129372169902932 0.000234183335002345 0.000386656397088278 0.000868665907870987 0.000392795848111498 -9.99181706661743e-05 0.000227829978117068 0.000868812782925862 -0.000208109119794537 0.000409572047828674 0.00101312970313101 0.000438481770842101 0.000828589341151567
"BRAPET" 0.000645187702275958 0.000643099979101879 0.000524496248725325 0.00125281245333367 0.00103168317125583 0.000538327191788871 0.000838655447351522 0.00114844912866863 0.000630673016287583 0.00123297942536788 0.000648386198340148 0.000650527685015159 0.00115391951875523 0.00166989146014081 0.000596867410947407 0.00118056020610308 0.00080701885068356 0.00097296701917556 0.000791062936872369 -0.000142082302097418 0.00022500024600332 0.000967418996408831 0.000559377395967382 0.00120063220596249 0.000736260210667691 0.000853344276403193 0.000946223112075688 0.000385515010404741 0.000985730132592545 0.00104651463143292 0.000822137724022999 0.000215528000197886 0.000925528941371029 0.00083695705477322 0.000731027080942264 0.000933359444329269 0.000441355330105422 0.000938317941571814 0.000422901653121942
"PTFM" 0.00195474037728967 0.0010847260875909 0.00130522773068372 0.0014890662236908 0.00107547747682939 0.000920368465810015 -0.00150215430937672 0.0014975676934279 0.00109845266643255 0.00177460209286317 0.000182823390524777 3.05194709705068e-05 -0.00123201716508303 0.000596867410947407 0.0104182122900802 0.00292615583248402 0.000382401785342242 -0.00201517836466434 0.00418337860709415 0.0152832444496251 -0.00099540617494562 0.00167579242870834 0.00181844193296599 0.00192433468306109 0.000608759883682708 0.00303057112022371 0.00230549473135165 0.00119586382832419 0.000456885265335644 0.000182894642618275 0.00133685233409678 0.00153970818099097 0.00117991130417459 0.000804770360777546 -0.000328265692825039 0.00163596209971936 -0.00345019473582288 0.00116843712101299 -3.11148315744528e-05
"PTAPET" 0.000699744276344939 0.000186799818509069 0.000240558209227177 0.00103822634655902 0.000946968233694491 0.000670681977100138 0.00016944726061542 0.00100003910444855 0.000837742965581534 0.00125765429514246 0.000715773847197479 0.000276224075261317 -0.000930057497037683 0.00118056020610308 0.00292615583248402 0.00437312874555651 0.00182745500971895 0.00188027844418927 0.00415048754183173 0.00911489641881438 0.000656802459291576 0.00118473545726819 0.00159689224406253 0.00163178393721573 0.000484829071917178 0.00172210904704905 0.000520232194322893 0.00114769479764333 -8.16679823689018e-05 0.00267113455014919 0.000856338272561175 0.000469222915131608 0.001760306950352 0.000784089714660354 0.0011929346188461 0.0011289736617477 -0.000440012102569686 0.000965353209193605 -9.84610599568713e-05
"PTBA" 0.000824347512643905 0.000707347249399205 0.000905099001865511 0.00105294749593412 0.000750128078771496 0.000664852196575027 0.00059471275971637 0.000700686961051715 0.000519628811150151 0.000582850625368783 0.000636508736091146 0.000791761938263969 -0.000134999648434718 0.00080701885068356 0.000382401785342242 0.00182745500971895 0.00173621866734247 0.00228203953309548 0.0019489890873705 0.000225008493716901 0.000539657944538517 0.00111266496315713 0.000927297323149741 0.00127053384139362 0.00160504891225508 0.00135297550790367 0.00145596828630021 0.000891694292788157 0.00144599898516362 0.00127285403635572 0.00108313817030097 0.000338082622931818 0.00141021972747107 0.000457901465595934 0.00115832700489153 0.000837163911888851 0.00102422184834211 0.00075589282620755 -0.000375268889404054
"PTEAM" 0.0013090430911418 0.00130424902314501 0.0014066480500026 0.00188227858927194 0.00105072059933557 0.0016491140547385 0.00146299019662716 0.00171279586297217 0.00123407639794568 0.000872612405428279 0.00138836595418203 0.00155288057979788 -5.07954777964199e-05 0.00097296701917556 -0.00201517836466434 0.00188027844418927 0.00228203953309548 0.00696550291651679 0.00324898090259489 -0.00365476436619246 0.000853737024133071 0.0018056380751743 0.00194962844960567 0.00193651736912922 0.00306375395585069 0.00189975390450855 0.0013118385745744 0.00209048573962168 0.00154717375215111 0.00273460792219484 0.000740692539144524 0.00159031171435002 0.00306100481081432 0.00083667827639443 0.00170624267609364 0.000360726956160432 0.00332420883914303 0.000970541420817266 0.000466528543840394
