"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00708687816844609 0.00367600359541525 0.00438856949138341 0.00387689549164712 0.00315527248481533 0.00316710188699897 0.00503821199607633 0.00565800889536695 0.00410587365456723 0.00114886275560152 0.00106627200632915 0.00151075269286705 0.000480897438672809 0.00110137157760064 0.00209760633026389 0.00168731858011208 0.00168609974780505 0.00224744872217674 0.00306901390886282 0.00470871443115908 0.00048698488256777 0.0014277303230414 0.00319054746156444 0.00334484585968763 0.00245611276015648 0.00305107113924811 0.00185997650431783 0.0010588007570201 0.00278814425290056 0.00107093553135244 0.00214098243333813 0.00276567260883042 0.00268498006755231 0.00165705559106947 0.000683655889757898 0.0026493242282542 0.00174982319653873 0.0038494763466837 0.000401122718868346
"ISNSL" 0.00367600359541525 0.00695344100764984 0.0046371533136959 0.00588993325415565 0.00461578555557856 0.00322208592366601 0.00463100159338981 0.00387797179802099 0.00269927837174288 0.00100634155393024 0.000887527825199654 0.00218943315558687 0.000101048172463456 0.000722339072566699 0.00216375600450544 0.00126129284106687 0.00170516100839525 0.00194464955891053 0.0030417106978461 0.0033523077440992 0.00126794800437451 0.00309176879901601 0.00333273495953642 0.0048745839338707 0.00223203034081099 0.00404462190517103 0.00449152986807234 0.0019869441329477 0.00357100350295891 0.000537608855266196 0.00232079601419238 0.00315265207175797 0.00281467550840831 0.0015824665663525 -0.000859380410372188 0.00187415813395044 0.00103017074220639 0.0013386439562707 7.01009826596529e-05
"ISPNS" 0.00438856949138341 0.0046371533136959 0.0051609920722579 0.00536815623678076 0.00441754181645997 0.00332644665073554 0.00631619540232011 0.0056396804920127 0.00365912077982939 0.000891976641194351 0.000685211864236518 0.00194924658878074 -8.42439617612883e-05 0.000889676924644552 0.00266468375718301 0.00167234619086224 0.00187034383115764 0.00220991407556075 0.00348888310781767 0.00576395102794901 0.000893274019197336 0.0024461774137019 0.00296512148169852 0.00418968981898202 0.00268581467972073 0.00386126285800878 0.00434077312414299 0.000715467090168979 0.00368910804615062 0.00163516140925962 0.00260409411192832 0.00347858284495696 0.00307214535935395 0.00213756674875799 -0.00090722164296743 0.00286449603866434 0.00127625501380676 0.00262407868628715 -0.000482934977073883
"PMZS" 0.00387689549164712 0.00588993325415565 0.00536815623678076 0.00805930483436458 0.00562558814727898 0.00363158335651414 0.00968516236611242 0.00678485559072593 0.00372538459146319 0.000961497883308023 0.000745446608715338 0.00294546403221097 -0.000457010309289648 0.000828437935659635 0.00250778110783908 0.00175774060664389 0.00243701876056494 0.0026925255021054 0.0043607429349179 0.00530831460378351 0.00209552682303883 0.00403106323449359 0.00532877693148617 0.00521939602586441 0.00306270965376499 0.00539392011887814 0.00547963560317688 0.00204313395031598 0.00531207357043664 0.00174862351412102 0.00305602492159064 0.00372206738428545 0.0042346911136758 0.00158648048337112 -0.00177977604684033 0.00244229785693968 0.00115281467106826 0.00299609528491147 -5.40391478930927e-05
"PMZI" 0.00315527248481533 0.00461578555557856 0.00441754181645997 0.00562558814727898 0.00563158588821233 0.00312333874444304 0.00617546964743654 0.00503330757757934 0.00416739607449762 0.000681593321329312 0.0010026685635547 0.00186737327712398 -9.30446696078808e-05 0.00077998332302271 0.00246526835840973 0.00106031053914645 0.0013383298547521 0.00144517793360108 0.00295127465969825 0.00409927923631744 0.00119322057718637 0.0028262229090916 0.00306864450808157 0.00518451419381408 0.00123809797737679 0.00324963706698429 0.00490847727490054 0.00208342050541177 0.00360904990986741 0.00124345698711224 0.00265927945695564 0.00266723668576197 0.00277319323074046 0.00185387913362514 -0.00120137547477409 0.00203973678276054 0.000953242739336658 0.00239793209780948 0.000440225496381171
"PMMT" 0.00316710188699897 0.00322208592366601 0.00332644665073554 0.00363158335651414 0.00312333874444304 0.00311977820998499 0.00415462098246557 0.00358175789921449 0.00270818577812038 0.000718405449263659 0.000502548449675599 0.00113188036710353 -0.000146342718970318 0.000285069181090373 0.00203764854085405 0.00137716240975519 0.00141569978749588 0.0014799292536514 0.00265234208883912 0.00666154763937766 0.00122066117863376 0.00140031855571838 0.00209745465563475 0.00337053755903063 0.00194001330027232 0.00262398911337714 0.00179803092107292 0.00197848199659555 0.00220710874839615 0.000901495704225258 0.00182105616214642 0.00215426506085488 0.00247190020984055 0.00181921001271678 -0.000139654809830698 0.00158046269797361 0.00125118777891976 0.00191274360058636 0.000397441002279784
"NSLNA" 0.00503821199607633 0.00463100159338981 0.00631619540232011 0.00968516236611242 0.00617546964743654 0.00415462098246557 0.018006281492716 0.0103175129522262 0.00540025273050096 0.000217245938006356 0.000106124616632365 0.00458888132652664 -0.0016752532504472 0.000502196661030212 0.00407475268871096 0.00198045147617513 0.00272575144457437 0.00305631549054228 0.00557746554135512 0.0114861181649567 0.00391383296046818 0.00508176942572201 0.00726946565176214 0.006775866205303 0.0036015426151217 0.00648910670205955 0.00560564136317824 0.00156261013936171 0.00700839787841119 0.0033648750975052 0.00361381920289943 0.0048996468484146 0.00573348794059494 0.0016516136276715 -0.00251297622324377 0.00272749695493591 0.000735871402576389 0.00428469583323104 -0.000612508464115263
"NSLZS" 0.00565800889536695 0.00387797179802099 0.0056396804920127 0.00678485559072593 0.00503330757757934 0.00358175789921449 0.0103175129522262 0.00997874138064395 0.00540207839830257 0.0010702328937657 0.00158078524005874 0.00292412048285661 -0.000335545587147023 0.00135539183805645 0.00318814453223059 0.00230888916939991 0.00232064013760671 0.00240822351705127 0.004338295629028 0.0092044986276817 0.000587413120301068 0.00307641900689697 0.00371906623719233 0.0045705009525977 0.00342714198838508 0.0045919355786028 0.00379119166420769 0.00104711746060012 0.00470696170736766 0.00265259209672074 0.00314458006817957 0.00357745995858141 0.00423198790801959 0.00254277112363817 -0.00169351480815017 0.00380390112378745 0.000858962208094263 0.00365557886171076 0.000407739573942974
"NSLZI" 0.00410587365456723 0.00269927837174288 0.00365912077982939 0.00372538459146319 0.00416739607449762 0.00270818577812038 0.00540025273050096 0.00540207839830257 0.00495276372964405 0.000552985672713268 0.00126859808125401 0.00154738092987886 -0.000119192925994287 0.000729392902043088 0.00251651139039224 0.00106330439551389 0.000989980227281313 0.00124226482992068 0.00284231905440588 0.00525555190330636 0.000677042885652351 0.00151750162018273 0.00287799671640465 0.00358851485815112 0.00106008091248966 0.00271075972063851 0.00264447710105458 0.00190991786132465 0.00247791253167031 0.00143105507214965 0.00229121543416478 0.00240349213531743 0.00254627333864484 0.00189270764405476 -0.000263447945589375 0.00217396226664149 0.00105012052811733 0.00292277365851539 0.00108846131095758
"NABR" 0.00114886275560152 0.00100634155393024 0.000891976641194351 0.000961497883308023 0.000681593321329312 0.000718405449263659 0.000217245938006356 0.0010702328937657 0.000552985672713268 0.00281959122258175 0.0010128506267793 0.000542767220671473 0.0017585484559419 0.00114226378774379 0.000813438051894965 0.00131119755708467 0.00114599331510302 0.00142831533308256 0.00174573000650846 0.000816690011507329 7.71501285494782e-05 0.00022879674876172 0.000610649692455451 0.000483072265313075 0.00101296639353159 0.00152943965755412 0.000654294095230028 0.000598113945125616 0.000783126160657589 0.000636620899166713 0.000697203950378545 0.000395667293638839 0.00149003425490099 0.000836829143494103 -0.00257901653214375 0.00106451862176712 0.00105195675308273 0.00174877220234587 0.000335860187802678
"NAFM" 0.00106627200632915 0.000887527825199654 0.000685211864236518 0.000745446608715338 0.0010026685635547 0.000502548449675599 0.000106124616632365 0.00158078524005874 0.00126859808125401 0.0010128506267793 0.00222112892876231 0.000857257496407307 0.000539772489925708 0.000586338609543093 -0.000186528535530691 0.000432681637265999 0.000338334601341681 0.00053123227008345 0.0009555448426194 0.000548107171849457 0.000360729327007462 0.00023875203337266 7.07027787974806e-06 -0.000445038197488098 0.000622441329857024 0.000823606251028903 0.00105585245034332 0.00109630664332587 0.000554714025869234 0.000575134959783396 0.000427221819460218 0.00038835123542204 0.000504775284727956 0.000416045160707016 -0.000921003292832702 0.000704603407155084 0.000327047687920429 0.000918044087330216 0.000875304044392583
"NAPNS" 0.00151075269286705 0.00218943315558687 0.00194924658878074 0.00294546403221097 0.00186737327712398 0.00113188036710353 0.00458888132652664 0.00292412048285661 0.00154738092987886 0.000542767220671473 0.000857257496407307 0.00270485760551384 -0.000306251853445722 0.000434102522241877 0.000969446583091294 0.00110854593214376 0.00121791870519534 0.00177594295149958 0.00215099238508583 0.00231656836679588 0.00117196321970983 0.00200691487712294 0.00240137752713411 0.00188172907692015 0.00101289973170427 0.00249056249236846 0.00159742010554455 0.000928530979304141 0.0017954620169785 0.000803832044351627 0.00122397657117798 0.0021989435513635 0.00176254660035913 0.000296570589903004 -0.000698932300831976 0.000856187814485395 0.000555733244117336 0.00134987587247675 -9.96978977169686e-05
"BRPT" 0.000480897438672809 0.000101048172463456 -8.42439617612883e-05 -0.000457010309289648 -9.30446696078808e-05 -0.000146342718970318 -0.0016752532504472 -0.000335545587147023 -0.000119192925994287 0.0017585484559419 0.000539772489925708 -0.000306251853445722 0.00284987608363079 0.00131734339115671 -0.00134959799502629 -0.000406382489950696 -0.000259674642957587 0.000635774461694554 -0.000805527929209149 -0.00689386195902375 -0.00130915806027121 -0.000173222455032813 -0.00065564047228976 8.2835935500995e-05 6.24700920134232e-05 0.000198156449262708 0.000924585141906697 -6.38094839771009e-05 -0.000806865009919109 -0.000279274830222979 0.000211499402208891 -0.000443215025101905 -0.00044526478885467 0.00127695824868767 -4.4972545392776e-06 0.00112944942125462 0.000805461183288157 0.000445256853295931 -0.000335553010892852
