"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00750962484598193 0.00658221583110206 0.00579451412406751 0.00500959837771164 0.00471910933806646 0.0036867241358617 0.00436383246214122 0.00546839395833715 0.00441285301370022 0.00154242475308546 0.00267145626632383 0.0022495028278951 0.000106049214053479 0.00141678105688051 0.00336491803020979 0.00210484407281892 0.00206044080187492 0.00288928489895777 0.00386667964436995 0.0060506488942602 0.00156591373246889 0.00347742658417408 0.00293583043635284 0.00551274245639939 0.00355328739212099 0.00252556671883034 0.00573272890148695 0.00367284098383729 0.00274902822905897 0.00101110720749344 0.00283248144003081 0.00329261894818494 0.00263926380231941 0.00426316900605879 0.00213585621202265 0.00392027379808051 0.00216197101091042 0.00183756345214155 0.0017718766776774
"ISNSL" 0.00658221583110206 0.0110035653325293 0.00710931048746322 0.00757254044940298 0.00662986789303423 0.00421967000117762 0.00466226328600018 0.00518139098525352 0.00369867602824863 0.00216800384089852 0.00314096493139315 0.00302310304572695 0.000420173687726893 0.00188355037973952 0.00377531868645866 0.00256618221669452 0.00247172347681911 0.00330564071189932 0.0047457655923698 0.00837077475320148 0.00181963387088178 0.00534992949697629 0.00400427462574462 0.00770515296884867 0.00408631715882998 0.0035771296446609 0.00878762052445268 0.00372753048615793 0.00365053398388643 0.00123795376001043 0.00292409200539708 0.00436900554834342 0.00344072610838733 0.00441103852794966 0.00182164356729737 0.00411945487191159 0.00244311939514878 0.00222888335209898 0.00199596125643246
"ISPNS" 0.00579451412406751 0.00710931048746322 0.00811275830346463 0.00775764719285938 0.0074334836484097 0.00484860563676921 0.0075665954497055 0.0083459842683534 0.0063614199439789 0.00204515365958619 0.00278346302904173 0.0027482950315151 -0.000644533262095091 0.00172626127178272 0.00616630198082264 0.0032756172120228 0.0024759579285929 0.00301964460842046 0.0062657093796239 0.0136350804790168 0.00232696912244737 0.0053234464161053 0.00440295099001054 0.00798765056316581 0.00536709114008061 0.00399122216179337 0.0107638612730314 0.00223015966856795 0.00342652080845573 0.00154709133379904 0.00404112677504996 0.00464560130650759 0.00450762493553629 0.00580261657747586 0.00205262630735421 0.00526547480107383 0.00216937196198395 0.00293731269448865 0.00277677899882045
"PMZS" 0.00500959837771164 0.00757254044940298 0.00775764719285938 0.00976379884273063 0.00841908076314093 0.00502325037444872 0.0103762959081343 0.0101607739967682 0.00676274600835655 0.00214669597132269 0.00280954827961539 0.00364118551279729 -0.000664488285092699 0.00185722475474546 0.00675797650846206 0.00335438006127863 0.00238358569032471 0.00281037104864918 0.00695973191396484 0.0146088253639481 0.00258380920986778 0.00656874881649919 0.00595616757954936 0.00895131693911605 0.00569094291503237 0.00489993164717603 0.0104379889909941 0.00458509159489947 0.00373091664520606 0.00176591050377428 0.00419810115522538 0.00498543624729578 0.00543143481878104 0.00605786431085919 0.00167684971110443 0.00541595720228794 0.00207913001273481 0.00329458673825297 0.00311902003503572
"PMZI" 0.00471910933806646 0.00662986789303423 0.0074334836484097 0.00841908076314093 0.0089334241645018 0.00533866057864652 0.00857456497695856 0.00906871158981674 0.00775935062774472 0.00221251360379156 0.00292526516335405 0.00316094792991846 -0.000545042018307641 0.00187776471372873 0.0067713849931577 0.00343806160557817 0.00234224803076817 0.00277727199650094 0.00665875895190999 0.0138599707395813 0.00257072174923577 0.00550035896804772 0.00475682520804385 0.00940082691452416 0.00427457530171853 0.0034828305306422 0.00974558860102591 0.00469912168341737 0.00322514052032965 0.00177339458032363 0.00423457206850702 0.00467596043792525 0.00515457659771824 0.00604832725108713 0.00195061338836072 0.00533968850342633 0.0021092748973392 0.00348017455747026 0.00320616438776987
"PMMT" 0.0036867241358617 0.00421967000117762 0.00484860563676921 0.00502325037444872 0.00533866057864652 0.00487336592474387 0.00515987902522038 0.00570656407440288 0.00497727629819436 0.00134386197671025 0.00208742422207271 0.00205818287553228 -0.000363554611843625 0.00134880849697755 0.0047589203288127 0.00251535623597289 0.00172024913618014 0.00189408905205621 0.00441367093708171 0.0109416386217976 0.00188423631092344 0.00264205558394215 0.00301152518131001 0.00524762791188682 0.00362517405218819 0.00212154086261591 0.00386106046000584 0.00394979952217827 0.00218166059907781 0.00118066178830534 0.00284320159454641 0.002955962934088 0.00326105295892195 0.00426802427208226 0.00161918995210767 0.00372086533005809 0.00163342241399575 0.00238543669673386 0.00235639196902197
"NSLNA" 0.00436383246214122 0.00466226328600018 0.0075665954497055 0.0103762959081343 0.00857456497695856 0.00515987902522038 0.0161975273186593 0.0138246677908149 0.00898740872466134 0.00138839260049965 0.0024122930933807 0.00426537104903689 -0.00195054080135587 0.00127103328931718 0.00913809458593871 0.00361996319183938 0.00200165242821565 0.00159435229527837 0.00805916470223653 0.0194012097033169 0.00447418332082813 0.00683952464660539 0.00727205631957871 0.00968788937084506 0.006280905298113 0.0056549130154818 0.00933478022931811 0.00538957957032328 0.00361130085093799 0.0020496296579214 0.00456830190289369 0.00453112991730228 0.00631618197408266 0.00686022661521164 0.00140109915629832 0.00569343973678424 0.00156500296015941 0.00357478230820774 0.00405785485188515
"NSLZS" 0.00546839395833715 0.00518139098525352 0.0083459842683534 0.0101607739967682 0.00906871158981674 0.00570656407440288 0.0138246677908149 0.0139765255191471 0.00965244430297476 0.0020099867070452 0.00289088068934111 0.00379116190551604 -0.00147697765357279 0.00176024638273486 0.00888590530495018 0.00380480522133775 0.00220784915349856 0.0021774295546634 0.0079437173754275 0.0192311385071769 0.00268668142184777 0.00642833846764531 0.00614185418702486 0.00915468665767321 0.00669360445092787 0.00515655414529146 0.0101302947259563 0.00592190770477324 0.00343431863409952 0.00187296532871832 0.00494096163133528 0.00475271836601926 0.00613530512413817 0.00749750345820697 0.00231836367947861 0.0063089916352704 0.00175348615332677 0.00391619741772473 0.00408441900254469
"NSLZI" 0.00441285301370022 0.00369867602824863 0.0063614199439789 0.00676274600835655 0.00775935062774472 0.00497727629819436 0.00898740872466134 0.00965244430297476 0.00898084202993436 0.00192101073854862 0.00278358379793296 0.00279511807586956 -0.00089542162668524 0.00158283136931788 0.00714885661719504 0.00335553739288114 0.00195641207503778 0.00216105054947978 0.0065099899394959 0.0147240905955383 0.00261285725754066 0.00422829784658059 0.00479762723542079 0.00816676312473343 0.00376925473782463 0.00315993986609857 0.00754640104227484 0.00498507054358201 0.00252114759145198 0.00171144948617 0.00420970448598626 0.00382360801915958 0.00503567084085375 0.00620814260279229 0.00216689274518469 0.00518964084243791 0.00180935233667501 0.00353191262961668 0.00344641370445421
"NABR" 0.00154242475308546 0.00216800384089852 0.00204515365958619 0.00214669597132269 0.00221251360379156 0.00134386197671025 0.00138839260049965 0.0020099867070452 0.00192101073854862 0.00317596623714957 0.00128094969359921 0.00111413506176794 0.00148514280426078 0.00150003403906541 0.00228799455428296 0.00136639334276662 0.000955354108242787 0.00162515419196566 0.0021549568848381 0.00400872046827007 0.000858134729874436 0.00177933534662668 0.00147164200085327 0.00309016023679968 0.00120315566761271 0.00125998149089475 0.00295717099415993 0.000959946876504773 0.000858979073291676 0.000954438851345858 0.00132273025088558 0.00162845189635063 0.00171887442018066 0.00197753276036975 -0.00116347005033258 0.00183116922216958 0.00106439826597751 0.00148950992073042 0.00130273295931876
