"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00529987128061926 0.0028690394095308 0.00253579056956979 0.00226485542553762 0.00215272464613596 0.000817703631069314 0.00173615278431697 0.0027545852801113 0.00236056068175251 3.59600784275188e-05 0.000841253773474042 0.000871663817884436 -0.000624812119991136 0.000816831967500652 0.00122097634846208 0.000850354601797345 0.000648519324136434 0.00108694985549597 0.00132141678237178 0.00286094029231345 0.000468389211408051 0.00214785111876112 0.0010567825727309 0.00361128704633662 0.0005846496386844 -0.00012034925426068 0.00257398406875069 0.00031513095971185 0.00215279377934084 0.000888371519525766 0.00115991766152716 0.00178449144558096 0.000773432040408811 0.0010133586938184 0.000806543996589263 0.00284761737467871 0.000688218314643684 0.00235201788330187 -0.000363085799623627
"ISNSL" 0.0028690394095308 0.00963892621690289 0.00551172429927 0.00761840972470401 0.00592445321190457 0.00269074173665921 0.00461433141388187 0.00359457905878339 0.000410242635881461 0.000289368424199519 0.00183632435278782 0.00314581076289343 -0.00172808751842517 0.00120165622773877 0.00500126766099294 0.0032049205165016 0.00182049800135551 0.00206346694617988 0.00446800972738747 0.0172824463192645 1.91624189779936e-06 0.00569715277829615 0.00193950113885439 0.0063813747509069 0.00467167378892165 0.00178038276634821 0.00933230176218914 -0.000395372511279423 0.00277516478643673 0.0043072013499686 0.00323617889481043 0.00374094032732818 0.00388542490279526 0.00153544378397239 9.84086957132944e-05 0.00260976756017409 0.00100292534909934 0.0040520615688262 0.000885898280970324
"ISPNS" 0.00253579056956979 0.00551172429927 0.00496357891857463 0.00536671757557319 0.00461946505197763 0.00216386620412627 0.00383430811264677 0.0036176153567033 0.00139747196983133 -1.00652994816986e-05 0.00118940749201117 0.00182477480919073 -0.00192512690037448 0.000684366283547617 0.00468953764721916 0.00248075073980743 0.00131865670202581 0.00130981442209225 0.00365380511898967 0.0150350379999806 0.000201838043967708 0.0038655260326931 0.00121391966688478 0.00525119580611491 0.0036652960082282 0.0009222275855996 0.00788757320494252 -0.00245935915940144 0.00223211540326436 0.00288871440677752 0.00226314265984871 0.00303178226467096 0.00305074301787699 0.00123809620869445 0.000157899334033979 0.00264944122599962 0.000392876566452384 0.00273419074105166 0.000545212824366376
"PMZS" 0.00226485542553762 0.00761840972470401 0.00536671757557319 0.00810048369024826 0.00617957409920497 0.00268719205742608 0.00652497177022124 0.00548594867231635 0.00120780524829478 -0.000185534239435528 0.00138005588836467 0.0033160469569779 -0.00212029476858988 0.000985356267025708 0.0051037395164587 0.00279288395811508 0.00144568755779262 0.00143869701354187 0.0041669823121247 0.0150892648797507 0.000106414069745534 0.00566928436691699 0.00191082190749402 0.00665715017641384 0.00505664803571997 0.00204487557457074 0.00861064937582121 0.000671865348193024 0.00249012988235454 0.00375422410822839 0.00285832262953284 0.00366700026312868 0.00343881893673315 0.00130682523418152 -5.44441775434298e-05 0.00291455062774812 0.000453491940096689 0.00353744871444747 0.000770682665081678
"PMZI" 0.00215272464613596 0.00592445321190457 0.00461946505197763 0.00617957409920497 0.00612170137155851 0.00233171432787112 0.00419067657695073 0.00412879598151197 0.00233181761860703 -7.83724894338464e-05 0.00159183712456252 0.00274485245760883 -0.00206426576023937 0.000644736307259262 0.00405573954253506 0.00243052469773107 0.00139976889302839 0.00145114350094634 0.00338600419386854 0.0128308292302118 9.90840252393767e-05 0.00448267140593802 0.00110382629679914 0.00647291004089104 0.00264422191342622 0.000564562864435584 0.00782581964621434 -0.000224589877565024 0.00226041358584711 0.003180482710598 0.00245349309920419 0.00254690098131661 0.00264707734754504 0.000962178129234588 0.00031403400329482 0.00261590020242671 0.00078702287475434 0.00349301320801437 0.000424677597701255
"PMMT" 0.000817703631069314 0.00269074173665921 0.00216386620412627 0.00268719205742608 0.00233171432787112 0.00169115484599918 0.00174095826560869 0.00153276856921183 0.000466651904676641 -0.000128972531795231 0.000569812540766015 0.00119685431784213 -0.00088248714073725 0.000155214524081751 0.00176994155178432 0.000937970112149669 0.000708052764940076 0.000751095974958477 0.00160468351861244 0.00646059627065703 9.18557875676596e-05 0.00148358205711282 0.000517008741910791 0.00190714283791063 0.00206700302538323 0.00045660490760653 0.00271786232472879 -9.53400344005587e-05 0.00133207276183601 0.00156651997286984 0.00103968479069923 0.00128440639212669 0.00118304444443431 0.00046932360675994 -8.20434677423619e-05 0.000929875353837514 0.000510870085772801 0.00124602383200645 0.000165076202279054
"NSLNA" 0.00173615278431697 0.00461433141388187 0.00383430811264677 0.00652497177022124 0.00419067657695073 0.00174095826560869 0.00798368822137644 0.00601026897314533 0.00116666842857023 -0.00041246693282208 0.000629614597181867 0.00270847735847139 -0.00158455288885559 0.000677557452223672 0.0041628766063244 0.00153207291485162 0.000674725057151137 0.000258580489708626 0.00295705780700128 0.0101122063594623 0.00180273096407955 0.00435913768415647 0.00180400040037806 0.00430994351127113 0.00421615290406172 0.00252187130066961 0.00521970482821982 0.00179889932860651 0.00201702715171087 0.00241208965822347 0.0017125031720812 0.00296048056045384 0.00292530414640895 0.000703793602885895 -0.000481850673882727 0.00262038505415549 -0.000292923955897539 0.00269040812904782 0.000104899041975395
"NSLZS" 0.0027545852801113 0.00359457905878339 0.0036176153567033 0.00548594867231635 0.00412879598151197 0.00153276856921183 0.00601026897314533 0.0059303639630388 0.00247183231266947 -2.66950428893094e-05 0.000894041421056929 0.00216795076953881 -0.00137468114673067 0.000875768963771687 0.00327649737954161 0.00165444107076073 0.000753679860019935 0.000832844502865851 0.00259234837613208 0.00723920485512607 0.000340587399731907 0.00380153051839836 0.00156801015284211 0.00483573217290444 0.00298270289356531 0.0017179287172004 0.0046716168061972 0.00179132390270569 0.00185806184299884 0.00177122215969623 0.00159798896894214 0.00248951746916299 0.00192249204064738 0.000781404249635761 -7.92547534426931e-05 0.00273739959149055 8.78847922489722e-05 0.00221637797320794 0.000294609085372127
"NSLZI" 0.00236056068175251 0.000410242635881461 0.00139747196983133 0.00120780524829478 0.00233181761860703 0.000466651904676641 0.00116666842857023 0.00247183231266947 0.00366291510034915 0.00044920904579173 0.000981772796496273 0.000671795300791931 -0.000438606681441777 0.000471376000826825 0.000845317419111689 0.00105872053108426 0.000588754903385797 0.00065439059618354 0.00105402072252455 0.00188444083710743 0.000511318317157668 0.00123695520333961 0.00108788900859544 0.00334666232206033 -0.00127135637692747 -9.20149826520737e-05 0.00154005678654243 0.000711931456422255 0.000833969705406001 0.000306523023125766 0.000592747829728025 0.00010072962347601 0.000401187161483887 2.66712587818521e-05 -0.000352310800676387 0.00173316220259765 0.000701156086886376 0.00186428991240211 -0.000257583612797924
"NABR" 3.59600784275188e-05 0.000289368424199519 -1.00652994816986e-05 -0.000185534239435528 -7.83724894338464e-05 -0.000128972531795231 -0.00041246693282208 -2.66950428893094e-05 0.00044920904579173 0.00220527238640175 0.000591165063165111 3.85265620920869e-05 0.00144331678342008 0.00076011547439866 0.00111962763570731 0.000906776695556327 0.000316862410854099 0.00017607009394432 0.000499943632729253 0.000896919820602021 0.000940684364809039 0.000181298106033672 0.000600432668086354 9.46798482688682e-05 -7.74367802804419e-05 0.00120182299241161 -0.000232941065628886 0.00124058664916265 -0.000345116883062439 0.000182358183496748 0.000157824910278873 -0.000952734400659019 0.000904937130104605 0.000138020589541324 -0.00193488738514031 -0.000243782629478992 0.0001178280881036 -0.000229390579204409 0.000344359699321685
