"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00753656629488589 0.00362764165778597 0.00590727459909389 0.00556454708249134 0.00395027894928376 0.00295665273393513 0.00376571875583035 0.00375521537491135 0.00193458153294972 0.00166296006105832 0.0014291716453641 0.00184000090853894 0.00153083356667544 0.000862773084570267 0.00272259324464685 0.000722663090686037 0.00184600854920086 0.00271063705677236 0.00118053948000453 0.00730464244457395 -0.000876100753603606 0.00132023075246068 -0.000233311395537887 0.000303435140507685 0.00418838789983598 0.0010605306330095 0.00505486739682625 0.00221723753204239 0.00340267308049443 0.00225381719205499 0.00233771707656919 0.00162233523084466 0.000751032672510053 0.00222898540411566 0.00338007735303214 0.00173190963242312 0.00203920311350851 0.00184075548125471 0.00170650236546235
"ISNSL" 0.00362764165778597 0.00697666823547337 0.00385510143935416 0.00558126763409781 0.00403525472051164 0.00226434410358519 0.000681303889797814 0.000473606710984033 0.00127320753050651 0.000920406344450579 0.000741048677941467 0.000961595931309366 0.000145359069164728 0.000238167050905645 0.00111939021994139 0.00109712849311159 0.00170923685806617 0.00276383568678116 0.00235566752264223 0.00819058808205795 0.00120925291130354 0.00171790260407572 0.00149599467770603 0.00126857875445394 0.00317334584144056 0.000823523746963248 0.00418275216787385 0.00271906695181426 0.00266092984385875 0.00137628754245113 0.00146398469901649 0.00127694303415311 0.00225625203287758 -0.000100372358226469 0.000703748696284938 0.00103101480795578 0.00162884243749444 0.00160169187580265 -0.000185260613845618
"ISPNS" 0.00590727459909389 0.00385510143935416 0.00833900478725337 0.00808352051132115 0.00629356478358619 0.00433416978238961 0.0030777051361262 0.00570003639843416 0.00187699276471187 0.00134791288495587 0.00158838569665116 0.00226155336398142 0.00127346152148932 0.000477095400087067 0.00114025656214854 0.00160273654613993 0.00338302387886961 0.0038833563528796 0.00104097069754582 0.00394291864644687 -0.00249249762345043 0.000999029024649125 -0.00272532814186771 -0.000328871065239097 0.00447850654759032 0.00163300112613209 0.00738025242155985 0.00378757128278934 0.0040886272715893 -1.45554519511146e-05 0.0025969209609457 0.00193766260934651 0.000311565977219829 0.00199621738244694 0.00370512808985684 0.000385173679145096 0.00288197448235374 0.00141837785481781 0.000735047224078853
"PMZS" 0.00556454708249134 0.00558126763409781 0.00808352051132115 0.0117400694749946 0.00865774056010357 0.0050318008715845 0.0048108245551051 0.00670901985661912 0.0021972370355754 0.00130655716159766 0.00192317225552017 0.00166904723842878 0.000689396672470484 0.000275150601032501 0.000828051164705465 0.00178698094546255 0.00374071773847267 0.00439562381913647 0.00155042498734734 0.00278484238535073 -0.00239444466403502 0.000939136799255877 -0.00321659329806638 -0.000830888070963225 0.00487681676957767 0.00235552962604308 0.00788729110964331 0.00738916568659527 0.0049155915849755 -0.000332258603578348 0.0031833283394977 0.00204409625168867 0.000886740259330726 0.0017037938040186 0.00468175985776053 -0.000303657381634133 0.00268602141297148 0.00188712215987687 0.000663930970555735
"PMZI" 0.00395027894928376 0.00403525472051164 0.00629356478358619 0.00865774056010357 0.00805596257047516 0.00402000060983548 0.0026439925792341 0.00541444477057583 0.00259725414713307 0.00112501132325743 0.00191379687087539 0.00138608708437643 0.000993061516071353 0.000319937879426649 -0.000529786493990226 0.00102718125911906 0.00309791749452242 0.00354502040243091 0.000199783655100256 0.000763086956635364 -0.00192541107996575 0.00016108510279585 -0.00119759388350285 -0.000882863246583128 0.0030298486957596 0.00141415521543507 0.00641523039615947 0.00689416757573529 0.00400217431493013 -0.00117727458439381 0.00241782118842469 0.00122572861585451 -2.09680115407018e-05 0.00130376041192436 0.00368939367602972 -3.20495944579744e-05 0.00240910731176309 0.00127308044021656 -4.84672770816425e-05
"PMMT" 0.00295665273393513 0.00226434410358519 0.00433416978238961 0.0050318008715845 0.00402000060983548 0.00305680594750474 0.00121596314600789 0.00344626521207209 0.00102365542651129 0.000637755356308113 0.00126458163480281 0.00105292419772939 0.000366240162707041 0.000119760409610621 0.000515518949982963 0.00109278060867481 0.00214596271306013 0.00249651690321038 0.000866066338614468 0.00326471518848 -0.00133865737921092 0.000557416497800794 -0.00177075982440258 -6.12382026364595e-05 0.00280463243181181 0.00108727552896311 0.00419642980851187 0.00382153139787731 0.00250007091706335 -0.000836717108032219 0.00158118432687615 0.000920049198194259 0.000462683379014178 0.00106769958674811 0.00228762469352762 0.000350424729772998 0.00169526998533051 0.00121847396873288 2.67658915264679e-05
"NSLNA" 0.00376571875583035 0.000681303889797814 0.0030777051361262 0.0048108245551051 0.0026439925792341 0.00121596314600789 0.0147277932653442 0.000348161583729614 6.61635102804766e-05 0.00051290279064424 -0.000332888993324457 0.00125702794555014 0.000232249405773404 0.000281457191519641 0.0023008312671331 0.000802556296198764 -5.80640242172417e-05 8.60405036808843e-05 -0.0010354900382169 -0.0087588083722374 0.00077049381714163 0.000458914703326742 0.000240646797879078 -1.60281009096846e-05 0.00109526096582106 0.0018447517847681 0.000953260815868397 0.00143938540704541 -7.10661697681142e-05 0.00253116135467074 0.000906963473365052 0.00187073802144758 -0.000636456638234553 0.00122256027629199 0.00159550532554966 -0.000954501941120627 -0.00010448161385503 0.000527151969747743 0.00377327319835297
"NSLZS" 0.00375521537491135 0.000473606710984033 0.00570003639843416 0.00670901985661912 0.00541444477057583 0.00344626521207209 0.000348161583729614 0.0106026722063299 0.00267529313292965 0.000796662024834228 0.00288286026033058 0.00100463777108246 0.00128829955324148 -0.000190534851525666 0.000239775961343978 0.000725433885028213 0.00333409905332457 0.00368795709399395 0.00112472893240658 0.00257879573328061 -0.00568668101708647 -0.000738720357294684 -0.00627621531847358 -0.00232569232768487 0.00403234638518083 0.00202972569637711 0.0067762170614626 0.00661463681561747 0.00455521547678397 -0.000881994517054766 0.00273921629759829 0.0013086501160974 0.000309243399387917 0.00247685386728579 0.0036358814425029 0.000298119912017119 0.00233794844400647 0.000322055742434449 -0.000236342765641934
"NSLZI" 0.00193458153294972 0.00127320753050651 0.00187699276471187 0.0021972370355754 0.00259725414713307 0.00102365542651129 6.61635102804766e-05 0.00267529313292965 0.00258562810882892 0.000868508992262384 0.00127067619621503 0.000962190712864898 0.000780485097899093 0.000357867105177307 0.000541544440279714 0.000341415777142178 0.00111503209087646 0.00156460961767165 0.000892564847959462 0.00128275137590985 -0.000891243787974966 0.000180068874228133 0.00250659539281205 -0.000232297445314679 0.000960969782098353 0.00113619106931511 0.00248303838653148 0.00225864962767549 0.00190492038331263 0.000819300409836993 0.00110753613701042 0.00132534674156824 0.000961905533883934 0.000726350518809827 0.00152758156932454 0.000930068498797924 0.00117757439330418 0.000464903643216907 -3.09439793658448e-05
"NABR" 0.00166296006105832 0.000920406344450579 0.00134791288495587 0.00130655716159766 0.00112501132325743 0.000637755356308113 0.00051290279064424 0.000796662024834228 0.000868508992262384 0.00248540422306686 0.000845134456043974 0.000821003107232872 0.00196937341929186 0.000866595785141823 0.000928359353880973 6.2166733346367e-05 0.000416570604339798 0.000881444336097174 0.000585574600787158 0.00320658483840385 0.000501889523713787 0.000711928506963578 0.000942695315674659 -2.49746920175922e-05 0.00108672636281355 0.000265151313963282 0.00133070351811841 0.000407354372720529 0.000955851490438998 0.00125795059793744 0.000579287490592739 0.000620302142458282 0.000264937312733433 0.00109556196975563 2.12991485531547e-05 0.000306783734161564 0.00118239603224001 0.00011625871204293 0.00122349373212677
