"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00493937309807948 0.00229022114569358 0.00290750627729864 0.00238882659381282 0.00186122540367793 0.00123451439647525 0.00239971355021266 0.00129787693009852 0.00199871496778145 0.000933679321874885 0.00136607395959183 0.00170144509053807 0.00108778690093833 0.000821496008795959 0.000161381470215299 0.000530586249461621 0.00092901682632792 0.00129545678531627 0.00105215719712667 -0.00134926571676606 0.00048400139473053 0.0010699571877094 0.00335337340620314 0.00139553695945267 0.00145323203335229 0.00204004958648109 0.00118663444039198 0.000377894832220072 0.00158658012318656 0.00187124746503875 0.000940794003172153 0.00103016288296541 0.00135340794778137 0.000491330759455329 0.00137840591399578 0.000660870891258993 0.00134534727985795 0.000208016112126216 0.000140127710620433
"ISNSL" 0.00229022114569358 0.00609839519573633 0.00301186493246447 0.00436201250713163 0.00328582807887589 0.00160456680286489 0.000353770777855215 0.00146445462442218 0.00184029906936577 0.000842320394874769 0.00142218092333391 0.00186769488274604 0.000899883051955769 0.000885415338662993 0.00184876074379749 -0.000263711885231577 0.000202286875048853 0.000318431307812243 0.0010654601375391 -0.00323901031358851 0.00104931125296471 0.00194008667117177 0.00178277166998774 0.00179071505507873 0.00248849967523202 0.00206937172392105 0.00225181287487093 0.00204138099933284 0.00155962221528157 0.00108563576475315 0.00152624616433572 0.00117566297201525 0.00151249037514451 0.000592127637366576 0.000925832740530791 0.000565068931497151 0.000732925327463472 0.000501217256618492 0.000596205275548521
"ISPNS" 0.00290750627729864 0.00301186493246447 0.00423363229642554 0.00357593007991838 0.0028645334466505 0.00152180290922462 0.00179811957801911 0.00142135306697794 0.00190315809855311 0.000776962525982078 0.00142095168605565 0.00205039894172568 0.000612168207671086 0.000463544266074081 0.000572883716048981 0.00046377393860813 0.000997956127964907 0.00160554989532972 0.00120913919506273 -0.00605112472395783 0.000681720050546686 0.00136784130430665 0.00287115858774005 0.00103609924639635 0.00219815857283995 0.00282627621176606 0.00256177086805125 -0.00116248782953841 0.00222364452787853 0.00203275721401357 0.000914086636227531 0.00154167783867864 0.0017387589400161 0.000305989793530467 0.000608778546819962 0.000372010032760335 0.00139006975334475 0.000387685880703724 -8.49032269543744e-05
"PMZS" 0.00238882659381282 0.00436201250713163 0.00357593007991838 0.00627984265028849 0.00421420969811957 0.00209500949688743 0.00333285688111203 0.0025153580341187 0.00203705735597899 0.00126090287697627 0.0014402047059607 0.0021850918700813 0.00102473186172489 0.000730220627206123 0.00127653509269026 -0.000460395068321328 0.000215993825512328 0.000759395884128805 0.000576892566409475 -0.00823012225671215 -0.000144217786613308 0.00162376129156017 0.00219777481915564 0.001385406200586 0.00255953731774656 0.00286964510215023 0.00239947155523128 0.00133816750841401 0.00188203529331848 0.00160911474654706 0.00163753237739128 0.00144232737720971 0.00145779954381615 0.000446331125640225 0.000359429443227502 0.000782547040006905 0.00109811605320829 0.000677644089200279 0.000572225871328699
"PMZI" 0.00186122540367793 0.00328582807887589 0.0028645334466505 0.00421420969811957 0.00408771311966535 0.0017261027560826 0.00201199887109958 0.00182192263792533 0.00224516316608347 0.00102020922276702 0.00144160604360583 0.00200654479299937 0.000973906725330881 0.000715406370907523 0.00113697888829949 -0.000243753347453092 0.000392710498438651 0.00100581788070011 0.000630138186887178 -0.00732740240023364 0.000852454000723271 0.00170257970464246 0.00261232452804673 0.00124082048373751 0.0017205684735271 0.0019816052533699 0.00221721967299117 0.00103995915796032 0.00195334401849566 0.00162618031247225 0.00133177228095015 0.00111369368957477 0.00161983420074271 0.000542676519331568 0.0006637282697592 0.00088826599622066 0.00111548832395042 0.000997662055149337 0.000321772792487115
"PMMT" 0.00123451439647525 0.00160456680286489 0.00152180290922462 0.00209500949688743 0.0017261027560826 0.00181605171905211 0.000930837545873019 0.000753392311455222 0.000875733807713651 0.000575761562673414 0.000713551725065276 0.00101911906719199 0.0007128929086433 0.000368559234394698 0.000383749072801386 -0.000119215624645358 0.00024004436958637 0.000599568769534193 0.000229045366502456 -0.00326816760519788 0.000529623333375458 0.00101059539349493 0.00119985372970589 0.00156091576401045 0.00111496094618278 0.00100677023641984 0.00043728479040685 0.000848269003689262 0.000815697312333672 0.00104226955380922 0.000633944991651621 0.000956021528006377 0.000691514798055065 0.000557188903050469 3.18801151084231e-05 0.000750665078839431 0.000661771294084042 0.000707561496593261 0.000368212407765975
"NSLNA" 0.00239971355021266 0.000353770777855215 0.00179811957801911 0.00333285688111203 0.00201199887109958 0.000930837545873019 0.0140027841562818 0.00215420378466059 0.00146147356840488 -0.000218730822977403 0.000588776782949186 0.00232561668576521 0.000620025019950627 8.2889590810167e-05 -0.000256888735498059 -0.00034612506498474 -0.000106955305490845 0.000802337614042133 0.000317996799046335 0.00431550877288676 0.000715900090061429 0.000864190584074864 0.0020800588527951 0.00091516640455636 -0.000124404546376903 0.000917700198669237 0.000124771296714931 0.00112458538575747 0.00016121126901702 -8.67862330839571e-05 0.000864305244337757 0.00118214114021475 0.00128489438578783 0.000321535796324819 -5.53655198569813e-05 0.00108784056880662 0.00123246168137862 0.000838014676873541 0.000373183044778786
"NSLZS" 0.00129787693009852 0.00146445462442218 0.00142135306697794 0.0025153580341187 0.00182192263792533 0.000753392311455222 0.00215420378466059 0.00465646913419118 0.00167112228300921 0.000314698587559793 0.00108753973337123 0.00126018049651311 0.000376836805239182 -3.93709333078108e-05 -0.000177500392689988 -0.000754514426715957 -4.94796257514579e-05 0.000621273746147623 -4.14867386991267e-05 -0.00569773728306711 -0.00151130803625294 8.78420180247609e-05 -0.00164639597862848 -0.000177916507558085 0.0006330688594249 0.000843788382861097 0.000483050149392155 0.000320410298673702 0.00129062226247414 0.00101486841868994 0.000816152850919308 0.000649380754616417 0.000836676873841582 2.27963737117596e-05 0.00108283301007689 4.08209242919582e-05 0.000969173112226994 0.000436023260713292 0.00082194500896392
"NSLZI" 0.00199871496778145 0.00184029906936577 0.00190315809855311 0.00203705735597899 0.00224516316608347 0.000875733807713651 0.00146147356840488 0.00167112228300921 0.00239727855429293 0.000653625473838787 0.00119247488895129 0.00149320861944642 0.000827620223951947 0.000502390354627512 0.000241861128076859 -9.25359420614557e-05 0.00043674426196252 0.00087094754529713 0.000788619797291643 -0.00414505538363883 0.000489181134805829 0.000874334609403202 0.00311985977679667 0.000779753927664216 0.000656100500755575 0.00186724562464892 0.00140416471490878 -8.03646235500898e-06 0.00166370052066355 0.00168086490672135 0.00104160554117145 0.000841519334608094 0.00130537164790586 0.000422207483642871 0.00101538109282516 0.000677439720118704 0.00119304810515492 0.000763840256678399 0.000107445242988035
"NABR" 0.000933679321874885 0.000842320394874769 0.000776962525982078 0.00126090287697627 0.00102020922276702 0.000575761562673414 -0.000218730822977403 0.000314698587559793 0.000653625473838787 0.00197880666124457 0.00060947830228853 0.000514274740845103 0.00108581558078532 0.000795827185907346 0.000928288544282432 0.000472202587002443 0.000463340644981781 0.000888509062542164 0.000715056494956552 -0.00175886944980315 0.000512943474104514 0.000821566017318165 0.00120669615199545 0.000543408323110265 0.000999615091867289 0.00116180308328017 0.0010474734009568 0.000852681659901764 0.000493553843069555 0.000566180913995585 0.000645119021094518 0.000531446769819961 0.000608833366126642 0.000151426256697953 -0.000403955859213527 0.000200025862887456 0.000641946056341497 0.000205300534675572 8.08448596506482e-05
