"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00639534634433826 0.00515344610055208 0.00486050483437648 0.00414351746409733 0.00307013513979655 0.00314153769045808 0.000902590264099989 0.00112851437500983 0.00192418015276055 0.00223509124498593 0.00112145726210076 0.00238479414611282 0.00185620774123611 0.00242865272417245 0.00353079852930846 0.00242237310965281 0.00190616318174552 0.00236370281140841 0.00276808679494646 0.00900869282475629 0.00166599823950862 0.00329631926175008 0.00339228024953909 0.00205723743929612 0.0039195353025882 0.0014164795744688 0.00261819075372847 0.00496947888964881 -0.000117648862075231 -0.000171034198321608 0.00225197695655395 0.00103972397521449 0.00300235217177572 0.00166027346430295 0.00393268372089352 0.00265779738648754 0.00106656375097778 0.00137953137182915 0.00118940631924845
"ISNSL" 0.00515344610055208 0.011559277267081 0.00702735422648293 0.00829433736827384 0.00563084737109542 0.0045337378674325 -0.00141616801166412 0.0013134863067892 0.00250222321699845 0.00272342952349721 0.0015547361082965 0.00339509688126041 0.00189025355128697 0.00202115394816142 0.00471325711145402 0.00195130908455231 0.00142479350872434 0.00190928312899501 0.00349480475439536 0.00845342293029971 0.00182925561193814 0.00390291309446807 0.00427046534307244 0.001189143448416 0.00459852319076181 0.00176420811886275 0.00318414370347948 0.00677569326361822 -0.000846730962743029 -0.00063480745347579 0.00330781111185769 0.0017907689130705 0.00388148272289122 0.000792645402322322 0.00196773899388018 0.00202438450249317 0.000732830910093013 0.00121221355172978 0.000792980113655317
"ISPNS" 0.00486050483437648 0.00702735422648293 0.0059858090869134 0.00608308470432948 0.00442320422525287 0.00375886387632707 0.00105273115076878 0.00110358287824431 0.00221644282012554 0.00224689743320465 0.0011675260675138 0.00292786263186002 0.00154094703728439 0.00212173366485212 0.00372932400673553 0.00226920468511018 0.00181463242899957 0.00224697656360631 0.00311933791884343 0.0080050714279397 0.00191244270522609 0.00337627913674539 0.00418107215047179 0.00108152547649724 0.00381253712732949 0.00185867142791474 0.00284292275766528 0.00508124397112181 -0.000158650422309868 -0.000805810332634752 0.00280995626418908 0.00149376914480072 0.00350364292184964 0.00102823336621273 0.00306534987423156 0.00233865143212364 0.0011078523553475 0.00175542145756132 0.000866372579165993
"PMZS" 0.00414351746409733 0.00829433736827384 0.00608308470432948 0.00966880702928558 0.0065620572746535 0.00452876131209564 0.00289265608330354 0.00270925079666214 0.00289769165926624 0.00305575094465957 0.00148373448678377 0.00360113515201927 0.0019975382508821 0.00262225985896414 0.00479927354256173 0.00181742600845188 0.00184622111495959 0.00269416007858569 0.0039555467922622 0.00466602447561453 0.000888511673227488 0.00413780167716631 0.00436148704669654 0.00170675977671421 0.00424872178790881 0.00326889077522828 0.00382482551421798 0.00681201604660844 0.00114817320984568 -0.000134267916235932 0.00365083298825954 0.00269913376759305 0.00415392225698245 0.000605557951063419 0.00319696092396915 0.00280527009989771 0.00139615878285844 0.00281339241864904 0.000483841232644722
"PMZI" 0.00307013513979655 0.00563084737109542 0.00442320422525287 0.0065620572746535 0.00599215998082509 0.00366869888920243 0.00165787175606371 0.00261496198010075 0.00300584062267974 0.0023915238142678 0.00144229405413523 0.00260095284943912 0.00165725174308 0.00201222090321726 0.00338375273768611 0.00122556871947702 0.00143498152332123 0.00215294241792124 0.00281923733488856 0.00254688731782608 0.00112044110084288 0.00299657214396394 0.00389651195279183 0.00118700906069219 0.0025991536196892 0.00197077732056783 0.00288891592858856 0.00586209669562076 0.000913755831433254 -0.000483761017989127 0.00282300265173457 0.00186115215892991 0.00288419063892442 0.000962029040146549 0.00229204764664461 0.00285189776692635 0.00126087317364135 0.00222445396657979 0.000428728818744104
"PMMT" 0.00314153769045808 0.0045337378674325 0.00375886387632707 0.00452876131209564 0.00366869888920243 0.0035691833570171 0.00118257435829931 0.00131655648137769 0.00183845335929966 0.00176034910777822 0.000874173568470864 0.00219776095654823 0.0015352392962502 0.00179892610830849 0.00296602684301617 0.0014959281549799 0.00126544378048671 0.00167853555858535 0.00217218129523872 0.00580349400678274 0.00116313253169173 0.00234695438853178 0.002848644163676 0.00142006423487375 0.00263448929221527 0.00120636928587017 0.00130169932386495 0.00471207058070423 4.30213840161843e-06 -0.000558174008442885 0.0020004249407587 0.00128474192142982 0.00228441607305662 0.000995319625056361 0.0021120684370191 0.00225980031727064 0.000833724392210984 0.00163518117477649 0.000975427089137919
"NSLNA" 0.000902590264099989 -0.00141616801166412 0.00105273115076878 0.00289265608330354 0.00165787175606371 0.00118257435829931 0.0142763460256014 -3.08066357904344e-05 0.0010827722291814 -0.000704222057111486 -0.000456050244589115 0.00114215454680134 -0.000614322178620815 0.000363745747432973 0.000978738895908981 0.000313120203129619 0.000667148811490074 0.000261085280471169 0.00170742674811909 0.00134248912163145 0.00212049266764862 0.00143002668228402 0.00352523185009306 0.000818221523159913 0.000389517098970973 0.00245910687434571 0.00150529256142567 0.00208643509767839 0.00144076630144437 -0.00109876879643505 0.00113905592516498 0.00132276069305432 0.00164002878234857 -3.54509338438449e-05 0.00288992029534968 -0.000814620719704367 0.00014871626553453 0.000459277576623372 0.000943346948540622
"NSLZS" 0.00112851437500983 0.0013134863067892 0.00110358287824431 0.00270925079666214 0.00261496198010075 0.00131655648137769 -3.08066357904344e-05 0.00800235060006298 0.0024466081390327 0.00111792430401638 0.00185366311324754 0.00124061728157828 0.00138896153150505 0.00135221981634191 8.92168670417113e-05 -0.000308379211168995 0.000633490176025167 0.00146164647996721 0.00132618793837695 -0.00776834589364302 -0.00273842634992983 0.000305995472986093 -0.00391972397214071 0.00063800077950533 0.00274871391924674 0.00172404148225482 0.00121501680229779 0.00259402875869415 0.00191136403133813 0.00109531668570913 0.00145333774606324 -0.000849179376456113 0.000896894103221788 0.000806091941025928 0.00179307565222391 0.00258007908968007 0.00105945669813992 0.00153437701454059 -0.000446017982848405
"NSLZI" 0.00192418015276055 0.00250222321699845 0.00221644282012554 0.00289769165926624 0.00300584062267974 0.00183845335929966 0.0010827722291814 0.0024466081390327 0.00224012380685315 0.00114705288796785 0.00106361046732281 0.00143212970410412 0.000931373256921674 0.00117835881028127 0.00120600283263206 0.000682295530641415 0.000830110043838838 0.00128332486472761 0.00172642770206046 -0.000170603939853143 0.000517257564804841 0.0014150611562906 0.0021601498728382 0.00042481533921012 0.00156970102579698 0.00128429992801174 0.00142061722278656 0.00344020746553939 0.000216195141269213 -0.000502106254755287 0.00152135532842527 0.000274757672902541 0.00170402927837312 0.000626907963835633 0.00171817787732853 0.00158367949091092 0.000871141521775269 0.00124518424660912 0.000501020540302193
"NABR" 0.00223509124498593 0.00272342952349721 0.00224689743320465 0.00305575094465957 0.0023915238142678 0.00176034910777822 -0.000704222057111486 0.00111792430401638 0.00114705288796785 0.00323076790927649 0.00119388593666681 0.00170945806330019 0.00216800291877705 0.00202628431227893 0.00328034821803536 0.00113472554265223 0.00126686654220051 0.00157663606717602 0.00187303894958948 0.00580971299651567 0.000813926507876771 0.00224376804318624 0.00137469669117806 0.00167282384310604 0.00236954749677244 0.00104296921196759 0.00207018896424786 0.00321327799818538 0.00138855850828979 0.000627535794809166 0.00171902442749927 0.00159066608541932 0.00220455518107004 0.000818458953175672 0.00113545467237128 0.0019451912487867 0.000852094675606868 0.00165372966835873 8.51557485521894e-05
