"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00494235184796643 0.00246560077640736 0.00290718425670308 0.00209188703648946 0.00200323806760396 0.00161448652985508 0.00165262672758537 0.00192854281177492 0.00185287431253653 0.00100354639923419 0.00128510279839486 0.0018672861568387 0.00036014281839533 0.00145575035085096 0.00204793412719055 0.00131392208139269 0.00100019403097877 0.00171474444589613 0.00221168633105068 0.00565037549109777 0.00115982113992933 0.00202331660920223 0.00178922022649365 0.00157805498636541 0.00111356412065331 0.00105924816704547 0.00282998496427014 0.000310079884528898 0.0012138805599317 0.000666841936829471 0.000990311223369741 0.00123517244415988 0.0020169814708729 0.00238019614425659 0.00193796342553665 0.00316298642428688 0.000439856855683818 0.000930732462649455 -0.000269370604970149
"ISNSL" 0.00246560077640736 0.00452281485370667 0.00213068762017836 0.00262797273573719 0.00265756590070568 0.00107755605583302 0.000944923227476532 0.00178355426679471 0.0017481569645784 0.000535876979385141 0.000957921788485131 0.00118137074695235 0.000721055973101357 0.00116232048349978 0.00117697271522661 -0.000359511689095812 0.000228817394158702 0.000792501210508332 0.00169609778186059 0.00376830393295391 0.00143999073206861 0.00181330859923882 0.000793343692486616 0.000798772281842658 0.00152178603335845 0.000248075199107187 0.003482618430842 0.00148560167982367 0.0015482008365933 0.00087820193715751 0.000905775302884424 0.000842659203484465 0.00203879830400583 0.00182495088096719 0.00186263493121424 0.00259467447380675 0.000265778295327647 0.000629279710010441 -0.000146126617383937
"ISPNS" 0.00290718425670308 0.00213068762017836 0.00307747812816161 0.00271972536686974 0.00224043232119218 0.00132077103781165 0.00272748301601709 0.00196564952380706 0.0016994478574538 0.00099613468692399 0.00128790863724733 0.00185734268928796 0.000632757401329853 0.00120797462649142 0.00101218494732899 0.00073218580699739 0.000963632074821936 0.00145865133860259 0.00184368916986724 0.0035716097847885 0.00085086652894397 0.00161963800664974 0.00166105568589472 0.00101414212815141 0.00122377751572782 0.000768303917226619 0.00298190455088778 -0.000651229802146821 0.00162204578632895 0.000419395827110512 0.000914502771937211 0.00123291789936671 0.00166131536252763 0.00213954195132173 0.00173906048821703 0.00248442295023042 0.000673368615410613 0.000898651170496597 0.000108315579897084
"PMZS" 0.00209188703648946 0.00262797273573719 0.00271972536686974 0.00441989846698736 0.00315087423120177 0.00150084146531846 0.00473954187622141 0.00252997581580353 0.0017475742565871 0.00101898795056912 0.00129981707938754 0.00152794938875021 0.000792717295459947 0.00125002430725242 0.00088911438802841 0.000493502024602276 0.000925040509641937 0.00166485725209249 0.0022929497374785 0.00750861756768933 0.000708458358499171 0.0019192485770295 0.00163840784957949 0.000968064853845033 0.00207107262402396 0.000270746963559423 0.00335347483936438 8.93223410885378e-05 0.0022453931108164 0.00130566413848727 0.00103688437327439 0.00113653907183906 0.00245745510730121 0.00255194812743529 0.00238704432843362 0.0026434668488799 0.000804007335455547 0.00124019923163302 0.00065410134460019
"PMZI" 0.00200323806760396 0.00265756590070568 0.00224043232119218 0.00315087423120177 0.00352879656292016 0.00135035669757976 0.00304473530344717 0.00206311874587255 0.00222166767155633 0.000769035138722103 0.00138541658706992 0.00122994630042975 0.000864888258007186 0.00118216848081301 0.000616087804124196 -0.000176944892466029 0.000436383773075646 0.00116244933502342 0.00143978109624309 0.00354056370676765 0.00142636577148191 0.00160756806671821 0.00208690768064335 0.0005601007274747 0.000869897837348905 -9.66519540048241e-05 0.00325087689711357 0.000941986018244046 0.00147617076871864 0.000617623991837423 0.000827997562625587 0.000978132374258412 0.00182997898351557 0.0021213628434188 0.00222162958387179 0.00296160080591001 0.000933809439088649 0.00124067656644308 0.000538136153951793
"PMMT" 0.00161448652985508 0.00107755605583302 0.00132077103781165 0.00150084146531846 0.00135035669757976 0.00150641762886743 0.00151832593294626 0.00109651388622242 0.00111337411067653 0.000624160427708393 0.0007410957639824 0.000757165621121102 0.000314288873788765 0.00062907185590891 0.000793454844564699 0.000205476079382179 0.000345507929595176 0.00088222760400639 0.00132421571968108 0.00364777543246484 0.000502797926211844 0.000807274298302558 0.00133408045560048 0.00113318647614862 0.000873715038485914 0.000472429141965265 0.000674918024023435 0.000580533912622964 0.000658210952852547 0.000624730239121451 0.000376717344037946 0.0010179658689842 0.00118070324470894 0.00102888556508772 0.00122360908645989 0.00157138283181549 0.000608232623246593 0.000605856085909264 0.000407556155779445
"NSLNA" 0.00165262672758537 0.000944923227476532 0.00272748301601709 0.00473954187622141 0.00304473530344717 0.00151832593294626 0.0126868843455802 0.00169984557256219 0.00139561443204204 0.000587089194982876 0.000847621124484278 0.00158205147487675 0.000185074940574293 0.00116099135175899 0.000619983864906741 0.00193258380089437 0.00157027317063657 0.0018542487223267 0.00241743911232797 0.0118992955579063 0.00208743575848748 0.00197773713629189 0.00310542541141517 0.00121598820810854 0.00262805725628186 0.000499551958452364 0.00303728821191124 0.000369529406130469 0.00182999735432678 0.000268277917718493 0.00141012742722603 0.000904131653340251 0.00132383237472645 0.00241715404915738 0.00186217246469615 0.00263958342071129 0.00130946279359932 0.0017029989000317 0.00155954734561848
"NSLZS" 0.00192854281177492 0.00178355426679471 0.00196564952380706 0.00252997581580353 0.00206311874587255 0.00109651388622242 0.00169984557256219 0.00507750462387796 0.0024277241812236 0.00116308764751469 0.00216248783314164 0.00131751434014052 0.000147103912486921 0.000642922777324344 0.00134441978589581 0.00119182109477706 0.000934472904807943 0.00114318931851539 0.00248522912098162 0.0084932660884993 -0.000335109696762633 0.000988779607189814 -0.000613971945928974 0.00066921988131811 0.00233527160813796 0.000775180035695022 0.0026084159284556 0.000494276001914729 0.00153481285812153 0.000326477472522894 0.000952565486455641 -0.000355820393168981 0.00236724977232772 0.0016868194751137 0.00190543551278702 0.00184331392854209 0.000660406696144703 0.00131653766259237 0.000269221672314889
"NSLZI" 0.00185287431253653 0.0017481569645784 0.0016994478574538 0.0017475742565871 0.00222166767155633 0.00111337411067653 0.00139561443204204 0.0024277241812236 0.00249269978750386 0.000795658314132893 0.00141729282917343 0.00105802060892913 0.000259422741726222 0.000513330909151026 0.000866817971984499 8.71257212892578e-05 0.000343030329489299 0.00106819524598387 0.00192373391364609 0.0020905988799599 0.00071304139706612 0.000984231663184153 0.00233874859956618 0.000434258168259274 0.000761117884304297 0.000971745883409446 0.0025228737464074 0.00139501198335127 0.000617152273338279 0.000715917999308078 0.000641621819202205 0.000962287058725455 0.00165362127642769 0.00145081749768046 0.00173373221675475 0.00196713100706976 0.000919860517436166 0.000822737892918855 0.000141020322562714
"NABR" 0.00100354639923419 0.000535876979385141 0.00099613468692399 0.00101898795056912 0.000769035138722103 0.000624160427708393 0.000587089194982876 0.00116308764751469 0.000795658314132893 0.00207305177220977 0.000942309819474108 0.00079447260632417 0.000768758417123556 0.00104691071303299 0.0018803081417891 0.00101178070579493 0.000704532491815187 0.000833680833206685 0.00127588550001995 0.00426516475251189 0.000358917294046601 0.000841191908719632 0.000697083921884886 0.00084018875867574 0.000491390766101537 0.000286421237507285 0.000734374292694274 0.000172920183796924 0.000804265620992898 0.000923637384045335 0.000645256011045881 0.000795070293607652 0.00101829997030135 0.000697940799863182 0.000571697400755339 0.000664432165962256 0.000371178770370122 0.000862677023647702 -4.80159518007459e-05
"NAFM" 0.00128510279839486 0.000957921788485131 0.00128790863724733 0.00129981707938754 0.00138541658706992 0.0007410957639824 0.000847621124484278 0.00216248783314164 0.00141729282917343 0.000942309819474108 0.00223334531464786 0.00111835188748522 0.000635940573444023 0.00069890842682428 0.000486264337202252 0.000620395432625905 0.000568067790819742 0.0007880343988103 0.00121343802839667 0.00297411836021027 0.00059745562393664 0.000625246790803055 0.000654458775584482 0.000569058783854953 0.00119803690052761 0.000281277479906196 0.00166329477243325 0.000323389418609454 0.000857805275737515 0.000678704342759506 0.000931265900949897 0.000380809277900852 0.0012205029018206 0.00125114896705987 0.00153726834775837 0.00139504623635221 0.000669480371019577 0.000411033353788832 0.00021881537968839
"NAPNS" 0.0018672861568387 0.00118137074695235 0.00185734268928796 0.00152794938875021 0.00122994630042975 0.000757165621121102 0.00158205147487675 0.00131751434014052 0.00105802060892913 0.00079447260632417 0.00111835188748522 0.00242670962032184 0.000399667702156883 0.000957761447026969 0.00102741803335428 0.00110175950665342 0.00106176628438402 0.0014556903338319 0.00133288711324227 0.00121020528983331 0.000591119636516229 0.00171899621115556 0.00113168668296794 0.000986648756200454 0.000902558138939456 0.00083537946413354 0.00193972433091872 -0.00036322562256112 0.00145741974090154 0.000429389608548056 0.00101554626250503 0.00158427501773753 0.00102152871548687 0.00134304987879737 0.000993710078857527 0.00144626099735077 0.000707157070892591 0.00069505032316974 0.00030911569807361
"BRPT" 0.00036014281839533 0.000721055973101357 0.000632757401329853 0.000792717295459947 0.000864888258007186 0.000314288873788765 0.000185074940574293 0.000147103912486921 0.000259422741726222 0.000768758417123556 0.000635940573444023 0.000399667702156883 0.00193162863324512 0.00114788825625127 -0.000334452433452915 -0.000890005410803724 -0.000150161101117197 -0.00035813494186777 -0.00111885623907955 -0.00568138337036545 0.000166123233570033 0.000420800430838055 0.000120902757278534 0.000437392358384421 0.000182275767992423 -0.000468593122454048 0.000948072402752453 -0.000705361257413845 0.000615912398817369 0.000200565003684626 9.89673461537672e-05 -0.0002565122005012 -0.000304496450824399 0.000881689872159781 0.000600019276024582 0.00075073868853291 -4.52080358623195e-05 -0.000166563522185633 8.82032711859614e-06
"BRAPET" 0.00145575035085096 0.00116232048349978 0.00120797462649142 0.00125002430725242 0.00118216848081301 0.00062907185590891 0.00116099135175899 0.000642922777324344 0.000513330909151026 0.00104691071303299 0.00069890842682428 0.000957761447026969 0.00114788825625127 0.00193804016772109 0.00116614238332325 0.00127228247648854 0.000821767923084576 0.00073400383359982 0.000823694484637045 0.00490385399984557 0.000820589386728551 0.00140556007050578 0.000347883949084982 0.00116605068593824 0.000545119073688119 -0.000297942651035666 0.00159824921597 -0.000783102869459056 0.000951057736287002 0.000388538234896871 0.000642319719133169 0.000687976995420705 0.000962755485451129 0.00126165363402959 0.00113112583779713 0.00180034210689344 -0.000115897547945458 0.000686338983578171 -9.27839384016966e-05
"PTFM" 0.00204793412719055 0.00117697271522661 0.00101218494732899 0.00088911438802841 0.000616087804124196 0.000793454844564699 0.000619983864906741 0.00134441978589581 0.000866817971984499 0.0018803081417891 0.000486264337202252 0.00102741803335428 -0.000334452433452915 0.00116614238332325 0.00684370598410424 0.00251288187563123 0.00118244154800802 0.000675089505496833 0.00324023634543664 0.018396390003093 0.000184413552082773 0.00199095886532015 0.000572593794676188 0.0024366945237913 0.00149467401348183 0.00132520980614224 0.00171530501544006 0.00216733589733413 0.00129485984731855 0.00137643748320957 0.00121730756607535 0.00239102457868886 0.00221821790998212 0.000151241786667714 0.00105106804052001 0.000316949122021881 -0.000602658145856171 0.00126113530556806 -0.000461421812085586
"PTAPET" 0.00131392208139269 -0.000359511689095812 0.00073218580699739 0.000493502024602276 -0.000176944892466029 0.000205476079382179 0.00193258380089437 0.00119182109477706 8.71257212892578e-05 0.00101178070579493 0.000620395432625905 0.00110175950665342 -0.000890005410803724 0.00127228247648854 0.00251288187563123 0.00499059732640122 0.00241161163508253 0.00191475772389871 0.00273928143713386 0.0192841211117672 0.000845621457961097 0.00160087438572135 -0.000473483797097355 0.00172843651022464 0.000860214427267693 -4.79253171567159e-05 0.000730770669977611 -0.000445155691395185 0.000563534557433655 0.00102449328971833 0.00119105453021335 0.00120002551283057 0.00147095272272782 0.000246383354995641 2.46797928484925e-05 0.000945382625522063 -0.000163658654697319 0.00162703638744644 -0.00032666746465346
"PTBA" 0.00100019403097877 0.000228817394158702 0.000963632074821936 0.000925040509641937 0.000436383773075646 0.000345507929595176 0.00157027317063657 0.000934472904807943 0.000343030329489299 0.000704532491815187 0.000568067790819742 0.00106176628438402 -0.000150161101117197 0.000821767923084576 0.00118244154800802 0.00241161163508253 0.00182781340162175 0.00156634901842886 0.00171778599875456 0.009933420961707 0.000743024751925493 0.00131333067449601 -0.000100119115423543 0.00138332286607877 0.000880928069927453 -0.000256141586661861 0.000999935187211844 -0.000271517620188764 0.00163170069336534 0.000411494131727372 0.0011091170579343 0.00100904866988472 0.00142000598456041 0.00057015764761118 0.00036992455953633 0.000895246589339521 0.000490520500866613 0.000947804861591166 -0.000136892861954716
"PTEAM" 0.00171474444589613 0.000792501210508332 0.00145865133860259 0.00166485725209249 0.00116244933502342 0.00088222760400639 0.0018542487223267 0.00114318931851539 0.00106819524598387 0.000833680833206685 0.0007880343988103 0.0014556903338319 -0.00035813494186777 0.00073400383359982 0.000675089505496833 0.00191475772389871 0.00156634901842886 0.00311050792009076 0.00345518004009299 0.00917605721441996 0.000897976611327677 0.00171648510218767 0.00159305824337078 0.00118236551366963 0.00170987723023865 0.000358720733108806 0.00177126075743037 0.000334063880959612 0.00142383878259396 0.00125546796349924 0.0010936686940745 0.00153918471381417 0.00303311420376817 0.00120622513925976 0.00137204727686231 0.00136395523073781 0.00142031710058652 0.000828390506271938 0.000177806036573755
"PTZYGO" 0.00221168633105068 0.00169609778186059 0.00184368916986724 0.0022929497374785 0.00143978109624309 0.00132421571968108 0.00241743911232797 0.00248522912098162 0.00192373391364609 0.00127588550001995 0.00121343802839667 0.00133288711324227 -0.00111885623907955 0.000823694484637045 0.00324023634543664 0.00273928143713386 0.00171778599875456 0.00345518004009299 0.0078201551816256 0.0205940352028346 0.000227559957549894 0.00219198261841876 0.0024588676784764 0.00214651354922688 0.00330149604873167 0.00186410980840465 0.00257023214322045 0.0015631780196677 0.00122263761873425 0.00174213353705119 0.0017879188155598 0.00218530413807713 0.00628428863453481 0.00156168393131385 0.00288413496017851 0.00119207881814436 0.00148954124338169 0.000945122639519715 0.00010586528567736
