"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00336919148088229 0.00430701871616845 0.00204139264601695 0.00298359838632055 0.00196633864347366 0.00197295741528317 0.000980459195163471 0.00135106369970833 0.00189046488147244 0.00110853016120694 0.00137446888429243 0.0016982493622404 0.00177577723646971 0.00135995343801532 0.000753692760472318 0.000320281967445212 0.0006731139333538 0.000434708016897871 0.000998499222850426 0.000930123714652919 0.00157857811268232 0.00203559833198112 0.00203246181526764 0.00272615297034028 0.00136348600508393 0.000671686465856037 0.000564893975861346 0.00219523811816473 0.00140235571261515 0.00140042468756098 0.00144489219388684 0.00149440451301426 0.00117377489912495 0.00112118365338033 0.00273464122668251 0.000607017522743313 0.0010676723074683 0.00113726406432997 0.000497012582214784
"ISNSL" 0.00430701871616845 0.0102231608383283 0.00495356484278379 0.00724046176572007 0.00502505464304908 0.00287728686746912 0.00123320694596479 0.00231001549123266 0.00333970695921106 0.00145202696429315 0.00222537610957922 0.00301988916787307 0.00205707080883561 0.00158983980343926 0.00234239413758136 -7.50115891226423e-05 0.000521337681679702 0.000291541822942761 0.00127611021097428 -0.00403151059818856 0.00176816034891333 0.003260079375025 0.00366218068457445 0.00315411681158561 0.00320821414487793 0.00348979914124916 0.00287749262990159 0.0044026743802561 0.00255941973766166 0.00371647776992874 0.00239165097242003 0.00245298670865139 0.00224270661195737 0.000528527458942353 0.00302504291491581 -0.000235003351734684 0.00138257796411878 0.00160182046592463 0.00048410790873791
"ISPNS" 0.00204139264601695 0.00495356484278379 0.00383267125636654 0.00446310334036135 0.0036037740273727 0.00195627403927706 0.00212129018403297 0.00210933312920736 0.0023586195109126 0.000362420380593946 0.00134875593859232 0.00251279484069364 0.000412520500561328 0.000433221872988413 0.000353769624969612 0.000172580318010685 0.000817876862934884 0.00122144140633042 0.00136090965627343 -0.00466394081847644 0.00133441999849559 0.00208114374804253 0.00200902238020828 0.00202311854202853 0.00198499368900025 0.00225521393544668 0.00268746922854741 0.00126829371084608 0.00232247624596129 0.00282445488153966 0.00171272918084446 0.00213100477333457 0.00195159425371451 0.000346361937245172 0.00220588631138256 0.000461661561886239 0.00161183798550572 0.00149374453475425 0.000220759557888413
"PMZS" 0.00298359838632055 0.00724046176572007 0.00446310334036135 0.00745583397211259 0.00513505020717743 0.00335017790623728 0.00461936748790271 0.00227131265330445 0.00278793658715987 0.000885810030867413 0.00181307057552754 0.00360473496629995 0.00159643022699057 0.000863519513540745 0.000991394820997753 -0.000307787053214347 0.000464214867418562 0.00100625215144055 0.000745682871229976 -0.00635405746077741 0.00160174039073768 0.00300727559519245 0.00311430010984233 0.0033618837134839 0.00297411201675114 0.00274098584778661 0.00238570155742406 0.00349891032974449 0.00270663614296932 0.0037651156325834 0.00240367288991755 0.00246658759506316 0.00240465257933679 8.60719573126753e-05 0.00185211094841801 0.000326673918361468 0.00150894096876707 0.00168941233817446 7.44773141595709e-05
"PMZI" 0.00196633864347366 0.00502505464304908 0.0036037740273727 0.00513505020717743 0.00486905724707283 0.0024108896575582 0.00285541766933858 0.0022417911857357 0.00312262227063229 0.000608769388217137 0.00145214959015669 0.00312049378688735 0.00155766950910125 0.00111542384373358 0.000786170504963338 -0.000202332316610964 0.000366562172928706 0.00108926057173957 0.000722293415502323 -0.00601833080057162 0.00138248157761658 0.00282369821789673 0.00308322278208203 0.00309437754400949 0.00168230834992072 0.00154188221460168 0.00272566442496117 0.00202837334999356 0.00222889978239201 0.0026223763735004 0.00196532010513653 0.00257838746694715 0.00220473043880184 0.000349112781314054 0.00222590211782681 0.00091116164584566 0.00184226561421974 0.00202258005457913 0.000145884481719464
"PMMT" 0.00197295741528317 0.00287728686746912 0.00195627403927706 0.00335017790623728 0.0024108896575582 0.00238272733458226 0.00273079577773828 0.00117164833596079 0.00163902420185436 0.000621842444088926 0.00113129970252641 0.00204882469320056 0.00172426309381514 0.000925581128786659 5.39336726523212e-05 -0.000245860350415011 0.000281672760896172 0.000532075718137779 0.000397049420773917 -0.00328877717840377 0.00121745171703175 0.00189368701015669 0.00204977268135762 0.00292597403060201 0.00131394745099293 0.000831966662438125 0.000509224240085873 0.00160498627458023 0.00144605179639679 0.00188710533717174 0.00142092908469129 0.00185329867566585 0.00158918213984771 0.000849256260855915 0.00163034575025994 0.0010653400169727 0.00110975537439238 0.00125318614929206 4.91547103160615e-05
"NSLNA" 0.000980459195163471 0.00123320694596479 0.00212129018403297 0.00461936748790271 0.00285541766933858 0.00273079577773828 0.0131665319145499 0.00235422738846441 0.00130248612440402 -0.000585979906769704 0.00143106113587599 0.00398548718732342 0.00104381844760683 -0.000119439672437573 -0.000387869032552648 -0.000444989781702041 0.000130788230100267 0.00158516973740536 -0.000600506299812117 -0.00860312587779486 0.00158672902617891 0.00203262602404012 0.00111291065874649 0.00331478030939625 0.00210478836912521 0.00151571669905093 0.000418016162528013 0.00231184473732216 0.00062031481277089 0.00182854970738573 0.00186706392632581 0.00244533838968695 0.00177046391978561 -0.00191226493165801 0.000847581409601886 -0.000125563801889007 0.00160852578740702 0.00177017470094327 0.00027196009229085
"NSLZS" 0.00135106369970833 0.00231001549123266 0.00210933312920736 0.00227131265330445 0.0022417911857357 0.00117164833596079 0.00235422738846441 0.00503730911939484 0.00194794930328821 9.25523878304781e-05 0.00117864807282968 0.00169576063505592 -6.86617494346386e-05 -0.000297519405206154 0.000474851933043636 6.00618516662578e-05 0.000403057619636556 0.00113823706872509 1.9689386501093e-05 -0.00496514915325922 0.000310378922656704 0.00149678988296274 -0.00202256393590367 0.00129731007160736 0.000478364520021466 0.00061611757278546 0.00148971117715363 0.0012458723990859 0.00172192635387278 0.000305946373258676 0.00111525725217824 0.00186417864109345 0.00072057669092573 0.000216582469737066 0.0024496439934795 -0.000323544769250448 0.00102171069290571 0.00102708153086466 7.49130712978926e-05
"NSLZI" 0.00189046488147244 0.00333970695921106 0.0023586195109126 0.00278793658715987 0.00312262227063229 0.00163902420185436 0.00130248612440402 0.00194794930328821 0.00305795898868673 0.000571821743210074 0.00116917035099637 0.00214956444189341 0.00171491630004047 0.00137631451835245 0.000709366485125781 -0.000331371524966794 0.000313248720530911 0.000672851752530417 0.000714582152358266 -0.00264693883125419 0.00101134822171957 0.00223584576655307 0.00319340635519258 0.00332164055732715 0.000824579576245934 0.000949828317344174 0.00186073474205739 0.000798565196827738 0.0020620391256732 0.00157160379357376 0.00165569815751165 0.00214086252810492 0.00161116323756356 0.000643708222748248 0.00296272415382032 0.00131370577839366 0.00165142061164595 0.001753885768109 9.45821571988672e-05
"NABR" 0.00110853016120694 0.00145202696429315 0.000362420380593946 0.000885810030867413 0.000608769388217137 0.000621842444088926 -0.000585979906769704 9.25523878304781e-05 0.000571821743210074 0.00225905069743709 0.00042600032296253 0.000562434303000423 0.00211256169980323 0.00148464094904702 0.000783474124623679 0.000558043453823867 0.000248024086035703 0.000132838639287184 -2.94022463694672e-05 0.00138835476012163 0.000635104505369928 0.000946565854403111 0.000805326095694959 0.00112171488748463 0.000824411664084605 0.000213281086784299 0.000261291904476032 0.00105338805006898 -7.40905788232748e-05 -0.000125384871096826 0.000499026569139544 -5.8825374719663e-05 0.000199407087512498 0.000355242835959035 -0.000694353108856651 0.000583106599244827 0.000209570321812804 -5.93145794700283e-05 -0.000972812757648401
"NAFM" 0.00137446888429243 0.00222537610957922 0.00134875593859232 0.00181307057552754 0.00145214959015669 0.00113129970252641 0.00143106113587599 0.00117864807282968 0.00116917035099637 0.00042600032296253 0.00111756616428669 0.00144909305790017 0.000699415171885042 0.000504339724654769 0.000626066101833608 0.000174552512419347 0.00035328045036994 0.000422932526006387 0.00077705994372764 -0.000248399029591534 0.00109686321807617 0.00142375721683693 0.00103557440107744 0.00143189226062818 0.000931044382121997 0.000502729124297203 0.000488759911279574 0.0012247641333437 0.000875281868366268 0.000636613435805419 0.000871222007970924 0.00158805822251591 0.000959505584303007 0.000102142370658769 0.00130349966782175 5.22933104337113e-05 0.000751847911157556 0.000880124998337538 0.000133018956906642
"NAPNS" 0.0016982493622404 0.00301988916787307 0.00251279484069364 0.00360473496629995 0.00312049378688735 0.00204882469320056 0.00398548718732342 0.00169576063505592 0.00214956444189341 0.000562434303000423 0.00144909305790017 0.00326498491425642 0.00138070569784671 0.000966415731769977 0.000882176649256891 5.65482639218349e-05 0.000305731202458736 0.000872491186277857 0.000690868066614807 -0.00304994498731329 0.00130618377123302 0.00244273187067322 0.00258520807851858 0.00231477753815573 0.00144157159094493 0.000845084277047588 0.000908382338318601 0.00157912388571631 0.00105387476162594 0.0019598069627117 0.00164350332204152 0.00247243871345455 0.00142982221038955 0.000163634753651713 0.00174111761960465 0.000661547473046334 0.00133118860764284 0.00166058821612607 -7.24907239662052e-05
"BRPT" 0.00177577723646971 0.00205707080883561 0.000412520500561328 0.00159643022699057 0.00155766950910125 0.00172426309381514 0.00104381844760683 -6.86617494346386e-05 0.00171491630004047 0.00211256169980323 0.000699415171885042 0.00138070569784671 0.0054945747006064 0.00298391043618372 0.000312705303291149 -0.00156225887981655 -0.00104550319593796 -0.00125452150209066 -0.00209349989666684 -0.00346953504108213 0.000330554627698926 0.00171651135692953 0.00311524832395023 0.0039476291206144 0.000539680228763658 -0.000416915053929033 -0.000232611384387723 0.00099285535800327 -7.54368153462281e-06 0.000543143387901215 0.00110365703338811 0.000946890516731099 0.000689009953040525 0.00178626599124689 0.00126233330714676 0.00225681510851808 0.000680831656440026 0.00105467336820911 -0.000748350197276063
