"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00751752738453013 0.00398178677708136 0.00518784672381369 0.00289703057122217 0.00325718699326091 0.003221310465657 0.00159536085253915 0.00275790727409165 0.00399947173605235 0.00267696520763107 0.00165604150824442 0.00217051311261424 0.00209716607988117 0.00260793815410379 0.00356603584106819 0.00344116632335178 0.00254222435016704 0.00160656824318517 0.00288336737366281 0.00797377010845934 0.000399329845857751 0.003148749659512 0.00575975913141862 0.00319893385201869 0.000573537620084254 0.00228403653762043 0.00464690566266838 0.00130781494975732 0.00244150625196944 0.00656828157443982 0.00244533325974199 0.0022329467595118 0.00227720537890439 0.00442996841311156 0.00110779126280225 0.00420843028741156 0.000379467364269904 0.00463180123420149 0.00158404324471796
"ISNSL" 0.00398178677708136 0.00866459292592274 0.00553073708384986 0.00769445024462455 0.00575858975617663 0.00310539518577761 0.00408292804943526 0.0022280923527302 0.00373092388205155 0.00297935930489122 0.00128412831643991 0.00275949460550105 0.00121149204928764 0.00226262955637601 0.00510040757153085 0.00301789216291682 0.00209448638113076 0.001947483809315 0.00443433752646024 0.0128912484569797 0.00292670485383997 0.00504777740675321 0.00609439765726412 0.00383686354486195 0.00466039646534018 0.00390071054819995 0.00573378036326617 0.00425900361102718 0.00299911755970726 0.00447141918251771 0.00265768656608745 0.00196164381835323 0.00420230220608015 0.00327922087051953 0.000158060038457919 0.00299690385528969 0.00135036184783595 0.0063095690967335 0.00115930425501568
"ISPNS" 0.00518784672381369 0.00553073708384986 0.00673545425856494 0.00559430178370477 0.00479046744849813 0.00331558891400476 0.00326476026134614 0.00344634148558693 0.00427444991136612 0.00302615328646903 0.00139809650623939 0.00292605207281892 0.00165412440681601 0.0024729892673221 0.0057975105205085 0.00337954383191133 0.00246953901401134 0.00162434555398966 0.00435499445149829 0.0112554220139601 0.00125097848196065 0.00450464723275002 0.00672422358143344 0.00362026136407277 0.00358728770494214 0.00390496634745626 0.0061781995468638 0.00187893113018938 0.00342288230335967 0.0074403145818186 0.0029183628372095 0.00350125410153335 0.00405421424873032 0.00351925215411317 0.00126678709552612 0.00320441168411139 0.000722281498811438 0.00592902853470694 0.000982373143728026
"PMZS" 0.00289703057122217 0.00769445024462455 0.00559430178370477 0.0108444652476406 0.00764536126530413 0.00312039675264303 0.00933629658425326 0.00513628410458243 0.00397063027676279 0.00320584944238635 0.00112919860213118 0.00329007323694132 0.000690481286653453 0.00209944840357474 0.0057572243578469 0.002885537429131 0.00233395165444514 0.00185839293105214 0.00502529490382737 0.0105089348770997 0.00366302048778744 0.00673058164542099 0.00655951632447639 0.00635994747849303 0.00494080820011356 0.0043839850368264 0.00706743051967776 0.00591334173417121 0.00393109389006309 0.00483504627452098 0.00375125672101054 0.00290059202778423 0.00511695742649487 0.00285924493670556 0.000790534792871346 0.00348088527381223 0.000905108378751265 0.00711929063067059 0.00055599416252572
"PMZI" 0.00325718699326091 0.00575858975617663 0.00479046744849813 0.00764536126530413 0.00860446118690122 0.00315231067647456 0.00645347919379427 0.00407630930718217 0.00503719889126261 0.00245756513708844 0.00101715634821986 0.00267994412743155 0.000870234733858449 0.00164674684373883 0.00447783853518398 0.00200899466886628 0.00196156250932029 0.00166383172488478 0.00356782343672226 0.00744726253895952 0.00302515818636434 0.00539611214580821 0.00603704528337841 0.00683790816179997 -0.000760085019285577 0.00236997954287134 0.005701005387225 0.00435015492277142 0.0035529744641527 0.00491964169909436 0.00279969665908683 0.00248285457712281 0.00349211469735007 0.0030264726483261 -0.000516306130527409 0.00365362968479967 0.000153074016923831 0.00627348142934877 0.00035578355719164
"PMMT" 0.003221310465657 0.00310539518577761 0.00331558891400476 0.00312039675264303 0.00315231067647456 0.00348914676456613 0.00157667382127974 0.00173543348159215 0.00244972255278788 0.00157681309107443 0.000886191074449254 0.00129701542757637 0.00142138810472233 0.00163329655013497 0.00234813192598987 0.00169954929189979 0.00158193273179925 0.00117097448577594 0.00202766662781301 0.00581924750967928 0.000122225306484384 0.0022676972804601 0.00368452778729613 0.00258288428345072 0.00117486140298013 0.00125125354694132 0.0026951852226216 0.00158361836679684 0.00201884860646979 0.00407163870100648 0.00158331793394665 0.00184083684652212 0.00148556890548709 0.00270930374826658 0.00115367022347564 0.00232189369643312 0.000885237666290878 0.00281742630930022 0.00106971157464265
"NSLNA" 0.00159536085253915 0.00408292804943526 0.00326476026134614 0.00933629658425326 0.00645347919379427 0.00157667382127974 0.026773961969104 0.00464382031196675 0.00209277007341715 -0.00157190334002226 0.000169836269781384 0.00750663829836274 -0.000637293609119269 0.00174623091709302 0.00306841952704889 0.00471142388324016 0.00265704247380747 0.00140714099878893 0.00355832699310475 0.0135689220138217 0.00648699917396924 0.00545095916950012 0.00354177505808171 0.00570246389002964 -0.00015508631258122 0.00318287229792907 0.00723091065636554 0.00336140848422388 0.00274001820865393 0.00643799769541747 0.00301246783684601 0.00166915898655369 0.00371673389940522 0.000787898728555824 -0.00141692632083284 0.00264716007114596 -0.000797041301861127 0.0053650756936896 0.0019176228851573
"NSLZS" 0.00275790727409165 0.0022280923527302 0.00344634148558693 0.00513628410458243 0.00407630930718217 0.00173543348159215 0.00464382031196675 0.00713611995562512 0.00359420848958102 0.0019383145060832 0.00196965260357009 0.00171752292620847 0.00084256241238923 0.00142401490568216 0.00375585714700328 0.00196966962531022 0.00154128264808731 0.00128134417156695 0.0036084902151367 0.0074163756171176 -9.38078556546072e-05 0.00401964762643938 0.00387513772448505 0.00427618231773703 0.00288098737002829 0.0026525847663461 0.0049946553360885 0.00302748580237902 0.0019169546806862 0.0032746685137274 0.0029575113970464 0.00259482373559548 0.00359934195759299 0.00275544094526312 0.000856503065254299 0.00310207648242823 8.96988307226534e-05 0.00412474560960696 0.000894916037775843
"NSLZI" 0.00399947173605235 0.00373092388205155 0.00427444991136612 0.00397063027676279 0.00503719889126261 0.00244972255278788 0.00209277007341715 0.00359420848958102 0.00599731494011213 0.00250473302035612 0.00212729268016462 0.00284232436595464 0.00171714113311523 0.00222842469670461 0.00554407004751742 0.00209954226152106 0.00199980497492717 0.00167332717335069 0.00470458001461162 0.00782774576657664 0.00207053199402158 0.00452597414416335 0.00837855064060767 0.00462211837001715 0.00144654965992678 0.00414699477099472 0.00471725486461331 0.00286993403329673 0.0034631972626618 0.0061404535348361 0.00304577175408705 0.00316056971144011 0.00461825768344208 0.00361836218221762 0.00140160228723395 0.00347493883709474 0.00101888614828655 0.00650700137147667 0.000909131137590636
"NABR" 0.00267696520763107 0.00297935930489122 0.00302615328646903 0.00320584944238635 0.00245756513708844 0.00157681309107443 -0.00157190334002226 0.0019383145060832 0.00250473302035612 0.00756160029596326 0.000907784031468171 0.000847459336733437 0.00382334381960121 0.00313620687025117 0.00410527448368695 0.00139875924593307 0.00166931753968166 0.00179849669728862 0.00321018359631395 0.00317816602955798 0.00201398393599146 0.00351144351350148 0.00407567039115909 0.0043976256635066 0.00380340557976708 0.00321320754729552 0.0020942161770255 0.00338123050284612 0.00263907607836638 0.0036115976809866 0.00265462365117549 0.00212122306633561 0.00330646274332504 0.00279806068977586 -0.000927252303824093 0.00323647222014152 0.00123261521922195 0.00433585150851732 -0.00101273792320738
