"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00298044728365553 0.00160757655439286 0.00120753763563425 0.000620471005861099 0.000304141365017485 0.00103016879002398 -0.00123582783757099 0.00097337031210609 0.000942501413983702 0.000751197085153987 0.000596213296432413 0.000586189260848313 0.000556901854425545 0.000309816416699492 0.00041061422835312 -0.000589450900144023 -1.03362343672357e-06 0.000402014994661527 0.000783022973106476 -0.00247567313888212 0.000606361466933724 0.000884512265815704 0.000810903195333916 0.00126555501822744 0.000558517086374266 0.000959274517491463 0.000176934325601194 0.000805175393346903 0.000759986093840576 0.00111705602439125 0.00062774425334171 0.00122787878204087 0.000421548607563092 0.00037910825945039 -0.000441162630694381 0.000414134507779423 0.000719737752203703 0.00022622191643366 0.000201845463539593
"ISNSL" 0.00160757655439286 0.00622973603658489 0.00228047324125476 0.00301586371842908 0.00179004987751273 0.000667289128146074 -0.00149435988547189 0.00164766491652109 0.00193214281549935 0.000297445529644279 0.00127314983651668 0.000289388824479179 -4.60720471339559e-05 -0.00044122318382326 0.000906635097026013 -0.000191217954009138 6.51219013405752e-05 -0.000170098598942458 0.000400206401880697 -0.00914659750726469 0.00138970488683472 0.00110145049726552 0.00207159459212605 0.000458455004455659 8.80422682411299e-05 0.00150881764622643 0.00146192049577752 0.000830493303844537 0.000928396533376608 -0.00121472590238206 0.000413125990319579 0.0016889125247762 0.000927681352833193 -0.000467499236335943 -0.000854491592938628 -0.00149180385034169 0.000458089538574396 -0.000244445793183766 0.00150952928619022
"ISPNS" 0.00120753763563425 0.00228047324125476 0.00246504034203729 0.00176510933552957 0.00118657889844729 0.000889388679309608 0.00108399318033885 0.00071993248025811 0.000804099968445178 0.000188270314040568 0.000788317554148209 0.000502146693365626 8.12068432738781e-05 6.40415770355843e-05 0.000750322514376745 -7.64657447447277e-06 0.000364610032187333 0.000621615799689135 0.00090609706326835 -0.00108996496098835 2.15974862043354e-05 0.000548213493470301 0.00151972017980826 0.000162877987057035 0.000759524204716495 0.00129017603172512 0.00140408840420516 0.000138521485435842 0.00083409203117216 0.000678826081283067 0.000439265780899396 0.0014998638908097 0.000736826777083743 0.0001411751705217 -0.000412842060055674 0.000135074864742874 0.000803325172806621 0.000455410977882983 0.000634970079409348
"PMZS" 0.000620471005861099 0.00301586371842908 0.00176510933552957 0.00533845346845586 0.00175880894670967 0.00105332616292014 0.00167889512193208 0.00210316038502892 0.000528766740989454 -0.00016539762273208 0.00134879220571112 -5.90105168517465e-05 -0.000234875161393693 -0.000188297926798915 0.000947233230422636 0.000244111710648447 0.000577288634157447 0.000781549426072234 0.00111828674782933 -0.00757586340764334 -0.00257358501117338 0.000424907913366065 0.000209315482653014 0.000249474786588769 0.00112417662994497 0.00142776366823506 0.00165908608692343 0.00137528422941789 0.00128433834652385 -2.5587157025143e-06 0.000825241671956798 0.00194315179430529 0.00180998560994062 0.00023169280661054 -0.000375023261848159 0.000230160074185017 0.000628799673867937 -0.00030858243077441 0.000145395030721298
"PMZI" 0.000304141365017485 0.00179004987751273 0.00118657889844729 0.00175880894670967 0.0028036688347306 0.000702748452419055 0.000175212093752701 0.000965372818529337 0.00185853202400419 -0.000226560049871746 0.000880281777385924 -5.55804240190363e-05 -9.6687868104307e-05 -9.55833654624026e-05 0.00060841839243873 -0.000367870648385258 4.45432578122339e-05 0.000396975545858621 0.000686176627088119 0.000303707814724404 0.000359663838945797 0.00023807092673948 0.00287989259244986 -0.000137677215001165 -0.00050544974824069 0.0010305833832187 0.00120786263029816 0.00143851373571203 0.000602021562580488 0.000467152248526024 0.000259327687779312 0.00119645543728028 0.000782872727689222 -0.000363303602094744 0.000187381782514963 -0.000135026624239005 0.000659728567791269 -0.000209178485691615 0.000904336099066678
"PMMT" 0.00103016879002398 0.000667289128146074 0.000889388679309608 0.00105332616292014 0.000702748452419055 0.00134135509296896 0.0012851240754346 0.000562436491276365 0.000412190524385094 -8.12887041351006e-05 0.000492160532168912 1.24193558584441e-05 5.58207454669882e-07 -3.39722474833222e-05 0.000625384189756227 -0.000388329333406154 4.5984872865629e-05 0.000236994143422291 0.000595572679648794 -0.00410525169684902 0.0002268807753748 0.000431060680303891 0.00089164200295606 0.000536421776212451 0.000431366822761137 0.000988269594012967 0.000830264737398375 0.00137853766975351 0.000655172408559085 0.000333737812599377 0.000430433912831221 0.00101773764923505 0.000795684457083909 -2.72320379956454e-05 0.000193092996601014 0.000574027268407951 0.00043412102235279 0.000267887792278188 -0.000562065240945787
"NSLNA" -0.00123582783757099 -0.00149435988547189 0.00108399318033885 0.00167889512193208 0.000175212093752701 0.0012851240754346 0.0223591901167604 -0.000545015536586376 -0.00095305278768173 -0.0025380376178766 -0.000432652912289108 0.00200625440669297 -0.000757341633622194 0.000954081568400433 0.000774049745341561 0.00266306104954679 0.00227172608161888 0.00251032047213863 0.00262612211570666 0.00955959613926091 -0.00132647858519909 -8.20666565327025e-05 0.000223524485724375 0.000482935524636242 0.0033670152967714 0.00216112472433915 0.00251115697962356 0.000525275784808187 0.00151531832789566 -0.000933350655543374 0.000709352316364299 -0.00165009560765201 0.00193951794854374 0.000172890317483074 0.00194241403843831 0.00164877681213663 0.000665359082757964 -0.000288047179145984 -0.00194457800306218
"NSLZS" 0.00097337031210609 0.00164766491652109 0.00071993248025811 0.00210316038502892 0.000965372818529337 0.000562436491276365 -0.000545015536586376 0.00211245075425288 0.00117739594066917 0.000250289712380866 0.0010133130241588 0.000263996506203697 0.000239707832592766 4.69623202248336e-07 0.000301112539730234 -0.00035095349984594 -0.00013649204356504 -0.000189670318055695 0.00047464393680059 -0.00515218117807031 -0.000302181927839654 0.00044645441424996 -0.000172992707721962 0.000747812306665404 6.60780483148517e-05 0.000798274774794858 0.000102130792541672 0.000632978457755299 0.000442288388350026 0.00043004117008504 0.000426837700125703 0.0014735142483385 0.000938244715763523 9.58410303518943e-05 0.000140942576788086 -4.72759228790741e-05 0.000335497471569339 -0.000231939799717913 0.000460261499409943
"NSLZI" 0.000942501413983702 0.00193214281549935 0.000804099968445178 0.000528766740989454 0.00185853202400419 0.000412190524385094 -0.00095305278768173 0.00117739594066917 0.00238109442181095 0.000244908064692879 0.00068197877776248 0.00028661131070083 0.000284714859616634 9.83396026430669e-05 0.000556755657690001 -0.000498818999806838 -0.000189655149450713 6.68763808629343e-05 0.000673502779967138 -8.31990491523784e-05 0.00103082147120914 0.000572647741007988 0.00312963257389177 0.000683748117232227 -0.000949317256996494 0.00105610499194556 0.000695368060357544 0.000696935610215508 0.000424878833073769 0.000245719519570826 0.000247310814163095 0.00131406133063202 0.00063308670283375 -0.000279336131884277 0.000307101070558922 -0.000522111706512227 0.000537760523552743 -0.00012673661158763 0.00103660717814015
"NABR" 0.000751197085153987 0.000297445529644279 0.000188270314040568 -0.00016539762273208 -0.000226560049871746 -8.12887041351006e-05 -0.0025380376178766 0.000250289712380866 0.000244908064692879 0.00153862286649515 9.93563216582826e-05 0.000466227658214465 0.000864739872198578 0.000511989397922322 0.00029957709672189 3.76737155591416e-05 -0.000122456698570256 -6.30029739302593e-05 0.000594816711741569 -0.000836154977643956 0.000478519141857473 0.000615746997143396 3.53930762032937e-05 0.000987120129314712 -0.000184106127805075 0.000103096383567569 -0.000457482842466908 -0.000466863819966126 -0.00026970992719188 0.000138633991589509 0.000190945288807803 0.00081602443298682 0.000448555387831539 0.000365486186892353 -0.000652374059731449 -0.00069561982851576 -2.19290130150482e-05 0.000289045104524026 0.0011059094163124
"NAFM" 0.000596213296432413 0.00127314983651668 0.000788317554148209 0.00134879220571112 0.000880281777385924 0.000492160532168912 -0.000432652912289108 0.0010133130241588 0.00068197877776248 9.93563216582826e-05 0.00124810476642985 0.000347945616559027 0.000103268876540745 2.3729704395329e-05 0.000127092517899299 5.61464712753039e-05 0.00016052356850078 0.000372631486904832 0.000534908016374425 -0.00257084778685731 -0.000268911839422753 0.00018210569686796 0.000480162696553608 0.00025436469429767 0.000480096427199333 0.000724552502440955 0.000249437140210746 0.000681999173716467 0.000450923659572158 0.000305885372095132 0.000359197609834642 0.0011978031742951 0.000834816181349215 0.000377248233145306 0.000518466764283844 0.000169090669866061 0.000303040052478875 -7.47200504875283e-05 0.000186654839036998
"NAPNS" 0.000586189260848313 0.000289388824479179 0.000502146693365626 -5.90105168517465e-05 -5.55804240190363e-05 1.24193558584441e-05 0.00200625440669297 0.000263996506203697 0.00028661131070083 0.000466227658214465 0.000347945616559027 0.00201471977050461 0.000236003826617455 0.000479983858771145 0.000759772529336775 0.000317960019727349 0.000295358946870224 0.000839098940817808 0.000825180575772393 0.0039247698661171 0.000340852687206035 0.00102169867929239 0.000189311286993656 0.000725738090084994 0.00086050643498247 0.000227541042528489 -0.000208233389960126 -0.000779270986444729 0.000442132833837273 -0.000159904245201471 0.000663417692951842 0.000969387243506014 0.000608442391175674 -0.000204711035609156 0.000559960231580955 -0.000628020000631817 0.000517325492706804 3.21577739265858e-05 0.000223490805011665
