"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00318934404092341 0.00188950417753605 0.00117468998312699 0.000802837032724338 0.000466998267185236 0.00113613830164175 -0.00112313306982234 0.00108218320378832 0.000964319494084158 0.000691716095345797 0.000614932110944581 0.000502491760265145 0.00042071404997017 0.000391051299868444 0.0010114191186178 -0.000481177771680112 -0.000184967530284077 0.000150889740017086 0.000786713463491415 -0.00379816213602079 0.00020284333233107 0.000860367339111749 0.000615736285497816 0.00152514791032328 3.14510221842766e-05 0.000762823512668804 4.55354483299685e-05 0.00103858235167833 0.00036504405314314 0.00140722097637086 0.000598514344846266 0.00157336723502859 0.000742318467202633 0.000282218593283794 -0.000398579044727105 0.000304850199012519 0.00043477716453747 9.15768965282407e-05 0.000101178629294341
"ISNSL" 0.00188950417753605 0.00643312902713287 0.00213152113596407 0.00314380382215543 0.00209388328774309 0.000889205528045037 -0.00138722658056925 0.00183985725515236 0.00215414591204895 0.000435661511528011 0.00124275369269144 0.000425899814014492 6.76534962497738e-05 -0.000186731871970844 0.0012685429976476 -0.000106649743732101 -5.9583575812477e-05 -1.59960785420603e-05 0.000492906406202598 -0.0087795443634858 0.00108083094295416 0.00116334113188321 0.00215773487170305 0.00100126208218788 -0.000459696700507733 0.00109338142655065 0.00124425217412921 0.000969746457839912 0.000615517490882148 -0.000855100367205629 0.000420787492631668 0.00198915447561353 0.00105896504748527 -0.000446643620015658 -0.00121633905159191 -0.00128652064955482 0.000414456644569611 -0.000271160824949455 0.00131968261706857
"ISPNS" 0.00117468998312699 0.00213152113596407 0.00221709085618606 0.0016199814112767 0.00117883017745266 0.000819676834598357 0.00103883095035256 0.000646848009798747 0.000815746950720537 0.000233575458825209 0.000721044246120701 0.00048283096267506 7.43139097851562e-05 9.89067192905563e-05 0.000895714483620226 7.0223467141014e-05 0.000272775713869822 0.000530921429767396 0.000879796795239041 -0.00105035505312552 4.57504574900488e-05 0.000563195717965934 0.00157436620495934 0.000282454387650874 0.000618810777539961 0.0011274919436352 0.00129629073084347 4.75177226915179e-05 0.000650300032014445 0.000805671618076251 0.000413865012720937 0.00136165199137307 0.000692103365158467 0.000134584421127882 -0.000432904643137899 0.000151001497266185 0.000688115757548827 0.000463713165638104 0.000620964248321428
"PMZS" 0.000802837032724338 0.00314380382215543 0.0016199814112767 0.00517152316678509 0.00179440743344737 0.00114077183530728 0.00219492826363047 0.00254211999333851 0.000816871689756858 -0.000100001545748331 0.0013218511844508 0.000156763555675929 -0.000174762429206218 -7.13887642471709e-05 0.00140297512730024 0.00039425553696491 0.000602484549842203 0.000649034981215415 0.00120352151196553 -0.005331891576765 -0.00245605934809864 0.000480330568918877 -7.38717085874147e-05 0.000479126249238554 0.000662762828842766 0.00127676885305739 0.00151966090025729 0.00174244433961657 0.00116858987968125 0.000145704980696134 0.000791816351541663 0.00222703997617133 0.00156712046844605 0.000525881095184493 -0.000775015014321905 0.000460088390431668 0.000496247845616211 -0.00029131282684934 0.000265855999651184
"PMZI" 0.000466998267185236 0.00209388328774309 0.00117883017745266 0.00179440743344737 0.00312681642206806 0.000790660108842648 9.604783559361e-05 0.000729936302698975 0.00205820858422374 7.61737418788254e-05 0.000924747034640882 9.08195049779246e-05 -0.000100377783258876 4.30525069904755e-05 0.00100017117947038 -0.000214879869973767 -9.08500640957559e-05 0.000430729009194606 0.000870076691899343 0.000563349238543307 0.000739586606246017 0.000462642557413475 0.00354845337235206 0.000342714886609538 -0.000615265496477311 0.000656619902554583 0.00123283253316869 0.00094698515344575 0.000455092224147021 0.00112281903623263 0.000228852549682326 0.00104715096739251 0.000698192610352025 -0.000456115608914728 -0.000191353904783554 4.90940714528484e-05 0.00054258036252683 2.50635847001912e-05 0.0009865347328519
"PMMT" 0.00113613830164175 0.000889205528045037 0.000819676834598357 0.00114077183530728 0.000790660108842648 0.00133397561024432 0.00124635729638578 0.000710102377015163 0.000497232522224974 -6.39618781007896e-05 0.000501193605360063 3.93497247288781e-05 -4.63194635749329e-05 2.40123396945656e-05 0.000794531919069258 -0.000312851247894581 2.32595371682531e-05 0.000163651370813892 0.000626491827699166 -0.00362141040935289 0.000130804243080411 0.000418129407036575 0.000679448880203318 0.000674182234619961 0.000124714272867407 0.000788966567244073 0.000650504346734225 0.00149183806080205 0.000542566697604442 0.000500853104349 0.000382073438848184 0.00117037559250547 0.000808230633903015 -1.36255418844875e-05 8.34674546518637e-05 0.000558249457965632 0.000294798606096886 0.000170934150230605 -0.000533961329831783
"NSLNA" -0.00112313306982234 -0.00138722658056925 0.00103883095035256 0.00219492826363047 9.604783559361e-05 0.00124635729638578 0.0228825407900907 0.00103928426315748 -0.000388280143303901 -0.00242938402897233 -0.000343274063859254 0.00216963971120427 -0.00072325288106412 0.000778815138703936 0.00134503436178674 0.00320211602241426 0.00270503697633442 0.00221888541415477 0.00306748111510904 0.0152043002359942 -0.0012259923907023 7.54284494032701e-05 -0.000748217341611569 0.000221471976576795 0.00317801762331825 0.00264788663392586 0.00246855301905815 0.00149195543820979 0.0018394146117289 -0.000628788126684414 0.000836209764941079 -0.000840458153520195 0.00127915692483468 0.00134337270271047 0.0013791037230128 0.00223929817958458 0.000672604744577097 -4.6922477591078e-05 -0.0013933013603454
"NSLZS" 0.00108218320378832 0.00183985725515236 0.000646848009798747 0.00254211999333851 0.000729936302698975 0.000710102377015163 0.00103928426315748 0.00327300958946713 0.00133140758525746 8.74290268781631e-05 0.00103173498624235 0.000534074107217612 0.000293425597210487 5.31614972506494e-05 0.000987748447003821 -3.48168252525666e-05 0.00019789513817888 -0.000320748570167525 0.000614630636781814 -0.00190244980401821 -0.000982544117114573 0.000382623905461871 -0.00147646326029343 0.00068635007277567 -0.000313565584864128 0.0010002909617421 0.000152397302083707 0.00177010148162511 0.000571679529499563 3.84717788222209e-05 0.000508196017708492 0.002215992481942 0.000684987384522593 0.000876920277095173 -0.000474212040900112 0.000358862602692193 0.000228843927582889 -0.000367059264111123 0.000586716152621036
"NSLZI" 0.000964319494084158 0.00215414591204895 0.000815746950720537 0.000816871689756858 0.00205820858422374 0.000497232522224974 -0.000388280143303901 0.00133140758525746 0.00249653292107794 0.000397946092744003 0.000721661997779294 0.000469863534332879 0.000314327159398372 0.00019190122754493 0.000980987783940469 -0.000240062957898092 -0.00015014938525085 0.000137385738312736 0.00083425343298934 0.00104195163158407 0.00103122718536265 0.000705332249151796 0.00322985593784295 0.000908535773345959 -0.000966163481630375 0.000883254040260952 0.000817695148788866 0.000600062713671456 0.000370779360427853 0.000546589273532243 0.00027693669035832 0.00133202546685298 0.000480115533257965 -8.16021717445433e-05 -0.000193994731431306 -0.000226167928581895 0.000499471242978951 4.4318568212192e-05 0.00114472204958464
"NABR" 0.000691716095345797 0.000435661511528011 0.000233575458825209 -0.000100001545748331 7.61737418788254e-05 -6.39618781007896e-05 -0.00242938402897233 8.74290268781631e-05 0.000397946092744003 0.00153846144547659 0.000170066339342533 0.000498016282042349 0.000813228371380646 0.000514498272380403 0.000579287889855189 4.80006737749584e-05 -0.00023210083217523 -5.57346947980735e-05 0.000560110307703853 -0.000989085252924936 0.000553171429317404 0.000668161200968154 0.000650062097231754 0.00105053833306615 -0.00017790334446767 -1.21810819503173e-05 -0.000196452705575952 -0.00074532113023147 -0.00033301893583072 0.000379730491228174 0.000181597424940511 0.000626883991000409 0.000345109474572696 0.000268138482247693 -0.000840749474399066 -0.000554438620103992 -2.29166143913864e-05 0.000403810045188989 0.00118043270645493
