"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00346641964882409 0.0022995281238831 0.00135271418134079 0.000815246144277298 0.000421737337428541 0.00116937109947652 -0.000876778665311926 0.00107601318101099 0.000978419729341051 0.000746991763256131 0.00035003934012204 0.000614751309487007 0.000398424199111059 0.000413738657640916 0.0014503840970558 -0.000279273930096337 -3.740799002772e-05 9.70261072425799e-05 0.000789360510759312 -0.00374611845532136 0.000432077636255073 0.00108771597038917 0.00046485900526876 0.00155905791289637 0.000353299077152064 0.0006774505397963 5.67985401949438e-05 0.00135757670559973 0.000279570510810575 0.00115600992523962 0.00040124354325591 0.00121929427232695 0.000786538322412404 0.000204322026948459 -0.000289484547295442 -0.000208637224156156 0.000365895435100568 0.00022567468483218 0.000733900664140291
"ISNSL" 0.0022995281238831 0.00685220768648973 0.00234270803088947 0.00288013279303854 0.00181454674598082 0.00099087290219681 -0.00146842531380098 0.00200020159639211 0.00209814564316538 0.000632901480694389 0.00088507566019005 0.000748229962767977 0.000370914457076358 -4.96262245611282e-05 0.00208518883550206 -0.000244566087143051 -9.09885417415379e-05 -0.000303751984435012 0.000289341117318035 -0.00788704421416594 0.00146846991422781 0.00166596284814047 0.00138968364558323 0.00159778188292329 -3.48948850443225e-05 0.000750721553095905 0.00116062825735668 0.00150649359716623 0.000613010202715027 -0.000532854579718169 0.000374510879382499 0.00213957449108527 0.00061071555695279 -0.000267663589576327 -0.00129373908095046 -0.00181032045867911 0.000312494444107478 -0.000281014796282271 0.00172709111516457
"ISPNS" 0.00135271418134079 0.00234270803088947 0.00241138436833874 0.00169852232559979 0.00116842781473858 0.000911379798866108 0.000815046840835109 0.000880738052722979 0.000882205349804274 0.000274612506844474 0.000429255316350356 0.000592025880139974 0.000217222750481688 0.000211253671665524 0.00155630251019729 -1.8666644957479e-05 0.000164330727597564 6.39769288608168e-05 0.000738152522523669 -0.00167290204984385 -6.07459218962386e-05 0.00073153936282846 0.00110919162487851 0.000552048050618598 0.000506087094604491 0.00114975979104145 0.00119575266660379 0.000106030287445031 0.000666064125510467 0.000707137407126567 0.000403643213457646 0.00154503313242224 0.000746556466190144 -2.90889242814279e-06 -0.000553270779977639 -0.000449546365174802 0.000491992228436207 0.000487838654530925 0.000908298656177229
"PMZS" 0.000815246144277298 0.00288013279303854 0.00169852232559979 0.00537664623208857 0.00180292560758092 0.00120108383390208 0.00214639188538804 0.00306216565094149 0.000969330572173265 -4.64279259974403e-05 0.00116092121370628 0.000305894697320167 -0.000219614303996033 -9.11021213377334e-05 0.00161452871473481 0.000376010998739976 0.000504872273474551 0.000363604235338277 0.00121218872470722 -0.00286114275034769 -0.00270583974062153 0.000507359024366202 -0.000469503793412846 0.000912243116879043 0.000477778751890913 0.00138800865425937 0.00136662902910326 0.00187707689285613 0.00102933176479727 -0.000384553754703741 0.000603723699362771 0.00220390892893372 0.00127274243320527 0.00045433868558843 -0.000778895840021794 0.000595111850395178 0.000463887613489364 0.000125834038631003 6.76003315010061e-05
"PMZI" 0.000421737337428541 0.00181454674598082 0.00116842781473858 0.00180292560758092 0.00305928924061435 0.000832222607261799 0.000568210314835283 0.000790602018939716 0.00205100740952427 1.5844799101873e-05 0.000848434169143667 8.32673806103539e-05 -6.31913194991931e-05 2.83444740619742e-05 0.000722456212823187 -0.000240669483355644 -6.1480268753561e-05 0.000264175607815944 0.000911993260380167 0.000326338071559342 0.000258442155677661 0.000238374055513582 0.00347375711863596 0.000564997007678231 -0.00072973709023663 0.00077234567949527 0.00113057240757837 0.000822728697113058 0.000469558655016796 0.000769248777597833 0.000209599171069289 0.000692900169957629 0.00078970129930876 -0.000353428083373866 -0.000469433428702054 2.84446364621725e-05 0.000439948065406366 0.000153082005328423 0.000710386411218602
"PMMT" 0.00116937109947652 0.00099087290219681 0.000911379798866108 0.00120108383390208 0.000832222607261799 0.00128227078413034 0.00118227518442944 0.000784243894105382 0.000560336039988504 1.65156271918381e-05 0.000372286891166067 8.39601868338478e-05 9.44065764846052e-06 3.02844295271855e-05 0.000849560318102256 -0.000299435761482861 1.42110130234348e-05 5.69692854004871e-06 0.000564762161526089 -0.00342633142593808 -3.60453229102844e-05 0.000396692105354158 0.000554224353056081 0.000803503797885693 1.01450621345789e-05 0.000717301033107001 0.000577988016641521 0.001401819532729 0.000478401979463597 0.00033713990468211 0.000319091675777593 0.000987175017942357 0.000769681633895973 -6.22724199686464e-05 -0.000197872355414551 0.000313233157563503 0.000191371880557699 0.000252475776553798 -0.000371601802832212
"NSLNA" -0.000876778665311926 -0.00146842531380098 0.000815046840835109 0.00214639188538804 0.000568210314835283 0.00118227518442944 0.0208720967198304 0.000793064896977673 -0.000169219339329871 -0.00218965032298763 -0.000294765109588418 0.00175054256246399 -0.0008550830727155 0.00059413867276431 0.00105303398820654 0.00322494565404454 0.0026090850561754 0.00192158961159922 0.00302909835658996 0.014223309736198 -0.00133821410257459 -0.000122256546657072 -0.000124698989288717 0.000356854782455896 0.00220224623741564 0.0021995817446189 0.00211190895463514 0.00178778237959792 0.00147063130623867 -0.00117707466725272 0.000688189794780658 -0.000948124749128201 0.00142642730034755 0.001118463145159 0.00115454912787243 0.00232412356214301 0.000527183931254487 0.000303440220372742 -0.00175618774159177
"NSLZS" 0.00107601318101099 0.00200020159639211 0.000880738052722979 0.00306216565094149 0.000790602018939716 0.000784243894105382 0.000793064896977673 0.00372772723962954 0.00142628370898757 0.000130221521700012 0.000950414009226926 0.000700952053386611 0.000244973697319188 3.93657817394106e-05 0.00136079484552724 -0.000102085428748565 0.000105297352374418 -0.000421176549363346 0.000638484868584937 1.58283858850957e-05 -0.00126712532682949 0.00055867591398697 -0.00166614844023383 0.00110167000402115 -7.09481251194522e-05 0.00118346944472422 0.000242454124196718 0.00188048066769264 0.000562156022691756 -0.000290612182596734 0.000362850614786652 0.00224750922471294 0.000376631217900847 0.000829558745419148 -0.00038420649700802 0.000389403168975311 0.000304673423038003 -6.90161705918315e-05 0.000538293778864622
"NSLZI" 0.000978419729341051 0.00209814564316538 0.000882205349804274 0.000969330572173265 0.00205100740952427 0.000560336039988504 -0.000169219339329871 0.00142628370898757 0.00248469900396115 0.000323568947005821 0.000711452204843278 0.000498247245411305 0.000318083822977819 0.000175957935994052 0.000872408803663883 -0.000329333424174642 -0.000141974853881894 8.77550401320134e-05 0.000856549764800727 0.000990389228982106 0.000641041969210085 0.000601398620397357 0.00324911974222715 0.00105131330820305 -0.000647953703834226 0.00106757628525685 0.000817094697003946 0.000618759034466975 0.00040347261683466 0.000406406958583205 0.000213141392970772 0.000869346710242736 0.000462500815345541 2.20453455850673e-06 -0.000247434337829682 -0.000311074943898102 0.000504678457599578 8.33663201865383e-05 0.00109605503362177
"NABR" 0.000746991763256131 0.000632901480694389 0.000274612506844474 -4.64279259974403e-05 1.5844799101873e-05 1.65156271918381e-05 -0.00218965032298763 0.000130221521700012 0.000323568947005821 0.00158076442945137 7.29072516789799e-05 0.000470105248216023 0.000840463239175433 0.000451352006416143 0.000404117929082572 1.60626361995951e-06 -0.000213761746242342 6.19681712771023e-07 0.000310793283298463 -0.000364724745184028 0.000715740541958113 0.000695208698714474 0.000347620694718513 0.000903085183781281 -0.000129928468245334 -0.000301109639297108 -0.00024967101312414 -0.000555456814594331 -0.00038869481077971 0.000358069135084137 0.000103745188567503 0.000317160134355256 -0.000120174366498843 -1.61704975392304e-05 -0.00101399477667265 -0.000691403289637213 1.4595353385891e-05 0.000450592576464055 0.00109966555368945
