"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00315331215005408 0.00106788540049135 0.00132444297905758 0.000918905469231593 0.000651275534322787 0.0007790145063833 -0.000682763481273779 0.000922204258168419 0.000666785042376763 0.000283510125050447 0.000461859238610613 0.000279372193389082 0.000495916330290518 0.000475929296142224 0.000632045908434646 0.000188888133078519 0.000349391758453961 0.000630895980662869 0.00039410744226466 0.00017431093567491 -0.000582400644749621 0.000222404138833613 0.000576156023426937 0.00037604611529653 0.000716563481561547 0.000391550171472081 0.00111419987046396 0.000738691085793142 0.000667647024351506 0.00119820833277018 0.000702953190375741 0.000833135345701076 0.000724799266563869 0.000288942254891133 0.00132130270914049 0.000650939635075456 0.00070222743844301 0.000844149128088444 0.000318605152853253
"ISNSL" 0.00106788540049135 0.00496633143308438 0.00177699976568204 0.00339598908962828 0.00141216435893946 0.00099953272415931 -0.000496621813918054 0.00190171773802685 0.0011675948470976 0.000185873941272622 0.000256393154635387 0.00050266790152664 -0.000111431711640747 -0.000173592290823992 0.00127404385126009 -0.000617498520681101 -0.000192096450900906 0.00027768296240641 0.000661775546864958 -0.000485272816380342 -0.000945417468950429 0.000382489016021667 9.83662009899896e-05 0.000294733806920387 0.000671539991379655 0.000914545922780911 0.0014467518538635 0.000684151615358255 0.00110659302932093 0.0015210051816798 0.000881167882665601 0.00185488238815676 0.00133870264579159 7.4562338554789e-05 -0.000738465609703237 0.00013955606432558 0.000215685112099784 0.000817665314360417 2.28038831345334e-05
"ISPNS" 0.00132444297905758 0.00177699976568204 0.00261915403754167 0.00186122602112639 0.000926061337757656 0.0010135699072307 0.000370871525353236 0.000637159330788379 0.000628433454336879 0.000179250430075334 0.000185084755706768 0.000936087498559861 8.1297059888959e-05 0.000191769115404238 0.00131165719562445 8.44089525405976e-05 0.000292027367169191 0.00037915841257828 0.000716149645596165 0.00197590717383313 -0.000238176245643329 0.000418758008740215 0.000736587196878005 0.000324929380461414 0.000866035442245239 0.00103228734528023 0.000872708355110888 -0.000756218850754266 0.00122902038109373 0.00118034871157655 0.000732584350243089 0.00161301760697947 0.00094775282395181 -7.34220468971791e-05 6.57464939434395e-06 0.000283636733647802 0.000425737952807366 0.000610698666452627 -5.23067559346816e-05
"PMZS" 0.000918905469231593 0.00339598908962828 0.00186122602112639 0.00643351145222874 0.0023345891714925 0.00141304369696438 0.00125395559733504 0.00400880133246643 0.000877670034024617 0.000745863864944456 0.000205039321319302 0.000419834358689672 -2.12575194734461e-05 0.000159603317187356 0.0015525205888731 -0.000135682506311151 0.000187783237385954 0.000723835006780665 0.000854216448471235 -0.0023023948398695 -0.00379511797222652 0.000105479731079785 -0.00276928989727193 -0.000179797761948971 -5.16582397884918e-05 0.000568719530134637 0.00188052858969916 0.000933706862576662 0.00173920120038137 0.00161228897940918 0.00122979268844192 0.00244506953776575 0.00209711365671888 -0.000388680694121615 -0.00111147133472746 3.22670881348645e-05 0.000218436204323466 0.000993878728836196 -0.000605129464402285
"PMZI" 0.000651275534322787 0.00141216435893946 0.000926061337757656 0.0023345891714925 0.00359323594031924 0.000555732413835036 0.00126723480033215 0.00153336458701746 0.00190923341970777 0.000570242891178328 0.000496068584175604 0.000525293986012639 0.000122509038536081 0.000229260074733484 0.00150869431210837 0.0001774679782784 8.48038116362443e-05 -9.25665021621861e-06 0.000335818898116184 -0.00129301159984719 -0.00052319901033677 0.000431185589688696 0.00289359709740463 0.000539965942887818 -0.0006596485139788 0.00019714789501915 0.00146752707695526 0.000473280732593105 0.000755607517172917 0.000758131830832778 0.0010238267372639 0.000847789997680332 0.00100583278512156 -0.000405541165411168 -0.000263803182571986 -0.000215385902139159 0.000124799165642341 0.00087564543239982 0.000233248555788755
"PMMT" 0.0007790145063833 0.00099953272415931 0.0010135699072307 0.00141304369696438 0.000555732413835036 0.00120096972976561 0.000125360077860917 0.000552645430573379 0.000249156275460275 9.35076728526485e-05 4.9628281103338e-06 0.000159788162014788 0.000175299475716089 0.00021357025207756 9.2514883452242e-05 0.000369350366476972 0.000348645398141161 0.000530586186084166 0.000271470906319005 0.000629854570560447 -0.000399673418965945 0.000224041997628229 -4.74240160428084e-06 0.000537656102569895 0.000355900404244498 0.000662971076722634 0.000675563915738308 0.0006138826032904 0.000410928851294217 0.000416329407191799 0.000417619788261647 0.000972924462282474 0.000560198354880344 -6.49866017799016e-05 0.00026776859017991 0.000320273523801094 0.000383732284340429 0.000588094894906023 2.46797258392871e-05
"NSLNA" -0.000682763481273779 -0.000496621813918054 0.000370871525353236 0.00125395559733504 0.00126723480033215 0.000125360077860917 0.0153425753785785 5.749372536014e-05 0.000223692920776647 -0.00150406403555492 8.37346437433806e-05 0.00132979132206501 -0.000880054691389315 -0.000726790076961217 -1.77909278379234e-05 7.25034248247936e-05 3.01093084155836e-05 0.000292899429226105 0.000692308284127364 0.00698049534991218 0.00149960224095428 0.000239305701239788 0.000939660758599424 -0.000192164396758305 0.00027236315661433 0.00141769550342282 0.00029916247342822 8.40091186966182e-05 0.000268601186640368 -0.00136454810751317 0.000106673196685363 -0.000587655939349036 -7.34250062179153e-05 -0.000108281805505503 -0.00181063338436129 0.000530689358184423 -0.000347223931707859 -0.000694382655585551 -0.000962221977907178
"NSLZS" 0.000922204258168419 0.00190171773802685 0.000637159330788379 0.00400880133246643 0.00153336458701746 0.000552645430573379 5.749372536014e-05 0.00491442348851908 0.00104813634485025 0.000745492865725866 0.000519071070400498 0.000467691228596537 0.000192785957191866 0.000206170367159058 0.00163503045068846 -0.000104914308774715 -8.36108392224302e-07 0.000198499492558058 0.000337728353353323 -0.00494239145117203 -0.00379670617904879 -0.000243896038928516 -0.00403810214926756 -0.000102361556153175 0.000205520287023194 -0.000381690804274325 0.00117438375735331 0.000818261652169546 0.00093908534276747 0.00127431831647904 0.000912903744805767 0.0010233124555792 0.0012127090594459 -0.000370441642251395 -0.00070008695023552 -0.00022773317128421 -0.00010938406437623 0.000998338025434188 -0.000155360431093242
"NSLZI" 0.000666785042376763 0.0011675948470976 0.000628433454336879 0.000877670034024617 0.00190923341970777 0.000249156275460275 0.000223692920776647 0.00104813634485025 0.00183035139764561 0.000362813735298346 0.000631300179350686 0.000682837211445079 0.000263203471926248 0.000295131620955023 0.00108504240321448 -5.21726847948561e-05 2.49501289818807e-06 6.88368665406448e-05 0.000660577257823212 0.000302155135736396 2.48369860191606e-05 0.000391676644463129 0.00306824563529162 0.000519824298184116 0.000366944377467486 0.000556941793337816 0.000991206436330509 0.000454716142155063 0.000444896887900983 0.000711466933966058 0.000750455066987554 0.000424836797073378 0.000789381093736033 0.00038340364444534 0.000269790835605525 0.00049175969009719 0.000259984966995155 0.00059046439844769 0.000336934067513333
"NABR" 0.000283510125050447 0.000185873941272622 0.000179250430075334 0.000745863864944456 0.000570242891178328 9.35076728526485e-05 -0.00150406403555492 0.000745492865725866 0.000362813735298346 0.00260232759245419 0.000309932141120606 0.00023789374558415 0.00158897819694803 0.00102080994865 0.000848307668791702 0.000543853962802803 0.000398324356397977 0.000672053800889096 0.000690991261778167 0.000719784994528352 -0.000210528557553996 0.000441189624662722 -0.000406005606869246 0.000293406096113402 0.000232667507845323 -6.41774584984601e-06 0.000855233501749931 0.000871978188210469 5.1619995014274e-05 0.000598911801076987 0.000564927470968638 0.000723950929220598 0.000629168308451497 -2.22420975925784e-05 -0.00086829067821956 -0.000261669040640992 0.00062976752456702 0.000748863065922497 0.000804570708459399
