"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00220198111459288 0.000433139367195392 0.00046448256432922 0.000796153168271758 -7.98644941598937e-05 0.000551777732420191 -0.000100653764120624 0.000772219623663688 2.02616725751199e-05 0.000308876507216762 -0.000335614413631922 -0.000277586983713952 0.000483303929827058 0.000323148822528354 0.000641158050953262 0.000505910515485777 0.000365937240398771 0.000143415734282405 -0.000446207141031868 -0.000754047255749534 -0.00063451605418516 0.00030535941064661 -0.000677291882535049 0.00029980809702174 0.000100315767476185 -0.000584823364234921 0.000375812624321818 0.000838131232733229 0.000317659391505923 0.000674914029570915 0.000231263340017377 0.000562096640105207 -0.000723960986973322 0.000167148248120735 0.00029459861271117 0.000348740704366033 0.000250789828716051 -2.63468579740422e-05 -0.000487509370611537
"ISNSL" 0.000433139367195392 0.00316621660408214 0.000773333782861043 0.00250321273537911 0.00130051149458328 0.00074009548429885 -0.000676520359442075 0.00182530036559816 0.000891502010878417 0.00022430576073826 -1.00516595170939e-05 0.000444742606201594 6.57907949538754e-05 8.23253602377059e-05 0.000484969575781849 0.000476363670807633 0.00043845043127093 0.000581414708949379 -0.000123724290570723 -0.00120216132212681 -0.000598113034939445 0.00047592180554594 -0.000714097835763917 0.000258463038480746 0.000297285218408232 -2.53238091462747e-05 0.000919465866072595 0.00066326699188372 0.000446852346880533 7.99213311060313e-05 0.000988381101545507 0.000548715307119843 0.000681045435263579 0.000363423656616281 -2.18186788389874e-05 -1.42590644237998e-05 0.000462963217353479 0.000368399617343034 0.000451638373720746
"ISPNS" 0.00046448256432922 0.000773333782861043 0.00131901708847545 0.000624450858924709 0.000132092879138352 0.000617875502478321 3.76468264844219e-05 0.000142771962945902 0.000330742053303746 0.000480116695925425 9.59102217356883e-05 0.000642548208500045 0.000576380944526244 0.000335377909685602 0.000459656557660285 0.00022683079850943 0.00023317143006266 0.000105199344957714 0.000321405972864397 3.73237374904182e-05 0.000219184319950486 0.000375864984032251 0.000490701453367113 0.000402960322798686 0.000892204006714526 0.000195697677229868 -2.25705697244056e-05 -0.000286208362168789 0.000137675410922234 0.000194542893621881 0.000262831906238501 0.000477421620290576 0.000200731934285639 0.00094957237035909 0.000646028397987137 0.000462010543804203 0.000248068726484108 -0.000297574314377281 0.000110916393690266
"PMZS" 0.000796153168271758 0.00250321273537911 0.000624450858924709 0.00572018989832615 0.00280493435888418 0.00133831358884701 0.00327058094339906 0.00468942959487415 0.00134166560611722 0.00020191530567815 -0.000400757670122013 0.000467462082047943 0.000159246238998844 6.80691366086981e-05 0.00221229700908745 0.000354425316051487 0.000232120812777898 9.48323945436259e-05 -0.000236914823174829 -0.00483631974181832 -0.00307062458271666 0.000836865482078415 -0.0025942613005928 0.000434302781240649 0.000169162344402316 -0.000402877067102461 0.00224687948631538 0.00224611740102008 0.000762558434961878 0.000137006624874649 0.00149770753368866 0.000404571707325255 0.0007169533466135 3.69714869956641e-05 -0.000387041232589184 0.000190179538427004 -2.66491355521754e-05 0.000320506724287977 -0.000538090015725565
"PMZI" -7.98644941598937e-05 0.00130051149458328 0.000132092879138352 0.00280493435888418 0.00254262395772226 0.000568403645913697 0.00215205792851526 0.00205084719877056 0.0012807854671131 -3.19068168952154e-05 0.000136721077263932 0.000277926264686901 0.000260401924255262 0.000199189458596943 0.000538138906186009 0.000324644259916909 0.000286319315159739 0.00018543191774036 -6.1296055397517e-05 -0.00138262844630047 -0.000880780284421641 0.000549197832694294 0.000160858012893789 -1.26076991882533e-05 -0.000693825756794068 -0.000561206885863998 0.00159594635493852 0.000652150326826101 0.000563198775818743 -0.00017010800909467 0.00081639428073473 -3.10901844518433e-05 0.000106477991175515 0.000202093645730851 0.000317235696619639 9.04867275441007e-05 8.33611495134853e-05 0.000198015164128525 -9.11279121165704e-05
"PMMT" 0.000551777732420191 0.00074009548429885 0.000617875502478321 0.00133831358884701 0.000568403645913697 0.00107633173012142 0.000620867380324813 0.00105370122132177 0.000283859978693679 0.000175756126577605 -0.000184354814033771 0.000202198117989867 0.000359788437173725 0.000161334933101672 0.000421525184133334 0.000493873426875195 0.0002939468222493 0.00015916151283319 -0.000196493601450715 0.000112454372134951 -0.00049010561011655 0.000375815178131484 -0.000657103387105436 0.000712572271573121 0.000330833302479366 0.000273302016343478 0.000577139480664133 0.00083289563751923 6.35442824818947e-05 4.09073766230628e-05 0.000351185895440226 0.000568562735298595 -0.000100372621789027 0.000490872004545816 0.000389256080479551 0.000317440746873262 0.00020129072568771 0.000182947840124633 0.000250025759393663
"NSLNA" -0.000100653764120624 -0.000676520359442075 3.76468264844219e-05 0.00327058094339906 0.00215205792851526 0.000620867380324813 0.0197867950528311 0.00149507244792876 0.000980229434114316 -0.00326147823218332 -0.00111774780139441 0.00144342967425437 -0.000866734513557018 -0.000641432223678269 0.00029594658376969 0.000577109373903764 -0.000277032983661707 -0.000781245709412635 0.000893296660602328 0.00781298640613285 -0.000555352378253984 0.000826663284428234 0.00128460639511023 0.000339603505501167 -0.000531556731040857 0.00125077780194297 0.000386538482692092 0.000450384246585496 0.000869562819370914 -0.00117246065750977 7.95696585458041e-05 -0.00122186825976192 -0.00027276427357 0.00172787937421948 -0.0019100487526135 0.0028339125589737 -0.000717800567952021 -0.000355140987360006 -0.00351354734875435
"NSLZS" 0.000772219623663688 0.00182530036559816 0.000142771962945902 0.00468942959487415 0.00205084719877056 0.00105370122132177 0.00149507244792876 0.00560188066443105 0.0011754721638093 0.000409963938361744 -0.00021155410408097 0.000383473807701851 9.22876195164736e-05 -0.00023106808328522 0.00341364028185022 -0.000151255527279098 -0.000148843469620955 -0.000670936820540481 -0.000813940157519952 -0.00851775498193638 -0.00371647973681998 0.000643147317439259 -0.00448150286556143 0.000748866185716382 0.000444498409564032 -0.000877904505724708 0.0020928347722906 0.00284869199341652 0.000512135559285734 0.000871085637152996 0.00162142134328227 0.000749528370682415 9.3572420800459e-05 -0.000767586850934156 -0.000204526185924935 -0.000511524157223021 -0.000401397030799426 0.000667887933854682 -0.000550400126464956
"NSLZI" 2.02616725751199e-05 0.000891502010878417 0.000330742053303746 0.00134166560611722 0.0012807854671131 0.000283859978693679 0.000980229434114316 0.0011754721638093 0.00142970529005076 4.92720403970084e-05 0.000376314740195339 0.000488382305985115 0.000410095922424133 0.000165785777359891 0.000340748329117316 -5.8976942506165e-05 4.6190401884145e-06 8.27491536495269e-05 0.000249123700350641 -0.0020596309996388 -0.000304435546212839 0.000423578611588475 0.00168523524170371 0.000193392432301209 0.000118579443597229 -0.000116619050340717 0.00106302978714603 0.000591087355948137 -5.46461390702492e-06 -2.79139263982697e-05 0.000431616144952944 0.000403600008560889 0.000493763541539311 0.000551630374511826 0.000348474072965845 0.000287479873957444 8.34200607398268e-07 -0.000367158714686654 -0.0003105921430389
"NABR" 0.000308876507216762 0.00022430576073826 0.000480116695925425 0.00020191530567815 -3.19068168952154e-05 0.000175756126577605 -0.00326147823218332 0.000409963938361744 4.92720403970084e-05 0.00213599137776626 0.000490588944476402 9.40825142341376e-05 0.00128753672597973 0.000915397243969526 0.00108001684024311 7.06252745614121e-05 0.000184677805530023 0.000423674273958356 0.000173653676100536 -0.00127801923796018 -0.000264832412336295 0.000144190001307554 -0.000924830778430603 0.000480658821004378 0.000376393381173023 0.000207872421306828 0.00039504532786728 0.000153010755141648 0.000127911684960827 0.000993871684347415 0.000517488841755137 0.00116637810925243 0.000108038389617994 -5.14782002558726e-05 0.000356400939820777 -0.000538970537051179 0.00056631806920932 0.000197301666048573 0.00103678143196827
"NAFM" -0.000335614413631922 -1.00516595170939e-05 9.59102217356883e-05 -0.000400757670122013 0.000136721077263932 -0.000184354814033771 -0.00111774780139441 -0.00021155410408097 0.000376314740195339 0.000490588944476402 0.000792835266450348 0.000233411233319992 0.000464177541373928 0.000403710399891565 0.00027536337297134 -0.000181766041571449 -4.69905525414136e-05 5.35246012140795e-05 0.000310769208211968 -0.00170009960186853 0.000744209471141955 0.000200173279205574 0.000846428416163406 5.01727171260614e-06 0.000718834720021618 -4.2744174826169e-05 0.000255746713081055 8.77717691664415e-05 5.78729383216309e-05 0.000263901229102524 0.000125485021342634 0.00019060810437917 2.99249199729558e-05 -0.000118366882018453 0.000696235825329907 -0.000177420508911156 8.90356390059006e-05 -7.56431824984351e-05 0.000120133260041891
