"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00441035603707312 0.00238961827701461 0.00170519932456297 0.00260836873441335 0.00184965989765225 0.0018307655935492 0.0052660881836854 0.0020079008735847 0.00122609246942338 0.000512261320705817 0.000471904951837354 0.00204838540458147 0.00097853490330131 0.00132168042343785 0.00102193592156235 0.000965182729928206 0.00150415523584846 0.00143091660296259 0.00118241855012453 0.00291835333246244 0.000115856187978808 0.00160349143255952 0.000256067998350654 0.00116414394976742 0.000921112547719479 0.000879983289165747 0.000930444567392809 0.0034315421317406 0.00139214096564367 0.00022848541703951 0.00152589860006199 0.0012002156586038 0.00115401267997006 0.00031774173972519 0.000802364423887066 0.00121492153251516 0.001607428405757 0.00152109485970772 0.00101327721570602
"ISNSL" 0.00238961827701461 0.00530345597133931 0.00162628254959198 0.00389285237262269 0.00266591501883657 0.00147549306933756 0.00284635198251159 0.0012144445745306 0.00149864257544576 0.000639257297514801 0.00102157606743699 0.00164276246870967 0.000502458650208025 0.000759921987913027 0.00245363738007745 0.000514211170457455 0.000361141040988987 0.000347563650034271 0.00158436018787141 0.00183306272877671 0.00123594675767322 0.00186757753390236 0.00097074614177993 0.000321227509832891 0.00104482548470975 0.00127841425524469 0.00175361538672119 0.00434093609784181 0.000149188974853313 0.000744936177239879 0.00134100291308317 0.00152019225491423 0.00169875221350516 -0.000129172265136618 0.000797029557934445 -1.88715650350827e-05 0.000925057473798343 0.00140650492013667 0.000385040082248821
"ISPNS" 0.00170519932456297 0.00162628254959198 0.00374429782309632 0.00291133099932127 0.0019151836845747 0.00130787721022261 0.00297511121270159 0.00206268318453441 0.000951196446474982 0.000621295712621185 0.000782852445193203 0.00166203600398192 0.000493137862222155 0.00166157749345915 0.00202576031931832 0.000909296993444717 0.00101011162463913 0.00042512582549509 0.00168821944617628 0.00142182608101653 0.000614526147555902 0.00165978162570535 0.000799362718439003 0.000336465138730168 0.00124011200603791 0.00228814936325543 0.00228623339617647 6.82092985183909e-05 0.00149548927009972 -0.000548057492723446 0.0016840408394829 0.00107252217877284 0.00217243197175909 0.000912793561341458 0.00134274912668385 0.000898049624888779 0.000678404443312618 0.001005427941662 0.00118351830926569
"PMZS" 0.00260836873441335 0.00389285237262269 0.00291133099932127 0.00620069343321953 0.00393380441547497 0.0019014379381549 0.00631739283522587 0.00359314927055985 0.00219014105009553 0.000571404559031942 0.00136911503566845 0.00217101789140432 -5.14089784156116e-05 0.00144701982774377 0.0029266235525768 0.00166265560878733 0.00149916561625788 0.00195522626320267 0.00318950344238192 0.00520324030752661 -0.000261082570239599 0.00250877215111324 0.00224766816142854 2.23537717517316e-05 0.00159076202773456 0.00270043458297513 0.00321981514779261 0.0042290543981944 0.00184896766639204 0.00143233942968164 0.00224327149558813 0.00210210276181313 0.00302288508268903 0.000290986811369168 0.00167105643667949 0.000898888817306265 0.00171074873040092 0.00197939816663924 0.000984897771912176
"PMZI" 0.00184965989765225 0.00266591501883657 0.0019151836845747 0.00393380441547497 0.0038972012171142 0.00163752910154731 0.00525715031944905 0.00200889130411674 0.00206836104742735 -8.46834798212523e-05 0.00111063629850537 0.00180530881850053 -0.000448842450332877 0.000587716865042524 0.00151985965869244 0.00155930106573169 0.00104385060615055 0.00139476733842729 0.00231293478417963 0.00443123510514963 0.000856330373160322 0.00165122955972532 0.00225227604162281 -0.000290298214793299 0.000346802678256692 0.00155472389805886 0.00188507622238447 0.00374297611759141 0.000354366048831391 0.000504090245848284 0.00101181646019746 0.00109965148944755 0.0020042357689941 0.000132429541533221 0.00124043139573514 0.000323329832063235 0.000870832748141109 0.00103197355466432 0.000513515557982043
"PMMT" 0.0018307655935492 0.00147549306933756 0.00130787721022261 0.0019014379381549 0.00163752910154731 0.00196243892079394 0.00223059043032715 0.00159447176024491 0.00132136823656826 0.00073009474251809 0.000864816270252042 0.00140014080923855 0.001015356826544 0.00113427957258744 0.00121756489872932 0.000538150874026547 0.000911303117177835 0.000577408026577926 0.000764856156486095 0.00301125255349906 0.000568486915289102 0.00128768711674906 0.000873425042954716 0.00210160245704845 0.00097901401240808 0.0011985087912179 0.000731020639210176 0.00226159954593 0.00142776169181378 0.000394538323547578 0.00134449778512656 0.00151883008934973 0.000741097736308222 0.000736454604939867 0.000721573087213717 0.000979972366626359 0.00107888406884343 0.00146375162896012 0.000834140758726006
"NSLNA" 0.0052660881836854 0.00284635198251159 0.00297511121270159 0.00631739283522587 0.00525715031944905 0.00223059043032715 0.0213702147330786 0.00349278263762479 0.0029487511591777 -0.0010710420589495 -0.000226279446939108 0.00418802995646934 -0.000724061012014819 0.00132275859699688 0.00032787723522887 0.00283806916847237 0.00313325746025159 0.00418735658857731 0.00421679346815163 0.00475313680355608 0.000582781743348227 0.00194528921345086 0.0035947976607718 -0.000221142299909554 0.000688801054114978 0.00340801160173534 0.00297507968262356 0.0056395382168692 0.00338395938751842 0.000588472654553233 0.00208013233416456 0.00137078038600043 0.00400674526935199 5.42306565261847e-05 0.00102992890789602 0.00152528821072776 0.00269962291480113 0.00145418992898476 0.000705770234275333
"NSLZS" 0.0020079008735847 0.0012144445745306 0.00206268318453441 0.00359314927055985 0.00200889130411674 0.00159447176024491 0.00349278263762479 0.00556378906718295 0.00215763098185534 0.000416272519661601 0.00186594216708919 0.00185112904193327 0.000909917700533846 0.00185285713326712 0.00196147662105917 0.00202126766948377 0.00204261376213169 0.0017594163188938 0.00216063454653823 0.00662019501112505 -0.00208179921003563 0.00180617994174677 0.000572025390544088 0.00144411192373618 0.00134683894228578 0.00212381195409461 0.00260235631190447 0.00203752483583677 0.00230432252017475 0.0013741315870511 0.00256040949829844 0.00255714823519793 0.00208153960940073 0.00149224492752143 0.00251791778068202 0.00138050438393123 0.00161925144365771 0.00245388787049682 0.00116871551267813
"NSLZI" 0.00122609246942338 0.00149864257544576 0.000951196446474982 0.00219014105009553 0.00206836104742735 0.00132136823656826 0.0029487511591777 0.00215763098185534 0.00234985037124881 0.000484282013740644 0.00128309042470457 0.00152515639693987 0.000640777321840815 0.00100045989733667 0.00105759670743391 0.000997818906314186 0.00114876187296307 0.00133400685352283 0.00170116852452747 0.00527209978449712 0.000194698051855468 0.00125696257356695 0.00264860309809976 0.00133096172687268 0.00058058884169508 0.00138434562931098 0.00134660165514473 0.00220929302509112 0.00165700006726313 0.000645729250538047 0.00136335409737978 0.00135995143479952 0.00131921742755116 0.000770462567507972 0.00134684117429361 0.000493353554542544 0.00134935566052632 0.00137939390246965 0.000805577704605866
"NABR" 0.000512261320705817 0.000639257297514801 0.000621295712621185 0.000571404559031942 -8.46834798212523e-05 0.00073009474251809 -0.0010710420589495 0.000416272519661601 0.000484282013740644 0.00238008391839045 0.00076105254505843 0.000412081905399094 0.00203697987348661 0.00162715273624165 0.00160371082139118 0.000138832243832998 0.00070500217127845 0.000285488125673521 0.000418529103323621 0.00317730064502488 0.000404871840970033 0.000745294670500488 0.000894901447074641 0.00132778749049842 0.000903474997945488 0.00130319774519357 0.000620929397786533 0.00038764458721082 0.00197715992363397 0.000232729906779619 0.0013899302179245 0.0011844136173353 0.000222446919228418 0.00113082783133341 4.79765194119755e-05 0.000663434088172094 0.00075400725388143 0.000896911437578831 0.00121942439406065
