"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00432887997569956 0.0023446687525822 0.00167118839430704 0.00257313143404982 0.00180698574356363 0.00179365712840221 0.00518789840972363 0.0019911293761246 0.00121863053728011 0.000498165319888411 0.000461760289293119 0.00202956517910774 0.000967458781601035 0.00131346631013636 0.00105068771847839 0.000998481204531764 0.00148912934192905 0.00139778878302491 0.00113354348690849 0.00246375697436073 0.000115694157600937 0.00160141283000344 0.000295981546278386 0.00116979602983548 0.00094453265210315 0.000856932614404175 0.000940330050993953 0.00337258112947854 0.00132098777475418 0.000223658402678829 0.00148346658358932 0.00113223970091036 0.00111623025685177 0.000342828364583338 0.00078772886926826 0.00119231357362888 0.00155174520560903 0.00147451121980397 0.00104052405806735
"ISNSL" 0.0023446687525822 0.00519342624921731 0.00159276300183719 0.00381968491118098 0.00260761071641507 0.00144497874901559 0.00280193196729252 0.0012009772455877 0.00147563635160751 0.000624131949408531 0.000999790760252079 0.00161961590550717 0.000496413514802376 0.000753244245962157 0.00242550655873359 0.000528936727698485 0.000361551398588163 0.000338889624296995 0.0015393428901441 0.00160692992595783 0.00121074800213962 0.00184311650458515 0.000971718822254478 0.000328896553304236 0.00104310468523027 0.00124915069764023 0.00173045580048569 0.00425527453687249 0.000126213240186523 0.000729102861275437 0.00130771946846591 0.0014676141545403 0.00165630146276095 -0.000111240389063416 0.000781232891970954 -1.69246441606262e-05 0.000895133281563384 0.00136979974444131 0.000400116628824382
"ISPNS" 0.00167118839430704 0.00159276300183719 0.00366504873501649 0.00285310811441467 0.0018738255010091 0.00128038864831486 0.00291802770647095 0.0020235614711197 0.000934378360049093 0.000607489621970597 0.000766176888487442 0.00163122066459445 0.000484434816302335 0.00162988025788981 0.00199193145669651 0.000899835840360354 0.000991737450532906 0.000415587955048396 0.00164794468869904 0.00131949897896523 0.00060187402222576 0.00163035030623447 0.000790684791564652 0.000334892534388915 0.00122162608677768 0.00223867065202785 0.00224304067221459 6.93381369327556e-05 0.00145604361099439 -0.000536390382265239 0.00164638010986057 0.00104190939850437 0.00212378077988731 0.00089922050423495 0.00131462732445036 0.000879537411034916 0.000660025455920974 0.00098142465316204 0.00116729930476068
"PMZS" 0.00257313143404982 0.00381968491118098 0.00285310811441467 0.00610196933726293 0.00384466555163587 0.00186400407880523 0.00623846727413218 0.00355923044660181 0.00217406851109467 0.000554007489780256 0.00133981425898447 0.0021654111325582 -3.43453410650681e-05 0.00144885890177909 0.002947115373154 0.00171551318065454 0.00149509408375945 0.00190922867611477 0.00308276965054918 0.00444922788610711 -0.000251753062814937 0.0025079040009022 0.00227419245473189 7.17376888564136e-05 0.0016274220036305 0.00263588564196065 0.00319995689164891 0.00416210303797704 0.00174155595561824 0.00140192046663609 0.0021792081095488 0.0019878198179962 0.00293688639477772 0.00033699229413159 0.00163949464334767 0.000885076166284646 0.00163914030867238 0.00191397716973664 0.00104393437343719
"PMZI" 0.00180698574356363 0.00260761071641507 0.0018738255010091 0.00384466555163587 0.00381517356086207 0.00160219284310213 0.0051362042231807 0.00195917999020088 0.00201935149221258 -8.20231809133912e-05 0.00108703370403029 0.00176024791685758 -0.000441909348258513 0.000569866196188968 0.00147396150794935 0.00151166698748456 0.00101708165214844 0.00136581191293303 0.00227009278227662 0.00444236231441669 0.000837492097385626 0.00160749299001237 0.00219217313953637 -0.000292291393055795 0.000327871137053132 0.00152280687143645 0.00183699692323472 0.0036595649882944 0.000357980282730621 0.000493355689224263 0.00099296489254802 0.00108765197332901 0.00196514515749425 0.000121059199835769 0.00121338503085144 0.0003155799705172 0.000858073648496566 0.00101383549980277 0.000489482622070636
"PMMT" 0.00179365712840221 0.00144497874901559 0.00128038864831486 0.00186400407880523 0.00160219284310213 0.00192095997863254 0.00218818132002076 0.00156441788436487 0.00129603242005342 0.0007140839263638 0.000846400390260576 0.00137404451102891 0.000995207014467583 0.0011131155490942 0.00119919185982224 0.00053473157154524 0.000894446290284996 0.000564722545448745 0.000745044610070859 0.00288863169474528 0.000556734997747899 0.00126506881517316 0.000861608368107078 0.00206142557188696 0.000964601163783244 0.00117236303153546 0.000719894840538814 0.00221557639164687 0.00139118808221235 0.000386149019386119 0.00131440476023493 0.00148018365956239 0.000723356271983411 0.000725536140066026 0.000706583862390656 0.000959605431134614 0.00105272442730422 0.00143048672401656 0.000823673696852274
"NSLNA" 0.00518789840972363 0.00280193196729252 0.00291802770647095 0.00623846727413218 0.0051362042231807 0.00218818132002076 0.0210082491399396 0.00348953842012064 0.00293702159359328 -0.00105700926790075 -0.00022175018238544 0.00416674136063194 -0.000681969596900219 0.00134913462852921 0.000459195198630426 0.00292512396382822 0.00311308948181177 0.00409091638467793 0.00406211864466073 0.00357703212151359 0.000576689485528872 0.00199164516943485 0.00364254776395644 -0.000133121006644196 0.000791962421783565 0.00332364838100285 0.00299307251694093 0.00555802909925963 0.00319821080407872 0.000576046111524615 0.00200857945914196 0.001225383302687 0.00388526439874499 0.000140298389355593 0.0010146872289319 0.00150171278858474 0.00258334842335878 0.0013843047498413 0.000824421653560495
"NSLZS" 0.0019911293761246 0.0012009772455877 0.0020235614711197 0.00355923044660181 0.00195917999020088 0.00156441788436487 0.00348953842012064 0.0054998863953568 0.00215082327513933 0.000400704638232855 0.00182602266870884 0.00186372654928128 0.000911012623464561 0.00185522442089441 0.00202574631880198 0.00209127504598775 0.00203479418259118 0.00171635001797328 0.00206487457568804 0.00565536565445336 -0.00203267098511724 0.00183500772088207 0.00065508163724416 0.00147724846063932 0.00140849001318775 0.00206953957895675 0.00260929814539551 0.00202366920615883 0.00216810474348267 0.00134496691265728 0.00248501111734618 0.00241364864667884 0.00200948027449647 0.00152735090024406 0.00246945896183009 0.00135793662174105 0.0015397013615685 0.0023718259373707 0.00124630640605842
"NSLZI" 0.00121863053728011 0.00147563635160751 0.000934378360049093 0.00217406851109467 0.00201935149221258 0.00129603242005342 0.00293702159359328 0.00215082327513933 0.00232791661220612 0.000469161391215196 0.00125563373016026 0.0015300165730158 0.000641824990933449 0.00100916760659601 0.00111117714717724 0.00105770243077014 0.00114990050026374 0.00130158149542123 0.00162923800303925 0.00456853034699815 0.000194025531326607 0.00127849165696708 0.00266059782472817 0.00134847977284203 0.00063305276051868 0.00134837090352359 0.0013626735781918 0.0021834571475106 0.00155916547816683 0.000632042127906855 0.00131933035965403 0.00126707150423319 0.00127121649963688 0.000802054704914341 0.00132185541656529 0.000487740637988955 0.00128827749680499 0.001328619518542 0.000861975109299838
"NABR" 0.000498165319888411 0.000624131949408531 0.000607489621970597 0.000554007489780256 -8.20231809133912e-05 0.0007140839263638 -0.00105700926790075 0.000400704638232855 0.000469161391215196 0.0023302705831265 0.000744886867774102 0.000396910254358801 0.00199111998649136 0.00158738427245187 0.00155653049647251 0.000121955989000317 0.000685611504366875 0.000280107720170518 0.000415757869386968 0.00321120604391802 0.000395661956357842 0.000721151753297431 0.000864129726392311 0.00129166932547865 0.00087312694204833 0.00127658932466912 0.000600041863772478 0.000375763144887162 0.00194583381186356 0.000227769316084084 0.00136293461937329 0.0011701888273143 0.000221135220326422 0.00109853151501843 4.63257476362144e-05 0.000648480183907844 0.0007435202780979 0.00088150570675879 0.00118085722480225
