"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00552902288522412 0.00351290876438958 0.00298616439420326 0.00186791362230494 0.00168801022074867 0.00129874493127898 0.00303402065359725 0.00155735554821268 0.00108673949541586 0.00126191289057522 0.00170595030063633 0.00272601448257882 0.000115516014874342 0.00112731693181437 0.00306088938761941 0.00123289049455188 0.00169398525497935 0.00140297298183821 0.00249546204451256 0.00538957559682922 0.00265289328289791 0.00255307115945539 0.0006622187598616 0.000541722654388914 0.00317748363271194 0.00289654216429854 0.00376606003739959 0.00315015093854307 0.00323329453538854 -0.000179056031140587 0.00179619683538781 0.00165275308866824 0.00312803883814819 0.00215347990605116 0.000499757979243606 0.00230740137568916 0.000843071714697424 0.00394603898652564 -0.00137995127093882
"ISNSL" 0.00351290876438958 0.00796277783341312 0.0042566537043134 0.00488671939916151 0.00432914026040688 0.00226906217275404 0.00529069506171088 0.00183940933564721 0.00197329073035523 0.000878617111040876 0.002871068161604 0.00338916820071341 -0.000256474823266881 0.000999425765820496 0.00490241022822899 0.00180697239627458 0.00218472726858537 0.00216779609840727 0.00410755556948728 -0.00354273334254622 0.00516349024028014 0.00486560173172338 0.00192682937884362 0.00130449729107444 0.00680608052762936 0.00387356233638269 0.0060626550045637 0.00527725401711792 0.00373323708350813 0.00258929461249864 0.00213683091023802 0.00187777902662379 0.00505718146210404 0.00224589336592776 -0.000920910032368618 0.00100784750603195 0.000692255058502047 0.00300806550576351 -0.000368402126213058
"ISPNS" 0.00298616439420326 0.0042566537043134 0.00324514668079288 0.00295807112746026 0.00241306244310315 0.00171850494755783 0.00490587286455136 0.00118049806383368 0.00127140498747084 0.00063724901476386 0.00178643090064958 0.00283093093769304 -0.000119086056364779 0.000979531461199614 0.00234641449272537 0.00129203775674883 0.00156853634781114 0.00197748841469304 0.00310243368205479 0.00101318434979903 0.00255350209580082 0.00271746987951727 0.00128299713674999 0.00123936670061714 0.00400286158542427 0.00274816809336564 0.00361510415228572 0.00261731365915998 0.00251534505711946 0.000498368289232725 0.0015057035236078 0.00140807592878497 0.00356312628531158 0.00094460043945822 -0.000109104125004928 0.00106076695333332 0.000806326914677983 0.00215306495410658 -0.000674469696495826
"PMZS" 0.00186791362230494 0.00488671939916151 0.00295807112746026 0.00471939062777358 0.00335796121636486 0.00173156149756771 0.00362938267201219 0.00285065965545526 0.00115569675782561 0.000552536818758209 0.00221103357688602 0.00210185501128067 -0.000602071412646087 0.00110903024621374 0.00243315506526502 0.00139514535828847 0.00146538597650674 0.00146718396821279 0.00325126579063619 -0.000869344862748082 0.00262714398832741 0.00316532628110068 4.18958465011288e-05 0.000693344889246561 0.00464769384222216 0.00248614294337086 0.00366750687702095 0.00200968157839115 0.00314676408674844 0.000601425779785576 0.00104436952372274 0.000270165275792687 0.00362379889925521 0.00157702006391618 -0.000665058349719199 0.000625977417059981 -7.93931587356267e-05 0.00163739884097277 -0.000656092805913191
"PMZI" 0.00168801022074867 0.00432914026040688 0.00241306244310315 0.00335796121636486 0.00359804903181577 0.00166565764844133 0.00351552665492175 0.00165283349005104 0.00172294021180507 0.000739666242926612 0.00196303172705136 0.00210995887045142 -0.00017876638839726 0.00109202137990229 0.00288425639663144 0.00121835360362902 0.00136888033736101 0.00135273231108244 0.00299717094073416 0.00220881111824864 0.00253997532903624 0.00281739271451299 0.00176522759129222 0.00111587603189573 0.00272305319883259 0.00244853571696886 0.00324127206896232 0.00245716350818243 0.00282384966142001 0.00155484966762309 0.00128527256564855 0.00123455425898333 0.0031873600971647 0.0017184158209064 -0.000917352874991997 0.00131585801871444 0.000356157237377127 0.00294605492138083 0.000104344230215763
"PMMT" 0.00129874493127898 0.00226906217275404 0.00171850494755783 0.00173156149756771 0.00166565764844133 0.00132579274839694 0.00283677305362589 0.000962068886683735 0.000894613481409951 0.000471083810144492 0.00109404818086058 0.00153452721835609 8.35634359891364e-05 0.000687485885500839 0.0016476532217306 0.000638715857685972 0.000783031658387452 0.000910787437473025 0.00175890669162034 0.00042546539991019 0.00101927669341267 0.00164828251877929 0.000873568375627125 0.00122042368109478 0.00190828756906331 0.00139613307199803 0.0019330518292588 0.00191250037128577 0.00128689917244816 0.000523924173813832 0.000866722008399972 0.00106558274794353 0.00194998132570734 0.000526791230853032 -0.000203827694041781 0.000841302835510659 0.000460345463818199 0.0016552524589562 -0.000235430253117773
"NSLNA" 0.00303402065359725 0.00529069506171088 0.00490587286455136 0.00362938267201219 0.00351552665492175 0.00283677305362589 0.0208364372666773 -0.00434068878786816 0.00174618929216198 0.000177149721365079 0.00113422202632752 0.00563181069266676 -8.78207635007676e-05 0.00278850860114866 0.00181477501916173 0.00372144726463014 0.0027206341348561 0.00321664586639959 0.00525073057380558 0.000200221877123917 0.00321237186350961 0.00218331423156409 0.0064572296059032 0.00338639797477806 0.00531569133282125 0.00415571391407327 0.00410330374888052 0.000430588702697192 0.00221991144233528 -0.000372837121024582 0.000858986487887677 0.00018509709607166 0.00498475765853761 0.000457819366888343 -0.00137171777909473 0.000875801747656573 0.000349308973982465 0.00155772036204453 0.000497301507401954
"NSLZS" 0.00155735554821268 0.00183940933564721 0.00118049806383368 0.00285065965545526 0.00165283349005104 0.000962068886683735 -0.00434068878786816 0.00649466439742286 0.00084499107217054 0.000868585758509056 0.00197581916091385 0.000771857489688825 -0.000187725908795224 0.000171191912084671 0.0017053285171194 -0.000763887043489268 4.64154527005993e-05 0.000540715690076834 0.00126891665537825 0.0038291596753185 -0.000262560505450221 0.00237750671212352 -0.00305720720168386 0.000279924107955898 0.0022349339670919 0.000796619131668281 0.000971065040943065 0.00187509137094092 0.00187422841691274 -0.00028674910601758 0.00111837018643513 0.000993282932690413 0.00159152427521179 0.0010922397118824 -7.56102547049069e-05 0.00167485916947964 0.000712602978960956 0.00383048404450244 -0.000858311846056743
"NSLZI" 0.00108673949541586 0.00197329073035523 0.00127140498747084 0.00115569675782561 0.00172294021180507 0.000894613481409951 0.00174618929216198 0.00084499107217054 0.00169982955438449 0.000307091168059454 0.00117094763166795 0.00139207488790855 0.000207184659060439 0.000126592270500952 0.00130507609177873 -0.000347283717856724 0.000256722355233714 0.001305507119657 0.00142824462160514 0.00180961681180623 0.000899093672723542 0.00141887331406986 0.00252884772435565 0.000913684053633128 0.00072770502051198 0.000935443316453314 0.00218329143343048 0.0010510857751285 0.00111243799939119 0.00188472043488129 0.00117469364865553 0.00155378062483489 0.00142570945640334 0.000642916379738593 -0.000534936005477042 0.00109209140209657 0.00114346369751481 0.00189807123381198 0.000562578683408925
"NABR" 0.00126191289057522 0.000878617111040876 0.00063724901476386 0.000552536818758209 0.000739666242926612 0.000471083810144492 0.000177149721365079 0.000868585758509056 0.000307091168059454 0.00109389400132597 0.000776679364712256 0.000720462652071828 0.000344965456202567 0.000593415363360608 0.00152945905182638 0.000572587343284575 0.000701065925818855 0.000584798028008014 0.00117864510401658 0.0047545645828115 0.000624314554958176 0.000934066726955482 -1.02981629833179e-05 0.000430944878614229 0.000962319027135596 0.00102410795560723 0.000768342132263244 0.00145819683340377 0.00106475395218236 0.0006011450688732 0.000810249395999667 0.000983651030119834 0.000944232108813238 0.000745017639531641 -0.000207682027031589 0.00115853907611445 0.000654455496383418 0.00253497511060377 0.000266199164747836
