"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00552902288522412 0.00351290876438959 0.00298616439420327 0.00186791362230496 0.00168801022074868 0.00129874493127897 0.00303402065359727 0.00155735554821267 0.00108673949541585 0.0012619128905752 0.00170595030063633 0.00272601448257881 0.000115516014874335 0.00112731693181437 0.0030608893876194 0.00123289049455189 0.00169398525497935 0.0014029729818382 0.00249546204451257 0.00538957559682918 0.00265289328289791 0.00255307115945539 0.000662218759861596 0.000541722654388901 0.00317748363271195 0.00289654216429854 0.00376606003739959 0.00315015093854307 0.00323329453538855 -0.000179056031140603 0.0017961968353878 0.00165275308866822 0.00312803883814819 0.00215347990605116 0.000499757979243602 0.00230740137568916 0.00084307171469741 0.00394603898652562 -0.00137995127093883
"ISNSL" 0.00351290876438959 0.0079627778334131 0.00425665370431339 0.0048867193991615 0.00432914026040686 0.00226906217275405 0.00529069506171084 0.00183940933564723 0.00197329073035524 0.000878617111040893 0.00287106816160399 0.00338916820071342 -0.000256474823266876 0.000999425765820506 0.00490241022822901 0.00180697239627456 0.00218472726858537 0.00216779609840728 0.00410755556948729 -0.00354273334254616 0.00516349024028014 0.00486560173172338 0.00192682937884361 0.00130449729107445 0.00680608052762934 0.0038735623363827 0.0060626550045637 0.00527725401711791 0.00373323708350814 0.00258929461249865 0.00213683091023801 0.00187777902662381 0.00505718146210405 0.00224589336592777 -0.0009209100323686 0.00100784750603196 0.00069225505850205 0.00300806550576354 -0.000368402126213056
"ISPNS" 0.00298616439420327 0.00425665370431339 0.00324514668079289 0.0029580711274603 0.00241306244310315 0.00171850494755787 0.00490587286455132 0.00118049806383373 0.00127140498747084 0.000637249014763905 0.00178643090064959 0.00283093093769303 -0.000119086056364793 0.00097953146119965 0.0023464144927254 0.00129203775674883 0.00156853634781116 0.00197748841469305 0.00310243368205484 0.00101318434979908 0.00255350209580081 0.00271746987951726 0.00128299713674996 0.00123936670061714 0.00400286158542427 0.00274816809336567 0.00361510415228573 0.00261731365915995 0.00251534505711954 0.000498368289232695 0.00150570352360779 0.00140807592878497 0.00356312628531164 0.00094460043945825 -0.000109104125004863 0.00106076695333333 0.000806326914677975 0.00215306495410661 -0.000674469696495838
"PMZS" 0.00186791362230496 0.0048867193991615 0.0029580711274603 0.00471939062777365 0.0033579612163649 0.00173156149756779 0.0036293826720122 0.00285065965545531 0.00115569675782564 0.000552536818758309 0.00221103357688604 0.00210185501128069 -0.00060207141264609 0.00110903024621382 0.00243315506526506 0.00139514535828848 0.00146538597650678 0.0014671839682128 0.00325126579063622 -0.000869344862748088 0.00262714398832741 0.00316532628110068 4.18958465011163e-05 0.000693344889246584 0.00464769384222218 0.0024861429433709 0.00366750687702098 0.00200968157839115 0.00314676408674852 0.000601425779785563 0.00104436952372273 0.000270165275792672 0.00362379889925529 0.00157702006391624 -0.000665058349719124 0.00062597741706001 -7.93931587356107e-05 0.00163739884097279 -0.000656092805913182
"PMZI" 0.00168801022074868 0.00432914026040686 0.00241306244310315 0.0033579612163649 0.00359804903181577 0.00166565764844136 0.00351552665492169 0.00165283349005111 0.00172294021180507 0.000739666242926659 0.00196303172705137 0.0021099588704514 -0.000178766388397275 0.00109202137990232 0.00288425639663147 0.00121835360362901 0.00136888033736103 0.00135273231108245 0.00299717094073421 0.00220881111824873 0.00253997532903622 0.00281739271451298 0.00176522759129218 0.00111587603189573 0.00272305319883257 0.00244853571696889 0.00324127206896233 0.00245716350818241 0.0028238496614201 0.00155484966762306 0.00128527256564854 0.00123455425898335 0.00318736009716476 0.00171841582090643 -0.000917352874991923 0.00131585801871446 0.000356157237377127 0.00294605492138087 0.000104344230215753
"PMMT" 0.00129874493127897 0.00226906217275405 0.00171850494755787 0.00173156149756779 0.00166565764844136 0.00132579274839699 0.00283677305362595 0.000962068886683762 0.000894613481409951 0.000471083810144527 0.00109404818086059 0.0015345272183561 8.35634359891191e-05 0.000687485885500886 0.00164765322173062 0.000638715857685998 0.000783031658387484 0.000910787437473024 0.00175890669162037 0.000425465399910085 0.00101927669341268 0.00164828251877927 0.000873568375627106 0.00122042368109477 0.00190828756906334 0.00139613307199808 0.00193305182925882 0.00191250037128574 0.00128689917244822 0.00052392417381379 0.00086672200839995 0.00106558274794349 0.0019499813257074 0.000526791230853059 -0.000203827694041742 0.00084130283551067 0.000460345463818167 0.00165525245895617 -0.000235430253117793
"NSLNA" 0.00303402065359727 0.00529069506171084 0.00490587286455132 0.0036293826720122 0.00351552665492169 0.00283677305362595 0.0208364372666773 -0.00434068878786812 0.00174618929216199 0.000177149721365103 0.00113422202632749 0.00563181069266679 -8.78207635007616e-05 0.00278850860114871 0.00181477501916178 0.00372144726463008 0.0027206341348561 0.00321664586639964 0.00525073057380561 0.000200221877123877 0.00321237186350961 0.00218331423156406 0.00645722960590319 0.00338639797477809 0.00531569133282123 0.00415571391407331 0.00410330374888055 0.000430588702697132 0.0022199114423353 -0.000372837121024582 0.000858986487887634 0.000185097096071649 0.00498475765853764 0.000457819366888345 -0.00137171777909471 0.000875801747656607 0.00034930897398241 0.00155772036204452 0.000497301507401933
"NSLZS" 0.00155735554821267 0.00183940933564723 0.00118049806383373 0.00285065965545531 0.00165283349005111 0.000962068886683762 -0.00434068878786812 0.00649466439742286 0.000844991072170558 0.000868585758509108 0.00197581916091387 0.000771857489688834 -0.000187725908795227 0.000171191912084702 0.0017053285171194 -0.000763887043489224 4.64154527006276e-05 0.000540715690076813 0.00126891665537825 0.00382915967531845 -0.000262560505450211 0.00237750671212353 -0.00305720720168386 0.000279924107955899 0.00223493396709195 0.000796619131668296 0.000971065040943079 0.00187509137094095 0.00187422841691277 -0.000286749106017588 0.00111837018643515 0.000993282932690392 0.00159152427521182 0.00109223971188243 -7.56102547048819e-05 0.00167485916947965 0.000712602978960992 0.00383048404450243 -0.000858311846056725
"NSLZI" 0.00108673949541585 0.00197329073035524 0.00127140498747084 0.00115569675782564 0.00172294021180507 0.000894613481409951 0.00174618929216199 0.000844991072170558 0.00169982955438447 0.000307091168059435 0.00117094763166796 0.00139207488790853 0.00020718465906042 0.000126592270500949 0.00130507609177873 -0.000347283717856712 0.000256722355233718 0.001305507119657 0.00142824462160517 0.00180961681180619 0.00089909367272354 0.00141887331406985 0.00252884772435563 0.000913684053633103 0.000727705020511983 0.000935443316453333 0.00218329143343049 0.00105108577512847 0.00111243799939122 0.00188472043488125 0.00117469364865552 0.00155378062483487 0.00142570945640336 0.000642916379738592 -0.000534936005477029 0.00109209140209656 0.00114346369751478 0.00189807123381197 0.000562578683408899
"NABR" 0.0012619128905752 0.000878617111040893 0.000637249014763905 0.000552536818758309 0.000739666242926659 0.000471083810144527 0.000177149721365103 0.000868585758509108 0.000307091168059435 0.001093894001326 0.000776679364712286 0.000720462652071792 0.000344965456202527 0.00059341536336064 0.00152945905182639 0.000572587343284619 0.000701065925818893 0.000584798028007994 0.00117864510401664 0.00475456458281144 0.000624314554958174 0.000934066726955462 -1.02981629833683e-05 0.000430944878614192 0.000962319027135619 0.00102410795560729 0.000768342132263259 0.00145819683340373 0.00106475395218247 0.000601145068873118 0.000810249395999645 0.000983651030119798 0.00094423210881332 0.000745017639531675 -0.000207682027031518 0.00115853907611445 0.00065445549638338 0.00253497511060376 0.000266199164747799
