"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.0148783384748075 0.0139198666853128 0.0135121896737366 0.0151726887154003 0.0136218013586567 0.0115076197750302 0.0153739428585114 0.00924283842070103 0.012058581570967 0.0068488693181825 0.00825282648498595 0.00859382771798196 0.00309165174719917 0.00478629224790074 0.0122137318243232 0.00613837617435852 0.00621756003918086 0.00821298899841147 0.00957500192412399 -0.000361154695389785 0.00960946533663158 0.00958679317319821 0.0150322555673393 0.00857257583250395 0.00873023761064018 0.0100333210820232 0.0117110122205878 0.00928898409970601 0.0076029644628329 0.00957702034418978 0.0110487644686654 0.00884239057074135 0.0105034764693766 0.00477610061775068 0.00171839676559719 0.00694307872093566 0.00608676120649256 0.00933100313639294 0.00484669645807655
"ISNSL" 0.0139198666853128 0.0187454680966757 0.0160490161128308 0.0204469870331415 0.0166051273919849 0.0127447065831879 0.0157563864597228 0.00971744110251326 0.0125515296744961 0.00803640764704011 0.00862521621915466 0.00879568319391397 0.0029713597009596 0.00563988542901504 0.0130415457528073 0.0073002317948907 0.00690092482768943 0.0095374884234847 0.0130389902243262 0.00283950352593 0.0112599725534857 0.0109133053576802 0.0152356056133709 0.0084306477948097 0.0121228089437999 0.0115804983078514 0.0152618720872072 0.0107341488012904 0.00718798651155257 0.0105582427700338 0.0122866514917134 0.00974378060249749 0.0134486513380283 0.00591272717652517 0.000594940737010415 0.00849501071845042 0.00609988573981641 0.00936314555390502 0.00563495169238248
"ISPNS" 0.0135121896737366 0.0160490161128308 0.0174835495592171 0.0200392695117802 0.0166945444636677 0.0138143601050122 0.0197929245933047 0.00959800497028974 0.0123971417753572 0.00806213279692749 0.00809226514864853 0.0104760416487217 0.00364928599837251 0.00599686561112485 0.0127102218981432 0.00875004552464859 0.00814700973074789 0.0105640323070862 0.012053343182695 0.0043796508378416 0.0107666853403062 0.0113930282583666 0.015409047212572 0.00949296258744309 0.0123705564133487 0.0119453952008147 0.0151659249616364 0.00904595760614054 0.0079767734642146 0.0101436138322599 0.0122154395646041 0.00987580379415682 0.0127615644360205 0.0061847070986476 -0.000897663099791423 0.0085103493934523 0.00706095531790574 0.0107408218620924 0.00593241084868135
"PMZS" 0.0151726887154003 0.0204469870331415 0.0200392695117802 0.0271631569257256 0.0212781297919713 0.0161760872156311 0.0256430017516035 0.0123536420330865 0.0148366729452502 0.00962814618462953 0.0097930379179367 0.0111656552678418 0.00314030314547989 0.00705416831141414 0.0155289875131337 0.0105530562577894 0.0096516168302956 0.013398009172992 0.0161752904436857 0.00546945594681003 0.0114360341558442 0.0131032589483278 0.0180899829783495 0.0098081128653093 0.014826801433994 0.0143271294243839 0.0194045707994337 0.0126579381318862 0.00967758117654627 0.0129720122522227 0.0146641542132716 0.011271140771075 0.0159303966121579 0.00698044498278787 0.000863286514302506 0.00966157407036475 0.00842538995300111 0.0128724565533334 0.00666542338056315
"PMZI" 0.0136218013586567 0.0166051273919849 0.0166945444636677 0.0212781297919713 0.0193677967964564 0.0143062027125982 0.0199886968697215 0.0102396801605308 0.0140285454115429 0.00857270478888889 0.00864562830281245 0.00947190551622468 0.00284123770886664 0.00622998265255208 0.0129596869606947 0.0094932711636721 0.00847802069534245 0.0118462358253198 0.012878698590089 0.0103881623359598 0.0113476379342371 0.011102590181408 0.0178248608978594 0.00928494505350053 0.0104154713830018 0.0114113921651576 0.0150711591011722 0.0111484866960965 0.00835383679236823 0.0108994600054807 0.0123457166494089 0.00948394399154951 0.0124289384937282 0.00495901490374139 0.000798100000347892 0.0075610861737965 0.00768439397500183 0.0109542233807981 0.00606330876367171
"PMMT" 0.0115076197750302 0.0127447065831879 0.0138143601050122 0.0161760872156311 0.0143062027125982 0.0125133357125304 0.0156299852131475 0.00815757512903265 0.0109330663097313 0.00714494233152041 0.00709246525677736 0.00891034164792998 0.00293469250188402 0.00516561532752066 0.0106686610352384 0.00803082232467 0.00738614588683542 0.00953807365328568 0.00974865183606756 0.00920284036159329 0.0091206689295265 0.00927783934224002 0.0136945730802333 0.00842949681554463 0.00840424605077426 0.00994749196301369 0.0117174361012285 0.00848714572052004 0.00712943794588166 0.00957870032949381 0.0103233184226294 0.00917618382452471 0.00984557206758946 0.00465126813730015 -0.000605978137061845 0.00680725331238397 0.00644349200011972 0.00928807533496336 0.00442760845676442
"NSLNA" 0.0153739428585114 0.0157563864597228 0.0197929245933047 0.0256430017516035 0.0199886968697215 0.0156299852131475 0.041949594592386 0.0112232812103852 0.0137758688070853 0.00792093498945841 0.0086347909239286 0.0118569057255166 0.00333514732138825 0.00767400831470345 0.0129292859149837 0.0114997482840009 0.0109023115723187 0.0138508079194956 0.0153641158134191 0.00613550269054692 0.00920964740314325 0.0120950825951335 0.0182796943969079 0.0123988551082059 0.0150888426387654 0.0140385848434964 0.0177357624528729 0.0118638655963481 0.0116574033161721 0.00945314674616624 0.0128854964854024 0.00764209070187953 0.0153762399178495 0.00775090614113326 -0.000757377844889876 0.0106344206354274 0.00925622553283212 0.0138975455878673 0.00435201504244184
"NSLZS" 0.00924283842070103 0.00971744110251326 0.00959800497028974 0.0123536420330865 0.0102396801605308 0.00815757512903265 0.0112232812103852 0.0122663027103389 0.010261865832159 0.00614114260374687 0.00736148235152468 0.00701848300532112 0.00291100543236154 0.00407166588118321 0.0114247855460444 0.0044675445723836 0.00437068620116963 0.0048885402533451 0.00675422275766982 -0.00419511812518936 0.00465650082898601 0.00671684378720297 0.00756249848208683 0.00559887679216824 0.00580541542205454 0.00754392703577088 0.00933846698193249 0.00750048239407318 0.00488391808074623 0.00736233445472424 0.00864520413756364 0.00771855371500879 0.00809093047438388 0.00442023734451973 0.00237701971522253 0.00468051953119565 0.00347283669244737 0.00669576736941407 0.0042137109424512
"NSLZI" 0.012058581570967 0.0125515296744961 0.0123971417753572 0.0148366729452502 0.0140285454115429 0.0109330663097313 0.0137758688070853 0.010261865832159 0.0129894916704027 0.00736624729045986 0.00800894801412182 0.00860224839900277 0.00316881087025854 0.00486400420184344 0.0133173643430779 0.00650816939751134 0.00620619653642887 0.00775594975607924 0.00876408124157888 0.000102046253966781 0.00890742541607539 0.00923449036886482 0.015676378907277 0.00776014396166644 0.00719080327082518 0.0100028563526147 0.0117882085610109 0.0092677194420662 0.0068325844101442 0.00967871318283815 0.0109085479586477 0.00890883573814717 0.00975125296684628 0.00424738115134422 0.00264509208010337 0.00567643225892695 0.00553292222859029 0.00873402758136005 0.00495686236907599
"NABR" 0.0068488693181825 0.00803640764704011 0.00806213279692749 0.00962814618462953 0.00857270478888889 0.00714494233152041 0.00792093498945841 0.00614114260374687 0.00736624729045986 0.00610562477032923 0.00481982278576197 0.00552216794422529 0.00276460168347909 0.0034820953132286 0.00734230983939334 0.00481646062888438 0.00447114735558439 0.00559156981191771 0.00655126973598212 0.00399744548673531 0.00551018299525681 0.00584304202296978 0.0082575334233082 0.00582258274818508 0.00390898844041876 0.00680332647291344 0.00767795130644196 0.00494596505314425 0.0039292725503127 0.00690164697639799 0.00680645897558089 0.00665088129213767 0.00717811101536988 0.00304821220779431 -0.000746323854608951 0.00385208256676098 0.00359457852103895 0.00548764373289256 0.00348070045267902
