"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.00394228880894992 0.00209373423592962 0.00168588550632186 0.00145066134638477 0.000853462675021029 0.000965761632152309 0.00150717556792783 0.00139768467953076 0.000936136775844444 0.00107980418195636 0.000598977792946498 0.00110321033158094 0.000664619236328922 0.000952975268528 0.00158822287497768 0.00114163446623738 0.000659838308663694 0.00102511269939893 0.0013365844180818 0.00399522183711217 0.000886894270522591 0.00166231404949016 0.000500750861303774 0.000797119529073252 0.00066759936674645 0.00169153474884175 0.00101711144065825 0.00210821621504559 0.000217825426501847 0.00047926256480192 0.000915207756842626 0.00115761839863342 0.00148343615848875 0.0010573762855647 -0.000690818286885813 0.00141737145110779 0.000554106721074 0.000597650573026227 0.000108742669031718
"ISNSL" 0.00209373423592962 0.00585894538234684 0.0029868782129829 0.0038218444496928 0.00221778237090895 0.00103060974482494 -0.000401805741527192 0.00200016797631692 0.00150312780844473 0.000739187311187492 0.000816986974552293 0.00201655090046271 9.37802696479458e-05 0.000445327643210593 0.00304819299039489 0.000547007626125198 0.000552126428903005 0.00108776042134613 0.00207711531348092 0.00180980368291258 0.00122537674714221 0.00214919126387811 0.000174737350589061 0.000401006992068872 0.00180517300474837 0.0019925801490901 0.00205989320012926 0.00101201691665047 0.00131217568959082 0.00146009715024617 0.00176626465139674 0.00211074150451856 0.00184335764533568 0.000823570262002391 -0.00044678100453922 0.000273004236196933 0.000698080096468675 0.000707356708085099 0.000920745138081914
"ISPNS" 0.00168588550632186 0.0029868782129829 0.0032918511996671 0.00246064150193731 0.00139861314970135 0.00104343134505394 0.000454796980521737 0.000988388695431569 0.000676471541067523 0.000753127046482384 0.00059335033671083 0.00185825177009425 0.000735244600621338 0.000735404123251535 0.00207351498944109 0.000321917925838764 0.000375828155527197 0.000533099354491218 0.00116701377256435 0.00122277725881979 0.000771351976042098 0.00163808480040472 7.69630774857842e-05 0.00101633280904584 0.00209050593735098 0.00228933458247011 0.00126576540887222 -0.000653263730223997 0.000693154519652556 0.000106121958871874 0.00116911341047527 0.00153756623904237 0.00178121759552626 0.00121410564505532 -0.000363352079405011 0.000928872658439315 0.000525275851117726 0.000408064304626916 0.000877962816032909
"PMZS" 0.00145066134638477 0.0038218444496928 0.00246064150193731 0.00472378429160555 0.00270437430180608 0.00143339346205251 -0.000314275667541835 0.00204449040386945 0.00131648997092128 0.00129596891706256 0.00111487201654577 0.0014507674542627 0.000185672170819673 0.00069441670114065 0.0026395710254303 0.000431374595435994 0.000626892583781768 0.00133516617892868 0.00217423780531913 -0.00025218043071088 0.000698690216000583 0.00197015955643813 0.000210296848826136 0.000739923695860814 0.00131946665223822 0.00273343737708253 0.00180770129559276 0.00159855169052818 0.00196247651769934 0.00241340649325472 0.00164378604646782 0.00275741192600177 0.00259170528659126 0.000761474593954366 -0.000559437525744529 0.000688376456065047 0.00101423879346837 0.00107649569287354 0.000858275232799472
"PMZI" 0.000853462675021029 0.00221778237090895 0.00139861314970135 0.00270437430180608 0.00301230425989713 0.00102649742492919 0.000497469650541602 0.00187032520274564 0.00184636168767993 0.000682097653163321 0.00105421477219335 0.00098384117365318 9.48291429802429e-05 0.000369980396646438 0.00068217379829963 5.77346281801547e-05 0.000382223657150659 0.00111325090206299 0.00101336396024876 -0.000370126299328867 0.000611817487428879 0.000805644141012115 0.00151585011673135 6.20520420799934e-05 0.000265333637410041 0.000923466514114304 0.00113843937252603 0.000946039720930799 0.00130785865998214 0.00122342572106416 0.00105780936773554 0.000728641872396845 0.00105279305051024 0.000255636456741048 0.000119502556031517 0.000234986571767152 0.000666777007567029 0.000718180722346269 0.000533152714048054
"PMMT" 0.000965761632152309 0.00103060974482494 0.00104343134505394 0.00143339346205251 0.00102649742492919 0.00126002187787412 0.000343109960551741 0.000883564950029716 0.000643552027489092 0.000493544508001083 0.000554131126099375 0.000611711721924338 0.000281717597411727 0.000365319487726673 0.000824120171225447 0.000372728764800959 0.000370032981923641 0.000358529970050549 0.000558022098207795 0.00198867323135264 0.000244100805035601 0.000639541525456354 0.000394209037813132 0.000704104764678813 0.000293962645390143 0.000821925459017733 0.000697570389767213 0.000955029298200383 0.000626528171738638 0.000661788046017024 0.000785276344105215 0.000978053763736938 0.000928055720924068 0.000424384386801632 -0.000251931374084336 0.000440677089644502 0.000291211548160674 0.000427788912773898 0.000554507960797003
"NSLNA" 0.00150717556792783 -0.000401805741527192 0.000454796980521737 -0.000314275667541835 0.000497469650541602 0.000343109960551741 0.0216089913382301 -0.000841327288650667 0.000352209019156489 -0.00272242903158394 -0.00160353924866225 0.00154123988831474 -0.000646590625275462 -0.000688556516300346 -0.000262797976790303 -0.000759214265511411 -0.000173687622828559 0.000193213387493435 8.96191676209922e-05 -0.00159062955800963 9.43146650044759e-06 -0.000955609555566791 0.00184000641417884 -0.00097475352534612 -0.00136799036920454 0.0012721316681891 -0.000700645836414136 0.000505914230018335 0.000118920024486137 -0.00154499016215182 -0.00108336259715481 0.000359206566623662 0.000745580883555362 0.00201866209746719 -0.00039026009264332 0.00105340018637703 -0.000456352286502858 -0.00131839466187404 -0.000843532187726783
"NSLZS" 0.00139768467953076 0.00200016797631692 0.000988388695431569 0.00204449040386945 0.00187032520274564 0.000883564950029716 -0.000841327288650667 0.00437698729619846 0.00163026186459859 0.000889589673564788 0.00135672006207476 0.00126888964884477 0.000716556102030945 0.000734709708289956 0.000803170133517099 0.000439190027187186 0.00039425568419516 0.000772523009868528 0.000300464553473156 -0.00104933540848394 -0.000261851011383683 0.00104808342117883 -0.00184840183602631 0.000183178619644475 -0.000695387649535731 0.000883187334510947 0.000806913038930347 0.00135041780471585 0.000652463350582884 0.00140400317378966 0.000876540234938364 0.00124173481101019 0.000381817501740507 0.00100521484114544 0.000479944336425507 0.000493870752383196 0.000511033015109518 0.000645743954498641 0.000860138304136047
"NSLZI" 0.000936136775844444 0.00150312780844473 0.000676471541067523 0.00131648997092128 0.00184636168767993 0.000643552027489092 0.000352209019156489 0.00163026186459859 0.00193882205751951 0.000472112560972065 0.000812443071359733 0.000994263689301687 0.000413044466628855 0.000262314753731109 0.000116474915925227 -0.000100304099500788 0.000363360293188371 0.000885107224938874 0.000247442538928702 6.28099472847216e-05 0.000361385029605373 0.000553649343982809 0.00204791948045397 0.000110398654692933 -3.60408817586312e-05 0.000416770076681583 0.000944937834427883 0.00106506584426001 0.000854953998665759 0.000682461306198768 0.000928126839130354 0.000178870270531277 0.000288070149588775 0.000435090678639095 0.000185483869958629 0.000371336604986 0.000582361400234991 0.000468604019319482 0.000399212978434038
"NABR" 0.00107980418195636 0.000739187311187492 0.000753127046482384 0.00129596891706256 0.000682097653163321 0.000493544508001083 -0.00272242903158394 0.000889589673564788 0.000472112560972065 0.00258868665928927 0.000940909278327924 0.000391743820349454 0.00174312923357851 0.00133392171555086 0.000948099121983375 0.000745532828872799 0.000695466518292237 0.00119260517218455 0.00105753297646928 0.00231835282530011 0.000566741312074527 0.00126454568651213 9.84826931552253e-05 0.000537629173088931 0.00051855572348051 0.00170659445808206 0.000961259942400047 0.00113417360132364 0.000815355258640288 0.000906365283589658 0.000771877209237996 0.00121591391291421 0.00152657790585274 0.000918214401033929 -0.0011800353225512 0.000688740270713116 0.001018107555583 0.000783865100901617 0.000982216118115657
