"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.00545132833698 2.05161321015677 3.25472704205537 2.4673243386137 1.73951396925634 1.90584998100929 1.47881067924989 1.37169787592238 1.32615972740277 0.914059844534614 1.02677839394491 1.53046451112357 0.515161597990274 1.08159422076816 1.0152245520266 -0.0251067429024796 0.290948125974062 0.344964039367478 0.681076734217685 0.147160248073708 0.469066374150856 2.06783952074645 0.464915542678848 1.12440357197003 1.63821625612948 1.03727148101925 0.814631946071514 0.484331574538995 0.923772823317043 0.515130651272169 1.34549673820611 0.944116196205516 0.723684825997619 0.594165165993186 0.179526447209128 1.24333834414664 0.714811016254983 0.728370668905403 -0.0715583944822489
"ISNSL" 2.05161321015677 6.52462630012243 8.38273006984148 6.58743094816791 4.51910021373705 4.69162757591865 3.05977375267946 2.24704543737122 2.75806013788887 1.10954480622755 2.03250426532828 3.20384579003938 -0.0181424620832295 1.95723203601991 2.72601949397926 0.671284307795275 1.2365278151726 1.09423483390586 2.71856244120848 0.750188968677781 1.66762840786948 5.73052488749155 1.34379366487727 2.45696134180629 4.70971280729169 3.81888852749686 2.59316681703969 1.87316846933935 1.94448905374313 1.16632041568666 3.04625406503255 2.50713254804178 2.49293242037202 0.934227625798832 0.704926642065253 2.82498599545807 1.78575055689845 2.33847782844638 -0.219626416085306
"ISPNS" 3.25472704205537 8.38273006984148 13.8680677652535 10.5682814757632 7.58294123578718 7.92481293048223 5.75189142542624 4.2261502672971 5.08152240932038 2.55162481041761 3.95031784108769 5.9190017536248 -0.183566242400371 2.95678071485769 4.31347895928529 1.12102802661319 1.79396698483685 1.95947458186014 4.49639135588872 1.4831663585132 2.56982377081143 8.7884314263405 2.69263774876082 4.43609046674972 7.38488670979676 5.61637285996998 3.97996035692166 1.84859243047679 3.1243214513004 2.07883973600961 4.9518861455384 4.05430667092049 3.73982463170584 0.135695365420513 1.57612175200544 3.78464114811508 2.95262891552506 4.10996241244772 -0.589339859420315
"PMZS" 2.4673243386137 6.58743094816791 10.5682814757632 9.30609832200027 6.24326737793169 6.95580628955663 4.93705188830418 3.86421522767955 4.10633844369454 2.43187183846298 3.12514877576298 4.3579268447101 0.0186831312462883 2.74219353806002 3.47897925492378 1.14468510662252 1.3873693605846 1.58065836278914 3.58657699840567 1.02958096528219 1.8018791893372 6.85789843126796 2.08755075732183 3.50749658049783 6.12421211893692 4.23228793755867 2.94269738633789 1.82448866278671 2.59560756654986 1.78124103017536 3.97201248887552 2.9092305036083 3.01299861558636 0.346021741306272 0.974403378461522 3.19946865954761 2.47007751897638 3.60559073434899 -0.370255028373427
"PMZI" 1.73951396925634 4.51910021373705 7.58294123578718 6.24326737793169 5.4084277731139 5.25279472557596 3.22292054327921 2.70378900899926 3.70863321403434 2.08633600239989 2.54625587812969 3.06179516133129 0.377521780652361 2.1976635571219 1.9868081583062 0.526816060322057 1.22286654928565 1.28070606422953 2.26003698303297 0.815576792022414 1.29884755628233 4.44500620234124 1.86581810345879 2.27000547754964 3.32470025562048 1.98347023143869 2.17784752210104 0.908612957629222 2.4134618233278 1.46468766933187 2.76781003271094 1.59080170270353 1.75470269016388 -0.26171829880807 0.095867753958016 1.69432552547294 2.03667268000027 2.7182938254494 0.00231194506193824
"PMMT" 1.90584998100929 4.69162757591865 7.92481293048223 6.95580628955663 5.25279472557596 6.21024311515282 3.63780697320265 3.15078902287764 3.44867580624182 2.27701154220978 2.61976416533239 3.3763602390872 0.729562210218758 2.80827174252417 2.1664953140152 0.692378624172829 1.19555006495425 1.23076612671943 2.26200971752643 0.999272335353768 1.23402984787124 4.811563625211 1.55846510093057 2.96923738376626 3.86937291061104 2.35879177197679 1.88048579226483 1.05656020286491 2.49014546249925 1.64220197773714 3.3695585427019 2.09620931799796 1.66385188757736 0.626146724542407 -0.345032003479056 3.02909209903073 2.26372592725775 2.9404879784771 -0.104997382168926
"NSLNA" 1.47881067924989 3.05977375267946 5.75189142542624 4.93705188830418 3.22292054327921 3.63780697320265 5.10859565457485 2.77195285228803 2.77143263357572 0.844823205659042 1.39373751437163 2.33970808642993 -0.128445566466023 0.588474296965884 1.56591461287957 0.0302693350808867 0.331994684759245 1.11021822142175 1.57356116487759 0.0585455211370809 1.25464662982068 3.51135127011197 1.5026534440064 1.70398808441411 3.13283354205864 2.20852823791368 1.49123679988371 1.28104432623329 1.26264037196139 0.727678257649078 1.52905858541186 2.20560660786158 1.24899075102448 0.603174518085072 -2.0606332937398 1.98084978201823 1.23728616831993 0.728522270134093 -0.3451993012197
"NSLZS" 1.37169787592238 2.24704543737122 4.2261502672971 3.86421522767955 2.70378900899926 3.15078902287764 2.77195285228803 3.66095683857636 2.56028266320624 2.19434842024053 2.07009712368264 2.76695730534745 1.19902461807549 1.51024281687727 1.66607711176554 -0.2012484154854 0.521275231698279 0.637951114850216 0.526150577623468 0.0553796116977917 -0.21902088699714 2.35098423965008 0.131919796460871 1.47570519670101 2.34065287060972 0.968057700356176 0.754602134195823 0.878332138713552 1.84901417953532 1.0318537345546 2.05828277920849 1.31312429524622 0.429819252845196 1.12129460363533 -0.701115076705166 1.46452690326764 1.4401372504322 0.628408035224885 0.0982286050912378
"NSLZI" 1.32615972740277 2.75806013788887 5.08152240932038 4.10633844369454 3.70863321403434 3.44867580624182 2.77143263357572 2.56028266320624 3.40633902013802 2.20908305714102 1.98459721708605 2.51509056685519 0.632182514561846 1.1331433251699 1.25093197223206 -0.197441360443542 0.579371695340711 0.84356459813805 1.14038862500764 0.0866689691079674 0.788386937409122 2.92511829147956 1.68311698444348 1.37829737438153 1.87828260493998 1.17428130142483 1.27868971649636 0.619030651153583 1.66589035130225 0.921740706264195 1.63627190463726 1.41439095448168 1.04484320240037 0.0361222301613111 -1.00703110670231 0.93599582586803 1.58499440229678 1.08445470225964 0.155698535434167
"NABR" 0.914059844534614 1.10954480622755 2.55162481041761 2.43187183846298 2.08633600239989 2.27701154220978 0.844823205659042 2.19434842024053 2.20908305714102 4.38027916060296 2.05318201988781 2.22208104314077 2.13460654466441 1.96472577491832 0.522843414593308 -0.03263284305983 0.947589859863075 1.08234185957571 0.41619654633235 -0.0479731018055105 0.230930791322984 1.97169374897109 0.843637831925162 1.18310126524039 0.92861583371395 0.393334481663423 0.414094810447156 0.0289590482180151 1.57529930268585 0.833776424597639 1.84133786030873 1.01033188922393 0.299207952595892 0.777657160761329 -0.737696525690755 1.15315069339516 2.10468130424153 1.0034172707277 0.407652838312509
