"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 1.58768666433517 3.35898800674882 4.16966437942181 2.74572580439389 1.35618801509199 2.08330187222098 0.159933275937053 1.50596466103134 1.54938902935414 3.39002357770521 1.58861786287552 2.62047491630701 1.67389857209784 2.462121815666 1.29165809168042 0.846453992564819 1.52215011317663 1.27080615016072 0.905438583984092 0.242233608328971 0.0444889920119475 2.08898991617581 0.360021820250267 1.25155137431091 2.64935248952499 1.19402477440166 0.991301511435889 0.403804888163347 0.65144835454111 0.328525657017365 1.00022557541089 -0.348552796352379 -0.401216868868153 0.187816602981875 0.888002904052109 1.42702212278955 0.636361060572538 0.559052910058248 0.370297850411498
"ISNSL" 3.35898800674882 12.2185861127314 12.5615204866308 8.39357870342381 3.85134930837077 5.72965129983774 -3.49200048936579 1.77675183355456 2.02286201071127 7.95005074051674 3.68305320597133 6.4505524201614 4.52183797028964 5.85996140579195 4.18827783678273 3.17098886656303 4.01015612959852 2.60321118784188 1.71544098100792 0.198034748100252 0.127554872066897 5.91552385075912 0.810427433745653 2.79347671522385 8.07480374723805 3.44831823035345 4.03446202869193 1.15226483402649 0.766343882248283 1.38491244865811 2.74002692260406 -0.051873030727175 -1.21245160468862 -1.31185386325733 1.01503286748144 2.0998082933311 0.941922573205373 1.75383836456089 0.286621096292505
"ISPNS" 4.16966437942181 12.5615204866308 17.5936198850371 9.32743372718366 5.26405583208577 7.53655689990622 -5.06475558458057 2.8870264242188 3.7140530256807 12.6204940442126 5.40540172997659 9.29115835512831 7.03992503519941 9.47130950780431 5.0469131730039 3.47326497117131 4.87256878084501 3.19410741345009 1.01097388615548 0.361101501135318 -0.467307180747429 5.5471078677314 1.8741229575569 2.48191731555897 9.04065126646336 3.57367085012153 4.04536072781409 0.114910819659704 1.07878877882792 0.97753044909271 2.78714865606598 -0.496660688321614 -2.53337831325033 2.09914175599245 3.19342015079668 6.18489232386521 2.09933290507267 2.01740334194842 0.0343013606624276
"PMZS" 2.74572580439389 8.39357870342381 9.32743372718366 10.4908417326858 6.92918409959644 4.63379113656221 1.84943349626677 3.80124192623444 3.60735433022976 6.33280377120472 3.10439771993365 4.09716623111139 1.47594001106667 4.59806441254634 1.42991797992217 3.66867456962122 3.08879237476946 2.92873901773197 3.93741784649312 1.87156872493752 1.066005848822 4.95422660890451 1.18747452764153 0.983398100411495 3.17965337648901 2.87441099242108 4.01698304923997 1.66664394994243 -0.58883222745466 0.756323724283373 2.66815724611451 -1.06988462747457 1.15455100720965 0.258342443466718 0.188832337864968 4.31753185791795 1.25911917788865 2.19565496588146 0.287072881999484
"PMZI" 1.35618801509199 3.85134930837077 5.26405583208577 6.92918409959644 6.19045460312142 2.78159484131133 3.27293218375091 2.77430276405621 3.59573820303021 3.79344668339871 2.26443259316949 2.40473965316311 0.190878926977753 2.64972404870811 0.135230285218706 2.95610448099879 2.1549770803212 2.48806894652024 3.39574931095435 1.91262466202836 1.67177654197959 2.94154392408576 1.64341099886548 -0.0429546542646192 1.53394203154414 1.63090291153032 2.81971588677355 1.22121329253354 -0.515738183760611 0.329301030430576 1.59702280264656 -1.38035434719285 1.55816991734102 0.827390074100041 -0.666257183650992 3.69172187765783 2.01355226074852 1.64195745957955 -0.177217578778812
"PMMT" 2.08330187222098 5.72965129983774 7.53655689990622 4.63379113656221 2.78159484131133 3.56093356580558 -0.86851051441123 1.78726309571941 2.25505898991108 5.40946571258266 2.654834387198 4.34461396967709 2.93518877092126 4.13602799839221 1.97246551403951 1.61902914029179 2.40074304726907 2.01512557416332 0.982173450263281 0.184302945148377 0.205303907639155 3.29350884386584 0.933466257495039 1.52320010112466 4.22703060357359 1.9343629717449 2.15961487916014 0.462045606917778 0.701960392446204 0.549767201539636 1.58718625238572 -0.266266435094817 -0.874281032634884 0.445524695281635 1.48372373503536 2.55744431151046 1.39843463266117 1.12939229179426 0.292325409404245
"NSLNA" 0.159933275937053 -3.49200048936579 -5.06475558458057 1.84943349626677 3.27293218375091 -0.86851051441123 10.8132294667157 2.84197733228932 3.76895837491699 -2.76370675410978 -0.22665222044853 -1.53386835051889 -2.36635299494587 -2.24103247469485 -3.93159853747545 0.346427882870533 0.196474832949767 3.30145048944585 3.9931576672553 0.826262002231361 1.97418896856519 1.30502968130635 1.32899770385959 -0.161987775882314 -2.98924777894832 1.10225904473974 0.473035618173081 1.58930314904546 -0.206078347748261 -0.343815680838659 0.345753724356298 -0.697351212459759 3.34767093763766 -0.193799847817736 -1.35414661286731 0.240296725765081 3.40313164766461 0.930282802952061 1.46363107029439
"NSLZS" 1.50596466103134 1.77675183355456 2.8870264242188 3.80124192623444 2.77430276405621 1.78726309571941 2.84197733228932 3.42698017184199 2.87605360252951 2.54795512930824 1.95266808951893 2.48482370669751 -0.220124069418819 1.84753285745788 0.577442885328787 1.33560835125495 1.65179455698593 2.09165326860435 2.10546871927676 1.71555919850941 0.427481701230967 2.30447405155765 0.268237193611918 0.503937021288888 2.24426496632676 0.994418534158762 0.994359983166149 1.12004857779035 0.669843942856309 0.404849367013693 1.56337010604838 -1.1714836356862 0.827760193506155 0.415436761059005 1.23768832746605 2.28593210752835 1.7123934095658 1.87090120722202 0.453029148137326
"NSLZI" 1.54938902935414 2.02286201071127 3.7140530256807 3.60735433022976 3.59573820303021 2.25505898991108 3.76895837491699 2.87605360252951 4.2037258960188 3.76883121891323 2.44264893607236 3.14863148545243 1.3852672162166 2.78909731793137 0.420875855338923 1.80651672264971 2.40113503031184 3.25401314094533 2.20229247349105 1.55135368851693 0.9758248038908 2.23515999584779 1.8375116576711 0.729341398903087 2.81132004498062 1.61057483861137 1.34906047982372 1.08461550988395 0.695525092030384 0.249619380190862 1.28662179010336 -0.784365685654082 0.556766911289678 1.13600172017977 0.545228659732733 3.07955852300177 3.34890381899678 1.96711915423078 0.618433351680267
"NABR" 3.39002357770521 7.95005074051674 12.6204940442126 6.33280377120472 3.79344668339871 5.40946571258266 -2.76370675410978 2.54795512930824 3.76883121891323 12.6775708764246 4.28495741097568 6.72808698468779 6.57990669398612 8.06651735987695 4.00892952622249 1.46367643326857 3.61802308658506 2.09234643799853 -0.0750530312029544 -0.139601859323218 -0.347014570176302 2.86186054500733 1.62495583337076 1.99736031991757 6.08605419915149 2.84349285369476 2.51807536148756 0.0326311801451025 1.30203641419872 0.282722807682821 1.9706887591495 -0.426658590473971 -2.77855438862751 1.76095435037472 2.62504552550868 4.71201993434808 1.21142064932864 0.994952513085779 0.0693799736009117
