"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 2.91837692535521 3.07975473162992 7.3325955616551 2.49151669972698 3.58761385216809 2.07141986136525 2.58372466190325 2.16757305022908 3.90657769806435 1.57124788272242 1.17239068504087 2.25377900295969 0.725994329308165 2.12595919295908 1.12884040903148 1.69072607092459 2.05061040703566 1.84083223709801 1.73615659465428 0.247754973263527 0.288916196725272 1.7535976525838 2.32563475008485 0.380063235437666 0.336855313479038 1.53921309354556 1.67820899408622 0.466179025358621 0.748837838038827 0.479143768805176 2.08035763064786 1.21020935768644 1.20896232712758 1.52287870975687 0.982168970978665 1.44822788771015 1.74480327654868 1.27223684800528 0.481901820736584
"ISNSL" 3.07975473162992 8.75500249098824 11.6971669831336 7.42250310021312 7.507310999642 3.76152418683529 4.59401022801232 3.45377731371935 5.66033808993479 1.17481303624198 2.27676365344077 4.29903691774864 -0.232470260502286 2.49399168261194 3.07397701045465 2.64431048210885 2.88611972564086 2.99354265210578 3.21115081391985 1.33632149422159 0.157980802520492 3.81138077882376 3.02671193415728 1.18548378822864 1.6430949372591 3.23249934168973 3.57713992125616 1.07251091259855 1.2250744976323 0.342428721340028 3.01225963413676 2.24880422382583 1.88621853484905 1.79978050642685 1.03513083869457 2.04483386605783 1.83723284578846 1.60313571630032 -0.0132193911143398
"ISPNS" 7.3325955616551 11.6971669831336 28.5384581480325 14.5928182240062 16.8929146459453 9.54719548823555 9.3709483474615 8.61587881336782 13.4273246548592 6.90432161840599 4.76558373546078 9.64992683815408 0.711711381056171 6.01324776244383 5.9546497342539 6.71325488680305 7.97108292093848 7.51892748792826 7.46802340233719 1.70338479865433 0.711418990988335 6.86065145991216 8.25023719193356 0.673694183672275 1.77162200252417 6.96276734033012 8.81090913071816 0.608473889134726 3.32688209534406 1.28932437201377 6.76284613191881 6.07570011246359 4.8376010829666 4.53073364809991 2.41991684314896 5.50361644564724 6.45561357151529 4.13319280870412 -0.0304793870232428
"PMZS" 2.49151669972698 7.42250310021312 14.5928182240062 13.6183626565508 12.6130203337057 6.25805549860145 9.13373697810679 7.20317482211797 8.76112007812669 3.45048617514473 2.46388095533002 4.92783365920897 -1.03935944792662 2.84791551290399 3.6427818012386 4.36004389627809 5.50935176923058 6.03501200349274 6.13794505865483 1.49614791361644 -0.645637315974846 5.39800870480613 5.04506309497326 1.12346340032446 1.43371459936338 5.34987233748252 5.76019224895519 1.73862260073507 2.64931512323092 1.12906457690847 4.65464501754348 4.01285275500085 4.23020707912475 2.33357185209039 -0.862960426408118 2.82901900593486 4.01291881946817 2.78542202106511 -0.333248634436324
"PMZI" 3.58761385216809 7.507310999642 16.8929146459453 12.6130203337057 16.3555994971976 7.56852393664 7.43781487463773 6.68984425552467 11.8966521733432 4.79396689443073 3.48746941128645 6.10518945506056 -0.0531773725820285 4.28223590809063 3.78186179978493 5.021987622312 5.81661281965937 5.73773086360214 5.36369038756156 1.32777155306066 0.667166428221274 5.60027752115923 7.03977006017826 0.924388401666528 -0.534663169680997 3.99848253141204 5.76406058297456 2.25989708329864 2.46457773387302 1.1296297729574 4.86738309925561 3.51744651664876 3.98744451736733 2.4746956638142 1.32770762783782 3.80608862852978 4.43809447653495 3.46442603701654 -0.682757601241253
"PMMT" 2.07141986136525 3.76152418683529 9.54719548823555 6.25805549860145 7.56852393664 5.61960428030036 3.48997478144292 3.79049636300392 5.6199875489778 3.37207241184697 2.03752306229036 3.49864850188402 0.0765622777510974 2.56199130541267 2.71692379610975 2.94884302552027 3.33741369066229 3.34898329826791 3.02897135503411 1.00622927779334 0.441513643936931 2.87629410224227 2.86712809693 0.867000268005781 0.953477830522922 2.69610443021483 2.29103419133895 1.31713921085771 1.46797054950294 0.693384404882529 2.65193146930013 2.87578513407286 1.92006966708394 1.53395961507958 0.240371602447949 2.50785654145951 2.53024971622535 1.85036893326527 -0.186598971920855
"NSLNA" 2.58372466190325 4.59401022801232 9.3709483474615 9.13373697810679 7.43781487463773 3.48997478144292 17.6942934159786 6.4048694953051 7.81468106708808 -2.82763421593096 1.29530818304496 4.24906603119806 -1.63389385604236 1.20338286103457 1.68761185755357 3.15745768847611 4.66261553930096 6.17424830150734 6.49804336364779 0.15152863558852 0.491339264020514 4.40699436964983 4.725577617519 1.53475253904885 0.805843064233998 5.32175187714261 3.77447820601106 1.13907143922727 2.28163151986645 1.52062435273281 3.73093918393297 3.02473621335489 4.88313705554326 2.82327046475845 -1.88277490962872 1.68526914622012 3.6426352228842 2.54702939621596 0.683667418115249
"NSLZS" 2.16757305022908 3.45377731371935 8.61587881336782 7.20317482211797 6.68984425552467 3.79049636300392 6.4048694953051 6.51318773294459 6.28847625853421 2.69003953431018 1.56931679616064 2.61509743639444 -0.948457158793514 1.41971291856372 2.17390305965398 2.46003239251761 3.39762994078053 3.53687928743472 3.79871677510251 0.317137985871367 -0.881417613317841 3.00180264224629 2.2382597260408 0.500991370181316 1.25005184375197 3.59795955543418 2.791773235596 1.6692782037303 1.84393488219875 1.25575208857655 3.22222936455869 2.02397112524805 2.63734405328132 1.32593973122437 -0.509175203794239 1.00547537843618 2.44694302896625 1.81813392192124 0.364625136770944
"NSLZI" 3.90657769806435 5.66033808993479 13.4273246548592 8.76112007812669 11.8966521733432 5.6199875489778 7.81468106708808 6.28847625853421 11.5353206254176 3.41304497307467 2.62949184430255 4.91022613730396 -0.126721414401134 2.87272816241574 3.20811278723888 4.03350573882238 5.17187384307961 5.06149893477491 5.34117013618635 1.13184425543894 0.191046075167079 4.43142762562172 6.97159675189331 1.29553806793976 -0.23310207936719 4.46480539038604 4.24008846834147 1.9420687527765 2.18266144264478 1.59314444213693 4.66816168010714 2.50166776589546 4.1037724879423 2.58176106935127 1.09502483788615 2.6418016012926 4.13044760779693 2.98061282618668 0.122070504464971
"NABR" 1.57124788272242 1.17481303624198 6.90432161840599 3.45048617514473 4.79396689443073 3.37207241184697 -2.82763421593096 2.69003953431018 3.41304497307467 8.8849053286092 1.22341558580788 0.840889078459088 1.64289414753699 2.37609672403906 2.01503048228786 1.95160779992371 2.07490628301829 2.33469335426974 2.00972569165993 0.625140755405479 -0.0563866246913055 1.18218244441605 1.62210088371166 0.133390029052227 0.832116574229906 1.87827835510356 1.80931557777223 0.860942314342815 0.643144119663257 1.0250499813347 2.20690308303803 1.80296498168388 1.37683409817773 0.858566371044151 -0.818584661349466 1.46477451196574 2.34936723022403 1.099463401781 -0.118441914638525
