"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.926861081183582 1.99926992789407 2.87838464420567 1.79714985742665 1.40438148792139 1.40792152375108 1.06639820226511 0.665456773405608 1.12581043171898 1.0972127320898 0.516678665845975 1.08312024641408 0.37800718717093 0.8931748190483 0.974557184731911 0.478330849334999 0.974037842405899 0.691804337797933 0.860762703075061 0.533185759144652 0.692561912990137 1.56774923361446 0.721352337412487 0.643358462787913 0.835760391615792 1.33154752770396 0.989247192814642 0.600379836337858 0.84641852893326 0.220435557376421 0.864760085812851 1.19179151580437 0.680313288064652 0.386006958665774 0.382831998182534 0.508106671813761 0.657214793567493 0.43823891492556 0.19245120397528
"ISNSL" 1.99926992789407 7.64099175000904 9.01778822505225 6.65838173915638 5.15999384167317 4.68515060388935 2.829077829592 1.55472586515872 3.67964532351107 3.4361275445726 2.01305906403635 3.61771000783366 0.981910488196869 2.48945119479772 3.5944829785808 1.36074910661776 2.9234425411822 2.19971717628764 3.14639727811086 1.72092240179145 2.25290904992101 5.05614672398198 2.467639513453 2.07716991240401 3.32482072820423 5.7942141826591 4.06196743734307 2.45238515466467 2.63434705416193 1.00354783491394 2.84692721538115 4.51854521756612 2.19337792667848 1.15080021062628 2.20549373041351 1.09185226920296 2.51139693057031 1.82182007172421 0.760244897907385
"ISPNS" 2.87838464420567 9.01778822505225 15.221347322258 9.9691418257185 7.8191457488598 7.79687178582041 4.91590575404383 3.70314315386523 5.98329172584662 6.40537021481531 2.76534456358345 6.35720522923284 2.12150586603507 5.03684157362203 5.49245784458282 2.43318514740482 5.33690826802132 4.00573214546214 5.19393256674492 1.84679789878306 3.03552121123027 8.13788315360458 3.5770965776763 3.49046661230676 5.99756845444246 8.05791045317209 6.02702502694618 1.59852029442612 4.55426384915427 1.36711671275826 4.90244610027003 5.02434048945636 4.52988342512632 2.98255032105867 3.53964433736698 4.06966233204019 4.2501423270674 2.72211943920666 0.799486224842526
"PMZS" 1.79714985742665 6.65838173915638 9.9691418257185 8.56503340286172 6.21894374898958 5.99841071211402 4.12207266448349 3.2139239907893 4.61823412108624 4.9403603737405 2.45587823691721 4.08401094525729 1.49653757248898 3.45674636468535 3.81784736956235 1.49287957823231 3.91645167388381 3.4868785361909 4.25097797383555 1.47505733077957 2.09122723660066 6.0622946871848 2.60965598194459 2.82703340645376 4.97102673734745 6.94534629855175 4.327838914988 2.40541888955112 3.50457932725572 1.35592600145207 3.61226980898836 3.79519142640241 3.02502833187061 1.53814390026621 3.18913707351767 2.0947709053497 3.64757375263976 1.63090763679245 0.705936924934171
"PMZI" 1.40438148792139 5.15999384167317 7.8191457488598 6.21894374898958 5.6595892781972 4.82888918782144 3.02089142285716 2.28464192782155 4.15730396097689 3.50287209695524 1.92212819787672 3.03970283967058 1.17648801463695 2.84468099098031 2.59356623274426 1.43378265501341 3.21639148075635 2.56506481682192 3.32898685047571 1.14759557341623 1.82447513301979 4.61025872267202 2.45683673084951 1.9573228901448 2.70835094814076 4.6715420330174 3.37265360623583 1.9230377053309 2.72245778960705 0.887158454578689 2.82949918091087 3.25826762553622 2.53728220419609 1.42558518594295 2.10097970821368 1.9820675669504 2.8070921381173 1.45293894732339 0.429944321426497
"PMMT" 1.40792152375108 4.68515060388935 7.79687178582041 5.99841071211402 4.82888918782144 6.11675644941497 2.7246185494006 2.4889954281369 4.09968199726283 4.3478248777774 2.14386574615237 3.52933650182252 2.10070050214656 3.67497103473856 3.18782567266194 1.86942766975471 4.11613936256719 2.7447581062249 3.23141892160728 1.76630719684288 1.74452267149059 4.38678148140385 2.33132173472465 2.59893294441915 3.82200933672047 5.12375109166015 2.67108763032259 2.19000216101967 3.06212601180717 0.805472658867159 3.37884020486861 3.21397714417515 2.4310692548633 2.71571203629298 3.2049160487043 3.29842154909621 3.55485050539916 1.67717413597073 0.926828149373098
"NSLNA" 1.06639820226511 2.829077829592 4.91590575404383 4.12207266448349 3.02089142285716 2.7246185494006 6.14814935330386 1.7815465170563 2.3986890454381 0.39738005933796 0.83827549064797 2.88255317922733 0.192482105595924 1.21320097446743 2.20672027502632 0.377191308349841 1.79445344841281 1.40902074504605 1.47884339898756 0.29879100138273 1.38796178516818 3.17311423771282 1.4243714062576 1.6150161245322 2.81211231434499 2.91065304670894 1.65643820749098 0.72817000650451 2.14637750855192 0.822420367039938 1.67818035598303 0.963273029073585 1.97593492033643 0.363976808809417 0.945658957597431 0.284530965401783 0.843658700181354 -0.410163226550023 0.0169618820471578
"NSLZS" 0.665456773405608 1.55472586515872 3.70314315386523 3.2139239907893 2.28464192782155 2.4889954281369 1.7815465170563 3.10081173672517 2.33964441417232 2.27514826704132 1.14354651516511 1.73307532197825 0.621734442506001 1.30784062557227 0.880480788407164 0.439501841422369 1.66448994367379 1.8462991845003 1.88782903852071 0.683209420813017 -0.0443707901548532 2.09065428331306 0.144317855907874 1.20969854685726 2.15822651873953 1.81481988331432 1.05310641519247 0.385745147398353 1.4757641993097 0.389271589947368 1.2738924020458 0.555551131017165 0.915897092678531 0.979601197999471 0.38086718374175 1.58292638354968 1.63248018437725 0.28193645904906 0.0699992162317546
"NSLZI" 1.12581043171898 3.67964532351107 5.98329172584662 4.61823412108624 4.15730396097689 4.09968199726283 2.3986890454381 2.33964441417232 4.14526935362763 3.7251967072131 1.76054550858532 3.05148339259747 1.46653953032168 2.60196332036746 2.05575962259983 1.42692974272219 3.25078593736999 2.57348828275734 2.94849259758768 0.976047616256079 1.54503992636332 4.0061525798131 2.3271392352124 1.83241055268398 2.74315024353821 3.65193460079086 2.34254826344721 1.38033712661801 2.46954419913502 0.780844641681968 2.65783853529823 2.33289369013646 2.5193217672913 2.00727814509563 1.6092332185634 2.63123744440292 3.17673727471359 1.04947291007868 0.328154113861061
"NABR" 1.0972127320898 3.4361275445726 6.40537021481531 4.9403603737405 3.50287209695524 4.3478248777774 0.39738005933796 2.27514826704132 3.7251967072131 10.9529922380883 2.16707042324462 3.37811234378245 4.2394221783965 5.06053232803145 3.70906293369743 2.92450889714682 4.30725649257213 3.38481135583969 3.37324608374296 0.618543792533076 1.97358886264006 4.82765709258922 2.50316550340825 2.23369200209437 3.92455090717342 6.00552251352848 2.67787371686144 1.38638355154008 2.48639107149578 1.39856669057438 3.41279111308548 3.24601995064316 3.04127449670451 3.70813858928612 1.70269569064637 4.58533233116761 4.49768601508294 1.41227851410004 1.41117049067261
