"" "ISPM" "ISNSL" "ISPNS" "PMZS" "PMZI" "PMMT" "NSLNA" "NSLZS" "NSLZI" "NABR" "NAFM" "NAPNS" "BRPT" "BRAPET" "PTFM" "PTAPET" "PTBA" "PTEAM" "PTZYGO" "PTTSP" "FMZS" "FMMT" "ZSZI" "ZIMT" "ZIZYGO" "ZITSP" "MTPNS" "PNSAPET" "APETBA" "APETTS" "BAEAM" "EAMZYGO" "ZYGOTSP" "LDAS" "BRLD" "OPILD" "PTAS" "JPAS" "BAOPI"
"ISPM" 0.689345526902507 1.11919789763609 1.5264320587134 0.920535255398885 0.704665131056157 0.425024660991371 0.399130187295767 0.505654776635162 0.516537105811612 0.828519666765603 0.258600344932803 0.501817361619072 0.364448034091272 0.464408490436625 0.590746156942072 0.136703547928138 0.237759896114935 0.0427238616315314 0.184821190255755 -0.00646653441845186 0.0862906626764215 0.930084613761134 0.109117773465658 0.282473604710319 0.380960251738691 0.427561071186019 0.757151129455675 0.25957374621273 0.292265741433155 0.215685037592365 0.458073182948528 0.474477950105917 0.0089423361856869 -0.0846075812795768 0.441723690055109 -0.154025316165227 0.236651562836654 -0.167014144164305 0.095608499245146
"ISNSL" 1.11919789763609 5.63322076674613 4.79914902659528 4.20164271865754 3.5199703138875 2.77558368816536 0.70913094921558 0.774952726860413 2.2972451822989 1.96452882951171 1.29940523151981 1.62006697926999 0.897270360688169 1.78945706116373 1.92492793758209 0.252842942193983 0.998274400081441 1.23553908400858 1.10677348226845 -0.385648212797311 1.05036296434668 2.53527180167597 1.4707429871425 0.696017091286729 1.57520329296448 2.04996223760608 1.84999283116859 1.85142089388578 1.51473239349678 1.18745449309501 1.46989169610876 3.04009790562051 1.55316565939982 0.103822934861798 3.11558760538415 0.24775274370023 1.93355341686323 -0.647912813715545 0.757981175361653
"ISPNS" 1.5264320587134 4.79914902659528 10.0200437228859 5.62706414551573 4.69878690508819 3.08621382699169 3.50348046174787 1.35869999758094 2.90447131118149 2.21789730704545 1.12159471004243 3.73014746123987 1.18796088726686 2.19946732271962 1.92212447754208 0.565168520986201 2.10419558618661 2.41256608059595 1.87876535128669 0.13020830348553 1.95420896519029 5.03493919431643 2.0856453529964 1.14648772977427 3.31721423492126 2.605490124241 4.14094817123954 -0.471499238399596 2.13094121895395 0.914598854169077 1.81349479482643 3.30578591189929 1.23491980582337 0.619215122975298 3.19718490700331 0.92776794792453 2.91793025882869 -0.822014336974942 -0.131509892561656
"PMZS" 0.920535255398885 4.20164271865754 5.62706414551573 5.88043205015372 4.57217441526399 3.45709053628156 3.34977799925776 1.59406305942783 2.87229412559584 2.20892107735404 1.3958133823551 2.19874392454154 0.639221202709714 1.75652286544953 2.28874497416075 0.276010414997678 1.62834702048334 2.1519840787063 1.84662423133258 0.117647528863069 1.21300066417699 3.87007187316631 2.24932939428632 1.1815645236656 2.2917737701573 1.95707631081201 2.43228086500976 2.01818677087554 2.20196679027854 1.43502128654219 1.63618451440298 3.39590891289744 1.9723911340241 0.369597898556483 3.35102695593907 1.20660528962021 3.00650371891522 -0.806149466097192 0.669016939260776
"PMZI" 0.704665131056157 3.5199703138875 4.69878690508819 4.57217441526399 5.51249723839843 3.9405370601937 1.9138639412289 1.09988324708251 3.64339258651853 1.54353629121931 1.66788324245269 1.74953190620195 0.24546334025225 2.23180784194851 1.85620017971267 0.764285076085098 1.85075671220685 1.99695980846707 1.76676673140918 -0.204026114728934 1.33699946615014 2.95361199240456 2.54162169159454 1.21546675412795 0.618144179214907 0.623229117827943 2.06324207649952 1.88724110021967 2.03568936010924 1.32728925472925 1.63125318448286 2.7837646377658 2.34394239147049 0.665548638461865 3.37048554306048 1.85308714085752 2.44280930567338 -0.401002955121883 0.389292408114869
"PMMT" 0.425024660991371 2.77558368816536 3.08621382699169 3.45709053628156 3.9405370601937 4.3305089373144 1.13529008052732 0.788736480351058 2.55553401807605 0.944309912782777 1.39176360718165 1.0019755588426 0.117593587655045 1.90090484877741 1.42986779559205 0.928790379078903 1.73808950110846 1.79496903562245 1.59485882421002 0.145043310849388 0.752113076255589 1.58948451290784 1.8537548354764 1.34588608362812 0.322398988275221 0.454425730201891 0.77042603952488 1.8462788683912 1.71299257201685 1.34137588405273 1.46633614193926 2.45658045522243 2.03026111105495 0.684475239156975 2.80665637998958 1.91853758773123 2.14505749188764 -0.226597763625534 0.507689237154909
"NSLNA" 0.399130187295767 0.70913094921558 3.50348046174787 3.34977799925776 1.9138639412289 1.13529008052732 6.33537867696307 1.45023808303083 1.68384328453669 -0.373388203253709 0.968831822344177 2.42265692303994 0.61573059009332 0.572603246377539 0.76990932653623 -0.174911662817134 0.767044619796893 1.16623630130402 1.06566320963354 0.92081672481786 1.46529077738942 2.91584709615339 1.49363259360147 0.329247319900495 1.27879839444907 0.529865711532923 1.61127623145504 0.135120884848404 1.1328578288093 0.424033191025472 0.807085443697897 1.6191415018795 0.622710739116686 0.935201186957391 1.62674561744804 0.650865367244854 1.74703606690048 -0.59035591356605 0.499989945246468
"NSLZS" 0.505654776635162 0.774952726860413 1.35869999758094 1.59406305942783 1.09988324708251 0.788736480351058 1.45023808303083 1.84521876685246 1.37087718952964 1.29028610971559 0.551607900552675 0.575384001113623 0.67537149690208 0.682254704871043 0.675852155419327 -0.225847876691897 0.0711125972886653 0.22476200935582 0.373662242925069 -0.155361986443931 -0.101973094402985 1.33029701503232 0.0770729465802703 0.22560605189979 0.371895498504917 0.360140547406118 0.739457753480147 0.510289433204482 0.468940543154196 0.434376380927773 0.474316328447543 0.530386963763998 0.215855766253056 -0.0244721751686456 0.725290810831677 0.204450161299546 0.687574933526618 -0.310469222825608 0.260221761311291
"NSLZI" 0.516537105811612 2.2972451822989 2.90447131118149 2.87229412559584 3.64339258651853 2.55553401807605 1.68384328453669 1.37087718952964 3.59105102686411 1.53730519150242 1.34956862611434 1.30641084477398 0.775833230838961 1.80823690175197 1.2437862354817 0.225417397695562 1.09689360948633 1.2000977114824 1.26552879263373 -0.244425346437849 0.935067693390413 1.98020441781999 2.33053342012011 0.565265239894806 0.0571573910115442 0.635325054649054 1.40248221524767 1.18369577935432 1.5084253269846 0.927578556365318 1.28045803720743 1.77097032527307 1.73553830493556 0.619763429937185 2.01330236421505 1.40973287531907 1.75059791604473 -0.16498365683356 0.33906123309335
"NABR" 0.828519666765603 1.96452882951171 2.21789730704545 2.20892107735404 1.54353629121931 0.944309912782777 -0.373388203253709 1.29028610971559 1.53730519150242 5.00173077871552 0.37655856720532 0.557697641562844 1.70803847829941 1.03288695988766 1.33056874349169 0.143738720481033 0.934546102142972 1.20151559169315 1.11675627937794 -0.920966125373816 0.217945790526245 2.29170493559294 0.786087115186353 0.208433029238232 0.982251009880746 2.12948624003719 1.39107322423601 1.26331904649773 0.88919357110669 0.711341784278819 0.957511978711263 1.42499757647993 0.952161550568038 -0.153425894544831 -0.027273548660796 -0.0326455006472066 2.00707250503279 0.236871617771692 0.542138403766603
